sample,subject
C1-2_S1_L001_R1_001,c12
C1-2_S1_L001_R2_001,c12
C1-2_S1_L002_R1_001,c12
C1-2_S1_L002_R2_001,c12
C1-2_S1_L003_R1_001,c12
C1-2_S1_L003_R2_001,c12
C1-2_S1_L004_R1_001,c12
C1-2_S1_L004_R2_001,c12
C1-3_S7_L001_R1_001,c13
C1-3_S7_L001_R2_001,c13
C1-3_S7_L002_R1_001,c13
C1-3_S7_L002_R2_001,c13
C1-3_S7_L003_R1_001,c13
C1-3_S7_L003_R2_001,c13
C1-3_S7_L004_R1_001,c13
C1-3_S7_L004_R2_001,c13
C2-2_S2_L001_R1_001,c22
C2-2_S2_L001_R2_001,c22
C2-2_S2_L002_R1_001,c22
C2-2_S2_L002_R2_001,c22
C2-2_S2_L003_R1_001,c22
C2-2_S2_L003_R2_001,c22
C2-2_S2_L004_R1_001,c22
C2-2_S2_L004_R2_001,c22
C3-2_S3_L001_R1_001,c32
C3-2_S3_L001_R2_001,c32
C3-2_S3_L002_R1_001,c32
C3-2_S3_L002_R2_001,c32
C3-2_S3_L003_R1_001,c32
C3-2_S3_L003_R2_001,c32
C3-2_S3_L004_R1_001,c32
C3-2_S3_L004_R2_001,c32
D1-2_S4_L001_R1_001,d12
D1-2_S4_L001_R2_001,d12
D1-2_S4_L002_R1_001,d12
D1-2_S4_L002_R2_001,d12
D1-2_S4_L003_R1_001,d12
D1-2_S4_L003_R2_001,d12
D1-2_S4_L004_R1_001,d12
D1-2_S4_L004_R2_001,d12
D1-3_S8_L001_R1_001,d13
D1-3_S8_L001_R2_001,d13
D1-3_S8_L002_R1_001,d13
D1-3_S8_L002_R2_001,d13
D1-3_S8_L003_R1_001,d13
D1-3_S8_L003_R2_001,d13
D1-3_S8_L004_R1_001,d13
D1-3_S8_L004_R2_001,d13
D2-2_S5_L001_R1_001,d22
D2-2_S5_L001_R2_001,d22
D2-2_S5_L002_R1_001,d22
D2-2_S5_L002_R2_001,d22
D2-2_S5_L003_R1_001,d22
D2-2_S5_L003_R2_001,d22
D2-2_S5_L004_R1_001,d22
D2-2_S5_L004_R2_001,d22
D3-2_S6_L001_R1_001,d32
D3-2_S6_L001_R2_001,d32
D3-2_S6_L002_R1_001,d32
D3-2_S6_L002_R2_001,d32
D3-2_S6_L003_R1_001,d32
D3-2_S6_L003_R2_001,d32
D3-2_S6_L004_R1_001,d32
D3-2_S6_L004_R2_001,d32

