dsim2_geneid,COUNT,PERCENT
FBgn0012827,1,0.0012852149
FBgn0012840,1,0.0012852149
FBgn0012845,1,0.0012852149
FBgn0012846,1,0.0012852149
FBgn0012902,1,0.0012852149
FBgn0012903,1,0.0012852149
FBgn0012904,1,0.0012852149
FBgn0013875,1,0.0012852149
FBgn0013883,1,0.0012852149
FBgn0016340,1,0.0012852149
FBgn0016346,1,0.0012852149
FBgn0020697,1,0.0012852149
FBgn0021128,1,0.0012852149
FBgn0022481,1,0.0012852149
FBgn0022482,1,0.0012852149
FBgn0022505,1,0.0012852149
FBgn0024778,1,0.0012852149
FBgn0025027,1,0.0012852149
FBgn0025038,1,0.0012852149
FBgn0025042,1,0.0012852149
FBgn0025411,1,0.0012852149
FBgn0027417,1,0.0012852149
FBgn0027801,1,0.0012852149
FBgn0028446,1,0.0012852149
FBgn0041268,1,0.0012852149
FBgn0041668,1,0.0012852149
FBgn0042853,1,0.0012852149
FBgn0042855,1,0.0012852149
FBgn0042864,1,0.0012852149
FBgn0043398,1,0.0012852149
FBgn0043399,1,0.0012852149
FBgn0043401,1,0.0012852149
FBgn0043621,1,0.0012852149
FBgn0044189,1,0.0012852149
FBgn0044193,1,0.0012852149
FBgn0044200,1,0.0012852149
FBgn0045530,1,0.0012852149
FBgn0045558,1,0.0012852149
FBgn0045567,1,0.0012852149
FBgn0045611,1,0.0012852149
FBgn0045660,1,0.0012852149
FBgn0046915,1,0.0012852149
FBgn0046916,1,0.0012852149
FBgn0062291,1,0.0012852149
FBgn0063991,1,0.0012852149
FBgn0063996,1,0.0012852149
FBgn0063997,1,0.0012852149
FBgn0064355,1,0.0012852149
FBgn0064364,1,0.0012852149
FBgn0066163,1,0.0012852149
FBgn0066164,1,0.0012852149
FBgn0066168,1,0.0012852149
FBgn0067157,1,0.0012852149
FBgn0067177,1,0.0012852149
FBgn0067487,1,0.0012852149
FBgn0067504,1,0.0012852149
FBgn0067508,1,0.0012852149
FBgn0067516,1,0.0012852149
FBgn0067523,1,0.0012852149
FBgn0067531,1,0.0012852149
FBgn0068661,1,0.0012852149
FBgn0068665,1,0.0012852149
FBgn0068673,1,0.0012852149
FBgn0069499,1,0.0012852149
FBgn0069515,1,0.0012852149
FBgn0069521,1,0.0012852149
FBgn0069522,1,0.0012852149
FBgn0082400,1,0.0012852149
FBgn0082402,1,0.0012852149
FBgn0082722,1,0.0012852149
FBgn0082754,1,0.0012852149
FBgn0082757,1,0.0012852149
FBgn0082758,1,0.0012852149
FBgn0083416,1,0.0012852149
FBgn0083428,1,0.0012852149
FBgn0083429,1,0.0012852149
FBgn0083436,1,0.0012852149
FBgn0083442,1,0.0012852149
FBgn0083456,1,0.0012852149
FBgn0083458,1,0.0012852149
FBgn0083468,1,0.0012852149
FBgn0083469,1,0.0012852149
FBgn0083472,1,0.0012852149
FBgn0083474,1,0.0012852149
FBgn0084073,1,0.0012852149
FBgn0084229,1,0.0012852149
FBgn0084332,1,0.0012852149
FBgn0084450,1,0.0012852149
FBgn0084466,1,0.0012852149
FBgn0084802,1,0.0012852149
FBgn0084862,1,0.0012852149
FBgn0084931,1,0.0012852149
FBgn0085859,1,0.0012852149
FBgn0085905,1,0.0012852149
FBgn0085958,1,0.0012852149
FBgn0181821,1,0.0012852149
FBgn0181832,1,0.0012852149
FBgn0181850,1,0.0012852149
FBgn0181853,1,0.0012852149
FBgn0181857,1,0.0012852149
FBgn0181863,1,0.0012852149
FBgn0181866,1,0.0012852149
FBgn0181876,1,0.0012852149
FBgn0181878,1,0.0012852149
FBgn0181879,1,0.0012852149
FBgn0181886,1,0.0012852149
FBgn0181898,1,0.0012852149
FBgn0181923,1,0.0012852149
FBgn0181924,1,0.0012852149
FBgn0181927,1,0.0012852149
FBgn0181930,1,0.0012852149
FBgn0181941,1,0.0012852149
FBgn0181942,1,0.0012852149
FBgn0181944,1,0.0012852149
FBgn0181973,1,0.0012852149
FBgn0181975,1,0.0012852149
FBgn0181985,1,0.0012852149
FBgn0181992,1,0.0012852149
FBgn0182005,1,0.0012852149
FBgn0182008,1,0.0012852149
FBgn0182013,1,0.0012852149
FBgn0182015,1,0.0012852149
FBgn0182025,1,0.0012852149
FBgn0182037,1,0.0012852149
FBgn0182043,1,0.0012852149
FBgn0182045,1,0.0012852149
FBgn0182047,1,0.0012852149
FBgn0182049,1,0.0012852149
FBgn0182050,1,0.0012852149
FBgn0182058,1,0.0012852149
FBgn0182070,1,0.0012852149
FBgn0182071,1,0.0012852149
FBgn0182076,1,0.0012852149
FBgn0182085,1,0.0012852149
FBgn0182096,1,0.0012852149
FBgn0182104,1,0.0012852149
FBgn0182105,1,0.0012852149
FBgn0182109,1,0.0012852149
FBgn0182135,1,0.0012852149
FBgn0182136,1,0.0012852149
FBgn0182156,1,0.0012852149
FBgn0182170,1,0.0012852149
FBgn0182182,1,0.0012852149
FBgn0182187,1,0.0012852149
FBgn0182191,1,0.0012852149
FBgn0182193,1,0.0012852149
FBgn0182196,1,0.0012852149
FBgn0182208,1,0.0012852149
FBgn0182213,1,0.0012852149
FBgn0182216,1,0.0012852149
FBgn0182217,1,0.0012852149
FBgn0182219,1,0.0012852149
FBgn0182226,1,0.0012852149
FBgn0182231,1,0.0012852149
FBgn0182250,1,0.0012852149
FBgn0182252,1,0.0012852149
FBgn0182272,1,0.0012852149
FBgn0182274,1,0.0012852149
FBgn0182279,1,0.0012852149
FBgn0182304,1,0.0012852149
FBgn0182315,1,0.0012852149
FBgn0182330,1,0.0012852149
FBgn0182334,1,0.0012852149
FBgn0182336,1,0.0012852149
FBgn0182340,1,0.0012852149
FBgn0182349,1,0.0012852149
FBgn0182363,1,0.0012852149
FBgn0182375,1,0.0012852149
FBgn0182386,1,0.0012852149
FBgn0182397,1,0.0012852149
FBgn0182400,1,0.0012852149
FBgn0182405,1,0.0012852149
FBgn0182408,1,0.0012852149
FBgn0182410,1,0.0012852149
FBgn0182413,1,0.0012852149
FBgn0182424,1,0.0012852149
FBgn0182435,1,0.0012852149
FBgn0182436,1,0.0012852149
FBgn0182439,1,0.0012852149
FBgn0182440,1,0.0012852149
FBgn0182451,1,0.0012852149
FBgn0182455,1,0.0012852149
FBgn0182456,1,0.0012852149
FBgn0182461,1,0.0012852149
FBgn0182469,1,0.0012852149
FBgn0182476,1,0.0012852149
FBgn0182499,1,0.0012852149
FBgn0182519,1,0.0012852149
FBgn0182523,1,0.0012852149
FBgn0182534,1,0.0012852149
FBgn0182540,1,0.0012852149
FBgn0182545,1,0.0012852149
FBgn0182548,1,0.0012852149
FBgn0182550,1,0.0012852149
FBgn0182567,1,0.0012852149
FBgn0182571,1,0.0012852149
FBgn0182576,1,0.0012852149
FBgn0182578,1,0.0012852149
FBgn0182579,1,0.0012852149
FBgn0182583,1,0.0012852149
FBgn0182596,1,0.0012852149
FBgn0182597,1,0.0012852149
FBgn0182598,1,0.0012852149
FBgn0182608,1,0.0012852149
FBgn0182611,1,0.0012852149
FBgn0182617,1,0.0012852149
FBgn0182624,1,0.0012852149
FBgn0182641,1,0.0012852149
FBgn0182642,1,0.0012852149
FBgn0182645,1,0.0012852149
FBgn0182646,1,0.0012852149
FBgn0182650,1,0.0012852149
FBgn0182654,1,0.0012852149
FBgn0182658,1,0.0012852149
FBgn0182663,1,0.0012852149
FBgn0182681,1,0.0012852149
FBgn0182682,1,0.0012852149
FBgn0182713,1,0.0012852149
FBgn0182714,1,0.0012852149
FBgn0182717,1,0.0012852149
FBgn0182726,1,0.0012852149
FBgn0182731,1,0.0012852149
FBgn0182745,1,0.0012852149
FBgn0182756,1,0.0012852149
FBgn0182781,1,0.0012852149
FBgn0182782,1,0.0012852149
FBgn0182784,1,0.0012852149
FBgn0182792,1,0.0012852149
FBgn0182795,1,0.0012852149
FBgn0182817,1,0.0012852149
FBgn0182819,1,0.0012852149
FBgn0182823,1,0.0012852149
FBgn0182824,1,0.0012852149
FBgn0182831,1,0.0012852149
FBgn0182832,1,0.0012852149
FBgn0182837,1,0.0012852149
FBgn0182846,1,0.0012852149
FBgn0182851,1,0.0012852149
FBgn0182860,1,0.0012852149
FBgn0182876,1,0.0012852149
FBgn0182879,1,0.0012852149
FBgn0182882,1,0.0012852149
FBgn0182886,1,0.0012852149
FBgn0182892,1,0.0012852149
FBgn0182902,1,0.0012852149
FBgn0182915,1,0.0012852149
FBgn0182921,1,0.0012852149
FBgn0182937,1,0.0012852149
FBgn0182945,1,0.0012852149
FBgn0182946,1,0.0012852149
FBgn0182949,1,0.0012852149
FBgn0182953,1,0.0012852149
FBgn0182965,1,0.0012852149
FBgn0182967,1,0.0012852149
FBgn0182972,1,0.0012852149
FBgn0182977,1,0.0012852149
FBgn0182978,1,0.0012852149
FBgn0182981,1,0.0012852149
FBgn0182984,1,0.0012852149
FBgn0182988,1,0.0012852149
FBgn0183002,1,0.0012852149
FBgn0183036,1,0.0012852149
FBgn0183037,1,0.0012852149
FBgn0183041,1,0.0012852149
FBgn0183042,1,0.0012852149
FBgn0183044,1,0.0012852149
FBgn0183051,1,0.0012852149
FBgn0183058,1,0.0012852149
FBgn0183059,1,0.0012852149
FBgn0183064,1,0.0012852149
FBgn0183065,1,0.0012852149
FBgn0183067,1,0.0012852149
FBgn0183075,1,0.0012852149
FBgn0183082,1,0.0012852149
FBgn0183087,1,0.0012852149
FBgn0183106,1,0.0012852149
FBgn0183107,1,0.0012852149
FBgn0183110,1,0.0012852149
FBgn0183114,1,0.0012852149
FBgn0183115,1,0.0012852149
FBgn0183116,1,0.0012852149
FBgn0183117,1,0.0012852149
FBgn0183132,1,0.0012852149
FBgn0183133,1,0.0012852149
FBgn0183134,1,0.0012852149
FBgn0183137,1,0.0012852149
FBgn0183141,1,0.0012852149
FBgn0183145,1,0.0012852149
FBgn0183147,1,0.0012852149
FBgn0183148,1,0.0012852149
FBgn0183164,1,0.0012852149
FBgn0183167,1,0.0012852149
FBgn0183186,1,0.0012852149
FBgn0183191,1,0.0012852149
FBgn0183201,1,0.0012852149
FBgn0183205,1,0.0012852149
FBgn0183211,1,0.0012852149
FBgn0183218,1,0.0012852149
FBgn0183227,1,0.0012852149
FBgn0183231,1,0.0012852149
FBgn0183235,1,0.0012852149
FBgn0183237,1,0.0012852149
FBgn0183257,1,0.0012852149
FBgn0183258,1,0.0012852149
FBgn0183261,1,0.0012852149
FBgn0183262,1,0.0012852149
FBgn0183263,1,0.0012852149
FBgn0183268,1,0.0012852149
FBgn0183271,1,0.0012852149
FBgn0183272,1,0.0012852149
FBgn0183276,1,0.0012852149
FBgn0183278,1,0.0012852149
FBgn0183291,1,0.0012852149
FBgn0183292,1,0.0012852149
FBgn0183294,1,0.0012852149
FBgn0183298,1,0.0012852149
FBgn0183299,1,0.0012852149
FBgn0183302,1,0.0012852149
FBgn0183306,1,0.0012852149
FBgn0183308,1,0.0012852149
FBgn0183310,1,0.0012852149
FBgn0183332,1,0.0012852149
FBgn0183336,1,0.0012852149
FBgn0183349,1,0.0012852149
FBgn0183353,1,0.0012852149
FBgn0183357,1,0.0012852149
FBgn0183360,1,0.0012852149
FBgn0183371,1,0.0012852149
FBgn0183379,1,0.0012852149
FBgn0183380,1,0.0012852149
FBgn0183383,1,0.0012852149
FBgn0183394,1,0.0012852149
FBgn0183402,1,0.0012852149
FBgn0183403,1,0.0012852149
FBgn0183405,1,0.0012852149
FBgn0183407,1,0.0012852149
FBgn0183411,1,0.0012852149
FBgn0183413,1,0.0012852149
FBgn0183414,1,0.0012852149
FBgn0183422,1,0.0012852149
FBgn0183425,1,0.0012852149
FBgn0183426,1,0.0012852149
FBgn0183431,1,0.0012852149
FBgn0183432,1,0.0012852149
FBgn0183433,1,0.0012852149
FBgn0183434,1,0.0012852149
FBgn0183435,1,0.0012852149
FBgn0183436,1,0.0012852149
FBgn0183444,1,0.0012852149
FBgn0183455,1,0.0012852149
FBgn0183457,1,0.0012852149
FBgn0183472,1,0.0012852149
FBgn0183477,1,0.0012852149
FBgn0183478,1,0.0012852149
FBgn0183490,1,0.0012852149
FBgn0183495,1,0.0012852149
FBgn0183497,1,0.0012852149
FBgn0183498,1,0.0012852149
FBgn0183509,1,0.0012852149
FBgn0183512,1,0.0012852149
FBgn0183526,1,0.0012852149
FBgn0183527,1,0.0012852149
FBgn0183534,1,0.0012852149
FBgn0183542,1,0.0012852149
FBgn0183545,1,0.0012852149
FBgn0183550,1,0.0012852149
FBgn0183554,1,0.0012852149
FBgn0183560,1,0.0012852149
FBgn0183562,1,0.0012852149
FBgn0183576,1,0.0012852149
FBgn0183586,1,0.0012852149
FBgn0183601,1,0.0012852149
FBgn0183625,1,0.0012852149
FBgn0183627,1,0.0012852149
FBgn0183628,1,0.0012852149
FBgn0183634,1,0.0012852149
FBgn0183644,1,0.0012852149
FBgn0183657,1,0.0012852149
FBgn0183661,1,0.0012852149
FBgn0183666,1,0.0012852149
FBgn0183667,1,0.0012852149
FBgn0183669,1,0.0012852149
FBgn0183691,1,0.0012852149
FBgn0183696,1,0.0012852149
FBgn0183714,1,0.0012852149
FBgn0183741,1,0.0012852149
FBgn0183745,1,0.0012852149
FBgn0183747,1,0.0012852149
FBgn0183763,1,0.0012852149
FBgn0183789,1,0.0012852149
FBgn0183802,1,0.0012852149
FBgn0183849,1,0.0012852149
FBgn0183852,1,0.0012852149
FBgn0183857,1,0.0012852149
FBgn0183861,1,0.0012852149
FBgn0183866,1,0.0012852149
FBgn0183868,1,0.0012852149
FBgn0183871,1,0.0012852149
FBgn0183872,1,0.0012852149
FBgn0183891,1,0.0012852149
FBgn0183893,1,0.0012852149
FBgn0183898,1,0.0012852149
FBgn0183899,1,0.0012852149
FBgn0183901,1,0.0012852149
FBgn0183906,1,0.0012852149
FBgn0183915,1,0.0012852149
FBgn0183922,1,0.0012852149
FBgn0183926,1,0.0012852149
FBgn0183930,1,0.0012852149
FBgn0183937,1,0.0012852149
FBgn0183950,1,0.0012852149
FBgn0183960,1,0.0012852149
FBgn0183965,1,0.0012852149
FBgn0183989,1,0.0012852149
FBgn0183990,1,0.0012852149
FBgn0183996,1,0.0012852149
FBgn0184004,1,0.0012852149
FBgn0184005,1,0.0012852149
FBgn0184027,1,0.0012852149
FBgn0184028,1,0.0012852149
FBgn0184030,1,0.0012852149
FBgn0184036,1,0.0012852149
FBgn0184037,1,0.0012852149
FBgn0184043,1,0.0012852149
FBgn0184046,1,0.0012852149
FBgn0184049,1,0.0012852149
FBgn0184051,1,0.0012852149
FBgn0184054,1,0.0012852149
FBgn0184060,1,0.0012852149
FBgn0184067,1,0.0012852149
FBgn0184068,1,0.0012852149
FBgn0184071,1,0.0012852149
FBgn0184075,1,0.0012852149
FBgn0184081,1,0.0012852149
FBgn0184084,1,0.0012852149
FBgn0184089,1,0.0012852149
FBgn0184097,1,0.0012852149
FBgn0184101,1,0.0012852149
FBgn0184104,1,0.0012852149
FBgn0184107,1,0.0012852149
FBgn0184114,1,0.0012852149
FBgn0184122,1,0.0012852149
FBgn0184125,1,0.0012852149
FBgn0184130,1,0.0012852149
FBgn0184138,1,0.0012852149
FBgn0184139,1,0.0012852149
FBgn0184141,1,0.0012852149
FBgn0184148,1,0.0012852149
FBgn0184150,1,0.0012852149
FBgn0184162,1,0.0012852149
FBgn0184170,1,0.0012852149
FBgn0184174,1,0.0012852149
FBgn0184177,1,0.0012852149
FBgn0184185,1,0.0012852149
FBgn0184186,1,0.0012852149
FBgn0184188,1,0.0012852149
FBgn0184196,1,0.0012852149
FBgn0184197,1,0.0012852149
FBgn0184198,1,0.0012852149
FBgn0184211,1,0.0012852149
FBgn0184220,1,0.0012852149
FBgn0184226,1,0.0012852149
FBgn0184230,1,0.0012852149
FBgn0184233,1,0.0012852149
FBgn0184241,1,0.0012852149
FBgn0184244,1,0.0012852149
FBgn0184245,1,0.0012852149
FBgn0184252,1,0.0012852149
FBgn0184256,1,0.0012852149
FBgn0184266,1,0.0012852149
FBgn0184267,1,0.0012852149
FBgn0184272,1,0.0012852149
FBgn0184273,1,0.0012852149
FBgn0184275,1,0.0012852149
FBgn0184280,1,0.0012852149
FBgn0184281,1,0.0012852149
FBgn0184289,1,0.0012852149
FBgn0184293,1,0.0012852149
FBgn0184296,1,0.0012852149
FBgn0184297,1,0.0012852149
FBgn0184298,1,0.0012852149
FBgn0184317,1,0.0012852149
FBgn0184324,1,0.0012852149
FBgn0184327,1,0.0012852149
FBgn0184341,1,0.0012852149
FBgn0184345,1,0.0012852149
FBgn0184352,1,0.0012852149
FBgn0184362,1,0.0012852149
FBgn0184380,1,0.0012852149
FBgn0184381,1,0.0012852149
FBgn0184389,1,0.0012852149
FBgn0184394,1,0.0012852149
FBgn0184402,1,0.0012852149
FBgn0184403,1,0.0012852149
FBgn0184406,1,0.0012852149
FBgn0184408,1,0.0012852149
FBgn0184429,1,0.0012852149
FBgn0184431,1,0.0012852149
FBgn0184433,1,0.0012852149
FBgn0184434,1,0.0012852149
FBgn0184436,1,0.0012852149
FBgn0184437,1,0.0012852149
FBgn0184442,1,0.0012852149
FBgn0184457,1,0.0012852149
FBgn0184472,1,0.0012852149
FBgn0184487,1,0.0012852149
FBgn0184488,1,0.0012852149
FBgn0184502,1,0.0012852149
FBgn0184507,1,0.0012852149
FBgn0184508,1,0.0012852149
FBgn0184526,1,0.0012852149
FBgn0184536,1,0.0012852149
FBgn0184545,1,0.0012852149
FBgn0184548,1,0.0012852149
FBgn0184551,1,0.0012852149
FBgn0184552,1,0.0012852149
FBgn0184556,1,0.0012852149
FBgn0184557,1,0.0012852149
FBgn0184559,1,0.0012852149
FBgn0184560,1,0.0012852149
FBgn0184601,1,0.0012852149
FBgn0184605,1,0.0012852149
FBgn0184613,1,0.0012852149
FBgn0184615,1,0.0012852149
FBgn0184616,1,0.0012852149
FBgn0184625,1,0.0012852149
FBgn0184626,1,0.0012852149
FBgn0184631,1,0.0012852149
FBgn0184635,1,0.0012852149
FBgn0184636,1,0.0012852149
FBgn0184643,1,0.0012852149
FBgn0184644,1,0.0012852149
FBgn0184665,1,0.0012852149
FBgn0184667,1,0.0012852149
FBgn0184683,1,0.0012852149
FBgn0184684,1,0.0012852149
FBgn0184685,1,0.0012852149
FBgn0184686,1,0.0012852149
FBgn0184690,1,0.0012852149
FBgn0184693,1,0.0012852149
FBgn0184695,1,0.0012852149
FBgn0184701,1,0.0012852149
FBgn0184705,1,0.0012852149
FBgn0184717,1,0.0012852149
FBgn0184733,1,0.0012852149
FBgn0184736,1,0.0012852149
FBgn0184745,1,0.0012852149
FBgn0184752,1,0.0012852149
FBgn0184764,1,0.0012852149
FBgn0184776,1,0.0012852149
FBgn0184801,1,0.0012852149
FBgn0184802,1,0.0012852149
FBgn0184803,1,0.0012852149
FBgn0184805,1,0.0012852149
FBgn0184812,1,0.0012852149
FBgn0184819,1,0.0012852149
FBgn0184823,1,0.0012852149
FBgn0184824,1,0.0012852149
FBgn0184825,1,0.0012852149
FBgn0184826,1,0.0012852149
FBgn0184840,1,0.0012852149
FBgn0184842,1,0.0012852149
FBgn0184846,1,0.0012852149
FBgn0184852,1,0.0012852149
FBgn0184857,1,0.0012852149
FBgn0184858,1,0.0012852149
FBgn0184860,1,0.0012852149
FBgn0184861,1,0.0012852149
FBgn0184862,1,0.0012852149
FBgn0184864,1,0.0012852149
FBgn0184865,1,0.0012852149
FBgn0184869,1,0.0012852149
FBgn0184880,1,0.0012852149
FBgn0184882,1,0.0012852149
FBgn0184883,1,0.0012852149
FBgn0184897,1,0.0012852149
FBgn0184898,1,0.0012852149
FBgn0184904,1,0.0012852149
FBgn0184905,1,0.0012852149
FBgn0184906,1,0.0012852149
FBgn0184912,1,0.0012852149
FBgn0184917,1,0.0012852149
FBgn0184922,1,0.0012852149
FBgn0184929,1,0.0012852149
FBgn0184934,1,0.0012852149
FBgn0184937,1,0.0012852149
FBgn0184954,1,0.0012852149
FBgn0184974,1,0.0012852149
FBgn0184992,1,0.0012852149
FBgn0184998,1,0.0012852149
FBgn0184999,1,0.0012852149
FBgn0185010,1,0.0012852149
FBgn0185016,1,0.0012852149
FBgn0185027,1,0.0012852149
FBgn0185028,1,0.0012852149
FBgn0185029,1,0.0012852149
FBgn0185039,1,0.0012852149
FBgn0185044,1,0.0012852149
FBgn0185056,1,0.0012852149
FBgn0185069,1,0.0012852149
FBgn0185078,1,0.0012852149
FBgn0185079,1,0.0012852149
FBgn0185087,1,0.0012852149
FBgn0185095,1,0.0012852149
FBgn0185103,1,0.0012852149
FBgn0185104,1,0.0012852149
FBgn0185107,1,0.0012852149
FBgn0185110,1,0.0012852149
FBgn0185114,1,0.0012852149
FBgn0185137,1,0.0012852149
FBgn0185146,1,0.0012852149
FBgn0185156,1,0.0012852149
FBgn0185163,1,0.0012852149
FBgn0185168,1,0.0012852149
FBgn0185175,1,0.0012852149
FBgn0185202,1,0.0012852149
FBgn0185203,1,0.0012852149
FBgn0185221,1,0.0012852149
FBgn0185229,1,0.0012852149
FBgn0185235,1,0.0012852149
FBgn0185236,1,0.0012852149
FBgn0185241,1,0.0012852149
FBgn0185263,1,0.0012852149
FBgn0185281,1,0.0012852149
FBgn0185282,1,0.0012852149
FBgn0185283,1,0.0012852149
FBgn0185287,1,0.0012852149
FBgn0185289,1,0.0012852149
FBgn0185298,1,0.0012852149
FBgn0185301,1,0.0012852149
FBgn0185314,1,0.0012852149
FBgn0185315,1,0.0012852149
FBgn0185334,1,0.0012852149
FBgn0185344,1,0.0012852149
FBgn0185370,1,0.0012852149
FBgn0185378,1,0.0012852149
FBgn0185385,1,0.0012852149
FBgn0185390,1,0.0012852149
FBgn0185392,1,0.0012852149
FBgn0185402,1,0.0012852149
FBgn0185403,1,0.0012852149
FBgn0185408,1,0.0012852149
FBgn0185416,1,0.0012852149
FBgn0185422,1,0.0012852149
FBgn0185428,1,0.0012852149
FBgn0185442,1,0.0012852149
FBgn0185443,1,0.0012852149
FBgn0185446,1,0.0012852149
FBgn0185461,1,0.0012852149
FBgn0185463,1,0.0012852149
FBgn0185487,1,0.0012852149
