sample,sampleID,sex,TR,biorep,species
dser_F_rep1,dser_F_rep1_TR1,F,1,rep1,dser
dser_M_rep1,dser_M_rep1_TR1,M,1,rep1,dser
dser_F_rep2,dser_F_rep2_TR1,F,1,rep2,dser
dser_M_rep2,dser_M_rep2_TR1,M,1,rep2,dser
dser_F_rep3,dser_F_rep3_TR1,F,1,rep3,dser
dser_M_rep3,dser_M_rep3_TR1,M,1,rep3,dser
dser_F_rep4,dser_F_rep4_TR1,F,1,rep4,dser
dser_M_rep4,dser_M_rep4_TR1,M,1,rep4,dser
dser_F_rep5,dser_F_rep5_TR1,F,1,rep5,dser
dser_M_rep5,dser_M_rep5_TR1,M,1,rep5,dser
dser_F_rep6,dser_F_rep6_TR1,F,1,rep6,dser
dser_M_rep6,dser_M_rep6_TR1,M,1,rep6,dser
dser_F_rep1,dser_F_rep1_TR2,F,2,rep1,dser
dser_M_rep1,dser_M_rep1_TR2,M,2,rep1,dser
dser_F_rep2,dser_F_rep2_TR2,F,2,rep2,dser
dser_M_rep2,dser_M_rep2_TR2,M,2,rep2,dser
dser_F_rep3,dser_F_rep3_TR2,F,2,rep3,dser
dser_M_rep3,dser_M_rep3_TR2,M,2,rep3,dser
dser_F_rep1,dser_F_rep1_TR3,F,3,rep1,dser
dser_M_rep1,dser_M_rep1_TR3,M,3,rep1,dser
dser_F_rep2,dser_F_rep2_TR3,F,3,rep2,dser
dser_M_rep2,dser_M_rep2_TR3,M,3,rep2,dser
dser_F_rep3,dser_F_rep3_TR3,F,3,rep3,dser
dser_M_rep3,dser_M_rep3_TR3,M,3,rep3,dser
dser_F_rep4,dser_F_rep4_TR2,F,2,rep4,dser
dser_M_rep4,dser_M_rep4_TR2,M,2,rep4,dser
dser_F_rep5,dser_F_rep5_TR2,F,2,rep5,dser
dser_M_rep5,dser_M_rep5_TR2,M,2,rep5,dser
dser_F_rep6,dser_F_rep6_TR2,F,2,rep6,dser
dser_M_rep6,dser_M_rep6_TR2,M,2,rep6,dser
dser_F_rep4,dser_F_rep4_TR4,F,4,rep4,dser
dser_M_rep4,dser_M_rep4_TR4,M,4,rep4,dser
dser_F_rep5,dser_F_rep5_TR4,F,4,rep5,dser
dser_M_rep5,dser_M_rep5_TR4,M,4,rep5,dser
dser_F_rep6,dser_F_rep6_TR4,F,4,rep6,dser
dser_M_rep6,dser_M_rep6_TR4,M,4,rep6,dser
dser_F_rep4,dser_F_rep4_TR5,F,5,rep4,dser
dser_M_rep4,dser_M_rep4_TR5,M,5,rep4,dser
dser_F_rep5,dser_F_rep5_TR5,F,5,rep5,dser
dser_M_rep5,dser_M_rep5_TR5,M,5,rep5,dser
dser_F_rep6,dser_F_rep6_TR5,F,5,rep6,dser
dser_M_rep6,dser_M_rep6_TR5,M,5,rep6,dser
dser_F_rep4,dser_F_rep4_TR6,F,6,rep4,dser
dser_M_rep4,dser_M_rep4_TR6,M,6,rep4,dser
dser_F_rep5,dser_F_rep5_TR6,F,6,rep5,dser
dser_M_rep5,dser_M_rep5_TR6,M,6,rep5,dser
dser_F_rep6,dser_F_rep6_TR6,F,6,rep6,dser
dser_M_rep6,dser_M_rep6_TR6,M,6,rep6,dser
