origin,comp_anno_in,expressed_in,COUNT,PERCENT
1_all_5_species,1_all_5_species,1_all_5,6349,11.263083200283837
1_all_5_species,1_all_5_species,2_the4,103,0.1827213056590385
1_all_5_species,1_all_5_species,3_mel_sim,40,0.07095973035302466
1_all_5_species,1_all_5_species,3_yak_san,12,0.021287919105907396
1_all_5_species,1_all_5_species,4_mel_only,47,0.08337768316480397
1_all_5_species,1_all_5_species,4_san_only,98,0.1738513393649104
1_all_5_species,1_all_5_species,4_sim_only,80,0.14191946070604933
1_all_5_species,1_all_5_species,4_yak_only,12,0.021287919105907396
1_all_5_species,1_all_5_species,4_zser_only,99,0.17562533262373603
1_all_5_species,1_all_5_species,6_other,1253,2.2228135533084976
1_all_5_species,1_all_5_species,7_not_expressed,703,1.2471172609544086
2_the4,1_all_5_species,1_all_5,523,0.9277984743657973
2_the4,1_all_5_species,2_the4,902,1.6001419194607058
2_the4,1_all_5_species,3_mel_sim,84,0.1490154337413518
2_the4,1_all_5_species,3_yak_san,25,0.044349831470640415
2_the4,1_all_5_species,4_mel_only,52,0.09224764945893206
2_the4,1_all_5_species,4_san_only,150,0.2660989888238425
2_the4,1_all_5_species,4_sim_only,77,0.13659748092957247
2_the4,1_all_5_species,4_yak_only,19,0.03370587191768672
2_the4,1_all_5_species,4_zser_only,36,0.06386375731772219
2_the4,1_all_5_species,6_other,481,0.8532907574951214
2_the4,1_all_5_species,7_not_expressed,593,1.0519780024835905
2_the4,2_the4,2_the4,486,0.8621607237892496
2_the4,2_the4,3_mel_sim,28,0.04967181124711726
2_the4,2_the4,3_yak_san,37,0.0656377505765478
2_the4,2_the4,4_mel_only,22,0.03902785169416356
2_the4,2_the4,4_san_only,329,0.5836437821536278
2_the4,2_the4,4_sim_only,47,0.08337768316480397
2_the4,2_the4,4_yak_only,7,0.012417952811779315
2_the4,2_the4,6_other,268,0.47543019336526526
2_the4,2_the4,7_not_expressed,263,0.46656022707113715
3_mel_sim,1_all_5_species,1_all_5,381,0.6758914316125598
3_mel_sim,1_all_5_species,2_the4,245,0.43462834841227604
3_mel_sim,1_all_5_species,3_mel_sim,356,0.6315416001419194
3_mel_sim,1_all_5_species,3_yak_san,9,0.015965939329430547
3_mel_sim,1_all_5_species,4_mel_only,220,0.3902785169416356
3_mel_sim,1_all_5_species,4_san_only,45,0.07982969664715274
3_mel_sim,1_all_5_species,4_sim_only,124,0.21997516409437645
3_mel_sim,1_all_5_species,4_yak_only,14,0.02483590562355863
3_mel_sim,1_all_5_species,4_zser_only,52,0.09224764945893206
3_mel_sim,1_all_5_species,6_other,453,0.8036189462480043
3_mel_sim,1_all_5_species,7_not_expressed,1504,2.668085861273727
3_mel_sim,2_the4,2_the4,28,0.04967181124711726
3_mel_sim,2_the4,3_mel_sim,68,0.12063154160014192
3_mel_sim,2_the4,3_yak_san,4,0.007095973035302466
3_mel_sim,2_the4,4_mel_only,29,0.05144580450594288
