genesetid,dmel_num_geneID,dmel_num_analyzable,dmel_num_M,dmel_num_F,dmel_num_B,dmel_num_B_multi,dmel_num_unbiased,dsim_num_geneID,dsim_num_analyzable,dsim_num_M,dsim_num_F,dsim_num_B,dsim_num_B_multi,dsim_num_unbiased,dser_num_geneID,dser_num_analyzable,dser_num_M,dser_num_F,dser_num_B,dser_num_B_multi,dser_num_unbiased
0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0
4,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1
7,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
8,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0
9,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1
10,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0
11,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0
12,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0
13,4,4,1,0,0,0,3,4,4,4,0,0,0,0,7,4,2,0,0,0,2
14,3,3,0,2,0,0,1,2,2,0,1,0,0,1,2,2,0,0,0,0,2
15,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1
16,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1
17,1,1,0,0,1,1,0,2,2,0,2,0,0,0,2,2,2,0,0,0,0
18,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1
19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
20,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
21,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0
22,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1
23,3845,1490,201,171,32,32,1086,3673,1500,220,148,42,42,1090,2946,1197,82,105,35,35,975
24,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1
25,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1
26,2,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0
27,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
30,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0
31,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0
32,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0
33,1,1,1,0,0,0,0,1,1,0,1,0,0,0,6,4,0,1,0,0,3
34,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1
35,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0
36,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0
37,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
38,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0
39,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0
40,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1,1,0,1,0,0,0,2,2,0,1,0,0,1,1,1,0,1,0,0,0
42,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
43,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
44,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1
45,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0
46,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0
47,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0
48,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1
49,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
50,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0
51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
52,1,1,0,0,0,0,1,2,1,0,1,0,0,0,1,1,0,1,0,0,0
53,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1
54,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
55,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0
56,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
57,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1
58,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0
59,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1
60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
63,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0
64,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1
65,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
66,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1
67,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0
68,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0
69,2,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
70,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0
71,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0
72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
73,2,2,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0
74,2,2,1,0,0,0,1,2,2,1,0,0,0,1,3,3,0,0,0,0,3
75,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1
76,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0
77,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1
78,5,2,0,0,0,0,2,5,1,1,0,0,0,0,8,1,0,0,0,0,1
79,4,2,0,0,0,0,2,3,3,0,0,0,0,3,2,2,0,0,0,0,2
80,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0
81,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1
82,1,1,0,0,0,0,1,1,1,0,0,0,0,1,2,1,0,0,0,0,1
83,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0
84,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0
85,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0
86,1,1,0,0,0,0,1,2,2,0,0,0,0,2,2,2,0,0,0,0,2
87,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0
88,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1
89,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1
90,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0
91,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
92,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
93,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1
94,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1
95,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0
96,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0
97,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
98,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1
99,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
102,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2,2,0,1,1,1,0,1,1,0,0,1,1,0,2,2,2,0,0,0,0
106,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
107,3,3,0,0,0,0,3,2,2,1,0,0,0,1,7,6,2,0,0,0,4
108,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0
109,2,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1
110,1,1,0,0,0,0,1,2,1,0,0,0,0,1,2,1,0,0,0,0,1
111,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0
112,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
113,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
114,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0
115,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1
116,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1
117,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1
118,1,1,0,0,0,0,1,1,1,1,0,0,0,0,2,2,0,0,0,0,2
119,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0
120,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0
121,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1
122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
124,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
125,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1
126,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
127,2,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
128,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1
129,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
130,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0
131,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
132,2,2,2,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0
133,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0
134,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
135,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1
136,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0
137,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1
138,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
139,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
140,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0
141,3,1,0,0,0,0,1,3,1,0,0,0,0,1,2,1,0,0,0,0,1
142,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
143,1,1,0,0,0,0,1,1,1,0,0,0,0,1,2,2,0,0,0,0,2
144,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
145,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0
146,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1
147,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0
148,1,1,0,0,0,0,1,1,1,0,0,0,0,1,2,2,0,0,0,0,2
149,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
150,1,1,1,0,0,0,0,2,2,0,0,0,0,2,1,1,0,0,0,0,1
151,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1
152,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
153,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
154,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0
155,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0
156,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
157,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1
158,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0
159,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1
160,1,1,0,0,0,0,1,2,2,0,0,0,0,2,1,1,1,0,0,0,0
161,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1
162,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
163,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
164,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1
165,2,2,0,1,0,0,1,2,2,0,1,0,0,1,2,2,0,0,0,0,2
166,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0
167,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1
168,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
169,2,2,0,0,0,0,2,2,2,0,2,0,0,0,4,1,0,0,0,0,1
170,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
171,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0
172,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
173,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
174,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
175,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
176,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1
177,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0
178,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1
179,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
180,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
181,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
182,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
183,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
184,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1
185,2,2,1,0,0,0,1,2,2,0,0,0,0,2,2,2,1,0,0,0,1
186,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1
187,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0
188,1,1,0,0,0,0,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1
189,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1
190,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0
191,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0
192,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
193,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1
194,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0
195,1,1,0,0,0,0,1,1,1,0,0,0,0,1,2,2,0,0,0,0,2
196,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1
197,2,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
199,2,2,1,0,0,0,1,1,1,0,1,0,0,0,2,1,0,1,0,0,0
200,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
201,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0
202,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1
203,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
204,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1
205,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
206,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1
207,2,2,0,1,0,0,1,2,2,0,1,0,0,1,2,2,2,0,0,0,0
208,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0
209,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
210,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1
211,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0
212,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
213,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1
214,1,1,0,1,0,0,0,1,1,0,0,1,1,0,3,3,0,0,0,0,3
215,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
216,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0
217,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0
218,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0
219,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0
220,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1
221,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1
222,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1
223,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0
224,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1
225,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1
226,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0
227,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0
228,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
229,2,2,1,0,0,0,1,1,1,0,0,1,1,0,2,2,0,1,0,0,1
230,2,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0
231,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1
232,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
233,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
234,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
235,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
236,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
