dir_fq,fq,newFQname,FC,runDate,techrep,bcnum,sample,barcode,new_bcnum
minion_11aug2023_TR1/SQK-PCB109_barcode01.fastq,SQK-PCB109_barcode01.fastq,minion_11aug2023_TR1_SQK-PCB109_barcode01.fastq,minion,11aug2023,TR1,BC01,mel_F_rep1,BC01,01
minion_11aug2023_TR1/SQK-PCB109_barcode02.fastq,SQK-PCB109_barcode02.fastq,minion_11aug2023_TR1_SQK-PCB109_barcode02.fastq,minion,11aug2023,TR1,BC02,mel_M_rep1,BC02,02
minion_11aug2023_TR1/SQK-PCB109_barcode03.fastq,SQK-PCB109_barcode03.fastq,minion_11aug2023_TR1_SQK-PCB109_barcode03.fastq,minion,11aug2023,TR1,BC03,mel_F_rep2,BC03,03
minion_11aug2023_TR1/SQK-PCB109_barcode04.fastq,SQK-PCB109_barcode04.fastq,minion_11aug2023_TR1_SQK-PCB109_barcode04.fastq,minion,11aug2023,TR1,BC04,mel_M_rep2,BC04,04
minion_11aug2023_TR1/SQK-PCB109_barcode05.fastq,SQK-PCB109_barcode05.fastq,minion_11aug2023_TR1_SQK-PCB109_barcode05.fastq,minion,11aug2023,TR1,BC05,mel_F_rep3,BC05,05
minion_11aug2023_TR1/SQK-PCB109_barcode06.fastq,SQK-PCB109_barcode06.fastq,minion_11aug2023_TR1_SQK-PCB109_barcode06.fastq,minion,11aug2023,TR1,BC06,mel_M_rep3,BC06,06
minion_11aug2023_TR1/SQK-PCB109_barcode07.fastq,SQK-PCB109_barcode07.fastq,minion_11aug2023_TR1_SQK-PCB109_barcode07.fastq,minion,11aug2023,TR1,BC07,sim_F_rep1,BC07,07
minion_11aug2023_TR1/SQK-PCB109_barcode08.fastq,SQK-PCB109_barcode08.fastq,minion_11aug2023_TR1_SQK-PCB109_barcode08.fastq,minion,11aug2023,TR1,BC08,sim_M_rep1,BC08,08
minion_11aug2023_TR1/SQK-PCB109_barcode09.fastq,SQK-PCB109_barcode09.fastq,minion_11aug2023_TR1_SQK-PCB109_barcode09.fastq,minion,11aug2023,TR1,BC09,sim_F_rep2,BC09,09
minion_11aug2023_TR1/SQK-PCB109_barcode10.fastq,SQK-PCB109_barcode10.fastq,minion_11aug2023_TR1_SQK-PCB109_barcode10.fastq,minion,11aug2023,TR1,BC10,sim_M_rep2,BC10,10
minion_11aug2023_TR1/SQK-PCB109_barcode11.fastq,SQK-PCB109_barcode11.fastq,minion_11aug2023_TR1_SQK-PCB109_barcode11.fastq,minion,11aug2023,TR1,BC11,sim_F_rep3,BC11,11
minion_11aug2023_TR1/SQK-PCB109_barcode12.fastq,SQK-PCB109_barcode12.fastq,minion_11aug2023_TR1_SQK-PCB109_barcode12.fastq,minion,11aug2023,TR1,BC12,sim_M_rep3,BC12,12
