sample,barcode,Bcnum,TechRep,FC,runDate,dir
mel_F_rep1,BC01,01,1,minion,11aug2023,original_data/20230808_1917_MC-112299_FAR71430_81c783a4/fastq_pass
mel_M_rep1,BC02,02,1,minion,11aug2023,original_data/20230808_1917_MC-112299_FAR71430_81c783a4/fastq_pass
mel_F_rep2,BC03,03,1,minion,11aug2023,original_data/20230808_1917_MC-112299_FAR71430_81c783a4/fastq_pass
mel_M_rep2,BC04,04,1,minion,11aug2023,original_data/20230808_1917_MC-112299_FAR71430_81c783a4/fastq_pass
mel_F_rep3,BC05,05,1,minion,11aug2023,original_data/20230808_1917_MC-112299_FAR71430_81c783a4/fastq_pass
mel_M_rep3,BC06,06,1,minion,11aug2023,original_data/20230808_1917_MC-112299_FAR71430_81c783a4/fastq_pass
sim_F_rep1,BC07,07,1,minion,11aug2023,original_data/20230808_1917_MC-112299_FAR71430_81c783a4/fastq_pass
sim_M_rep1,BC08,08,1,minion,11aug2023,original_data/20230808_1917_MC-112299_FAR71430_81c783a4/fastq_pass
sim_F_rep2,BC09,09,1,minion,11aug2023,original_data/20230808_1917_MC-112299_FAR71430_81c783a4/fastq_pass
sim_M_rep2,BC10,10,1,minion,11aug2023,original_data/20230808_1917_MC-112299_FAR71430_81c783a4/fastq_pass
sim_F_rep3,BC11,11,1,minion,11aug2023,original_data/20230808_1917_MC-112299_FAR71430_81c783a4/fastq_pass
sim_M_rep3,BC12,12,1,minion,11aug2023,original_data/20230808_1917_MC-112299_FAR71430_81c783a4/fastq_pass
mel_F_rep4,BC01,01,1,minion,13nov2023,original_data/20231109_1832_MC-112299_FAR79208_90ce78b2/fastq_pass
mel_M_rep4,BC02,02,1,minion,13nov2023,original_data/20231109_1832_MC-112299_FAR79208_90ce78b2/fastq_pass
mel_F_rep5,BC03,03,1,minion,13nov2023,original_data/20231109_1832_MC-112299_FAR79208_90ce78b2/fastq_pass
mel_M_rep5,BC04,04,1,minion,13nov2023,original_data/20231109_1832_MC-112299_FAR79208_90ce78b2/fastq_pass
mel_F_rep6,BC05,05,1,minion,13nov2023,original_data/20231109_1832_MC-112299_FAR79208_90ce78b2/fastq_pass
mel_M_rep6,BC06,06,1,minion,13nov2023,original_data/20231109_1832_MC-112299_FAR79208_90ce78b2/fastq_pass
sim_F_rep4,BC07,07,1,minion,13nov2023,original_data/20231109_1832_MC-112299_FAR79208_90ce78b2/fastq_pass
sim_M_rep4,BC08,08,1,minion,13nov2023,original_data/20231109_1832_MC-112299_FAR79208_90ce78b2/fastq_pass
sim_F_rep5,BC09,09,1,minion,13nov2023,original_data/20231109_1832_MC-112299_FAR79208_90ce78b2/fastq_pass
sim_M_rep5,BC10,10,1,minion,13nov2023,original_data/20231109_1832_MC-112299_FAR79208_90ce78b2/fastq_pass
sim_F_rep6,BC11,11,1,minion,13nov2023,original_data/20231109_1832_MC-112299_FAR79208_90ce78b2/fastq_pass
sim_M_rep6,BC12,12,1,minion,13nov2023,original_data/20231109_1832_MC-112299_FAR79208_90ce78b2/fastq_pass
