dir_fq,fq,newFQname,FC,runDate,techrep,bcnum,sample
./minion_10july2023_TR1/SQK-PCB109_barcode01.fastq,SQK-PCB109_barcode01.fastq,minion_10july2023_TR1_SQK-PCB109_barcode01.fastq,minion,10july2023,TR1,BC01,dser_F_rep1
./minion_10july2023_TR1/SQK-PCB109_barcode02.fastq,SQK-PCB109_barcode02.fastq,minion_10july2023_TR1_SQK-PCB109_barcode02.fastq,minion,10july2023,TR1,BC02,dser_M_rep1
./minion_10july2023_TR1/SQK-PCB109_barcode03.fastq,SQK-PCB109_barcode03.fastq,minion_10july2023_TR1_SQK-PCB109_barcode03.fastq,minion,10july2023,TR1,BC03,dser_F_rep2
./minion_10july2023_TR1/SQK-PCB109_barcode04.fastq,SQK-PCB109_barcode04.fastq,minion_10july2023_TR1_SQK-PCB109_barcode04.fastq,minion,10july2023,TR1,BC04,dser_M_rep2
./minion_10july2023_TR1/SQK-PCB109_barcode05.fastq,SQK-PCB109_barcode05.fastq,minion_10july2023_TR1_SQK-PCB109_barcode05.fastq,minion,10july2023,TR1,BC05,dser_F_rep3
./minion_10july2023_TR1/SQK-PCB109_barcode06.fastq,SQK-PCB109_barcode06.fastq,minion_10july2023_TR1_SQK-PCB109_barcode06.fastq,minion,10july2023,TR1,BC06,dser_M_rep3
./promethion_11aug2023_TR2/SQK-PCB109_barcode01.fastq,SQK-PCB109_barcode01.fastq,promethion_11aug2023_TR2_SQK-PCB109_barcode01.fastq,promethion,11aug2023,TR2,BC01,dser_F_rep1
./promethion_11aug2023_TR2/SQK-PCB109_barcode02.fastq,SQK-PCB109_barcode02.fastq,promethion_11aug2023_TR2_SQK-PCB109_barcode02.fastq,promethion,11aug2023,TR2,BC02,dser_M_rep1
./promethion_11aug2023_TR2/SQK-PCB109_barcode03.fastq,SQK-PCB109_barcode03.fastq,promethion_11aug2023_TR2_SQK-PCB109_barcode03.fastq,promethion,11aug2023,TR2,BC03,dser_F_rep2
./promethion_11aug2023_TR2/SQK-PCB109_barcode04.fastq,SQK-PCB109_barcode04.fastq,promethion_11aug2023_TR2_SQK-PCB109_barcode04.fastq,promethion,11aug2023,TR2,BC04,dser_M_rep2
