B52,B52_A B52_B
CG10002,CG10002
CG10005,CG10005
CG10006,CG10006
CG10007,CG10007
CG10009,CG10009
CG10011,CG10011
CG10018,CG10018
CG10019,CG10019
CG10021,CG10021
CG10023,CG10023
CG10026,CG10026
CG10031,CG10031
CG10036,CG10036_A CG10036_B
CG10038,CG10038
CG1004,CG1004
CG10042,CG10042
CG10043,CG10043_A CG10043_B
CG10045,CG10045
CG10047,CG10047
CG10052,CG10052
CG10053,CG10053
CG10055,CG10055
CG10061,CG10061
CG10064,CG10064
CG10067,CG10067
CG10068,CG10068
CG1007,CG1007
CG10072,CG10072
CG10075,CG10075
CG10076,CG10076_A CG10076_B
CG10077,CG10077_A CG10077_B
CG10078,CG10078
CG10083,CG10083
CG10084,CG10084
CG10089,CG10089
CG1009,CG1009
CG10090,CG10090
CG10091,CG10091
CG10092,CG10092
CG10095,CG10095
CG10096,CG10096
CG10098,CG10098
CG10103,CG10103
CG10105,CG10105
CG10106,CG10106
CG10107,CG10107
CG10109,CG10109
CG10110,CG10110
CG10112,CG10112
CG10117,CG10117
CG10118,CG10118
CG10119,CG10119
CG10120,CG10120
CG10121,CG10121
CG10123,CG10123
CG10126,CG10126
CG10130,CG10130
CG10132,CG10132
CG10133,CG10133
CG10134,CG10134
CG10137,CG10137
CG10139,CG10139
CG10142,CG10142
CG10145,CG10145
CG10147,CG10147
CG10149,CG10149
CG10151,CG10151_A CG10151_B
CG10153,CG10153
CG10155,CG10155
CG10159,CG10159_A CG10159_B
CG10161,CG10161
CG10165,CG10165
CG10166,CG10166
CG1017,CG1017
CG10171,CG10171
CG10174,CG10174
CG10175,CG10175
CG10178,CG10178
CG10186,CG10186_A CG10186_B
CG10188,CG10188
CG10189,CG10189
CG1019,CG1019
CG10192,CG10192
CG10194,CG10194
CG10195,CG10195
CG10198,CG10198
CG10200,CG10200
CG10203,CG10203
CG10205,CG10205
CG10206,CG10206
CG10208,CG10208
CG10209,CG10209
CG1021,CG1021
CG10210,CG10210
CG10211,CG10211
CG10212,CG10212
CG10217,CG10217
CG10219,CG10219
CG10221,CG10221
CG10222,CG10222
CG10223,CG10223
CG10225,CG10225
CG10226,CG10226
CG10228,CG10228
CG10229,CG10229
CG10230,CG10230
CG10232,CG10232
CG10233,CG10233
CG10234,CG10234
CG10236,CG10236
CG10237,CG10237
CG1024,CG1024
CG10240,CG10240
CG10242,CG10242
CG10243,CG10243
CG10244,CG10244
CG10245,CG10245
CG10246,CG10246
CG10247,CG10247
CG10251,CG10251
CG10254,CG10254
CG10255,CG10255
CG10257,CG10257
CG10267,CG10267
CG10268,CG10268
CG10270,CG10270
CG10274,CG10274
CG10275,CG10275
CG10277,CG10277
CG10281,CG10281
CG10283,CG10283
CG10286,CG10286
CG10287,CG10287_A CG10287_B
CG10289,CG10289
CG10293,CG10293_A CG10293_B
CG10295,CG10295_A CG10295_B
CG1030,CG1030
CG10302,CG10302
CG10303,CG10303
CG10305,CG10305
CG10306,CG10306
CG10309,CG10309
CG1031,CG1031
CG10311,CG10311
CG10315,CG10315
CG10318,CG10318_A CG10318_B
CG10320,CG10320
CG10324,CG10324
CG10326,CG10326
CG10327,CG10327
CG10328,CG10328
CG10333,CG10333
CG10334,CG10334
CG10335,CG10335
CG10337,CG10337
CG10338,CG10338
CG10339,CG10339
CG10341,CG10341
CG10342,CG10342
CG10343,CG10343
CG10344,CG10344
CG10345,CG10345
CG10347,CG10347
CG10348,CG10348
CG10352,CG10352
CG10353,CG10353
CG10359,CG10359
CG10360,CG10360
CG10363,CG10363
CG10365,CG10365
CG10367,CG10367
CG10369,CG10369_A CG10369_B
CG10370,CG10370
CG10371,CG10371
CG10372,CG10372
CG10373,CG10373
CG10374,CG10374
CG10375,CG10375
CG10376,CG10376
CG10377,CG10377
CG10382,CG10382
CG10383,CG10383
CG10385,CG10385
CG10392,CG10392
CG10395,CG10395
CG10399,CG10399
CG10406,CG10406
CG10407,CG10407
CG1041,CG1041
CG10415,CG10415
CG10417,CG10417
CG10418,CG10418
CG10419,CG10419
CG10423,CG10423
CG10424,CG10424
CG10425,CG10425
CG10428,CG10428
CG10433,CG10433
CG10435,CG10435
CG1044,CG1044
CG10440,CG10440
CG10443,CG10443
CG10444,CG10444
CG10446,CG10446
CG10447,CG10447
CG10449,CG10449
CG10462,CG10462
CG10463,CG10463
CG10465,CG10465
CG10466,CG10466
CG10473,CG10473
CG10479,CG10479
CG10483,CG10483
CG10491,CG10491
CG10492,CG10492
CG10495,CG10495
CG10497,CG10497_A CG10497_B
CG10498,CG10498
CG10501,CG10501
CG10504,CG10504
CG10506,CG10506
CG10508,CG10508_A CG10508_B
CG10512,CG10512
CG10513,CG10513
CG10514,CG10514
CG10516,CG10516
CG10520,CG10520
CG10521,CG10521
CG10523,CG10523
CG10528,CG10528
CG10529,CG10529
CG10534,CG10534
CG10535,CG10535
CG10536,CG10536
CG10537,CG10537
CG10538,CG10538
CG10542,CG10542
CG10543,CG10543
CG10545,CG10545
CG10550,CG10550
CG1056,CG1056
CG10560,CG10560
CG10561,CG10561
CG10562,CG10562
CG10564,CG10564
CG10565,CG10565
CG10566,CG10566
CG1057,CG1057
CG10570,CG10570
CG10571,CG10571
CG10573,CG10573
CG10574,CG10574
CG10576,CG10576
CG10578,CG10578
CG10579,CG10579
CG10580,CG10580
CG10581,CG10581
CG10582,CG10582
CG10583,CG10583
CG10584,CG10584
CG10585,CG10585
CG1059,CG1059
CG10590,CG10590
CG10593,CG10593
CG10596,CG10596
CG10597,CG10597
CG10600,CG10600
CG10602,CG10602
CG10603,CG10603
CG10610,CG10610
CG10612,CG10612
CG10617,CG10617
CG10618,CG10618_A CG10618_B
CG10619,CG10619_A CG10619_B
CG10621,CG10621
CG10623,CG10623
CG10626,CG10626
CG10627,CG10627
CG10628,CG10628
CG1063,CG1063
CG10631,CG10631
CG10632,CG10632
CG10633,CG10633
CG10635,CG10635
CG10637,CG10637_A CG10637_B
CG10639,CG10639
CG1064,CG1064
CG10640,CG10640_A CG10640_B
CG10641,CG10641
CG10646,CG10646
CG1065,CG1065
CG10652,CG10652
CG10653,CG10653
CG10655,CG10655
CG10657,CG10657
CG10663,CG10663
CG10664,CG10664
CG10669,CG10669
CG10672,CG10672
CG10675,CG10675
CG10680,CG10680
CG10682,CG10682
CG10685,CG10685
CG10686,CG10686
CG10687,CG10687
CG10691,CG10691
CG10693,CG10693
CG10695,CG10695
CG10697,CG10697
CG10699,CG10699
CG1070,CG1070
CG10701,CG10701
CG10702,CG10702
CG10703,CG10703
CG10704,CG10704
CG10706,CG10706
CG1071,CG1071
CG10711,CG10711
CG10712,CG10712
CG10713,CG10713
CG10719,CG10719
CG10723,CG10723
CG10724,CG10724
CG10732,CG10732
CG10737,CG10737
CG10739,CG10739
CG1074,CG1074
CG10741,CG10741
CG10742,CG10742
CG10743,CG10743
CG10747,CG10747
CG10751,CG10751
CG10752,CG10752
CG10754,CG10754
CG10756,CG10756
CG1076,CG1076
CG10772,CG10772
CG10776,CG10776
CG10777,CG10777
CG10778,CG10778
CG1078,CG1078
CG10789,CG10789
CG10793,CG10793
CG10794,CG10794
CG10795,CG10795
CG10798,CG10798
