T1D_gene,HGNC_Symbol,Ensembl_ID,Entrez_ID
0,AAMP,ENSG00000127837,14
0,AARS2,ENSG00000124608,57505
0,ABCB10P3,ENSG00000261524,
0,ABCB10P4,ENSG00000260053,
0,ABCB9,ENSG00000150967,23457
1,ABCF1,ENSG00000204574,23
1,ABHD16A,ENSG00000204427,7920
0,ABHD6,ENSG00000163686,57406
0,AC000111.3,ENSG00000232661,
0,AC000111.4,ENSG00000237974,
0,AC000111.5,ENSG00000234001,
0,AC002310.10,ENSG00000260494,
0,AC002310.12,ENSG00000235560,
0,AC002310.13,ENSG00000260869,
0,AC002310.17,ENSG00000261588,
0,AC002310.7,ENSG00000239791,
1,AC002395.1,ENSG00000266269,
0,AC002465.2,ENSG00000238202,
1,AC002979.1,ENSG00000221386,
1,AC003029.1,ENSG00000248594,
0,AC003045.1,ENSG00000214684,
0,AC003104.1,ENSG00000236194,
1,AC003681.1,ENSG00000221736,
0,AC004041.2,ENSG00000223442,
0,AC004066.2,ENSG00000216425,
0,AC004066.3,ENSG00000250522,
0,AC004069.1,ENSG00000251473,
0,AC004069.2,ENSG00000251259,
1,AC004079.1,ENSG00000266055,
0,AC004237.1,ENSG00000230612,
0,AC004769.1,ENSG00000263954,
0,AC004824.2,ENSG00000269468,
1,AC004920.2,ENSG00000228085,
1,AC004920.3,ENSG00000236046,
0,AC005037.1,ENSG00000224346,
0,AC005037.2,ENSG00000221530,
0,AC005037.3,ENSG00000183308,
0,AC005037.4,ENSG00000226658,
0,AC005037.6,ENSG00000235318,
1,AC005288.1,ENSG00000265904,
0,AC005355.1,ENSG00000250994,
0,AC005549.2,ENSG00000265501,
0,AC005549.3,ENSG00000268024,
0,AC005740.4,ENSG00000250347,
0,AC005741.2,ENSG00000249418,
0,AC006028.11,ENSG00000231357,
0,AC006326.3,ENSG00000230785,
0,AC006326.5,ENSG00000230605,
1,AC006432.1,ENSG00000266633,
0,AC007163.10,ENSG00000224590,
0,AC007163.11,ENSG00000234731,
0,AC007163.6,ENSG00000230408,
0,AC007163.8,ENSG00000234842,
0,AC007163.9,ENSG00000227736,
0,AC007192.6,ENSG00000269145,
0,AC007193.10,ENSG00000269124,
0,AC007193.8,ENSG00000269151,
0,AC007193.9,ENSG00000268810,
0,AC007229.3,ENSG00000267544,
0,AC007248.6,ENSG00000205716,
0,AC007248.7,ENSG00000236785,
0,AC007256.5,ENSG00000213090,
0,AC007272.1,ENSG00000237078,
0,AC007272.3,ENSG00000224672,
0,AC007278.2,ENSG00000236525,
0,AC007278.3,ENSG00000234389,
0,AC007282.6,ENSG00000224299,
0,AC007283.4,ENSG00000235579,
0,AC007283.5,ENSG00000234431,
0,AC007318.5,ENSG00000172974,
0,AC007566.10,ENSG00000244055,
1,AC007750.5,ENSG00000236841,
0,AC008697.1,ENSG00000249738,
0,AC008703.1,ENSG00000253298,
