sampleID,dir,techRep
40359602-CD19,1910UNHS-0108,1
40359602-CD19,2005UAHS-0081,2
40712003-CD4,1910UNHS-0108,1
40712003-CD4,2005UAHS-0081,2
40712003-CD8,1910UNHS-0108,1
40712003-CD8,2005UAHS-0081,2
40773605-CD19,1910UNHS-0108,1
40773605-CD19,2005UAHS-0081,2
40773605-CD8,1910UNHS-0108,1
40773605-CD8,2005UAHS-0081,2
41193105-CD8,1910UNHS-0108,1
41193105-CD8,2005UAHS-0081,2
41804901-CD8,1910UNHS-0108,1
41804901-CD8,2005UAHS-0081,2
42954005-CD4,1910UNHS-0108,1
42954005-CD4,2005UAHS-0081,2
43649201-CD4,1910UNHS-0108,1
43649201-CD4,2005UAHS-0081,2
44305301-CD19,1910UNHS-0108,1
44305301-CD19,2005UAHS-0081,2
47315101-CD4,1910UNHS-0108,1
47315101-CD4,2005UAHS-0081,2
47354901-CD19,1910UNHS-0108,1
47354901-CD19,2005UAHS-0081,2
