dir,sampleID,techRep
1910UNHS-0108,40010403-CD4,1
2005UAHS-0081,40010403-CD4,2
1910UNHS-0108,40045306-CD4,1
2005UAHS-0081,40045306-CD4,2
1910UNHS-0108,40045306-CD8,1
2005UAHS-0081,40045306-CD8,2
1910UNHS-0108,40190802-CD19,1
2005UAHS-0081,40190802-CD19,2
1910UNHS-0108,40190802-CD4,1
2005UAHS-0081,40190802-CD4,2
1910UNHS-0108,40190802-CD8,1
2005UAHS-0081,40190802-CD8,2
1910UNHS-0108,40359602-CD19,1
2005UAHS-0081,40359602-CD19,2
1910UNHS-0108,40359602-CD4,1
2005UAHS-0081,40359602-CD4,2
1910UNHS-0108,40359602-CD8,1
2005UAHS-0081,40359602-CD8,2
1910UNHS-0108,40369002-CD19,1
2005UAHS-0081,40369002-CD19,2
1910UNHS-0108,40369002-CD4,1
2005UAHS-0081,40369002-CD4,2
1910UNHS-0108,40369002-CD8,1
2005UAHS-0081,40369002-CD8,2
1910UNHS-0108,40453805-CD4,1
2005UAHS-0081,40453805-CD4,2
1910UNHS-0108,40453805-CD8,1
2005UAHS-0081,40453805-CD8,2
1910UNHS-0108,40712003-CD19,1
2005UAHS-0081,40712003-CD19,2
1910UNHS-0108,40712003-CD4,1
2005UAHS-0081,40712003-CD4,2
1910UNHS-0108,40712003-CD8,1
2005UAHS-0081,40712003-CD8,2
1910UNHS-0108,40721302-CD4,1
2005UAHS-0081,40721302-CD4,2
1910UNHS-0108,40721302-CD8,1
2005UAHS-0081,40721302-CD8,2
1910UNHS-0108,40773605-CD19,1
2005UAHS-0081,40773605-CD19,2
1910UNHS-0108,40773605-CD4,1
2005UAHS-0081,40773605-CD4,2
1910UNHS-0108,40773605-CD8,1
2005UAHS-0081,40773605-CD8,2
1910UNHS-0108,40876502-CD4,1
2005UAHS-0081,40876502-CD4,2
1910UNHS-0108,40876502-CD8,1
2005UAHS-0081,40876502-CD8,2
1910UNHS-0108,40901902-CD19,1
2005UAHS-0081,40901902-CD19,2
1910UNHS-0108,40901902-CD4,1
2005UAHS-0081,40901902-CD4,2
1910UNHS-0108,40901902-CD8,1
2005UAHS-0081,40901902-CD8,2
1910UNHS-0108,40914201-CD19,1
2005UAHS-0081,40914201-CD19,2
1910UNHS-0108,40914201-CD4,1
2005UAHS-0081,40914201-CD4,2
1910UNHS-0108,40914201-CD8,1
2005UAHS-0081,40914201-CD8,2
1910UNHS-0108,40969901-CD19,1
2005UAHS-0081,40969901-CD19,2
1910UNHS-0108,40969901-CD4,1
2005UAHS-0081,40969901-CD4,2
1910UNHS-0108,41007701-CD19,1
2005UAHS-0081,41007701-CD19,2
1910UNHS-0108,41007701-CD4,1
2005UAHS-0081,41007701-CD4,2
1910UNHS-0108,41007701-CD8,1
2005UAHS-0081,41007701-CD8,2
1910UNHS-0108,41037001-CD19,1
2005UAHS-0081,41037001-CD19,2
1910UNHS-0108,41037001-CD4,1
2005UAHS-0081,41037001-CD4,2
1910UNHS-0108,41037001-CD8,1
2005UAHS-0081,41037001-CD8,2
1910UNHS-0108,41193105-CD19,1
2005UAHS-0081,41193105-CD19,2
1910UNHS-0108,41193105-CD4,1
2005UAHS-0081,41193105-CD4,2
1910UNHS-0108,41193105-CD8,1
2005UAHS-0081,41193105-CD8,2
1910UNHS-0108,41219003-CD4,1
2005UAHS-0081,41219003-CD4,2
1910UNHS-0108,41219003-CD8,1
2005UAHS-0081,41219003-CD8,2
1910UNHS-0108,41393801-CD19,1
2005UAHS-0081,41393801-CD19,2
1910UNHS-0108,41393801-CD4,1
2005UAHS-0081,41393801-CD4,2
1910UNHS-0108,41393801-CD8,1
2005UAHS-0081,41393801-CD8,2
1910UNHS-0108,41399104-CD19,1
2005UAHS-0081,41399104-CD19,2
1910UNHS-0108,41399104-CD4,1
2005UAHS-0081,41399104-CD4,2
1910UNHS-0108,41399104-CD8,1
2005UAHS-0081,41399104-CD8,2
1910UNHS-0108,41515301-CD19,1
2005UAHS-0081,41515301-CD19,2
1910UNHS-0108,41515301-CD4,1
2005UAHS-0081,41515301-CD4,2
1910UNHS-0108,41515301-CD8,1
2005UAHS-0081,41515301-CD8,2
1910UNHS-0108,41530903-CD19,1
2005UAHS-0081,41530903-CD19,2
1910UNHS-0108,41530903-CD4,1
2005UAHS-0081,41530903-CD4,2
1910UNHS-0108,41530903-CD8,1
2005UAHS-0081,41530903-CD8,2
