gene_id,cellType,pval_het_overall,pval_mod_overall,flag_sig_het_overall,flag_sig_mod_overall,pval_het_exon,pval_mod_exon,flag_sig_het_exon,flag_sig_mod_exon,pval_het_intron,pval_mod_intron,flag_sig_het_intron,flag_sig_mod_intron,count_total_frags,count_exon_frags,count_intron_frags,flag_t1d_gene,flag_immune_gene,pval_het_sex_diff,flag_sig_het_sex_diff,flag_sig_heterogeneity_F,flag_sig_heterogeneity_M,pval_heterogeneity_F,pval_heterogeneity_M
ENSG00000003056,CD4,0.0001,0.6344,1.0,0.0,0.0004,0.4165,1.0,0.0,0.0609,0.0011,0.0,1.0,18.0,15.0,3.0,1.0,0.0,0.0001,1.0,1.0,0.0,0.0001,0.1897
ENSG00000006607,CD4,0.0001,0.0001,1.0,1.0,0.0001,0.0001,1.0,1.0,,,,,13.0,13.0,0.0,1.0,0.0,0.0001,1.0,1.0,1.0,0.0001,0.0181
ENSG00000013725,CD4,0.0001,0.0001,1.0,1.0,0.0001,0.0001,1.0,1.0,0.9905,0.7145,0.0,0.0,37.0,34.0,3.0,1.0,1.0,0.0001,1.0,1.0,1.0,0.0001,0.0001
ENSG00000023516,CD4,0.009,0.0001,1.0,1.0,0.009,0.0001,1.0,1.0,,,,,13.0,13.0,0.0,1.0,1.0,0.0001,1.0,1.0,0.0,0.016,0.0978
ENSG00000038532,CD4,0.0001,0.0001,1.0,1.0,0.0001,0.0001,1.0,1.0,,,,,14.0,14.0,0.0,1.0,1.0,0.0005,1.0,1.0,1.0,0.0001,0.0172
ENSG00000065675,CD4,0.8655,0.0012,0.0,1.0,0.8655,0.0012,0.0,1.0,,,,,14.0,14.0,0.0,1.0,1.0,0.0998,0.0,0.0,0.0,0.6733,0.842
ENSG00000072110,CD4,0.5538,0.923,0.0,0.0,0.437,0.5913,0.0,0.0,0.9962,0.1688,0.0,0.0,28.0,25.0,3.0,1.0,0.0,0.0107,1.0,0.0,0.0,0.0813,0.9796
ENSG00000073584,CD4,0.0001,0.7545,1.0,0.0,0.0001,0.6659,1.0,0.0,0.7702,0.0315,0.0,1.0,25.0,22.0,3.0,1.0,1.0,0.0001,1.0,1.0,1.0,0.0001,0.0001
ENSG00000079739,CD4,0.0001,0.3077,1.0,0.0,0.0001,0.3077,1.0,0.0,,,,,7.0,7.0,0.0,1.0,0.0,0.0111,1.0,1.0,1.0,0.0002,0.0002
ENSG00000090104,CD4,0.0002,0.0564,1.0,0.0,0.0003,0.2238,1.0,0.0,1.0,0.013,0.0,1.0,10.0,9.0,1.0,1.0,1.0,0.0001,1.0,1.0,0.0,0.0001,0.9957
ENSG00000090372,CD4,0.0001,0.0001,1.0,1.0,0.0001,0.0001,1.0,1.0,1.0,0.0236,0.0,1.0,18.0,17.0,1.0,1.0,1.0,0.0001,1.0,1.0,0.0,0.0001,0.0861
ENSG00000100385,CD4,0.8742,0.0001,0.0,1.0,0.8742,0.0001,0.0,1.0,,,,,11.0,11.0,0.0,1.0,1.0,0.3402,0.0,0.0,0.0,0.7716,0.765
ENSG00000103811,CD4,0.9899,0.0001,0.0,1.0,0.9899,0.0001,0.0,1.0,,,,,7.0,7.0,0.0,1.0,1.0,0.4494,0.0,0.0,0.0,0.8157,0.9958
ENSG00000105287,CD4,0.0012,0.0001,1.0,1.0,0.0012,0.0001,1.0,1.0,,,,,17.0,17.0,0.0,1.0,1.0,0.0194,1.0,1.0,0.0,0.0026,0.0621
ENSG00000105397,CD4,0.0001,0.0001,1.0,1.0,0.0001,0.0001,1.0,1.0,1.0,0.0001,0.0,1.0,30.0,29.0,1.0,1.0,1.0,0.0001,1.0,1.0,1.0,0.0001,0.0001
ENSG00000109787,CD4,0.0001,0.4583,1.0,0.0,0.0001,0.4583,1.0,0.0,,,,,5.0,5.0,0.0,1.0,0.0,0.0001,1.0,1.0,0.0,0.0001,0.1274
ENSG00000110448,CD4,0.007,0.0001,1.0,1.0,0.007,0.0001,1.0,1.0,,,,,9.0,9.0,0.0,1.0,1.0,0.0001,1.0,1.0,0.0,0.0016,0.4139
ENSG00000110848,CD4,0.9944,0.0001,0.0,1.0,0.9944,0.0001,0.0,1.0,,,,,8.0,8.0,0.0,1.0,1.0,0.6083,0.0,0.0,0.0,0.9072,0.9852
ENSG00000112182,CD4,0.0001,0.3565,1.0,0.0,0.0001,0.3565,1.0,0.0,,,,,29.0,29.0,0.0,1.0,1.0,0.0001,1.0,1.0,0.0,0.0001,0.1986
ENSG00000112685,CD4,0.0001,0.6758,1.0,0.0,0.0001,0.3813,1.0,0.0,1.0,0.003,0.0,1.0,38.0,37.0,1.0,1.0,1.0,0.0001,1.0,1.0,1.0,0.0001,0.0001
