comparison,FEATURE_ID,dm11037_01h_num_reps,dm11255_01h_num_reps,counts_dm11037_01h_g1,counts_dm11037_01h_g2,counts_dm11037_01h_both,counts_dm11255_01h_g1,counts_dm11255_01h_g2,counts_dm11255_01h_both,prior_dm11037_01h_g1,prior_dm11037_01h_g2,prior_dm11255_01h_g1,prior_dm11255_01h_g2,H3_independence_Bayes_evidence,dm11037_01h_sampleprop,dm11037_01h_theta,dm11037_01h_q025,dm11037_01h_q975,dm11037_01h_Bayes_evidence,dm11037_01h_AI_decision,dm11255_01h_sampleprop,dm11255_01h_theta,dm11255_01h_q025,dm11255_01h_q975,dm11255_01h_Bayes_evidence,dm11255_01h_AI_decision,alpha1_postmean,alpha2_postmean,flaganalyze
dm11037_Low_vs_dm11255_Low_01h,FBgn0027560,3,3,30,70,1859,43,77,1730,0.0510464522715671,0.0510464522715671,0.0648648648648648,0.0648648648648648,0.8087,0.3,0.3969,0.2419,0.5798,0.2444,0,0.3583,0.4257,0.2681,0.6056,0.3902,0,1.2626,1.1861,1
dm11037_Low_vs_dm11255_Low_01h,FBgn0027561,3,3,28,49,104,37,54,101,0.42541436464088395,0.42541436464088395,0.4739583333333329,0.4739583333333329,0.7778,0.3636,0.4039,0.2866,0.5312,0.1358,0,0.4066,0.4287,0.3134,0.5551,0.25,0,1.2292,1.1663,1
dm11037_Low_vs_dm11255_Low_01h,FBgn0036173,3,3,45,32,103,101,1,89,0.427777777777778,0.427777777777778,0.534031413612565,0.534031413612565,0.0098,0.5844,0.5652,0.4239,0.6915,0.3253,0,0.9902,0.8539,0.71,0.9217,0.0018,1,0.8838,0.4108,1
dm11037_Low_vs_dm11255_Low_01h,FBgn0010435,3,3,232,261,241,218,200,254,0.671662125340599,0.671662125340599,0.6220238095238101,0.6220238095238101,0.4173,0.4706,0.4727,0.402,0.5454,0.4369,0,0.5215,0.5135,0.4403,0.5851,0.7020000000000001,0,1.0592,0.9759,1
dm11037_Low_vs_dm11255_Low_01h,FBgn0051901,3,3,19,19,0,45,7,5,0.5,0.5,0.912280701754386,0.912280701754386,0.4051,0.5,0.4997,0.3255,0.6763,0.9907,0,0.8654,0.6162,0.3962,0.7968,0.2804,0,1.0184,0.8011,1
dm11037_Low_vs_dm11255_Low_01h,FBgn0035871,3,3,53,85,124,112,146,29,0.5267175572519079,0.5267175572519079,0.898954703832753,0.898954703832753,0.636,0.3841,0.41200000000000003,0.2941,0.5445,0.1682,0,0.4341,0.4515,0.3359,0.5714,0.41600000000000004,0,1.2088,1.1124,1
dm11037_Low_vs_dm11255_Low_01h,FBgn0263081,3,3,89,86,71,72,53,49,0.711382113821138,0.711382113821138,0.718390804597701,0.718390804597701,0.4298,0.5086,0.5086,0.41700000000000004,0.5993,0.8527,0,0.5760000000000001,0.5616,0.4642,0.6549,0.2038,0,0.9871,0.8868,1
dm11037_Low_vs_dm11255_Low_01h,FBgn0004432,3,3,561,83,4788,658,215,6643,0.11855670103092801,0.11855670103092801,0.116152208621607,0.116152208621607,0.5104,0.8711,0.7079,0.4994,0.8509,0.0504,0,0.7537,0.6371,0.4515,0.7811,0.1307,0,0.6462,0.7612,1
dm11037_Low_vs_dm11255_Low_01h,FBgn0266696,3,3,35,30,81,32,36,105,0.445205479452055,0.445205479452055,0.393063583815029,0.393063583815029,0.5373,0.5385,0.5281,0.413,0.6432,0.6389,0,0.4706,0.47700000000000004,0.3616,0.5947,0.6973,0,0.9515,1.0555,1
dm11037_Low_vs_dm11255_Low_01h,FBgn0031971,3,3,297,7,298,284,319,10,0.504983388704319,0.504983388704319,0.9836867862969001,0.9836867862969001,0.0329,0.977,0.8288,0.5667,0.9412,0.0173,1,0.47100000000000003,0.4795,0.3424,0.6302,0.6931,0,0.4477,1.0533,1
dm11037_Low_vs_dm11255_Low_01h,FBgn0034180,3,3,27,35,9,18,25,13,0.873239436619718,0.873239436619718,0.767857142857143,0.767857142857143,0.9927,0.4355,0.4496,0.3318,0.5715,0.4171,0,0.4186,0.4483,0.3209,0.5805,0.44,0,1.1171,1.1221,1
dm11037_Low_vs_dm11255_Low_01h,FBgn0034181,3,3,28,53,119,41,55,112,0.405,0.405,0.46153846153846206,0.46153846153846206,0.4704,0.3457,0.3821,0.2757,0.4991,0.0476,1,0.4271,0.4389,0.3293,0.551,0.2758,0,1.2856,1.1401,1
dm11037_Low_vs_dm11255_Low_01h,FBgn0030510,3,3,20,20,36,32,48,33,0.526315789473684,0.526315789473684,0.7079646017699109,0.7079646017699109,0.4136,0.5,0.5006,0.3639,0.6354,0.9898,0,0.4,0.4254,0.3153,0.5442,0.1984,0,1.0091,1.173,1
dm11037_Low_vs_dm11255_Low_01h,FBgn0010228,3,3,309,233,897,278,183,878,0.37665045170257105,0.37665045170257105,0.34428678117998496,0.34428678117998496,0.6449,0.5701,0.5623,0.4654,0.6535,0.1973,0,0.603,0.5932,0.4927,0.6826,0.0709,0,0.8855,0.8309,1
dm11037_Low_vs_dm11255_Low_01h,FBgn0040102,3,3,64,98,22,54,43,48,0.8804347826086959,0.8804347826086959,0.668965517241379,0.668965517241379,0.1089,0.3951,0.4158,0.3207,0.5227,0.1096,0,0.5567,0.544,0.4287,0.6528,0.4453,0,1.1943,0.9209,1
dm11037_Low_vs_dm11255_Low_01h,FBgn0026570,3,3,21,13,7,22,23,15,0.8292682926829269,0.8292682926829269,0.75,0.75,0.4836,0.6176,0.5693,0.4269,0.7049,0.3373,0,0.4889,0.5002,0.3644,0.6358,0.9971,0,0.8768,1.0097,1
dm11037_Low_vs_dm11255_Low_01h,FBgn0260855,3,3,30,16,117,43,20,139,0.282208588957055,0.282208588957055,0.311881188118812,0.311881188118812,0.6487,0.6522,0.6016,0.4736,0.7218,0.1167,0,0.6825,0.6396,0.515,0.7536,0.03,1,0.8183,0.7536,1
dm11037_Low_vs_dm11255_Low_01h,FBgn0036588,3,3,98,70,5,66,38,1,0.971098265895954,0.971098265895954,0.99047619047619,0.99047619047619,0.6282,0.5833,0.5712,0.4778,0.6586,0.1298,0,0.6346,0.6043,0.4981,0.7036,0.0529,0,0.8692,0.8121,1
dm11037_Low_vs_dm11255_Low_01h,FBgn0036589,3,3,430,319,263,292,246,201,0.7401185770750991,0.7401185770750991,0.7280108254397829,0.7280108254397829,0.7196,0.5741,0.5627,0.4837,0.6362,0.1176,0,0.5428,0.5418,0.4564,0.6238,0.3236,0,0.8837,0.9226,1
dm11037_Low_vs_dm11255_Low_01h,FBgn0263316,3,3,34,40,1,24,46,10,0.986666666666667,0.986666666666667,0.875,0.875,0.3007,0.4595,0.4685,0.3553,0.5855,0.6016,0,0.3429,0.3829,0.2731,0.5064,0.0607,0,1.0738,1.2845,1
dm11037_Low_vs_dm11255_Low_01h,FBgn0035600,3,3,195,210,897,347,9,895,0.31105990783410103,0.31105990783410103,0.284572342126299,0.284572342126299,0.0118,0.4815,0.4847,0.358,0.6165,0.7651,0,0.9747,0.8554,0.6325,0.9386,0.0047,1,1.0402,0.4049,1
dm11037_Low_vs_dm11255_Low_01h,FBgn0035601,3,3,99,81,222,173,3,294,0.44776119402985104,0.44776119402985104,0.37446808510638296,0.37446808510638296,0.0091,0.55,0.5414,0.4187,0.6559999999999999,0.4593,0,0.983,0.867,0.6987,0.9296,0.0022,1,0.9262,0.3879,1
dm11037_Low_vs_dm11255_Low_01h,FBgn0035603,3,3,115,92,6,146,164,3,0.9718309859154929,0.9718309859154929,0.9904153354632591,0.9904153354632591,0.2222,0.5556,0.5486,0.4629,0.6324,0.2567,0,0.47100000000000003,0.4775,0.4005,0.5559,0.55,0,0.9098,1.0498,1
