comparison,FEATURE_ID,dm11037_38d_num_reps,dm11255_38d_num_reps,counts_dm11037_38d_g1,counts_dm11037_38d_g2,counts_dm11037_38d_both,counts_dm11255_38d_g1,counts_dm11255_38d_g2,counts_dm11255_38d_both,prior_dm11037_38d_g1,prior_dm11037_38d_g2,prior_dm11255_38d_g1,prior_dm11255_38d_g2,H3_independence_Bayes_evidence,dm11037_38d_sampleprop,dm11037_38d_theta,dm11037_38d_q025,dm11037_38d_q975,dm11037_38d_Bayes_evidence,dm11037_38d_AI_decision,dm11255_38d_sampleprop,dm11255_38d_theta,dm11255_38d_q025,dm11255_38d_q975,dm11255_38d_Bayes_evidence,dm11255_38d_AI_decision,alpha1_postmean,alpha2_postmean,flaganalyze
dm11037_Low_vs_dm11255_Low_38d,FBgn0027562,3,3,48,25,40,64,32,53,0.6460176991150439,0.6460176991150439,0.644295302013423,0.644295302013423,0.7282,0.6575,0.6031,0.4759,0.7169,0.1036,0,0.6667,0.6309,0.5084,0.7396,0.036000000000000004,1,0.8155,0.768,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0027563,3,3,172,130,472,444,379,34,0.39018087855297207,0.39018087855297207,0.960326721120187,0.960326721120187,0.5884,0.5695,0.5627,0.4906,0.6338,0.0873,0,0.5395,0.5372,0.4761,0.5963,0.222,0,0.8834,0.9298,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0027560,3,3,1460,3236,22977,2012,2387,24961,0.169696093665305,0.169696093665305,0.149829700272479,0.149829700272479,0.196,0.3109,0.3582,0.2617,0.4764,0.026000000000000002,1,0.4574,0.4596,0.3468,0.5815,0.4684,0,1.3534,1.0934,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0027561,3,3,69,122,122,147,157,159,0.610223642172524,0.610223642172524,0.65658747300216,0.65658747300216,0.1462,0.3613,0.3872,0.3031,0.4777,0.0189,1,0.4836,0.4794,0.3946,0.5670000000000001,0.6311,0,1.2663,1.0466,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0036173,3,3,433,198,301,907,8,294,0.6770386266094421,0.6770386266094421,0.75682382133995,0.75682382133995,0.3131,0.6862,0.5648,0.3627,0.7449,0.5104,0,0.9913,0.7065,0.4708,0.8884,0.0824,0,0.8928,0.6493,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0027565,3,3,127,125,28,178,206,31,0.9,0.9,0.9253012048192769,0.9253012048192769,0.4642,0.504,0.5018,0.4221,0.5823,0.966,0,0.4635,0.462,0.3894,0.537,0.3062,0,0.9997,1.0828,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0027569,3,3,32,55,90,73,65,119,0.49152542372881397,0.49152542372881397,0.5369649805447471,0.5369649805447471,0.1418,0.3678,0.40399999999999997,0.2931,0.5237,0.1067,0,0.529,0.5247,0.4108,0.635,0.6671,0,1.2273,0.9576,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0010434,3,3,121,131,374,167,145,468,0.402555910543131,0.402555910543131,0.4,0.4,0.4469,0.4802,0.4887,0.406,0.5741,0.772,0,0.5353,0.5329,0.4507,0.6142,0.4242,0,1.0267,0.9392,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0010435,3,3,1457,1471,565,1640,1579,963,0.838247924420269,0.838247924420269,0.769727403156385,0.769727403156385,0.7773,0.4976,0.4959,0.4299,0.5608,0.8924,0,0.5095,0.5081,0.4429,0.5741,0.7967,0,1.0104,0.9859,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0085212,3,3,144,18,285,189,19,232,0.36241610738255003,0.36241610738255003,0.47272727272727294,0.47272727272727294,0.7996,0.8889,0.7945,0.6501,0.8792,0.0018,1,0.9087,0.8086,0.6542,0.8909,0.0031,1,0.5076,0.4853,1
