comparison,FEATURE_ID,dm12272_38d_num_reps,counts_dm12272_38d_g1,counts_dm12272_38d_g2,counts_dm12272_38d_both,prior_dm12272_38d_g1,prior_dm12272_38d_g2,H3_independence_Bayes_evidence,dm12272_38d_sampleprop,dm12272_38d_theta,dm12272_38d_q025,dm12272_38d_q975,dm12272_38d_Bayes_evidence,dm12272_38d_AI_decision,alpha1_postmean,flaganalyze
dm12272_38d,FBgn0014930,3,260,333,115,0.8375706214689269,0.8375706214689269,NA,0.4384,0.4446,0.3743,0.5185,0.1299,0,1.1215,1
dm12272_38d,FBgn0027562,3,59,62,40,0.751552795031056,0.751552795031056,NA,0.4876,0.4891,0.3897,0.5897,0.8266,0,1.0276,1
dm12272_38d,FBgn0027563,3,440,306,21,0.972620599739244,0.972620599739244,NA,0.5898,0.5769,0.4992,0.6459999999999999,0.0521,0,0.8582,1
dm12272_38d,FBgn0027560,3,10376,10553,707,0.9673229802181551,0.9673229802181551,NA,0.4958,0.4954,0.4449,0.5464,0.8446,0,1.0106,1
dm12272_38d,FBgn0027561,3,101,149,137,0.645994832041344,0.645994832041344,NA,0.40399999999999997,0.4152,0.3379,0.4987,0.0462,1,1.1924,1
dm12272_38d,FBgn0036173,3,371,237,305,0.665936473165389,0.665936473165389,NA,0.6102,0.5996,0.5249,0.6677,0.0135,1,0.8186,1
dm12272_38d,FBgn0027567,3,375,405,135,0.852459016393443,0.852459016393443,NA,0.4808,0.4851,0.3855,0.588,0.7538,0,1.0361,1
dm12272_38d,FBgn0027564,3,50,49,78,0.559322033898305,0.559322033898305,NA,0.5051,0.5028,0.3956,0.6098,0.9559,0,1.0004,1
dm12272_38d,FBgn0027565,3,129,142,20,0.93127147766323,0.93127147766323,NA,0.47600000000000003,0.4803,0.3956,0.5674,0.636,0,1.0445,1
dm12272_38d,FBgn0027568,3,82,40,112,0.521367521367521,0.521367521367521,NA,0.6721,0.6385,0.5279,0.7348,0.018000000000000002,1,0.7548,1
dm12272_38d,FBgn0027569,3,44,67,91,0.54950495049505,0.54950495049505,NA,0.3964,0.4151,0.3182,0.5177,0.1026,0,1.196,1
dm12272_38d,FBgn0010434,3,110,2,594,0.158640226628895,0.158640226628895,NA,0.9821,0.7829999999999999,0.4829,0.9262,0.0636,0,0.526,1
dm12272_38d,FBgn0010435,3,1534,1646,437,0.8791816422449541,0.8791816422449541,NA,0.4824,0.4871,0.4058,0.5699,0.7340000000000001,0,1.0299,1
dm12272_38d,FBgn0259482,3,212,218,6,0.986238532110092,0.986238532110092,NA,0.493,0.4953,0.4182,0.5738,0.8973,0,1.0126,1
dm12272_38d,FBgn0085212,3,211,224,10,0.9775280898876401,0.9775280898876401,NA,0.4851,0.4892,0.4122,0.5677,0.7696,0,1.0252,1
dm12272_38d,FBgn0266101,3,23,25,249,0.161616161616162,0.161616161616162,NA,0.4792,0.4863,0.3576,0.6165,0.8365,0,1.0378,1
dm12272_38d,FBgn0033437,3,34,14,12,0.8,0.8,NA,0.7083,0.6431,0.5116,0.7604,0.0342,1,0.7483,1
dm12272_38d,FBgn0033439,3,69,19,14,0.862745098039216,0.862745098039216,NA,0.7841,0.7184,0.599,0.8118,0.0036,1,0.627,1
dm12272_38d,FBgn0040752,3,281,308,121,0.8295774647887321,0.8295774647887321,NA,0.4771,0.4833,0.3764,0.5928,0.7453,0,1.0408,1
dm12272_38d,FBgn0040751,3,81,48,440,0.22671353251318105,0.22671353251318105,NA,0.6279,0.6051,0.5026,0.6990000000000001,0.045,1,0.8105,1
dm12272_38d,FBgn0040754,3,732,744,63,0.9590643274853801,0.9590643274853801,NA,0.4959,0.4966,0.4326,0.5607,0.9147,0,1.0090000000000001,1
dm12272_38d,FBgn0038243,3,55,42,1654,0.0553969160479725,0.0553969160479725,NA,0.5670000000000001,0.5528,0.4433,0.6584,0.3371,0,0.9039,1
dm12272_38d,FBgn0032864,3,406,498,3,0.996692392502756,0.996692392502756,NA,0.4491,0.4587,0.3893,0.5329999999999999,0.2366,0,1.0897,1
dm12272_38d,FBgn0033574,3,62,27,17,0.8396226415094341,0.8396226415094341,NA,0.6966,0.636,0.5015,0.7472,0.0481,1,0.7599,1
dm12272_38d,FBgn0051908,3,250,7,220,0.5387840670859539,0.5387840670859539,NA,0.9728,0.7595,0.4608,0.9378,0.0904,0,0.5628,1
dm12272_38d,FBgn0051901,3,77,72,7,0.955128205128205,0.955128205128205,NA,0.5168,0.5163,0.4082,0.6234,0.7559999999999999,0,0.9735,1
dm12272_38d,FBgn0033081,3,275,263,155,0.7763347763347759,0.7763347763347759,NA,0.5112,0.5032,0.3771,0.6291,0.9559,0,1.0018,1
dm12272_38d,FBgn0052843,3,57,26,16,0.8383838383838379,0.8383838383838379,NA,0.6867,0.6392,0.5143,0.7457,0.0321,1,0.7542,1
dm12272_38d,FBgn0033982,3,36,20,6,0.9032258064516129,0.9032258064516129,NA,0.6429,0.598,0.46399999999999997,0.7182,0.1426,0,0.8247,1
dm12272_38d,FBgn0261373,3,101,75,42,0.807339449541284,0.807339449541284,NA,0.5739,0.5495,0.4338,0.6551,0.3634,0,0.9103,1
dm12272_38d,FBgn0035876,3,344,10,176,0.6679245283018871,0.6679245283018871,NA,0.9718,0.8032,0.4988,0.9485,0.051,0,0.489,1
dm12272_38d,FBgn0035872,3,73,70,188,0.43202416918428993,0.43202416918428993,NA,0.5105,0.4992,0.3792,0.6179,0.9905,0,1.0093,1
