comparison,FEATURE_ID,dm12272_01h_num_reps,dm11037_01h_num_reps,counts_dm12272_01h_g1,counts_dm12272_01h_g2,counts_dm12272_01h_both,counts_dm11037_01h_g1,counts_dm11037_01h_g2,counts_dm11037_01h_both,prior_dm12272_01h_g1,prior_dm12272_01h_g2,prior_dm11037_01h_g1,prior_dm11037_01h_g2,H3_independence_Bayes_evidence,dm12272_01h_sampleprop,dm12272_01h_theta,dm12272_01h_q025,dm12272_01h_q975,dm12272_01h_Bayes_evidence,dm12272_01h_AI_decision,dm11037_01h_sampleprop,dm11037_01h_theta,dm11037_01h_q025,dm11037_01h_q975,dm11037_01h_Bayes_evidence,dm11037_01h_AI_decision,alpha1_postmean,alpha2_postmean,flaganalyze
dm12272_High_vs_dm11037_Low_01h,FBgn0027560,3,3,1232,1291,109,30,70,1859,0.9585866261398179,0.9585866261398179,0.0510464522715671,0.0510464522715671,0.0549,0.4883,0.4887,0.4072,0.5726,0.7429,0,0.3,0.3517,0.2536,0.4675,0.0162,1,1.0264,1.3732,1
dm12272_High_vs_dm11037_Low_01h,FBgn0027561,3,3,30,95,147,28,49,104,0.4595588235294121,0.4595588235294121,0.42541436464088395,0.42541436464088395,0.1129,0.24,0.2851,0.2,0.3903,0.0007,1,0.3636,0.4019,0.2935,0.5192,0.1004,0,1.6042,1.2325,1
dm12272_High_vs_dm11037_Low_01h,FBgn0036173,3,3,134,65,124,45,32,103,0.61609907120743,0.61609907120743,0.427777777777778,0.427777777777778,0.1651,0.6734,0.6565,0.5694,0.7333,0.0007,1,0.5844,0.5637,0.4548,0.6664,0.2409,0,0.7246,0.8838,1
dm12272_High_vs_dm11037_Low_01h,FBgn0010435,3,3,449,447,349,232,261,241,0.7196787148594379,0.7196787148594379,0.671662125340599,0.671662125340599,0.5178,0.5011,0.5012,0.4428,0.5604,0.968,0,0.4706,0.4734,0.4104,0.5367,0.4144,0,0.9993,1.0571,1
dm12272_High_vs_dm11037_Low_01h,FBgn0033437,3,3,146,74,35,107,100,19,0.862745098039216,0.862745098039216,0.915929203539823,0.915929203539823,0.0242,0.6636,0.6463,0.5673,0.7216,0.0007,1,0.5169,0.5149,0.4325,0.5969,0.7264,0,0.7409,0.9739,1
dm12272_High_vs_dm11037_Low_01h,FBgn0032864,3,3,87,80,9,59,42,6,0.9488636363636359,0.9488636363636359,0.9439252336448599,0.9439252336448599,0.5031,0.521,0.5184,0.4236,0.611,0.6931,0,0.5842,0.5660000000000001,0.4622,0.6655,0.2113,0,0.968,0.8795,1
dm12272_High_vs_dm11037_Low_01h,FBgn0051901,3,3,75,75,2,19,19,0,0.986842105263158,0.986842105263158,0.5,0.5,0.9944,0.5,0.4982,0.32,0.6802,0.9773,0,0.5,0.4994,0.3247,0.6729,0.9998,0,1.0217,1.0186,1
dm12272_High_vs_dm11037_Low_01h,FBgn0261373,3,3,43,37,32,22,13,33,0.7142857142857142,0.7142857142857142,0.514705882352941,0.514705882352941,0.6467,0.5375,0.5318,0.4192,0.6421,0.5707,0,0.6286,0.5731,0.4383,0.7019,0.2716,0,0.9440000000000001,0.8689,1
dm12272_High_vs_dm11037_Low_01h,FBgn0035871,3,3,95,247,196,53,85,124,0.635687732342007,0.635687732342007,0.5267175572519079,0.5267175572519079,0.19399999999999998,0.2778,0.3117,0.2196,0.4327,0.0064,1,0.3841,0.41600000000000004,0.298,0.5474,0.1847,0,1.5065,1.1986,1
dm12272_High_vs_dm11037_Low_01h,FBgn0028648,3,3,63,66,35,19,19,20,0.786585365853659,0.786585365853659,0.655172413793103,0.655172413793103,0.8953,0.4884,0.4878,0.3858,0.5876,0.8204,0,0.5,0.4988,0.3648,0.6326,0.9829,0,1.0306,1.0126,1
