comparison,FEATURE_ID,dm12279_01h_num_reps,counts_dm12279_01h_g1,counts_dm12279_01h_g2,counts_dm12279_01h_both,prior_dm12279_01h_g1,prior_dm12279_01h_g2,H3_independence_Bayes_evidence,dm12279_01h_sampleprop,dm12279_01h_theta,dm12279_01h_q025,dm12279_01h_q975,dm12279_01h_Bayes_evidence,dm12279_01h_AI_decision,alpha1_postmean,flaganalyze
dm12279_01h,FBgn0010435,3,211,216,263,0.618840579710145,0.618840579710145,NA,0.4941,0.4982,0.4212,0.5759,0.9612,0,1.0068,1
dm12279_01h,FBgn0035871,3,119,181,38,0.887573964497041,0.887573964497041,NA,0.3967,0.4184,0.3066,0.5561,0.1922,0,1.1918,1
dm12279_01h,FBgn0263081,3,90,183,2,0.9927272727272729,0.9927272727272729,NA,0.3297,0.3477,0.2684,0.4404,0.0054,1,1.3799,1
dm12279_01h,FBgn0004432,3,1950,1688,1019,0.781189607043161,0.781189607043161,NA,0.536,0.5146,0.4072,0.6192,0.7641,0,0.9767,1
dm12279_01h,FBgn0266696,3,40,46,53,0.6187050359712231,0.6187050359712231,NA,0.4651,0.4764,0.3649,0.5907,0.6733,0,1.0563,1
dm12279_01h,FBgn0031971,3,253,345,5,0.991708126036484,0.991708126036484,NA,0.4231,0.4433,0.3659,0.5322,0.1766,0,1.1255,1
dm12279_01h,FBgn0040102,3,165,81,3,0.9879518072289158,0.9879518072289158,NA,0.6707,0.6469,0.5505,0.728,0.0075,1,0.7404,1
dm12279_01h,FBgn0032803,3,115,119,21,0.917647058823529,0.917647058823529,NA,0.4915,0.4845,0.3878,0.5805,0.7451,0,1.0368,1
dm12279_01h,FBgn0003721,3,108,84,2088,0.0842105263157895,0.0842105263157895,NA,0.5625,0.5549,0.4623,0.6437,0.2327,0,0.8988,1
dm12279_01h,FBgn0043471,3,137,129,14,0.95,0.95,NA,0.515,0.5182,0.4325,0.6047,0.6759999999999999,0,0.9678,1
dm12279_01h,FBgn0040653,3,817,1981,46,0.983825597749648,0.983825597749648,NA,0.292,0.3101,0.2513,0.3883,0.0012,1,1.4999,1
dm12279_01h,FBgn0000579,3,715,801,173,0.89757252812315,0.89757252812315,NA,0.4716,0.47100000000000003,0.3842,0.5624,0.4806,0,1.0646,1
dm12279_01h,FBgn0259736,3,116,108,18,0.925619834710744,0.925619834710744,NA,0.5179,0.4993,0.3986,0.5974,0.9961,0,1.0067,1
dm12279_01h,FBgn0040734,3,132,938,84,0.927209705372617,0.927209705372617,NA,0.1234,0.1648,0.1165,0.265,0.0007,1,2.2929,1
dm12279_01h,FBgn0040735,3,1779,3343,1244,0.804586867734841,0.804586867734841,NA,0.3473,0.3838,0.2674,0.5339,0.1111,0,1.2859,1
dm12279_01h,FBgn0040736,3,3714,4769,1537,0.846606786427146,0.846606786427146,NA,0.4378,0.4492,0.3727,0.5329999999999999,0.1941,0,1.1117,1
dm12279_01h,FBgn0040732,3,1514,1141,332,0.8888516906595251,0.8888516906595251,NA,0.5702,0.5809,0.4608,0.6834,0.1522,0,0.8534,1
dm12279_01h,FBgn0040733,3,6230,10387,2640,0.8629069948590121,0.8629069948590121,NA,0.3749,0.386,0.3019,0.4894,0.035,1,1.2702,1
dm12279_01h,FBgn0023507,3,209,152,191,0.653985507246377,0.653985507246377,NA,0.5789,0.5359,0.4057,0.654,0.5371,0,0.9374,1
dm12279_01h,FBgn0031436,3,303,308,117,0.8392857142857142,0.8392857142857142,NA,0.4959,0.4906,0.3851,0.5956,0.8479,0,1.0251,1
dm12279_01h,FBgn0028646,3,160,174,232,0.590106007067138,0.590106007067138,NA,0.479,0.4993,0.4094,0.5958,0.9689,0,1.006,1
dm12279_01h,FBgn0035142,3,45,47,106,0.46464646464646503,0.46464646464646503,NA,0.4891,0.4947,0.3848,0.6049,0.9259,0,1.0173,1
dm12279_01h,FBgn0017581,3,74,72,448,0.245791245791246,0.245791245791246,NA,0.5068,0.5059,0.4083,0.6039,0.9026,0,0.9931,1
dm12279_01h,FBgn0019982,3,95,162,24,0.9145907473309609,0.9145907473309609,NA,0.3696,0.3825,0.2948,0.4838,0.0284,1,1.2802,1
dm12279_01h,FBgn0010808,3,177,143,21,0.9384164222873901,0.9384164222873901,NA,0.5531,0.5589,0.473,0.6419,0.1655,0,0.8911,1
dm12279_01h,FBgn0031453,3,230,376,1429,0.297788697788698,0.297788697788698,NA,0.3795,0.4081,0.2558,0.5933,0.29600000000000004,0,1.2317,1
dm12279_01h,FBgn0004047,3,534,1166,1162,0.5939902166317261,0.5939902166317261,NA,0.3141,0.4127,0.2494,0.6068,0.3476,0,1.2234,1
dm12279_01h,FBgn0003891,3,113,94,145,0.588068181818182,0.588068181818182,NA,0.5459,0.5481,0.4502,0.644,0.3159,0,0.9117,1
dm12279_01h,FBgn0031327,3,100,87,5,0.973958333333333,0.973958333333333,NA,0.5348,0.5119,0.4063,0.6127,0.8057,0,0.9818,1
dm12279_01h,FBgn0040843,3,203,162,2,0.994550408719346,0.994550408719346,NA,0.5562,0.5388,0.4459,0.6242,0.3685,0,0.9285,1
dm12279_01h,FBgn0003517,3,898,837,4139,0.295369424582908,0.295369424582908,NA,0.5176,0.5078,0.3184,0.6948,0.9326,0,1.0043,1
dm12279_01h,FBgn0040718,3,72,93,44,0.7894736842105259,0.7894736842105259,NA,0.4364,0.4464,0.3408,0.5595,0.3213,0,1.1224,1
dm12279_01h,FBgn0026439,3,160,153,63,0.8324468085106379,0.8324468085106379,NA,0.5112,0.5267,0.4328,0.6208,0.5624,0,0.9519,1
dm12279_01h,FBgn0261990,3,218,270,30,0.942084942084942,0.942084942084942,NA,0.4467,0.4629,0.3259,0.6162,0.5624,0,1.0907,1
dm12279_01h,FBgn0035165,3,184,236,33,0.927152317880795,0.927152317880795,NA,0.4381,0.4493,0.3631,0.5454,0.258,0,1.113,1
dm12279_01h,FBgn0287825,3,152,136,200,0.590163934426229,0.590163934426229,NA,0.5278,0.5447,0.4533,0.6362,0.3257,0,0.9176,1
dm12279_01h,FBgn0011284,3,1811,1584,3633,0.483067729083665,0.483067729083665,NA,0.5334,0.5185,0.3398,0.6923,0.8373,0,0.9798,1
dm12279_01h,FBgn0263863,3,53,44,8,0.9238095238095241,0.9238095238095241,NA,0.5464,0.5293,0.4079,0.6446,0.6142,0,0.9493,1
dm12279_01h,FBgn0031579,3,309,6,8,0.975232198142415,0.975232198142415,NA,0.981,0.6375,0.3875,0.8593,0.2845,0,0.768,1
dm12279_01h,FBgn0033133,3,54,59,15,0.8828125,0.8828125,NA,0.4779,0.4837,0.3804,0.5883,0.7552,0,1.0396,1
dm12279_01h,FBgn0250757,3,100,69,86,0.6627450980392161,0.6627450980392161,NA,0.5917,0.5743,0.4751,0.6671,0.1344,0,0.8640000000000001,1
dm12279_01h,FBgn0063449,3,1116,32,249,0.8217609162491051,0.8217609162491051,NA,0.9721,0.6786,0.4102,0.9251,0.193,0,0.698,1
dm12279_01h,FBgn0039358,3,74,92,10,0.943181818181818,0.943181818181818,NA,0.4458,0.4637,0.358,0.5797,0.488,0,1.0833,1
dm12279_01h,FBgn0265045,3,43,40,133,0.38425925925925897,0.38425925925925897,NA,0.5181,0.5177,0.4061,0.6286,0.7541,0,0.9712,1
dm12279_01h,FBgn0037936,3,89,84,1,0.994252873563218,0.994252873563218,NA,0.5145,0.4998,0.395,0.6013,0.9916,0,1.0062,1
dm12279_01h,FBgn0011361,3,399,392,529,0.5992424242424239,0.5992424242424239,NA,0.5044,0.505,0.3542,0.6542,0.9440000000000001,0,1.0019,1
dm12279_01h,FBgn0004636,3,106,117,205,0.5210280373831769,0.5210280373831769,NA,0.4753,0.48100000000000004,0.3721,0.5953,0.7184,0,1.046,1
