comparison,FEATURE_ID,dm12279_38d_num_reps,dm11037_38d_num_reps,counts_dm12279_38d_g1,counts_dm12279_38d_g2,counts_dm12279_38d_both,counts_dm11037_38d_g1,counts_dm11037_38d_g2,counts_dm11037_38d_both,prior_dm12279_38d_g1,prior_dm12279_38d_g2,prior_dm11037_38d_g1,prior_dm11037_38d_g2,H3_independence_Bayes_evidence,dm12279_38d_sampleprop,dm12279_38d_theta,dm12279_38d_q025,dm12279_38d_q975,dm12279_38d_Bayes_evidence,dm12279_38d_AI_decision,dm11037_38d_sampleprop,dm11037_38d_theta,dm11037_38d_q025,dm11037_38d_q975,dm11037_38d_Bayes_evidence,dm11037_38d_AI_decision,alpha1_postmean,alpha2_postmean,flaganalyze
dm12279_High_vs_dm11037_Low_38d,FBgn0027562,3,3,31,33,113,48,25,40,0.361581920903955,0.361581920903955,0.6460176991150439,0.6460176991150439,0.1787,0.4844,0.4876,0.3607,0.617,0.8476,0,0.6575,0.6049,0.4867,0.7131,0.0827,0,1.0346,0.8118,1
dm12279_High_vs_dm11037_Low_38d,FBgn0027563,3,3,228,219,582,172,130,472,0.434402332361516,0.434402332361516,0.39018087855297207,0.39018087855297207,0.3011,0.5101,0.511,0.4466,0.5762,0.7398,0,0.5695,0.5617,0.4899,0.6322,0.0929,0,0.9804,0.8852,1
dm12279_High_vs_dm11037_Low_38d,FBgn0027560,3,3,2713,5503,30403,1460,3236,22977,0.212745021880421,0.212745021880421,0.169696093665305,0.169696093665305,0.9278,0.3302,0.3426,0.2797,0.4139,0.0004,1,0.3109,0.3393,0.2773,0.4154,0.0002,1,1.3918,1.4024,1
dm12279_High_vs_dm11037_Low_38d,FBgn0027561,3,3,95,205,199,69,122,122,0.6012024048096191,0.6012024048096191,0.610223642172524,0.610223642172524,0.4962,0.3167,0.3477,0.257,0.4583,0.0124,1,0.3613,0.3951,0.2954,0.5076,0.0662,0,1.3836,1.2489,1
dm12279_High_vs_dm11037_Low_38d,FBgn0036173,3,3,649,81,422,433,198,301,0.633680555555556,0.633680555555556,0.6770386266094421,0.6770386266094421,0.0,0.889,0.8671,0.83,0.8973,0.0,1,0.6862,0.6783,0.6175,0.7324,0.0,1,0.391,0.6892,1
dm12279_High_vs_dm11037_Low_38d,FBgn0027567,3,3,416,381,280,252,243,187,0.740018570102136,0.740018570102136,0.7258064516129029,0.7258064516129029,0.6927,0.522,0.5277,0.4554,0.5973,0.4309,0,0.5091,0.5078,0.4336,0.5802,0.8316,0,0.9484,0.9873,1
dm12279_High_vs_dm11037_Low_38d,FBgn0027564,3,3,55,43,118,20,42,58,0.45370370370370394,0.45370370370370394,0.516666666666667,0.516666666666667,0.0402,0.5612,0.5586,0.4442,0.6721,0.3053,0,0.3226,0.381,0.2694,0.5033,0.0533,0,0.8938,1.2898,1
dm12279_High_vs_dm11037_Low_38d,FBgn0027565,3,3,167,164,20,127,125,28,0.943019943019943,0.943019943019943,0.9,0.9,0.9982,0.5045,0.5031,0.4234,0.5804,0.9324,0,0.504,0.5027,0.4241,0.5807,0.9478,0,0.997,0.9979,1
dm12279_High_vs_dm11037_Low_38d,FBgn0027569,3,3,64,88,132,32,55,90,0.535211267605634,0.535211267605634,0.49152542372881397,0.49152542372881397,0.6604,0.4211,0.4421,0.3315,0.561,0.3151,0,0.3678,0.4056,0.2933,0.5273,0.1278,0,1.1331,1.2238,1
dm12279_High_vs_dm11037_Low_38d,FBgn0010434,3,3,348,303,166,121,131,374,0.796817625458996,0.796817625458996,0.402555910543131,0.402555910543131,0.4529,0.5346,0.5303,0.4535,0.6046,0.406,0,0.4802,0.4893,0.4051,0.5751,0.7847,0,0.9436,1.0254,1
dm12279_High_vs_dm11037_Low_38d,FBgn0010435,3,3,1819,1916,1164,1457,1471,565,0.7624004898958969,0.7624004898958969,0.838247924420269,0.838247924420269,0.8498,0.48700000000000004,0.4882,0.4237,0.5528,0.7033,0,0.4976,0.4971,0.4332,0.5634,0.9278,0,1.0261,1.0081,1
dm12279_High_vs_dm11037_Low_38d,FBgn0259482,3,3,214,183,103,218,159,11,0.794,0.794,0.971649484536082,0.971649484536082,0.5282,0.539,0.5373,0.4604,0.6119,0.3173,0,0.5782,0.5703,0.4965,0.6438,0.0653,0,0.9304,0.8698,1
dm12279_High_vs_dm11037_Low_38d,FBgn0085212,3,3,157,24,260,144,18,285,0.41043083900226796,0.41043083900226796,0.36241610738255003,0.36241610738255003,0.7678,0.8674,0.8171,0.7434,0.8723,0.0,1,0.8889,0.8289,0.7562,0.8834,0.0,1,0.4724,0.4535,1
dm12279_High_vs_dm11037_Low_38d,FBgn0266101,3,3,49,44,174,48,46,90,0.348314606741573,0.348314606741573,0.5108695652173909,0.5108695652173909,0.9156,0.5269,0.5022,0.3819,0.6221,0.97,0,0.5106,0.5104,0.3956,0.6262,0.8707,0,1.0034,0.9861,1
dm12279_High_vs_dm11037_Low_38d,FBgn0033434,3,3,128,281,271,108,166,173,0.601470588235294,0.601470588235294,0.612975391498881,0.612975391498881,0.1216,0.313,0.3267,0.2616,0.39899999999999997,0.0004,1,0.3942,0.4101,0.3328,0.4932,0.0351,1,1.4435,1.2051,1
dm12279_High_vs_dm11037_Low_38d,FBgn0040752,3,3,314,277,196,201,195,139,0.7509529860228721,0.7509529860228721,0.7401869158878499,0.7401869158878499,0.5898,0.5313,0.5336,0.4638,0.6022,0.3422,0,0.5076,0.5074,0.4324,0.5816,0.8378,0,0.9369,0.9881,1
dm12279_High_vs_dm11037_Low_38d,FBgn0038244,3,3,65,124,129,24,50,98,0.5943396226415091,0.5943396226415091,0.430232558139535,0.430232558139535,0.9333,0.3439,0.371,0.2812,0.4779,0.0216,1,0.3243,0.3766,0.2715,0.4945,0.0427,1,1.3131,1.3013,1
dm12279_High_vs_dm11037_Low_38d,FBgn0038243,3,3,66,75,2420,40,55,1468,0.0550566185083951,0.0550566185083951,0.0607805502239283,0.0607805502239283,0.8207,0.4681,0.4682,0.3648,0.5760000000000001,0.5482,0,0.4211,0.4515,0.34,0.5649,0.3949,0,1.073,1.1113,1
dm12279_High_vs_dm11037_Low_38d,FBgn0032864,3,3,588,713,13,465,500,12,0.990106544901065,0.990106544901065,0.987717502558854,0.987717502558854,0.5856,0.452,0.45799999999999996,0.3951,0.5246,0.1889,0,0.4819,0.4817,0.4174,0.5493,0.5653,0,1.0906,1.0397,1
dm12279_High_vs_dm11037_Low_38d,FBgn0033574,3,3,84,29,3,40,8,23,0.9741379310344829,0.9741379310344829,0.676056338028169,0.676056338028169,0.8873,0.7434,0.7031,0.5929,0.7939,0.0007,1,0.8333,0.7121,0.579,0.818,0.0051,1,0.6509,0.6371,1
dm12279_High_vs_dm11037_Low_38d,FBgn0036373,3,3,47,44,230,67,59,60,0.283489096573209,0.283489096573209,0.67741935483871,0.67741935483871,0.84,0.5165,0.5148,0.4064,0.6216,0.7876,0,0.5317,0.5304,0.4329,0.6263,0.5482,0,0.9764,0.9452,1
dm12279_High_vs_dm11037_Low_38d,FBgn0051908,3,3,158,148,189,214,217,21,0.6181818181818179,0.6181818181818179,0.9535398230088499,0.9535398230088499,0.7244,0.5163,0.5131,0.4376,0.5879,0.7356,0,0.4965,0.4959,0.4264,0.5667,0.9056,0,0.9769,1.0108,1
dm12279_High_vs_dm11037_Low_38d,FBgn0261373,3,3,99,104,50,88,66,34,0.802371541501976,0.802371541501976,0.8191489361702131,0.8191489361702131,0.4407,0.4877,0.4876,0.3839,0.5886,0.802,0,0.5714,0.5443,0.4319,0.6467,0.402,0,1.0312,0.9198,1
dm12279_High_vs_dm11037_Low_38d,FBgn0035876,3,3,449,10,282,330,8,270,0.619433198380567,0.619433198380567,0.555921052631579,0.555921052631579,0.8849,0.9782,0.6327,0.4033,0.8265,0.2453,0,0.9763,0.6131,0.3783,0.8106,0.326,0,0.7735,0.8082,1
dm12279_High_vs_dm11037_Low_38d,FBgn0035872,3,3,77,80,285,39,54,205,0.35520361990950206,0.35520361990950206,0.312080536912752,0.312080536912752,0.3778,0.4904,0.498,0.4065,0.5904,0.9711,0,0.4194,0.4369,0.3371,0.541,0.2331,0,1.0085,1.1434,1
