comparison,FEATURE_ID,dm12279_01h_num_reps,dm12272_01h_num_reps,counts_dm12279_01h_g1,counts_dm12279_01h_g2,counts_dm12279_01h_both,counts_dm12272_01h_g1,counts_dm12272_01h_g2,counts_dm12272_01h_both,prior_dm12279_01h_g1,prior_dm12279_01h_g2,prior_dm12272_01h_g1,prior_dm12272_01h_g2,H3_independence_Bayes_evidence,dm12279_01h_sampleprop,dm12279_01h_theta,dm12279_01h_q025,dm12279_01h_q975,dm12279_01h_Bayes_evidence,dm12279_01h_AI_decision,dm12272_01h_sampleprop,dm12272_01h_theta,dm12272_01h_q025,dm12272_01h_q975,dm12272_01h_Bayes_evidence,dm12272_01h_AI_decision,alpha1_postmean,alpha2_postmean,flaganalyze
dm12279_High_vs_dm12272_High_01h,FBgn0010435,3,3,211,216,263,449,447,349,0.618840579710145,0.618840579710145,0.7196787148594379,0.7196787148594379,0.932,0.4941,0.4979,0.4267,0.5685,0.9431,0,0.5011,0.5013,0.4409,0.562,0.9662,0,1.0068,0.9993,1
dm12279_High_vs_dm12272_High_01h,FBgn0035871,3,3,119,181,38,95,247,196,0.887573964497041,0.887573964497041,0.635687732342007,0.635687732342007,0.106,0.3967,0.4141,0.3168,0.5252,0.1176,0,0.2778,0.3036,0.2249,0.4096,0.0016,1,1.1991,1.5302,1
dm12279_High_vs_dm12272_High_01h,FBgn0263081,3,3,90,183,2,165,173,79,0.9927272727272729,0.9927272727272729,0.810551558752998,0.810551558752998,0.0107,0.3297,0.34600000000000003,0.2741,0.4297,0.0009,1,0.4882,0.4931,0.4181,0.5705,0.8609,0,1.3834,1.0171,1
dm12279_High_vs_dm12272_High_01h,FBgn0004432,3,3,1950,1688,1019,858,400,7763,0.781189607043161,0.781189607043161,0.13945238887041297,0.13945238887041297,0.0973,0.536,0.5133,0.3918,0.6331,0.8204,0,0.682,0.6546,0.53,0.7521,0.0224,1,0.9809,0.7288,1
dm12279_High_vs_dm12272_High_01h,FBgn0266696,3,3,40,46,53,55,71,125,0.6187050359712231,0.6187050359712231,0.5019920318725101,0.5019920318725101,0.67,0.4651,0.4765,0.3702,0.5858,0.6644,0,0.4365,0.4454,0.3504,0.5421,0.2831,0,1.0552,1.123,1
dm12279_High_vs_dm12272_High_01h,FBgn0031971,3,3,253,345,5,474,18,274,0.991708126036484,0.991708126036484,0.642297650130548,0.642297650130548,0.0044,0.4231,0.4506,0.3555,0.5760000000000001,0.308,0,0.9634,0.9071,0.7237,0.9522,0.0009,1,1.112,0.3136,1
dm12279_High_vs_dm12272_High_01h,FBgn0003721,3,3,108,84,2088,1314,1509,1111,0.0842105263157895,0.0842105263157895,0.717590238942552,0.717590238942552,0.0678,0.5625,0.5556,0.4726,0.6379,0.1829,0,0.4655,0.4654,0.4162,0.5177,0.1693,0,0.8968,1.0735,1
dm12279_High_vs_dm12272_High_01h,FBgn0043471,3,3,137,129,14,122,104,246,0.95,0.95,0.47881355932203395,0.47881355932203395,0.7464,0.515,0.518,0.4323,0.6031,0.6869,0,0.5398,0.5368,0.4497,0.6199,0.3936,0,0.9682,0.9319,1
dm12279_High_vs_dm12272_High_01h,FBgn0040653,3,3,817,1981,46,362,837,24,0.983825597749648,0.983825597749648,0.9803761242845459,0.9803761242845459,0.8356,0.292,0.3068,0.2514,0.3763,0.0,1,0.3019,0.3147,0.2623,0.3792,0.0,1,1.5102,1.4819,1
dm12279_High_vs_dm12272_High_01h,FBgn0000579,3,3,715,801,173,728,1081,440,0.89757252812315,0.89757252812315,0.804357492218764,0.804357492218764,0.2798,0.4716,0.4711,0.389,0.5575,0.4804,0,0.4024,0.4119,0.3418,0.4934,0.0378,1,1.064,1.1999,1
dm12279_High_vs_dm12272_High_01h,FBgn0259736,3,3,116,108,18,182,136,13,0.925619834710744,0.925619834710744,0.9607250755287009,0.9607250755287009,0.2836,0.5179,0.501,0.4083,0.5907,0.9778,0,0.5723,0.5665,0.4863,0.6433,0.0984,0,1.0023,0.877,1
dm12279_High_vs_dm12272_High_01h,FBgn0040734,3,3,132,938,84,60,59,395,0.927209705372617,0.927209705372617,0.231517509727626,0.231517509727626,0.0002,0.1234,0.1527,0.114,0.2076,0.0,1,0.5042,0.5041,0.4022,0.6058,0.9351,0,2.3793,0.9971,1
dm12279_High_vs_dm12272_High_01h,FBgn0040732,3,3,1514,1141,332,3008,1729,93,0.8888516906595251,0.8888516906595251,0.9807453416149069,0.9807453416149069,0.5087,0.5702,0.586,0.5007,0.6654,0.0482,1,0.635,0.6198,0.5376,0.6891,0.012,1,0.8426,0.7846,1
dm12279_High_vs_dm12272_High_01h,FBgn0040733,3,3,6230,10387,2640,112,214,21189,0.8629069948590121,0.8629069948590121,0.0151522193818266,0.0151522193818266,0.7236,0.3749,0.3801,0.3069,0.4641,0.0109,1,0.3436,0.3611,0.2812,0.4515,0.004,1,1.2835,1.3391,1
dm12279_High_vs_dm12272_High_01h,FBgn0023507,3,3,209,152,191,314,256,263,0.653985507246377,0.653985507246377,0.684273709483794,0.684273709483794,0.9778,0.5789,0.537,0.4179,0.6497,0.5147,0,0.5509,0.5356,0.4325,0.6362,0.4731,0,0.9344,0.9356,1
dm12279_High_vs_dm12272_High_01h,FBgn0031436,3,3,303,308,117,551,501,176,0.8392857142857142,0.8392857142857142,0.8566775244299671,0.8566775244299671,0.5193,0.4959,0.4922,0.4122,0.5728,0.8444,0,0.5238,0.5244,0.4538,0.5945,0.4789,0,1.0193,0.9546,1
dm12279_High_vs_dm12272_High_01h,FBgn0028646,3,3,160,174,232,203,223,297,0.590106007067138,0.590106007067138,0.589211618257261,0.589211618257261,0.7369,0.479,0.4972,0.4121,0.5846,0.9351,0,0.4765,0.4778,0.402,0.5537,0.5613,0,1.0096,1.0489,1
dm12279_High_vs_dm12272_High_01h,FBgn0017581,3,3,74,72,448,72,75,1068,0.245791245791246,0.245791245791246,0.120987654320988,0.120987654320988,0.8229,0.5068,0.5061,0.4078,0.6021,0.9031,0,0.4898,0.4913,0.3976,0.5864,0.8551,0,0.9927,1.0226,1
dm12279_High_vs_dm12272_High_01h,FBgn0019982,3,3,95,162,24,170,213,150,0.9145907473309609,0.9145907473309609,0.718574108818011,0.718574108818011,0.2118,0.3696,0.3797,0.2991,0.467,0.0089,1,0.4439,0.4518,0.3777,0.5313,0.2133,0,1.2862,1.1055,1
dm12279_High_vs_dm12272_High_01h,FBgn0010808,3,3,177,143,21,277,240,37,0.9384164222873901,0.9384164222873901,0.9332129963898921,0.9332129963898921,0.6422,0.5531,0.5583,0.4784,0.6368,0.1464,0,0.5358,0.5338,0.4627,0.6033,0.3371,0,0.8917,0.9366,1
dm12279_High_vs_dm12272_High_01h,FBgn0031453,3,3,230,376,1429,580,869,2283,0.297788697788698,0.297788697788698,0.388263665594855,0.388263665594855,0.7907,0.3795,0.4046,0.2571,0.5781,0.2651,0,0.4003,0.4306,0.2914,0.5836,0.3456,0,1.239,1.1675,1
dm12279_High_vs_dm12272_High_01h,FBgn0003891,3,3,113,94,145,171,176,239,0.588068181818182,0.588068181818182,0.592150170648464,0.592150170648464,0.3564,0.5459,0.5466,0.4572,0.6347,0.2862,0,0.4928,0.4928,0.4154,0.5704,0.8462,0,0.9139,1.0177,1
dm12279_High_vs_dm12272_High_01h,FBgn0031327,3,3,100,87,5,129,215,10,0.973958333333333,0.973958333333333,0.9717514124293791,0.9717514124293791,0.1338,0.5348,0.5073,0.3885,0.6208,0.8962,0,0.375,0.3859,0.2933,0.4982,0.0476,1,0.9924,1.2722,1
dm12279_High_vs_dm12272_High_01h,FBgn0040843,3,3,203,162,2,269,250,94,0.994550408719346,0.994550408719346,0.8466557911908651,0.8466557911908651,0.6493,0.5562,0.5416,0.462,0.617,0.2871,0,0.5183,0.5182,0.4491,0.5858,0.5847,0,0.9225,0.9663,1
dm12279_High_vs_dm12272_High_01h,FBgn0003517,3,3,898,837,4139,2448,2261,5938,0.295369424582908,0.295369424582908,0.44228421151498104,0.44228421151498104,0.9949,0.5176,0.5099,0.3355,0.684,0.9118,0,0.5199,0.5109,0.3542,0.6638,0.8907,0,0.9963,0.9911,1
dm12279_High_vs_dm12272_High_01h,FBgn0026439,3,3,160,153,63,92,82,449,0.8324468085106379,0.8324468085106379,0.27929373996789697,0.27929373996789697,0.9104,0.5112,0.5257,0.4413,0.6111,0.5487,0,0.5287,0.5188,0.4231,0.6108,0.6751,0,0.9532,0.9672,1
dm12279_High_vs_dm12272_High_01h,FBgn0261990,3,3,218,270,30,543,742,23,0.942084942084942,0.942084942084942,0.982415902140673,0.982415902140673,0.6778,0.4467,0.4547,0.35600000000000004,0.5637,0.3507,0,0.4226,0.4297,0.3454,0.5264,0.1253,0,1.102,1.1581,1
dm12279_High_vs_dm12272_High_01h,FBgn0287825,3,3,152,136,200,289,287,263,0.590163934426229,0.590163934426229,0.686531585220501,0.686531585220501,0.4587,0.5278,0.5417,0.4596,0.6231,0.3167,0,0.5017,0.5017,0.4326,0.5685,0.9524,0,0.9225,0.9990000000000001,1
dm12279_High_vs_dm12272_High_01h,FBgn0263863,3,3,53,44,8,70,80,66,0.9238095238095241,0.9238095238095241,0.694444444444444,0.694444444444444,0.39799999999999996,0.5464,0.5305,0.4209,0.6384,0.5753,0,0.4667,0.4698,0.3775,0.5653,0.5191,0,0.946,1.068,1
dm12279_High_vs_dm12272_High_01h,FBgn0031579,3,3,309,6,8,201,443,42,0.975232198142415,0.975232198142415,0.938775510204082,0.938775510204082,0.1198,0.981,0.6867,0.4405,0.9033,0.1376,0,0.3121,0.4196,0.2518,0.6186,0.4027,0,0.6829999999999999,1.2073,1
dm12279_High_vs_dm12272_High_01h,FBgn0250757,3,3,100,69,86,142,132,96,0.6627450980392161,0.6627450980392161,0.740540540540541,0.740540540540541,0.3493,0.5917,0.5742,0.4764,0.6638,0.1287,0,0.5182,0.5165,0.4349,0.597,0.6804,0,0.8641,0.9707,1
dm12279_High_vs_dm12272_High_01h,FBgn0063449,3,3,1116,32,249,973,20,224,0.8217609162491051,0.8217609162491051,0.815940838126541,0.815940838126541,0.9642,0.9721,0.6152,0.3836,0.8140000000000001,0.3162,0,0.9799,0.6235,0.3867,0.8203,0.2913,0,0.8048,0.7905,1
