comparison,FEATURE_ID,dm12279_38d_num_reps,dm12272_38d_num_reps,counts_dm12279_38d_g1,counts_dm12279_38d_g2,counts_dm12279_38d_both,counts_dm12272_38d_g1,counts_dm12272_38d_g2,counts_dm12272_38d_both,prior_dm12279_38d_g1,prior_dm12279_38d_g2,prior_dm12272_38d_g1,prior_dm12272_38d_g2,H3_independence_Bayes_evidence,dm12279_38d_sampleprop,dm12279_38d_theta,dm12279_38d_q025,dm12279_38d_q975,dm12279_38d_Bayes_evidence,dm12279_38d_AI_decision,dm12272_38d_sampleprop,dm12272_38d_theta,dm12272_38d_q025,dm12272_38d_q975,dm12272_38d_Bayes_evidence,dm12272_38d_AI_decision,alpha1_postmean,alpha2_postmean,flaganalyze
dm12279_High_vs_dm12272_High_38d,FBgn0014930,3,3,349,344,164,260,333,115,0.808634772462077,0.808634772462077,0.8375706214689269,0.8375706214689269,0.2178,0.5036,0.5046,0.4377,0.5713,0.8876,0,0.4384,0.4453,0.37799999999999995,0.517,0.1171,0,0.9931,1.1195,1
dm12279_High_vs_dm12272_High_38d,FBgn0027562,3,3,31,33,113,59,62,40,0.361581920903955,0.361581920903955,0.751552795031056,0.751552795031056,0.9833,0.4844,0.4877,0.3707,0.6068,0.8333,0,0.4876,0.4891,0.3939,0.5851,0.8227,0,1.0329,1.0272,1
dm12279_High_vs_dm12272_High_38d,FBgn0027563,3,3,228,219,582,440,306,21,0.434402332361516,0.434402332361516,0.972620599739244,0.972620599739244,0.1473,0.5101,0.5109,0.4441,0.5779,0.7484,0,0.5898,0.5797,0.5137,0.6406,0.02,1,0.9806,0.8528,1
dm12279_High_vs_dm12272_High_38d,FBgn0027560,3,3,2713,5503,30403,10376,10553,707,0.212745021880421,0.212745021880421,0.9673229802181551,0.9673229802181551,0.0029,0.3302,0.3405,0.282,0.408,0.0,1,0.4958,0.4954,0.4283,0.5635,0.8869,0,1.3972,1.0118,1
dm12279_High_vs_dm12272_High_38d,FBgn0027561,3,3,95,205,199,101,149,137,0.6012024048096191,0.6012024048096191,0.645994832041344,0.645994832041344,0.2269,0.3167,0.3429,0.2617,0.439,0.0031,1,0.40399999999999997,0.4214,0.3303,0.5201,0.1056,0,1.3955,1.1794,1
dm12279_High_vs_dm12272_High_38d,FBgn0036173,3,3,649,81,422,371,237,305,0.633680555555556,0.633680555555556,0.665936473165389,0.665936473165389,0.0,0.889,0.8609,0.8192,0.8931,0.0,1,0.6102,0.6025,0.5324,0.6677,0.0082,1,0.4014,0.8134,1
dm12279_High_vs_dm12272_High_38d,FBgn0027567,3,3,416,381,280,375,405,135,0.740018570102136,0.740018570102136,0.852459016393443,0.852459016393443,0.5178,0.522,0.5253,0.431,0.6158,0.5771,0,0.4808,0.4845,0.3873,0.5819,0.7496,0,0.9544,1.037,1
dm12279_High_vs_dm12272_High_38d,FBgn0027564,3,3,55,43,118,50,49,78,0.45370370370370394,0.45370370370370394,0.559322033898305,0.559322033898305,0.4651,0.5612,0.5567,0.4436,0.6639,0.3042,0,0.5051,0.5025,0.3955,0.6078,0.9491,0,0.897,1.001,1
dm12279_High_vs_dm12272_High_38d,FBgn0027565,3,3,167,164,20,129,142,20,0.943019943019943,0.943019943019943,0.93127147766323,0.93127147766323,0.6767,0.5045,0.5023,0.4248,0.5813,0.9520000000000001,0,0.47600000000000003,0.4797,0.3998,0.5599,0.6024,0,0.9985,1.0452,1
dm12279_High_vs_dm12272_High_38d,FBgn0027569,3,3,64,88,132,44,67,91,0.535211267605634,0.535211267605634,0.54950495049505,0.54950495049505,0.8153,0.4211,0.43799999999999994,0.3383,0.5418,0.2227,0,0.3964,0.4201,0.3219,0.5245,0.1324,0,1.1406,1.1839,1
dm12279_High_vs_dm12272_High_38d,FBgn0010434,3,3,348,303,166,110,2,594,0.796817625458996,0.796817625458996,0.158640226628895,0.158640226628895,0.0091,0.5346,0.526,0.408,0.6363,0.6202,0,0.9821,0.8234,0.6627,0.9033,0.0018,1,0.9552,0.4611,1
dm12279_High_vs_dm12272_High_38d,FBgn0010435,3,3,1819,1916,1164,1534,1646,437,0.7624004898958969,0.7624004898958969,0.8791816422449541,0.8791816422449541,0.968,0.48700000000000004,0.4889,0.4238,0.5594,0.73,0,0.4824,0.4867,0.4149,0.5572,0.6947,0,1.025,1.0297,1
dm12279_High_vs_dm12272_High_38d,FBgn0259482,3,3,214,183,103,212,218,6,0.794,0.794,0.986238532110092,0.986238532110092,0.406,0.539,0.5372,0.4637,0.6097,0.3093,0,0.493,0.4947,0.4248,0.5656,0.8804,0,0.9304,1.0133,1
dm12279_High_vs_dm12272_High_38d,FBgn0085212,3,3,157,24,260,211,224,10,0.41043083900226796,0.41043083900226796,0.9775280898876401,0.9775280898876401,0.0,0.8674,0.8093,0.7355,0.8666,0.0,1,0.4851,0.4886,0.4105,0.5647,0.7556,0,0.4848,1.0264,1
dm12279_High_vs_dm12272_High_38d,FBgn0266101,3,3,49,44,174,23,25,249,0.348314606741573,0.348314606741573,0.161616161616162,0.161616161616162,0.8302,0.5269,0.505,0.3941,0.6153,0.93,0,0.4792,0.4865,0.3544,0.6209,0.8382,0,0.9964,1.0377,1
dm12279_High_vs_dm12272_High_38d,FBgn0033437,3,3,47,45,13,34,14,12,0.876190476190476,0.876190476190476,0.8,0.8,0.1898,0.5109,0.513,0.3931,0.6281,0.8284,0,0.7083,0.6289,0.4954,0.7475,0.0584,0,0.9815,0.772,1
dm12279_High_vs_dm12272_High_38d,FBgn0040752,3,3,314,277,196,281,308,121,0.7509529860228721,0.7509529860228721,0.8295774647887321,0.8295774647887321,0.4433,0.5313,0.5321,0.4424,0.6204,0.4671,0,0.4771,0.4831,0.3935,0.5746,0.7044,0,0.9412,1.0391,1
dm12279_High_vs_dm12272_High_38d,FBgn0038243,3,3,66,75,2420,55,42,1654,0.0550566185083951,0.0550566185083951,0.0553969160479725,0.0553969160479725,0.3002,0.4681,0.4681,0.3665,0.5712,0.5376,0,0.5670000000000001,0.5476,0.4386,0.6516,0.37799999999999995,0,1.0726,0.9135,1
dm12279_High_vs_dm12272_High_38d,FBgn0032864,3,3,588,713,13,406,498,3,0.990106544901065,0.990106544901065,0.996692392502756,0.996692392502756,0.9973,0.452,0.4576,0.3975,0.5198,0.1567,0,0.4491,0.4578,0.3983,0.5219,0.1784,0,1.0911,1.0908,1
dm12279_High_vs_dm12272_High_38d,FBgn0033574,3,3,84,29,3,62,27,17,0.9741379310344829,0.9741379310344829,0.8396226415094341,0.8396226415094341,0.4776,0.7434,0.691,0.5636,0.789,0.0076,1,0.6966,0.6337,0.4991,0.7468,0.0513,0,0.6704,0.7638,1
dm12279_High_vs_dm12272_High_38d,FBgn0051908,3,3,158,148,189,250,7,220,0.6181818181818179,0.6181818181818179,0.5387840670859539,0.5387840670859539,0.0198,0.5163,0.5118,0.3728,0.644,0.8424,0,0.9728,0.8235,0.621,0.9147,0.0053,1,0.9857,0.46,1
dm12279_High_vs_dm12272_High_38d,FBgn0051901,3,3,92,27,22,77,72,7,0.8439716312056741,0.8439716312056741,0.955128205128205,0.955128205128205,0.0238,0.7731,0.7067,0.5889,0.7988,0.0024,1,0.5168,0.517,0.41,0.6247,0.7436,0,0.6453,0.9721,1
dm12279_High_vs_dm12272_High_38d,FBgn0261373,3,3,99,104,50,101,75,42,0.802371541501976,0.802371541501976,0.807339449541284,0.807339449541284,0.3269,0.4877,0.48700000000000004,0.3893,0.5846,0.7762,0,0.5739,0.5535,0.4482,0.6509999999999999,0.2911,0,1.0316,0.902,1
dm12279_High_vs_dm12272_High_38d,FBgn0035876,3,3,449,10,282,344,10,176,0.619433198380567,0.619433198380567,0.6679245283018871,0.6679245283018871,0.7364,0.9782,0.6845,0.4528,0.8697,0.12,0,0.9718,0.6452,0.4168,0.8332,0.1967,0,0.6856,0.7518,1
dm12279_High_vs_dm12272_High_38d,FBgn0035872,3,3,77,80,285,73,70,188,0.35520361990950206,0.35520361990950206,0.43202416918428993,0.43202416918428993,0.9882,0.4904,0.5019,0.3977,0.6097,0.9771,0,0.5105,0.5005,0.3927,0.6092,0.9922,0,1.0023,1.0053,1
dm12279_High_vs_dm12272_High_38d,FBgn0035871,3,3,1106,1776,592,1159,1229,421,0.829591249280368,0.829591249280368,0.850124599501602,0.850124599501602,0.0578,0.3838,0.3876,0.3232,0.4576,0.0049,1,0.4853,0.483,0.4139,0.5524,0.616,0,1.2617,1.0374,1
dm12279_High_vs_dm12272_High_38d,FBgn0028648,3,3,164,245,70,152,149,30,0.8538622129436328,0.8538622129436328,0.909365558912387,0.909365558912387,0.0767,0.401,0.4049,0.336,0.4801,0.0158,1,0.505,0.5033,0.4251,0.5811,0.9284,0,1.2172,0.9965,1
dm12279_High_vs_dm12272_High_38d,FBgn0032475,3,3,86,5,37,64,88,25,0.7109375,0.7109375,0.858757062146893,0.858757062146893,0.0002,0.9451,0.825,0.7214,0.8953,0.0,1,0.4211,0.43799999999999994,0.3379,0.545,0.2342,0,0.4591,1.1409,1
dm12279_High_vs_dm12272_High_38d,FBgn0086895,3,3,51,37,49,72,56,20,0.6423357664233579,0.6423357664233579,0.8648648648648649,0.8648648648648649,0.8182,0.5795,0.5532,0.4371,0.6631,0.3551,0,0.5625,0.5358,0.4273,0.6379,0.4944,0,0.9038,0.9355,1
dm12279_High_vs_dm12272_High_38d,FBgn0003048,3,3,81,74,107,52,72,57,0.591603053435114,0.591603053435114,0.6850828729281769,0.6850828729281769,0.2269,0.5226,0.5183,0.4201,0.6146,0.7020000000000001,0,0.4194,0.4338,0.3341,0.5388,0.2056,0,0.9686,1.1507,1
dm12279_High_vs_dm12272_High_38d,FBgn0003044,3,3,51,31,155,60,30,116,0.345991561181435,0.345991561181435,0.43689320388349495,0.43689320388349495,0.7131,0.622,0.5992,0.4812,0.7084,0.0984,0,0.6667,0.6269,0.5087,0.7305,0.0369,1,0.8217,0.7743,1
dm12279_High_vs_dm12272_High_38d,FBgn0003041,3,3,31,35,75,87,23,45,0.468085106382979,0.468085106382979,0.7096774193548392,0.7096774193548392,0.0116,0.4697,0.4786,0.3511,0.611,0.742,0,0.7909,0.7199,0.5942,0.8127,0.0029,1,1.0545,0.6248,1
dm12279_High_vs_dm12272_High_38d,FBgn0042627,3,3,997,1842,4709,1228,1537,3101,0.37612612612612606,0.37612612612612606,0.47136038186157503,0.47136038186157503,0.2742,0.3512,0.3754,0.2936,0.4711,0.0147,1,0.4441,0.4443,0.3537,0.5419,0.2316,0,1.2987,1.1248,1
dm12279_High_vs_dm12272_High_38d,FBgn0035293,3,3,34,50,22,46,70,43,0.7924528301886791,0.7924528301886791,0.729559748427673,0.729559748427673,0.8971,0.4048,0.4262,0.321,0.5382,0.19,0,0.3966,0.41600000000000004,0.3133,0.5275,0.132,0,1.1701,1.1951,1
dm12279_High_vs_dm12272_High_38d,FBgn0035290,3,3,31,53,26,27,29,14,0.763636363636364,0.763636363636364,0.8,0.8,0.2551,0.369,0.3899,0.2844,0.5061,0.0671,0,0.4821,0.4878,0.3672,0.6104,0.8451,0,1.2643,1.0332,1
dm12279_High_vs_dm12272_High_38d,FBgn0263081,3,3,1177,1354,17,569,679,124,0.9933281004709581,0.9933281004709581,0.909620991253644,0.909620991253644,0.8113,0.465,0.4637,0.4033,0.5266,0.2356,0,0.4559,0.475,0.4106,0.5433,0.4431,0,1.0777,1.0541,1
dm12279_High_vs_dm12272_High_38d,FBgn0004432,3,3,19771,16313,7788,5979,196,30372,0.8224835886214441,0.8224835886214441,0.16896051659506897,0.16896051659506897,0.1131,0.5479,0.524,0.3508,0.69,0.7718,0,0.9683,0.7425,0.5189,0.9018,0.0344,1,0.9672,0.5905,1
dm12279_High_vs_dm12272_High_38d,FBgn0287775,3,3,106,83,176,64,51,101,0.5178082191780821,0.5178082191780821,0.532407407407407,0.532407407407407,0.8231,0.5608,0.5541,0.4624,0.6409999999999999,0.2358,0,0.5565,0.5381,0.4319,0.6395,0.4627,0,0.9002,0.9311,1
dm12279_High_vs_dm12272_High_38d,FBgn0035207,3,3,274,156,119,208,88,217,0.7832422586520948,0.7832422586520948,0.576998050682261,0.576998050682261,0.2858,0.6372,0.6279,0.5492,0.7007,0.0033,1,0.7027,0.684,0.6048,0.7532,0.0,1,0.7711,0.6804,1
