sample_species,sampleID,total_reads_Input_SE,uniq_mapped_Input_SE,total_reads_K4_SE,uniq_mapped_K4_SE,total_reads_K27_SE,uniq_mapped_K27_SE,prcnt_uniq_mapped_Input_SE,prcnt_uniq_mapped_K4_SE,prcnt_uniq_mapped_K27_SE
r301,mel_r301_f_etoh_rep1,1852888,1684463,794509,735789,962782,851690,0.9091013596,0.9260927189,0.884613547
r301,mel_r301_f_etoh_rep2,2137824,1946592,1041235,971966,1245905,1105748,0.9105482958,0.9334741917,0.8875058692
r301,mel_r301_f_etoh_rep3,3220694,2922597,1197032,1123140,3460138,3068475,0.9074432405,0.9382706561,0.8868071158
r301,mel_r301_f_noEtoh_rep1,1845099,1670368,1024409,936583,1056963,937538,0.9052999324,0.914266665,0.887011182
r301,mel_r301_f_noEtoh_rep2,2807136,2557375,1021799,959536,1657351,1481009,0.9110263984,0.9390653152,0.8936000883
r301,mel_r301_f_noEtoh_rep3,2485463,2263367,713118,667649,1372977,1218959,0.9106420011,0.9362391638,0.8878218645
r301,mel_r301_m_etoh_rep1,1692326,1532489,793151,732595,1129207,999080,0.9055518854,0.9236513602,0.8847624926
r301,mel_r301_m_etoh_rep2,1700840,1530539,895362,829013,1058189,932202,0.899872416,0.9258970115,0.8809409283
r301,mel_r301_m_etoh_rep3,2208671,1989740,962046,889521,1153515,1008517,0.9008765905,0.9246137919,0.8742989905
r301,mel_r301_m_noEtoh_rep1,1315557,1180045,828935,756794,1138587,1000580,0.8969926807,0.9129714634,0.8787909927
r301,mel_r301_m_noEtoh_rep2,2336935,2111019,865649,803358,1677736,1490158,0.9033280772,0.9280412731,0.888195759
r301,mel_r301_m_noEtoh_rep3,2675460,2408636,1302925,1211134,1482194,1299566,0.9002698601,0.9295500508,0.8767853601
sz11,sim_sz11_f_etoh_rep1,2581085,2116924,1031089,961918,1092701,1000081,0.8201682626,0.9329146175,0.9152375627
sz11,sim_sz11_f_etoh_rep2,2424288,1968851,1673270,1548469,1223044,1122896,0.8121357693,0.9254149061,0.9181157832
sz11,sim_sz11_f_etoh_rep3,1748941,1437723,861984,806851,1151463,1059565,0.8220534598,0.936039416,0.9201902276
sz11,sim_sz11_f_noEtoh_rep1,2707905,2238044,965741,914150,1435533,1322742,0.8264854195,0.9465788446,0.9214291834
sz11,sim_sz11_f_noEtoh_rep2,2877571,2334527,1397705,1306186,1306774,1202023,0.8112838919,0.9345219485,0.9198400029
sz11,sim_sz11_f_noEtoh_rep3,3097464,2605983,1096203,1042959,1611705,1491896,0.841327938,0.9514287044,0.9256631952
sz11,sim_sz11_m_etoh_rep1,955711,774986,627212,584138,584099,528481,0.8108999478,0.9313246558,0.9047798404
sz11,sim_sz11_m_etoh_rep2,2479464,2035748,1227650,1155138,1861311,1706933,0.8210435804,0.9409343054,0.9170595349
sz11,sim_sz11_m_etoh_rep3,2643320,2203172,1051044,993655,1188974,1086868,0.8334866758,0.9453980994,0.9141225965
sz11,sim_sz11_m_noEtoh_rep1,3138670,2515363,1040131,986857,1126421,1032965,0.80141047,0.9487814516,0.9170327968
sz11,sim_sz11_m_noEtoh_rep2,2717216,2159121,1428757,1315575,1375514,1251060,0.7946077897,0.9207828903,0.9095218224
sz11,sim_sz11_m_noEtoh_rep3,2058224,1700040,977758,922702,1249203,1143945,0.825974238,0.9436915883,0.9157398757
