column_name	description
mel_geneID	D. melanogaster r6.17 FBgn
mel_geneSymbol	D. melanogaster r6.17 symbol
mel_chrom	D. melanogaster chromosome
mel_start	D. melanogaster gene start coordinate (0-based)
mel_end	D. melanogaster gene end coordinate
mel_strand	D. melanogaster gene strand
sim_geneID	D. simulans r2.02 FBgn
sim_geneSymbol	D. simulans r2.02 symbol
sim_chrom	D. simulans chromosome
sim_start	D. simulans gene start coordinate (0-based)
sim_end	D. simulans gene end coordinate
sim_strand	D. simulans gene strand
orthoDB_groupID	OrthoDB groupID
num_frags_ttest	"In D. melanogaster, number of exon fragments tested for DE with t-test"
manual_model_check	"In D. melanogaster, for sum of the flag_manual_model_check (flag_manual_model_check = 1 if levine pval <= 0.05 OR resid pval <= 0.05) for all exon fragments of the gene"
sum_frags_le05	"In D. melanogaster, number of exon fragments in the gene with t-test p-value <= 0.5"
ttest_minpval	"In D. melanogaster, minimum t-test p-value across exon fragments in the gene"
num_frags_ttest_0_ratio2_F	"In D. melanogaster,  sum of the flag_ttest_0_ratio2_F flags by gene.  Flag_ttest_0_ratio2_F = 1 if flag_ttest_pval = 0 and ratio_expressed = fem"
num_frags_ttest_0_ratio2_M	"In D. melanogaster, sum of the flag_ttest_0_ratio2_M flags by gene.  Flag_ttest_0_ratio2_M = 1 if flag_ttest_pval = 0 and ratio_expressed = male"
num_frags_ttest_0_ratio2_U	"In D. melanogaster, sum of the flag_ttest_0_ratio2_U flags by gene.  Flag_ttest_0_ratio2_U = 1 if flag_ttest_pval = 0 and ratio_expressed = unb"
num_frags_ttest_0_trend_F	"In D. melanogaster,  sum of the flag_ttest_0_trend_F flags by gene.  Flag_ttest_0_trend_F = 1 if flag_ttest_pval = 0 and ratio_trend = fem"
num_frags_ttest_0_trend_M	"In D. melanogaster, sum of the flag_ttest_0_trend_M flags by gene.  Flag_ttest_0_trend_M = 1 if flag_ttest_pval = 0 and ratio_trend = male"
num_frags_ttest_0_trend_U	"In D. melanogaster, sum of the flag_ttest_0_trend_U flags by gene.  Flag_ttest_0_trend_U = 1 if flag_ttest_pval = 0 and ratio_trend = unb"
num_frags_ttest_1_ratio2_F	"In D. melanogaster,  sum of the flag_ttest_1_ratio2_F flags by gene.  Flag_ttest_1_ratio2_F = 1 if flag_ttest_pval = 1 and ratio_expressed = fem"
num_frags_ttest_1_ratio2_M	"In D. melanogaster, sum of the flag_ttest_1_ratio2_M flags by gene.  Flag_ttest_1_ratio2_M = 1 if flag_ttest_pval = 1 and ratio_expressed = male"
num_frags_ttest_1_ratio2_U	"In D. melanogaster, sum of the flag_ttest_1_ratio2_U flags by gene.  Flag_ttest_1_ratio2_U = 1 if flag_ttest_pval = 1 and ratio_expressed = unb"
num_frags_ttest_1_trend_F	"In D. melanogaster,  sum of the flag_ttest_1_trend_F flags by gene.  Flag_ttest_1_trend_F = 1 if flag_ttest_pval = 1 and ratio_trend = fem"
num_frags_ttest_1_trend_M	"In D. melanogaster, sum of the flag_ttest_1_trend_M flags by gene.  Flag_ttest_1_trend_M = 1 if flag_ttest_pval = 1 and ratio_trend = male"
num_frags_ttest_1_trend_U	"In D. melanogaster, sum of the flag_ttest_1_trend_U flags by gene.  Flag_ttest_1_trend_U = 1 if flag_ttest_pval = 1 and ratio_trend = unb"
num_k4_none	Number of D. melanogaster exon fragments with no H3K4me3 detected in either sex
num_k4_both	Number of D. melanogaster exon fragments with H3K4me3 detected in both sexes
num_k4_fem	Number of D. melanogaster exon fragments with H3K4me3 detected in females
num_k4_male	Number of D. melanogaster exon fragments with H3K4me3 detected in males
sum_fragments_k4	Number of D. melanogaster exon fragments with H3K4me3 detected
gene_k4	"In D. melanogaster, the gene classification for H3K4me3 exon fragment presence: _'none' if sum_fragments_k4==0, 'male_and_female_and_both' if num_k4_both>0 & num_k4_fem>0 & num_k4_male>0, 'male_and_female"" if num_k4_both==0 & num_k4_fem>0 & num_k4_male>0, 'male_and_unb' if num_k4_both>0 & num_k4_fem==0 & num_k4_male>0, 'fem_and_unb' if num_k4_both>0 & num_k4_fem>0 & num_k4_male==0, 'unb' if num_k4_both>0 & num_k4_fem==0 & num_k4_male==0, 'male' if num_k4_both==0 & num_k4_fem==0 & num_k4_male>0, and 'fem' if num_k4_both==0 & num_k4_fem>0 & num_k4_male==0"
num_k27_none	Number of D. melanogaster exon fragments with no H3K27me2me3 detected in either sex
num_k27_both	Number of D. melanogaster exon fragments with H3K27me2me3 detected in both sexes
num_k27_fem	Number of D. melanogaster exon fragments with H3K27me2me3 detected in females
num_k27_male	Number of D. melanogaster exon fragments with H3K27me2me3 detected in males
sum_fragments_k27	Number of D. melanogaster exon fragments with H3K27me2me3 detected
gene_k27	"In D. melanogaster, the gene classification for H3K27me2me3 exon fragment presence: _'none' if sum_fragments_k27==0, 'male_and_female_and_both' if num_k27_both>0 & num_k27_fem>0 & num_k27_male>0, 'male_and_female"" if num_k27_both==0 & num_k27_fem>0 & num_k27_male>0, 'male_and_unb' if num_k27_both>0 & num_k27_fem==0 & num_k27_male>0, 'fem_and_unb' if num_k27_both>0 & num_k27_fem>0 & num_k27_male==0, 'unb' if num_k27_both>0 & num_k27_fem==0 & num_k27_male==0, 'male' if num_k27_both==0 & num_k27_fem==0 & num_k27_male>0, and 'fem' if num_k27_both==0 & num_k27_fem>0 & num_k27_male==0"
num_rna_both	Number of D. melanogaster exon fragments with expression detected in both sexes
num_rna_none	Number of D. melanogaster exon fragments with no expression detected in either sex
num_rna_male	Number of D. melanogaster exon fragments with expression detected in males
num_rna_fem	Number of D. melanogaster exon fragments with expression detected in females
sum_fragments_rna_detected	Number of D. melanogaster exon fragments with expression detected in either sex
gene_rna	"In D. melanogaster, the gene classification for exon fragment expression detection: _'none' if sum_fragments_rna_detected==0, 'male_and_female_and_both' if num_rna_both>0 & num_rna_fem>0 & num_rna_male>0, 'male_and_female"" if num_rna_both==0 & num_rna_fem>0 & num_rna_male>0, 'male_and_both' if num_rna_both>0 & num_rna_fem==0 & num_rna_male>0, 'fem_and_both' if num_rna_both>0 & num_rna_fem>0 & num_rna_male==0, 'both' if num_rna_both>0 & num_rna_fem==0 & num_rna_male==0, 'male' if num_rna_both==0 & num_rna_fem==0 & num_rna_male>0, and 'fem' if num_rna_both==0 & num_rna_fem>0 & num_rna_male==0"
num_frag_detected05	Number of D. melanogaster exon fragments with expression detected in either sex with an APN>5
num_frag_not_detected05	Number of D. melanogaster exon fragments with expression detected in either sex with an APN<5
flag_rna_detected05	1 if num_frag_detected05 > 0
biological_process	Biological process GOids associated with the D. melanogaster gene (separated by '|')
goterm_biol_process	Biological process GO terms associated with the D. melanogaster gene (separated by '|')
molecular_function	Molecular function GOids associated with the D. melanogaster gene (separated by '|')
goterm_mol_function	Molecular function GO terms associated with the D. melanogaster gene (separated by '|')
cellular_component	Cellular component GOids associated with the D. melanogaster gene (separated by '|')
goterm_cell_component	Cellular component GO terms associated with the D. melanogaster gene (separated by '|')
num_transcripts	Number of transcripts in the D. melanogaster r6.17 reference annotation
flag_single_transcript	1 if gene has a single transcript in the D. melanogaster r6.17 reference annotation
xsome	Chromosomal location of D. melanogaster gene: X for X chromsome and A for autosomes (excluding chromosome 4)
flag_4Y	1 if D. melanogaster gene is on chromosome 4 or the Y chromosome
flag_X	1 if D. melanogaster gene is on the X chromosome
flag_Y	1 if D. melanogaster gene is on the Y chromosome
sim_num_frags_ttest	"In D. simulans, number of exon fragments tested for DE with t-test"
sim_manual_model_check	"In D. simulans, for sum of the flag_manual_model_check (flag_manual_model_check = 1 if levine pval <= 0.05 OR resid pval <= 0.05) for all exon fragments of the gene"
sim_sum_frags_le05	"In D. simulans, number of exon fragments in the gene with t-test p-value <= 0.5"
sim_ttest_minpval	"In D. simulans, minimum t-test p-value across exon fragments in the gene"
sim_num_frags_ttest_0_ratio2_F	"In D. simulans,  sum of the flag_ttest_0_ratio2_F flags by gene.  Flag_ttest_0_ratio2_F = 1 if flag_ttest_pval = 0 and ratio_expressed = fem"
sim_num_frags_ttest_0_ratio2_M	"In D. simulans, sum of the flag_ttest_0_ratio2_M flags by gene.  Flag_ttest_0_ratio2_M = 1 if flag_ttest_pval = 0 and ratio_expressed = male"
sim_num_frags_ttest_0_ratio2_U	"In D. simulans, sum of the flag_ttest_0_ratio2_U flags by gene.  Flag_ttest_0_ratio2_U = 1 if flag_ttest_pval = 0 and ratio_expressed = unb"
sim_num_frags_ttest_0_trend_F	"In D. simulans,  sum of the flag_ttest_0_trend_F flags by gene.  Flag_ttest_0_trend_F = 1 if flag_ttest_pval = 0 and ratio_trend = fem"
sim_num_frags_ttest_0_trend_M	"In D. simulans, sum of the flag_ttest_0_trend_M flags by gene.  Flag_ttest_0_trend_M = 1 if flag_ttest_pval = 0 and ratio_trend = male"
sim_num_frags_ttest_0_trend_U	"In D. simulans, sum of the flag_ttest_0_trend_U flags by gene.  Flag_ttest_0_trend_U = 1 if flag_ttest_pval = 0 and ratio_trend = unb"
sim_num_frags_ttest_1_ratio2_F	"In D. simulans,  sum of the flag_ttest_1_ratio2_F flags by gene.  Flag_ttest_1_ratio2_F = 1 if flag_ttest_pval = 1 and ratio_expressed = fem"
sim_num_frags_ttest_1_ratio2_M	"In D. simulans, sum of the flag_ttest_1_ratio2_M flags by gene.  Flag_ttest_1_ratio2_M = 1 if flag_ttest_pval = 1 and ratio_expressed = male"
sim_num_frags_ttest_1_ratio2_U	"In D. simulans, sum of the flag_ttest_1_ratio2_U flags by gene.  Flag_ttest_1_ratio2_U = 1 if flag_ttest_pval = 1 and ratio_expressed = unb"
sim_num_frags_ttest_1_trend_F	"In D. simulans,  sum of the flag_ttest_1_trend_F flags by gene.  Flag_ttest_1_trend_F = 1 if flag_ttest_pval = 1 and ratio_trend = fem"
sim_num_frags_ttest_1_trend_M	"In D. simulans, sum of the flag_ttest_1_trend_M flags by gene.  Flag_ttest_1_trend_M = 1 if flag_ttest_pval = 1 and ratio_trend = male"
sim_num_frags_ttest_1_trend_U	"In D. simulans, sum of the flag_ttest_1_trend_U flags by gene.  Flag_ttest_1_trend_U = 1 if flag_ttest_pval = 1 and ratio_trend = unb"
sim_num_k4_none	Number of D. simulans exon fragments with no H3K4me3 detected in either sex
sim_num_k4_fem	Number of D. simulans exon fragments with H3K4me3 detected in both sexes
sim_num_k4_male	Number of D. simulans exon fragments with H3K4me3 detected in females
sim_num_k4_both	Number of D. simulans exon fragments with H3K4me3 detected in males
sim_sum_fragments_k4	Number of D. simulans exon fragments with H3K4me3 detected
