dataType,sampleID,mapped_reads
chipseq,I_mel_r301_f_etoh_rep1,14122401
chipseq,I_mel_r301_f_etoh_rep2,14081807
chipseq,I_mel_r301_f_etoh_rep3,12522397
chipseq,I_mel_r301_f_noEtoh_rep1,13933901
chipseq,I_mel_r301_f_noEtoh_rep2,16636528
chipseq,I_mel_r301_f_noEtoh_rep3,15184829
chipseq,I_mel_r301_m_etoh_rep1,13730956
chipseq,I_mel_r301_m_etoh_rep2,9317578
chipseq,I_mel_r301_m_etoh_rep3,12027700
chipseq,I_mel_r301_m_noEtoh_rep1,12277789
chipseq,I_mel_r301_m_noEtoh_rep2,12906232
chipseq,I_mel_r301_m_noEtoh_rep3,15984746
chipseq,I_sim_sz11_f_etoh_rep1,18606805
chipseq,I_sim_sz11_f_etoh_rep2,15563474
chipseq,I_sim_sz11_f_etoh_rep3,14587809
chipseq,I_sim_sz11_f_noEtoh_rep1,15876519
chipseq,I_sim_sz11_f_noEtoh_rep2,12701545
chipseq,I_sim_sz11_f_noEtoh_rep3,12943173
chipseq,I_sim_sz11_m_etoh_rep1,10829762
chipseq,I_sim_sz11_m_etoh_rep2,10629954
chipseq,I_sim_sz11_m_etoh_rep3,13907405
chipseq,I_sim_sz11_m_noEtoh_rep1,14203578
chipseq,I_sim_sz11_m_noEtoh_rep2,13157158
chipseq,I_sim_sz11_m_noEtoh_rep3,11270730
chipseq,K27_mel_r301_f_etoh_rep1,13545593
chipseq,K27_mel_r301_f_etoh_rep2,13870239
chipseq,K27_mel_r301_f_etoh_rep3,25315543
chipseq,K27_mel_r301_f_noEtoh_rep1,12201188
chipseq,K27_mel_r301_f_noEtoh_rep2,15149284
chipseq,K27_mel_r301_f_noEtoh_rep3,14864929
chipseq,K27_mel_r301_m_etoh_rep1,13808049
chipseq,K27_mel_r301_m_etoh_rep2,12630100
chipseq,K27_mel_r301_m_etoh_rep3,12074620
chipseq,K27_mel_r301_m_noEtoh_rep1,14729582
chipseq,K27_mel_r301_m_noEtoh_rep2,14247239
chipseq,K27_mel_r301_m_noEtoh_rep3,15240754
chipseq,K27_sim_sz11_f_etoh_rep1,16272744
chipseq,K27_sim_sz11_f_etoh_rep2,17272800
chipseq,K27_sim_sz11_f_etoh_rep3,15781323
chipseq,K27_sim_sz11_f_noEtoh_rep1,15554220
chipseq,K27_sim_sz11_f_noEtoh_rep2,12891492
chipseq,K27_sim_sz11_f_noEtoh_rep3,15817456
chipseq,K27_sim_sz11_m_etoh_rep1,11710944
chipseq,K27_sim_sz11_m_etoh_rep2,17346058
chipseq,K27_sim_sz11_m_etoh_rep3,12892075
chipseq,K27_sim_sz11_m_noEtoh_rep1,13155098
chipseq,K27_sim_sz11_m_noEtoh_rep2,13626382
chipseq,K27_sim_sz11_m_noEtoh_rep3,14252085
chipseq,K4_mel_r301_f_etoh_rep1,14710608
chipseq,K4_mel_r301_f_etoh_rep2,15665497
chipseq,K4_mel_r301_f_etoh_rep3,14350040
chipseq,K4_mel_r301_f_noEtoh_rep1,14161798
chipseq,K4_mel_r301_f_noEtoh_rep2,15234019
chipseq,K4_mel_r301_f_noEtoh_rep3,14177299
chipseq,K4_mel_r301_m_etoh_rep1,14975311
chipseq,K4_mel_r301_m_etoh_rep2,13854896
chipseq,K4_mel_r301_m_etoh_rep3,12729364
chipseq,K4_mel_r301_m_noEtoh_rep1,15873719
chipseq,K4_mel_r301_m_noEtoh_rep2,14748293
chipseq,K4_mel_r301_m_noEtoh_rep3,15169781
chipseq,K4_sim_sz11_f_etoh_rep1,17673331
chipseq,K4_sim_sz11_f_etoh_rep2,18387262
chipseq,K4_sim_sz11_f_etoh_rep3,15805784
chipseq,K4_sim_sz11_f_noEtoh_rep1,17592270
chipseq,K4_sim_sz11_f_noEtoh_rep2,15070827
chipseq,K4_sim_sz11_f_noEtoh_rep3,15204894
chipseq,K4_sim_sz11_m_etoh_rep1,15256886
chipseq,K4_sim_sz11_m_etoh_rep2,15448376
chipseq,K4_sim_sz11_m_etoh_rep3,13608827
chipseq,K4_sim_sz11_m_noEtoh_rep1,17598805
chipseq,K4_sim_sz11_m_noEtoh_rep2,14957358
chipseq,K4_sim_sz11_m_noEtoh_rep3,17458511
rnaseq,mel_153_f_etoh_rep1,13126055
rnaseq,mel_153_f_etoh_rep2,17068115
rnaseq,mel_153_f_etoh_rep3,15851778
rnaseq,mel_153_f_noEtoh_rep1,13645344
rnaseq,mel_153_f_noEtoh_rep2,17022989
rnaseq,mel_153_f_noEtoh_rep3,18025344
rnaseq,mel_153_m_etoh_rep1,14792411
rnaseq,mel_153_m_etoh_rep2,16576438
rnaseq,mel_153_m_etoh_rep3,16714291
rnaseq,mel_153_m_noEtoh_rep1,18744664
rnaseq,mel_153_m_noEtoh_rep2,24071160
rnaseq,mel_153_m_noEtoh_rep3,12503168
rnaseq,mel_301_f_etoh_rep1,13077386
rnaseq,mel_301_f_etoh_rep2,13530238
rnaseq,mel_301_f_etoh_rep3,14402690
rnaseq,mel_301_f_noEtoh_rep1,17871492
rnaseq,mel_301_f_noEtoh_rep2,34320123
rnaseq,mel_301_f_noEtoh_rep3,12114133
rnaseq,mel_301_m_etoh_rep1,22293472
rnaseq,mel_301_m_etoh_rep2,14847296
rnaseq,mel_301_m_etoh_rep3,11453187
rnaseq,mel_301_m_noEtoh_rep1,17211180
rnaseq,mel_301_m_noEtoh_rep2,11882862
rnaseq,mel_301_m_noEtoh_rep3,18180360
rnaseq,sim_11_f_etoh_rep1,18355476
rnaseq,sim_11_f_etoh_rep2,16779557
rnaseq,sim_11_f_etoh_rep3,15737017
rnaseq,sim_11_f_noEtoh_rep1,17426712
rnaseq,sim_11_f_noEtoh_rep2,19191931
rnaseq,sim_11_f_noEtoh_rep3,13593988
rnaseq,sim_11_m_etoh_rep1,19213145
rnaseq,sim_11_m_etoh_rep2,18789748
rnaseq,sim_11_m_etoh_rep3,13404325
rnaseq,sim_11_m_noEtoh_rep1,14986181
rnaseq,sim_11_m_noEtoh_rep2,15506779
rnaseq,sim_11_m_noEtoh_rep3,14900364
rnaseq,sim_12_f_etoh_rep1,13864028
rnaseq,sim_12_f_etoh_rep2,13261097
rnaseq,sim_12_f_etoh_rep3,19878027
rnaseq,sim_12_f_noEtoh_rep1,14301983
rnaseq,sim_12_f_noEtoh_rep2,18092447
rnaseq,sim_12_f_noEtoh_rep3,17356429
rnaseq,sim_12_m_etoh_rep1,16196433
rnaseq,sim_12_m_etoh_rep2,16705259
rnaseq,sim_12_m_etoh_rep3,14880327
rnaseq,sim_12_m_noEtoh_rep1,14113190
rnaseq,sim_12_m_noEtoh_rep2,6010971
rnaseq,sim_12_m_noEtoh_rep3,15562235
