Sample_id,basic_stats,base_qual,seq_qual,base_content,base_GC,seq_GC,base_N,seq_length,seq_dup,seq_overrep,kmer,percent_pass
3c-K4_S140_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,PASS,WARN,81.81
6b-K27_S156_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,WARN,PASS,WARN,72.72
5d-K4_S134_L004_R1_001_fastqc,PASS,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,WARN,PASS,81.81
3b-I_S148_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,WARN,PASS,PASS,81.81
1d-K4_S104_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,WARN,PASS,81.81
2d-K27_S129_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,WARN,PASS,PASS,81.81
6a-K4_S143_L004_R1_001_fastqc,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,PASS,90.90
1a-K27_S90_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,WARN,WARN,72.72
2a-K27_S114_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,WARN,PASS,PASS,72.72
1a-I_S88_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,WARN,PASS,81.81
3a-I_S136_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,PASS,PASS,90.90
1d-K27_S105_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,WARN,PASS,72.72
1c-K27_S93_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,WARN,WARN,PASS,63.63
5d-K4_S134_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,WARN,WARN,63.63
6a-I_S142_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,PASS,WARN,PASS,PASS,WARN,PASS,PASS,72.72
4a-I_S94_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,WARN,PASS,PASS,WARN,WARN,PASS,54.54
3b-I_S148_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,WARN,PASS,PASS,81.81
1b-I_S100_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,WARN,WARN,PASS,63.63
3d-K27_S153_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,WARN,PASS,PASS,81.81
5c-K27_S123_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,WARN,WARN,72.72
3a-I_S136_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,WARN,PASS,PASS,81.81
2b-K4_S125_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,PASS,PASS,90.90
1b-K4_S101_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,WARN,WARN,72.72
3c-I_S139_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,WARN,PASS,PASS,81.81
6d-K27_S159_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,PASS,WARN,72.72
5a-K27_S120_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,WARN,PASS,PASS,72.72
4d-K27_S111_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,WARN,WARN,63.63
3d-K4_S152_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,PASS,PASS,90.90
5b-K27_S132_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,WARN,PASS,WARN,63.63
3d-I_S151_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,WARN,WARN,PASS,72.72
4a-K4_S95_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,WARN,WARN,72.72
3a-K27_S138_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,PASS,WARN,81.81
5b-I_S130_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,WARN,WARN,PASS,PASS,PASS,PASS,PASS,72.72
5b-K4_S131_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,PASS,PASS,81.81
6b-I_S154_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,WARN,WARN,PASS,PASS,PASS,PASS,WARN,63.63
6c-K4_S146_L004_R2_001_fastqc,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,WARN,81.81
6a-K4_S143_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,WARN,WARN,72.72
4b-I_S106_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,WARN,WARN,PASS,PASS,WARN,WARN,WARN,45.45
5b-I_S130_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,WARN,PASS,PASS,WARN,PASS,PASS,63.63
2c-K27_S117_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,WARN,PASS,PASS,81.81
4c-K27_S99_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,WARN,WARN,PASS,63.63
3d-K4_S152_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,PASS,WARN,81.81
6c-K27_S147_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,WARN,PASS,WARN,72.72
5c-K27_S123_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,WARN,WARN,72.72
