sampleID,uq_ff,flag_bad_sample
mel_153_f_etoh_rep1,1.239785799,0
mel_153_f_etoh_rep2,0.989030114,0
mel_153_f_etoh_rep3,1.003639283,0
mel_153_f_noEtoh_rep1,1.178914943,0
mel_153_f_noEtoh_rep2,1.103117647,0
mel_153_f_noEtoh_rep3,0.987311783,0
mel_153_m_etoh_rep1,0.983583342,0
mel_153_m_etoh_rep2,0.912999026,0
mel_153_m_etoh_rep3,0.961347209,0
mel_153_m_noEtoh_rep1,0.767339089,0
mel_153_m_noEtoh_rep2,0.689702096,0
mel_153_m_noEtoh_rep3,1.210573882,0
mel_301_f_etoh_rep1,1.38225105,0
mel_301_f_etoh_rep2,1.259774285,0
mel_301_f_etoh_rep3,1.064845835,0
mel_301_f_noEtoh_rep1,0.876800075,0
mel_301_f_noEtoh_rep2,0.574654879,0
mel_301_f_noEtoh_rep3,1.331605482,0
mel_301_m_etoh_rep1,0.741987814,0
mel_301_m_etoh_rep2,1.104221869,0
mel_301_m_etoh_rep3,1.333973538,0
mel_301_m_noEtoh_rep1,1.011052405,0
mel_301_m_noEtoh_rep2,1.298864109,0
mel_301_m_noEtoh_rep3,0.884992921,0
sim_11_f_etoh_rep1,0.892320137,0
sim_11_f_etoh_rep2,0.994115776,0
sim_11_f_etoh_rep3,1.001816336,0
sim_11_f_noEtoh_rep1,0.935778443,0
sim_11_f_noEtoh_rep2,0.992747485,0
sim_11_f_noEtoh_rep3,1.207533806,0
sim_11_m_etoh_rep1,0.793005751,0
sim_11_m_etoh_rep2,0.850013598,0
sim_11_m_etoh_rep3,1.154101791,0
sim_11_m_noEtoh_rep1,1.004687793,0
sim_11_m_noEtoh_rep2,1.134345512,0
sim_11_m_noEtoh_rep3,1.023858921,0
sim_12_f_etoh_rep1,1.173676305,0
sim_12_f_etoh_rep2,1.152895611,0
sim_12_f_etoh_rep3,0.808458355,0
sim_12_f_noEtoh_rep1,1.055793267,0
sim_12_f_noEtoh_rep2,0.890582704,0
sim_12_f_noEtoh_rep3,0.923838613,0
sim_12_m_etoh_rep1,0.894320187,0
sim_12_m_etoh_rep2,0.851209659,0
sim_12_m_etoh_rep3,1.063366505,0
sim_12_m_noEtoh_rep1,1.043050225,0
sim_12_m_noEtoh_rep2,,1
sim_12_m_noEtoh_rep3,0.992957747,0
