species,featureType,num_m_on0_apn,num_f_on0_apn,num_either_sex_on0_apn,num_both_sex_on0_apn,perc_m_on0_apn,perc_f_on0_apn,perc_either_sex_on0_apn,perc_both_sex_on0_apn
D. melanogaster,3UTR,14505,14280,14700,14085,67.15277777777777,66.11111111111111,68.05555555555556,65.20833333333333
D. melanogaster,5UTR,18640,18198,19066,17772,65.45173636714773,63.899715579900985,66.94757540643982,62.40387654060887
D. melanogaster,TSS,15761,15323,16161,14923,68.84637225352728,66.93312366225483,70.59363124099069,65.18586467479142
D. melanogaster,exonic,69373,68038,70568,66843,79.30790072365187,77.7817155007831,80.67403655985275,76.41557966458221
D. melanogaster,intergenic,6000,5633,6260,5373,52.835505459668894,49.603733709052484,55.12504402958789,47.314195139133496
D. melanogaster,intronic,29555,28483,30576,27462,66.01666331613393,63.62214925506488,68.29725926422302,61.341553306975804
D. simulans,3UTR,11820,11717,12032,11505,72.82360914299797,72.18902100917997,74.12975170969133,70.8828784424866
D. simulans,5UTR,16108,16054,16653,15509,64.22391451696502,64.00861209680635,66.39687412782584,61.83565248594554
D. simulans,TSS,13806,13712,14291,13227,65.52755232806493,65.08139921211257,67.82951255398928,62.77943898618824
D. simulans,exonic,61777,61482,63283,59976,77.79988665701151,77.42837352811536,79.6964926641899,75.53176752093697
D. simulans,intergenic,6769,6616,7144,6241,41.85111908000494,40.90515642389019,44.16965500185483,38.58662050204031
D. simulans,intronic,30010,30013,31531,28492,63.53205182487933,63.538402913032435,66.75205351850283,60.318401219408926
