Term,flag_B73Zero_restUp,flag_DE_B73,flag_DE_C123,flag_DE_Hp301,flag_DE_Mo17,flag_DE_NC338,flag_DE_all,flag_DE_all_noB73
NADH dehydrogenase complex (plastoquinone) assembly,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
amine transport,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
aromatic amino acid family biosynthetic process,0.0,0.0,4.0,1.0,4.0,4.0,0.0,4.0
carotenoid biosynthetic process,0.0,0.0,4.0,3.0,4.0,4.0,0.0,3.0
cellular cation homeostasis,0.0,0.0,4.0,4.0,3.0,4.0,0.0,4.0
cellular response to hydrogen peroxide,0.0,0.0,3.0,0.0,1.0,1.0,0.0,4.0
chloroplast ribulose bisphosphate carboxylase complex biogenesis,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
chromatin silencing,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
coenzyme biosynthetic process,0.0,0.0,3.0,0.0,3.0,1.0,0.0,4.0
cotyledon development,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
covalent chromatin modification,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cytoplasmic translation,0.0,0.0,1.0,3.0,2.0,4.0,0.0,0.0
de-etiolation,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
dephosphorylation,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
detection of biotic stimulus,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0
divalent metal ion transport,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0
extracellular matrix organization,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
formation of translation preinitiation complex,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
galactose transport,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
glucosinolate metabolic process,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
glutathione metabolic process,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
glycine catabolic process,0.0,0.0,3.0,0.0,3.0,4.0,0.0,1.0
heat acclimation,0.0,4.0,1.0,4.0,0.0,1.0,4.0,0.0
hexose transmembrane transport,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
histone acetylation,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
hydrogen peroxide catabolic process,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0
indoleacetic acid biosynthetic process,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
iron-sulfur cluster assembly,0.0,0.0,3.0,0.0,2.0,4.0,0.0,4.0
lipoate metabolic process,0.0,0.0,3.0,0.0,4.0,4.0,0.0,1.0
mRNA export from nucleus,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
mRNA modification,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0
mature ribosome assembly,0.0,0.0,4.0,4.0,3.0,4.0,0.0,0.0
meristem structural organization,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mitotic G2 phase,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
mitotic cell cycle,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
myo-inositol transport,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
