genotype,treatment,sample,num_mapped_reads,num_map_id_ge_95,num_map_id_ge_90,num_map_id_ge_85,num_map_id_ge_80,num_map_cov_ge_95,num_map_cov_ge_90,num_map_cov_ge_85,num_map_cov_ge_80,num_map_id_cov_95,prop_map_id_ge_95,prop_map_id_ge_90,prop_map_id_ge_85,prop_map_id_ge_80,prop_map_cov_ge_95,prop_map_cov_ge_90,prop_map_cov_ge_85,prop_map_cov_ge_80,prop_map_id_cov_95,num_unmapped_reads
c123,amb,113_c123_amb,440186,377978,420509,432656,436288,416841,425598,429373,431577,366026,0.858678,0.955298,0.982894,0.991145,0.946966,0.966859,0.975435,0.980442,0.831526,565
c123,oz,120_c123_oz,497343,427671,476597,489754,493443,473728,482849,486880,489274,416369,0.859912,0.958286,0.984741,0.992158,0.952518,0.970857,0.978962,0.983776,0.837187,720
mo17,amb,19_mo17_amb,321402,293720,314131,318926,319980,311086,314882,316406,317332,287868,0.913871,0.977377,0.992296,0.995576,0.967903,0.979714,0.984456,0.987337,0.895663,266
mo17,oz,21-2_mo17_oz,445950,383240,426947,438380,441897,427149,433534,436542,438382,374996,0.859379,0.957388,0.983025,0.990912,0.957841,0.972158,0.978903,0.983029,0.840892,672
mo17,oz,21_mo17_oz,492584,439435,477087,486245,488865,477963,482090,484031,485475,432942,0.892102,0.968539,0.987131,0.99245,0.970318,0.978696,0.982636,0.985568,0.87892,425
b73,amb,42_b73_amb,457997,390775,437094,450834,454568,431520,442106,446745,449396,374611,0.853226,0.95436,0.98436,0.992513,0.94219,0.965303,0.975432,0.98122,0.817933,580
b73,oz,46_b73_oz,463630,416886,450559,459314,461567,447203,453940,456809,458334,405974,0.899178,0.971807,0.990691,0.99555,0.964569,0.9791,0.985288,0.988577,0.875642,466
hp301,amb,67_hp301_amb,481889,416565,462064,475296,478531,461430,468397,471577,473589,406319,0.864442,0.95886,0.986318,0.993032,0.957544,0.972002,0.978601,0.982776,0.84318,677
hp301,oz,70_hp301_oz,478774,412481,457442,470509,474317,457848,464280,467434,469429,402680,0.861536,0.955445,0.982737,0.990691,0.956293,0.969727,0.976315,0.980481,0.841065,703
nc338,amb,89_nc338_amb,457363,393442,437654,450158,453794,438485,445875,449047,450852,384581,0.86024,0.956907,0.984247,0.992197,0.958724,0.974882,0.981818,0.985764,0.840866,855
nc338,oz,96_nc338_oz,454585,394876,435385,447843,451185,430635,438111,441783,444241,383553,0.868652,0.957764,0.985169,0.992521,0.947315,0.96376,0.971838,0.977245,0.843743,1708
