genotype,treatment,sample,num_mapped_reads,num_map_id_ge_95,num_map_id_ge_90,num_map_id_ge_85,num_map_id_ge_80,num_map_cov_ge_95,num_map_cov_ge_90,num_map_cov_ge_85,num_map_cov_ge_80,num_map_id_cov_95,prop_map_id_ge_95,prop_map_id_ge_90,prop_map_id_ge_85,prop_map_id_ge_80,prop_map_cov_ge_95,prop_map_cov_ge_90,prop_map_cov_ge_85,prop_map_cov_ge_80,prop_map_id_cov_95,num_unmapped_reads
c123,amb,113_c123_amb,440166,381525,421119,432863,436644,411254,420546,425260,427812,364319,0.866775,0.956728,0.983409,0.991998,0.934316,0.955426,0.966136,0.971933,0.827685,585
c123,oz,120_c123_oz,497440,428662,473686,486135,492358,473039,481741,485695,487961,415877,0.861736,0.952248,0.977274,0.989784,0.950947,0.96844,0.976389,0.980944,0.836034,623
mo17,amb,19_mo17_amb,321451,301239,316354,319875,320734,310937,314330,315921,316779,293580,0.937123,0.984144,0.995097,0.997769,0.967292,0.977847,0.982797,0.985466,0.913296,217
mo17,oz,21-2_mo17_oz,446163,399166,432097,440639,443592,429754,435561,438259,439746,389211,0.894664,0.968473,0.987619,0.994238,0.963222,0.976237,0.982285,0.985617,0.872352,459
mo17,oz,21_mo17_oz,492706,454518,482048,488469,490764,481538,484809,486487,487474,447181,0.922493,0.978368,0.991401,0.996059,0.977333,0.983972,0.987378,0.989381,0.907602,303
b73,amb,42_b73_amb,457839,371616,428548,445874,452273,417471,429158,435276,439106,350240,0.811674,0.936023,0.973866,0.987843,0.911829,0.937356,0.950718,0.959084,0.764985,738
b73,oz,46_b73_oz,463499,400558,444801,456283,459835,439615,447143,450989,453046,387257,0.864205,0.959659,0.984431,0.992095,0.94847,0.964712,0.97301,0.977448,0.835508,597
hp301,amb,67_hp301_amb,481883,415290,461236,473962,478083,455992,463118,466854,469369,400999,0.861807,0.957153,0.983562,0.992114,0.946271,0.961059,0.968812,0.974031,0.83215,683
hp301,oz,70_hp301_oz,478737,411441,456537,469164,473790,454005,460333,464017,466285,399185,0.85943,0.953628,0.980004,0.989667,0.948339,0.961557,0.969252,0.97399,0.833829,740
nc338,amb,89_nc338_amb,457436,390146,436904,449755,453688,434583,442098,445755,447701,378644,0.852897,0.955115,0.983209,0.991807,0.950041,0.96647,0.974464,0.978718,0.827753,782
nc338,oz,96_nc338_oz,455395,395519,436058,448138,451859,428957,436819,440699,443381,381640,0.868519,0.957538,0.984064,0.992235,0.941945,0.959209,0.967729,0.973619,0.838042,898
