genotype,treatment,sample,num_mapped_reads,num_map_id_ge_95,num_map_id_ge_90,num_map_id_ge_85,num_map_id_ge_80,num_map_cov_ge_95,num_map_cov_ge_90,num_map_cov_ge_85,num_map_cov_ge_80,num_map_id_cov_95,prop_map_id_ge_95,prop_map_id_ge_90,prop_map_id_ge_85,prop_map_id_ge_80,prop_map_cov_ge_95,prop_map_cov_ge_90,prop_map_cov_ge_85,prop_map_cov_ge_80,prop_map_id_cov_95,num_unmapped_reads
c123,amb,113_c123_amb,30746,30056,30494,30610,30665,29857,30003,30115,30212,29346,0.977558,0.991804,0.995577,0.997366,0.971086,0.975834,0.979477,0.982632,0.954466,29
c123,oz,120_c123_oz,42901,41649,42418,42620,42735,41968,42152,42258,42339,41011,0.970817,0.988742,0.99345,0.996131,0.978252,0.982541,0.985012,0.9869,0.955945,29
mo17,amb,19_mo17_amb,23640,23554,23596,23608,23620,23365,23401,23444,23469,23303,0.996362,0.998139,0.998646,0.999154,0.988367,0.98989,0.991709,0.992766,0.985745,14
mo17,oz,21-2_mo17_oz,35899,35760,35828,35844,35875,35644,35677,35708,35729,35538,0.996128,0.998022,0.998468,0.999331,0.992897,0.993816,0.99468,0.995264,0.989944,19
mo17,oz,21_mo17_oz,37916,37792,37848,37870,37893,37590,37633,37667,37689,37499,0.99673,0.998207,0.998787,0.999393,0.991402,0.992536,0.993433,0.994013,0.989002,17
b73,amb,42_b73_amb,36306,35034,35842,36063,36163,34881,35158,35331,35469,33961,0.964964,0.98722,0.993307,0.996061,0.96075,0.96838,0.973145,0.976946,0.93541,33
b73,oz,46_b73_oz,37995,36984,37625,37790,37874,37170,37346,37446,37519,36396,0.973391,0.990262,0.994605,0.996815,0.978287,0.982919,0.985551,0.987472,0.957916,30
hp301,amb,67_hp301_amb,35056,33807,34523,34758,34857,33928,34134,34268,34362,32995,0.964371,0.984796,0.991499,0.994323,0.967823,0.973699,0.977522,0.980203,0.941208,48
hp301,oz,70_hp301_oz,39794,38434,39181,39470,39580,38756,38931,39051,39142,37734,0.965824,0.984596,0.991858,0.994622,0.973916,0.978313,0.981329,0.983616,0.948233,33
nc338,amb,89_nc338_amb,29022,28070,28704,28862,28924,28348,28487,28584,28662,27616,0.967197,0.989043,0.994487,0.996623,0.976776,0.981566,0.984908,0.987596,0.951554,43
nc338,oz,96_nc338_oz,44097,42216,43391,43760,43893,42857,43106,43262,43386,41446,0.957344,0.98399,0.992358,0.995374,0.97188,0.977527,0.981064,0.983876,0.939883,72
