genotype,treatment,sample,num_mapped_reads,num_map_id_ge_95,num_map_id_ge_90,num_map_id_ge_85,num_map_id_ge_80,num_map_cov_ge_95,num_map_cov_ge_90,num_map_cov_ge_85,num_map_cov_ge_80,num_map_id_cov_95,prop_map_id_ge_95,prop_map_id_ge_90,prop_map_id_ge_85,prop_map_id_ge_80,prop_map_cov_ge_95,prop_map_cov_ge_90,prop_map_cov_ge_85,prop_map_cov_ge_80,prop_map_id_cov_95,num_unmapped_reads
c123,amb,113_c123_amb,30665,29712,30343,30500,30566,29601,29793,29916,30016,28964,0.968922,0.989499,0.994619,0.996772,0.965302,0.971564,0.975575,0.978836,0.94453,110
c123,oz,120_c123_oz,42747,41052,42152,42438,42537,41440,41682,41813,41923,40280,0.960348,0.986081,0.992771,0.995087,0.969425,0.975086,0.978151,0.980724,0.942288,183
mo17,amb,19_mo17_amb,23575,23266,23452,23511,23534,23117,23190,23239,23269,22944,0.986893,0.994783,0.997285,0.998261,0.980573,0.983669,0.985748,0.98702,0.973234,79
mo17,oz,21-2_mo17_oz,35763,35224,35560,35650,35681,35166,35245,35302,35348,34868,0.984929,0.994324,0.99684,0.997707,0.983307,0.985516,0.98711,0.988396,0.974974,155
mo17,oz,21_mo17_oz,37804,37226,37602,37695,37727,37118,37208,37251,37301,36793,0.984711,0.994657,0.997117,0.997963,0.981854,0.984234,0.985372,0.986695,0.973257,129
b73,amb,42_b73_amb,36164,34546,35604,35895,36001,34684,34984,35144,35277,33614,0.955259,0.984515,0.992562,0.995493,0.959075,0.967371,0.971795,0.975473,0.929488,175
b73,oz,46_b73_oz,37854,36502,37366,37599,37701,36809,36996,37104,37196,35857,0.964284,0.987108,0.993264,0.995958,0.972394,0.977334,0.980187,0.982617,0.947245,171
hp301,amb,67_hp301_amb,34960,33369,34365,34650,34751,33646,33889,34031,34145,32524,0.954491,0.982981,0.991133,0.994022,0.962414,0.969365,0.973427,0.976688,0.93032,144
hp301,oz,70_hp301_oz,39670,37890,38951,39284,39418,38332,38542,38671,38807,37104,0.95513,0.981875,0.99027,0.993648,0.966272,0.971565,0.974817,0.978246,0.935316,157
nc338,amb,89_nc338_amb,28944,27794,28545,28766,28838,28067,28248,28368,28462,27235,0.960268,0.986215,0.99385,0.996338,0.9697,0.975954,0.9801,0.983347,0.940955,121
nc338,oz,96_nc338_oz,43946,41696,43118,43541,43703,42355,42655,42834,42979,40791,0.948801,0.981159,0.990784,0.99447,0.963796,0.970623,0.974696,0.977996,0.928207,223
