ignored_type,sample,num_seq,num_seq_lt_500nt,num_seq_ge_500_lt_1000,num_seq_ge_1000,num_seq_ge_1000_w_blast_hit,num_seq_ge_1000_hit_to_Zea_mays,num_seq_ge_1000_hit_to_family,num_seq_ge_1000_hit_to_kinase,num_seq_ge_1000_best_hit_95_perc_qlen,num_seq_ge_1000_best_hit_90_perc_qlen,num_seq_ge_1000_best_hit_85_perc_qlen,num_seq_ge_1000_best_hit_80_perc_qlen,num_seq_ge_1000_best_hit_75_perc_qlen,mean_perc_qlen_seq_ge_1000_best_hit,median_perc_qlen_seq_ge_1000_best_hit,num_seq_ge_1000_best_hit_to_Zea_mays,num_seq_ge_1000_best_hit_to_family,num_seq_ge_1000_best_hit_to_kinase,num_seq_ge_1000_best_hit_family_or_kinase
ident,113_c123_amb,1174,120,298,756,755,754,302,278,129,198,245,288,323,0.6328268440128187,0.6614173228346457,721,38,39,68
ident,120_c123_oz,1876,176,244,1456,1453,1441,559,516,168,262,348,406,456,0.5654976295770597,0.5219159511974695,1397,47,93,129
ident,19_mo17_amb,660,47,140,473,473,470,183,191,77,129,176,210,232,0.6719051484890284,0.7441480675013609,455,17,36,50
ident,21-2_mo17_oz,1317,80,314,923,921,915,352,334,164,240,313,363,416,0.6518183773452875,0.7004085338175216,890,30,83,103
ident,21_mo17_oz,1228,47,182,999,999,995,405,382,141,221,283,338,394,0.6125316799674296,0.6225519287833828,967,41,96,128
ident,42_b73_amb,147,23,37,87,87,86,20,24,34,35,37,40,42,0.6799079631043484,0.717741935483871,71,2,6,8
ident,46_b73_oz,125,10,45,70,70,70,25,15,32,34,38,40,44,0.7846311052648017,0.8633219414623876,65,3,0,3
ident,67_hp301_amb,1420,129,249,1042,1040,1032,391,514,144,242,311,369,424,0.5968230495969742,0.5775094816687738,1006,28,123,149
ident,70_hp301_oz,1623,127,250,1246,1243,1230,429,582,189,306,391,461,529,0.6136240150241918,0.6157283288650581,1201,43,157,198
ident,89_nc338_amb,1012,99,214,699,699,698,236,262,103,139,203,257,295,0.6298860055114069,0.6550475328202807,659,51,55,79
ident,96_nc338_oz,1963,227,392,1344,1344,1340,518,541,143,211,286,367,425,0.5566490547479672,0.517496277499099,1287,91,164,200
cov,113_c123_amb,2309,294,454,1561,1559,1551,481,414,488,681,791,876,931,0.7379147993817236,0.8564981949458483,1428,46,87,130
cov,120_c123_oz,3478,367,395,2716,2706,2694,998,958,687,991,1163,1277,1380,0.6780213796136692,0.7618828277510912,2540,101,221,311
cov,19_mo17_amb,1541,117,270,1154,1151,1148,330,326,447,640,735,797,852,0.8089813426409652,0.920995670995671,1105,41,97,128
cov,21-2_mo17_oz,2711,138,560,2013,2009,2004,631,669,733,1004,1147,1266,1343,0.774779341261268,0.8998377939983779,1911,81,221,288
cov,21_mo17_oz,2564,68,300,2196,2191,2182,733,790,665,955,1096,1208,1291,0.7241257317185802,0.8502824858757062,2064,81,252,319
cov,42_b73_amb,1202,384,263,555,555,555,85,92,256,294,325,343,369,0.8140108237333494,0.929633300297324,494,15,35,48
cov,46_b73_oz,786,161,169,456,456,455,80,64,285,324,341,353,361,0.8739832038522519,0.9727477694164299,434,13,19,31
cov,67_hp301_amb,2542,297,396,1849,1846,1843,669,651,535,751,889,966,1035,0.7066252807593874,0.8301249285019763,1755,91,147,234
cov,70_hp301_oz,2852,220,349,2283,2278,2273,822,750,723,1000,1157,1250,1336,0.7244304432570446,0.8556063918322163,2201,123,199,311
cov,89_nc338_amb,2176,206,345,1625,1618,1608,433,432,569,769,891,976,1031,0.7617331514176727,0.8881525367844043,1528,62,90,150
cov,96_nc338_oz,3749,423,660,2666,2634,2612,771,890,662,921,1091,1212,1283,0.6605954680218507,0.7298635320594855,2510,94,227,313
