ignored_type,compared_clusters,sample,num_seq,num_seq_lt_500nt,num_seq_ge_500_lt_1000,num_seq_ge_1000,num_seq_ge_1000_w_blast_hit,num_seq_ge_1000_best_hit_95_perc_qlen,num_seq_ge_1000_best_hit_90_perc_qlen,num_seq_ge_1000_best_hit_85_perc_qlen,num_seq_ge_1000_best_hit_80_perc_qlen,num_seq_ge_1000_best_hit_75_perc_qlen,mean_perc_qlen_seq_ge_1000_best_hit,median_perc_qlen_seq_ge_1000_best_hit
ident,b73,113_c123_amb,1174,120,298,756,696,94,148,213,257,305,0.6385908079372234,0.6797985016791527
ident,b73,120_c123_oz,1876,176,244,1456,1241,134,219,296,359,426,0.5697436666364343,0.5483572420175844
ident,b73,67_hp301_amb,1420,129,249,1042,941,133,220,293,335,386,0.5999381455815894,0.5991501416430595
ident,b73,70_hp301_oz,1623,127,250,1246,1080,151,234,312,376,443,0.5976377421487717,0.5992960734079805
ident,b73,89_nc338_amb,1012,99,214,699,601,69,102,153,192,220,0.607886888996419,0.6150684931506849
ident,b73,96_nc338_oz,1963,227,392,1344,1121,93,158,216,283,333,0.5433639820848994,0.5411764705882353
ident,mo17,113_c123_amb,1174,120,298,756,583,74,114,159,211,239,0.5780647135873317,0.6255422993492408
ident,mo17,120_c123_oz,1876,176,244,1456,1082,100,154,217,271,314,0.4953276779471728,0.4719908092061301
ident,mo17,67_hp301_amb,1420,129,249,1042,798,56,117,180,228,274,0.5104085504638193,0.4930494671860736
ident,mo17,70_hp301_oz,1623,127,250,1246,907,61,116,187,249,309,0.5077250381869668,0.499131190269331
ident,mo17,89_nc338_amb,1012,99,214,699,577,53,82,138,176,202,0.5685663193050713,0.5856622114216282
ident,mo17,96_nc338_oz,1963,227,392,1344,1057,68,103,157,229,275,0.4903942555667474,0.47955182072829133
cov,b73,113_c123_amb,2309,294,454,1561,1386,343,535,625,710,767,0.6887607025622454,0.8100273261056673
cov,b73,120_c123_oz,3478,367,395,2716,2218,504,711,818,906,985,0.5932711272565866,0.6410923471007695
cov,b73,67_hp301_amb,2542,297,396,1849,1624,396,567,692,768,834,0.6530771127465633,0.7695975372908794
cov,b73,70_hp301_oz,2852,220,349,2283,1956,491,701,855,958,1048,0.6673928713273475,0.7914686899481882
cov,b73,89_nc338_amb,2176,206,345,1625,1354,398,561,657,731,785,0.702023662706438,0.8374663039343775
cov,b73,96_nc338_oz,3749,423,660,2666,2102,458,657,782,865,917,0.5913015968227461,0.6593473145071982
cov,mo17,113_c123_amb,2309,294,454,1561,1287,337,504,602,672,725,0.6830841758871592,0.8232466063348416
cov,mo17,120_c123_oz,3478,367,395,2716,2078,461,688,807,896,958,0.5956431988188982,0.6783810388136748
cov,mo17,67_hp301_amb,2542,297,396,1849,1500,348,508,610,677,728,0.6159665375121892,0.7276394144166127
cov,mo17,70_hp301_oz,2852,220,349,2283,1868,464,670,789,871,945,0.6348561464997913,0.7569156191519635
cov,mo17,89_nc338_amb,2176,206,345,1625,1285,404,585,697,770,807,0.7232643588382156,0.8789607097591888
cov,mo17,96_nc338_oz,3749,423,660,2666,1883,438,628,748,824,871,0.5984524604613003,0.6866925064599483
