name,total_reads,counter_oposite_strand_read,counter_grayones,counter_unmapped_read1,counter_unmapped_read2,counter_both_unmapped_read1,counter_both_unmapped_read2,counter_mapped_read1,counter_mapped_read2,counter_ambiguous_read1,counter_ambiguous_read2,sampleID,sum_mapped_unambig_read,prop_mapped_unambig_read,sum_unmapped_read,prop_unmapped_read
B73_P1_C1_Amb_unmerge_bwa_PE,11326837,500232,1654365,35495,134172,9908,9908,3202349,3113107,1372480,1294821,B73_P1_C1_Amb,6815688,0.6017291499824708,189483,0.01672867721147572
B73_P1_C2_Amb_unmerge_bwa_PE,16432566,428510,827822,64521,175069,21521,21521,1764644,1935246,5799603,5394109,B73_P1_C2_Amb,4128400,0.25123282632791494,282632,0.017199504934287194
B73_P1_C4_Ele_unmerge_bwa_PE,13030393,647200,1925885,42228,145997,11536,11536,3822799,3713465,1392631,1317116,B73_P1_C4_Ele,8183464,0.6280289474001283,211297,0.016215704315288113
B73_P1_C5_Ele_unmerge_bwa_PE,9298653,473120,1476405,25447,105611,9076,9076,2834892,2750106,829385,785535,B73_P1_C5_Ele,6058118,0.6515049007635837,149210,0.01604641016284832
B73_P1_C6_Amb_unmerge_bwa_PE,19866110,879394,2186806,59364,168440,56268,56268,5514653,5446111,2823153,2675653,B73_P1_C6_Amb,11840158,0.5959978073211112,340340,0.017131688085890998
B73_P2_C1_Amb_unmerge_bwa_PE,10896585,533618,1655965,31631,111538,12821,12821,3351601,3262196,987369,937025,B73_P2_C1_Amb,7147415,0.6559316519808729,168811,0.015492101424437106
B73_P2_C2_Amb_unmerge_bwa_PE,21445084,1099104,3374836,78098,222160,19534,19534,6714724,6513372,1748388,1655334,B73_P2_C2_Amb,14327200,0.6680878470795452,339326,0.015823020324844613
B73_P2_C4_Ele_unmerge_bwa_PE,20528623,1050148,2718733,61454,195441,37057,37057,6002337,5872947,2335714,2217735,B73_P2_C4_Ele,12925432,0.6296297613337242,331009,0.016124267078215623
B73_P2_C5_Ele_unmerge_bwa_PE,24233777,1116680,2439789,82064,190525,60289,60289,5977082,5936976,4295938,4074145,B73_P2_C5_Ele,13030738,0.5377097428931528,393167,0.0162239258040544
B73_P2_C6_Amb_unmerge_bwa_PE,15155900,729832,2479294,42684,182869,16753,16753,4820472,4658213,1133949,1075081,B73_P2_C6_Amb,10208517,0.6735671916547351,259059,0.017092947301051077
B73_P2_C7_Ele_unmerge_bwa_PE,7418425,418638,1299111,21896,84730,6113,6113,2502150,2413515,341094,325065,B73_P2_C7_Ele,5334303,0.719061391063467,118852,0.016021190481807123
B73_P3_C1_Amb_unmerge_bwa_PE,20183153,1032302,2991569,57666,221674,57518,57518,6431966,6245102,1584952,1502886,B73_P3_C1_Amb,13709370,0.6792481828780667,394376,0.01953986079380164
B73_P3_C2_Amb_unmerge_bwa_PE,23058866,1166854,2937872,64211,156705,46291,46291,7117867,7005570,2307582,2209623,B73_P3_C2_Amb,15290291,0.6630981332733361,313498,0.013595551489826083
B73_P3_C4_Ele_unmerge_bwa_PE,15497288,649960,1541442,51069,145427,48550,48550,3781799,3744988,2817276,2668227,B73_P3_C4_Ele,8176747,0.5276243817627961,293596,0.018944992181857884
