name,count_total_reads,count_mapped_read_oposite_strand,count_unmapped_read,count_mapped_read,count_ambiguous_read,count_chimeric_read,sampleID,sum_mapped_unambig_read,prop_mapped_unambig_read,sum_unmapped_read,prop_unmapped_read
B73_P1_C1_Amb_bbmerge_bwa_SE,917078,456728,647,319825,139878,0,B73_P1_C1_Amb,776553,0.846768759036854,647,0.0007055016040075108
B73_P1_C2_Amb_bbmerge_bwa_SE,1754876,871294,2623,278750,602209,0,B73_P1_C2_Amb,1150044,0.6553420298642183,2623,0.0014946925024902043
B73_P1_C4_Ele_bbmerge_bwa_SE,1048218,523037,879,382547,141755,0,B73_P1_C4_Ele,905584,0.8639271601899605,879,0.0008385660234798486
B73_P1_C5_Ele_bbmerge_bwa_SE,872687,434536,747,339892,97512,0,B73_P1_C5_Ele,774428,0.8874063667729667,747,0.0008559769997719686
B73_P1_C6_Amb_bbmerge_bwa_SE,1954634,970157,6096,693627,284754,0,B73_P1_C6_Amb,1663784,0.8511997642525404,6096,0.0031187424346450538
B73_P2_C1_Amb_bbmerge_bwa_SE,1350936,672908,1154,534368,142506,0,B73_P2_C1_Amb,1207276,0.8936589150041157,1154,0.0008542225538441495
B73_P2_C2_Amb_bbmerge_bwa_SE,1689225,842982,1445,676653,168145,0,B73_P2_C2_Amb,1519635,0.8996048483772144,1445,0.0008554218650564608
B73_P2_C4_Ele_bbmerge_bwa_SE,2373242,1183751,2865,894680,291946,0,B73_P2_C4_Ele,2078431,0.8757771015345254,2865,0.0012072093785631638
B73_P2_C5_Ele_bbmerge_bwa_SE,2350620,1170245,5381,787430,387564,0,B73_P2_C5_Ele,1957675,0.832833465213433,5381,0.0022891832793050346
B73_P2_C6_Amb_bbmerge_bwa_SE,1771969,883321,1230,719871,167547,0,B73_P2_C6_Amb,1603192,0.9047517196971279,1230,0.0006941430690943238
B73_P2_C7_Ele_bbmerge_bwa_SE,609170,303811,538,267422,37399,0,B73_P2_C7_Ele,571233,0.9377234597895497,538,0.000883168901948553
B73_P3_C1_Amb_bbmerge_bwa_SE,2802172,1393107,6804,1159552,242709,0,B73_P3_C1_Amb,2552659,0.9109572859910098,6804,0.002428116475362683
B73_P3_C2_Amb_bbmerge_bwa_SE,5292766,2632930,15304,2146922,497610,0,B73_P3_C2_Amb,4779852,0.9030915026283044,15304,0.002891493786046842
B73_P3_C4_Ele_bbmerge_bwa_SE,3024625,1503728,11207,1002122,507568,0,B73_P3_C4_Ele,2505850,0.8284828697772452,11207,0.0037052527172790014
B73_P3_C5_Ele_bbmerge_bwa_SE,3538681,1765347,4553,1373276,395505,0,B73_P3_C5_Ele,3138623,0.8869471421696389,4553,0.0012866375918032737
B73_P3_C6_Amb_bbmerge_bwa_SE,3095763,1537535,9237,1152523,396468,0,B73_P3_C6_Amb,2690058,0.8689483012750007,9237,0.0029837555394259833
B73_P3_C7_Ele_bbmerge_bwa_SE,4864633,2418157,18326,1742039,686111,0,B73_P3_C7_Ele,4160196,0.8551921594085309,18326,0.003767190659603715
B73_P4_C2_Amb_bbmerge_bwa_SE,3450413,1718925,3652,1176024,551812,0,B73_P4_C2_Amb,2894949,0.8390152135411036,3652,0.0010584240205447869
B73_P4_C4_Ele_bbmerge_bwa_SE,2034241,1013528,3074,800124,217515,0,B73_P4_C4_Ele,1813652,0.8915620125638998,3074,0.0015111287207366286
B73_P4_C5_Ele_bbmerge_bwa_SE,3369393,1676862,3598,743182,945751,0,B73_P4_C5_Ele,2420044,0.7182433156357837,3598,0.0010678481257603372
B73_P4_C7_Ele_bbmerge_bwa_SE,4261078,2120607,10308,1539996,590167,0,B73_P4_C7_Ele,3660603,0.8590790874985156,10308,0.002419106151072569
C123_P1_C1_Amb_bbmerge_bwa_SE,1415766,704604,2438,535308,173416,0,C123_P1_C1_Amb,1239912,0.8757887956060535,2438,0.0017220359861728563
C123_P1_C2_Amb_bbmerge_bwa_SE,619307,308883,1259,245375,63790,0,C123_P1_C2_Amb,554258,0.8949648558792328,1259,0.0020329174383625567
C123_P1_C4_Ele_bbmerge_bwa_SE,1023145,508118,2266,401281,111480,0,C123_P1_C4_Ele,909399,0.8888270968435559,2266,0.0022147398462583506
C123_P1_C5_Ele_bbmerge_bwa_SE,917112,456530,2208,403720,54654,0,C123_P1_C5_Ele,860250,0.9379988485593908,2208,0.002407557637453223
C123_P1_C6_Amb_bbmerge_bwa_SE,970092,482126,1934,353314,132718,0,C123_P1_C6_Amb,835440,0.8611966700065561,1934,0.001993625346874317
C123_P1_C7_Ele_bbmerge_bwa_SE,732628,365588,1770,321601,43669,0,C123_P1_C7_Ele,687189,0.937978073456106,1770,0.002415960077965898
C123_P2_C1_Amb_bbmerge_bwa_SE,972741,485002,1763,392007,93969,0,C123_P2_C1_Amb,877009,0.9015853140764089,1763,0.0018124043296211428
C123_P2_C2_Amb_bbmerge_bwa_SE,600382,298819,2348,236361,62854,0,C123_P2_C2_Amb,535180,0.8913991425459125,2348,0.003910843429683101
C123_P2_C4_Ele_bbmerge_bwa_SE,927174,462817,2162,396280,65915,0,C123_P2_C4_Ele,859097,0.9265758099342734,2162,0.0023318168973677
C123_P2_C5_Ele_bbmerge_bwa_SE,4221033,2103729,7984,1858839,250481,0,C123_P2_C5_Ele,3962568,0.9387673586062938,7984,0.0018914801187292305
C123_P2_C6_Amb_bbmerge_bwa_SE,915269,456151,1493,380662,76963,0,C123_P2_C6_Amb,836813,0.9142809381722751,1493,0.0016312144298561407
