name,total_reads,counter_oposite_strand_read,counter_grayones,counter_unmapped_read1,counter_unmapped_read2,counter_both_unmapped_read1,counter_both_unmapped_read2,counter_mapped_read1,counter_mapped_read2,counter_ambiguous_read1,counter_ambiguous_read2,sampleID,sum_mapped_unambig_read,prop_mapped_unambig_read,sum_unmapped_read,prop_unmapped_read
B73_P1_C1_Amb_unmerge_bwa_PE,11337496,537322,1665024,50345,147356,17813,17813,3135916,3010356,1408717,1346834,B73_P1_C1_Amb,6683594,0.5895123579315926,233327,0.02058011751448468
B73_P1_C2_Amb_unmerge_bwa_PE,16462262,422066,857518,87808,187141,27598,27598,1649918,1691283,5907348,5603984,B73_P1_C2_Amb,3763267,0.22859962986860494,330145,0.020054655915450744
B73_P1_C4_Ele_unmerge_bwa_PE,13055063,705304,1950555,61306,161845,19737,19737,3731635,3582753,1441763,1380428,B73_P1_C4_Ele,8019692,0.6142974568563936,262625,0.020116716403436735
B73_P1_C5_Ele_unmerge_bwa_PE,9307660,515304,1485412,39431,117410,16282,16282,2770004,2659412,862366,825757,B73_P1_C5_Ele,5944720,0.6386911425642965,189405,0.020349368154831612
B73_P1_C6_Amb_unmerge_bwa_PE,19916780,926060,2237476,81959,188272,68147,68147,5392486,5262618,2903495,2788120,B73_P1_C6_Amb,11581164,0.5814777288296602,406525,0.020411180923824032
B73_P2_C1_Amb_unmerge_bwa_PE,10908652,574942,1668032,45832,124032,20807,20807,3282942,3164924,1023685,982649,B73_P2_C1_Amb,7022808,0.6437833015481657,211478,0.019386263307327064
B73_P2_C2_Amb_unmerge_bwa_PE,21475242,1179554,3404994,107495,247401,34868,34868,6594633,6339853,1805138,1726438,B73_P2_C2_Amb,14114040,0.6572237928680851,424632,0.019773094990035503
B73_P2_C4_Ele_unmerge_bwa_PE,20567628,1121012,2757738,88809,217492,54822,54822,5859214,5671300,2418929,2323490,B73_P2_C4_Ele,12651526,0.6151183792316741,415945,0.02022328486298955
B73_P2_C5_Ele_unmerge_bwa_PE,24305193,1167554,2511205,113011,213678,75324,75324,5807750,5685411,4415509,4240427,B73_P2_C5_Ele,12660715,0.5209057586993857,477337,0.019639300951035443
B73_P2_C6_Amb_unmerge_bwa_PE,15164354,802528,2487748,63468,202062,27076,27076,4720728,4519793,1181855,1132020,B73_P2_C6_Amb,10043049,0.6622800417347156,319682,0.02108114859360313
B73_P2_C7_Ele_unmerge_bwa_PE,7422631,462812,1303317,34134,94746,12071,12071,2445434,2340805,366686,350555,B73_P2_C7_Ele,5249051,0.7071685228593473,153022,0.020615601125800274
