name,count_total_reads,count_mapped_read_oposite_strand,count_unmapped_read,count_mapped_read,count_ambiguous_read,count_chimeric_read,sampleID,sum_mapped_unambig_read,prop_mapped_unambig_read,sum_unmapped_read,prop_unmapped_read
B73_P1_C1_Amb_bbmerge_bwa_SE,917078,454660,3087,316295,143036,0,B73_P1_C1_Amb,770955,0.8406645890534938,3087,0.0033661258911455733
B73_P1_C2_Amb_bbmerge_bwa_SE,1754876,870373,6011,261096,617396,0,B73_P1_C2_Amb,1131469,0.6447572364087263,6011,0.0034253132415053827
B73_P1_C4_Ele_bbmerge_bwa_SE,1048218,520837,3541,375509,148331,0,B73_P1_C4_Ele,896346,0.855114107943195,3541,0.0033781140945871946
B73_P1_C5_Ele_bbmerge_bwa_SE,872687,433952,3656,334092,100987,0,B73_P1_C5_Ele,768044,0.8800910292006183,3656,0.004189359988174455
B73_P1_C6_Amb_bbmerge_bwa_SE,1954634,966757,10274,682562,295041,0,B73_P1_C6_Amb,1649319,0.8437994018317496,10274,0.005256226996972323
B73_P2_C1_Amb_bbmerge_bwa_SE,1350936,670278,5095,527442,148121,0,B73_P2_C1_Amb,1197720,0.8865853008580717,5095,0.00377145919569839
B73_P2_C2_Amb_bbmerge_bwa_SE,1689225,839439,6192,670036,173558,0,B73_P2_C2_Amb,1509475,0.8935902558865753,6192,0.003665586289570661
B73_P2_C4_Ele_bbmerge_bwa_SE,2373242,1179127,10246,878856,305013,0,B73_P2_C4_Ele,2057983,0.8671610396242777,10246,0.004317300974784704
B73_P2_C5_Ele_bbmerge_bwa_SE,2350620,1162956,11506,772751,403407,0,B73_P2_C5_Ele,1935707,0.8234878457598421,11506,0.004894878797934162
B73_P2_C6_Amb_bbmerge_bwa_SE,1771969,880222,6512,710211,175024,0,B73_P2_C6_Amb,1590433,0.8975512551291811,6512,0.0036750078584896237
B73_P2_C7_Ele_bbmerge_bwa_SE,609170,302510,2527,263576,40557,0,B73_P2_C7_Ele,566086,0.9292742584171906,2527,0.004148267314542739
B73_P3_C1_Amb_bbmerge_bwa_SE,2802172,1388642,14430,1147822,251278,0,B73_P3_C1_Amb,2536464,0.9051778406179206,14430,0.005149576828260363
B73_P3_C2_Amb_bbmerge_bwa_SE,5292766,2620775,32067,2121705,518219,0,B73_P3_C2_Amb,4742480,0.8960305443316405,32067,0.006058646839856513
