name,total_reads,counter_oposite_strand_read,counter_grayones,counter_unmapped_read1,counter_unmapped_read2,counter_both_unmapped_read1,counter_both_unmapped_read2,counter_mapped_read1,counter_mapped_read2,counter_ambiguous_read1,counter_ambiguous_read2,sampleID,sum_mapped_unambig_read,prop_mapped_unambig_read,sum_unmapped_read,prop_unmapped_read
B73_P1_C1_Amb_unmerge_bwa_PE,11302849,615262,1630377,64896,154265,39510,39510,2896859,2832916,1580703,1448551,B73_P1_C1_Amb,6345037,0.5613661652916003,298181,0.026381047822544565
B73_P1_C2_Amb_unmerge_bwa_PE,16428554,484578,823810,82339,184091,38397,38397,1826103,2167460,5687147,5096232,B73_P1_C2_Amb,4478141,0.27258278482695436,343224,0.020891917815773684
B73_P1_C4_Ele_unmerge_bwa_PE,13006275,787256,1901767,80042,171315,50483,50483,3448207,3357620,1644738,1514364,B73_P1_C4_Ele,7593083,0.5838015111936353,352323,0.027088693726681927
B73_P1_C5_Ele_unmerge_bwa_PE,9277150,583290,1454902,52971,124525,39465,39465,2539036,2461613,1030123,951760,B73_P1_C5_Ele,5583939,0.6019024161515121,256426,0.027640600831074197
B73_P1_C6_Amb_unmerge_bwa_PE,19844458,1063696,2165154,102479,200171,103265,103265,5079895,5060547,3101196,2864790,B73_P1_C6_Amb,11204138,0.5645978338133498,509180,0.025658549102222896
B73_P2_C1_Amb_unmerge_bwa_PE,10875274,656424,1634654,61553,132102,44651,44651,3016271,2934882,1219182,1130904,B73_P2_C1_Amb,6607577,0.6075779791847083,282957,0.02601837893923408
B73_P2_C2_Amb_unmerge_bwa_PE,21398669,1343206,3328421,139241,263104,80898,80898,6033428,5848086,2225040,2056347,B73_P2_C2_Amb,13224720,0.6180160083788389,564141,0.02636336867493955
B73_P2_C4_Ele_unmerge_bwa_PE,20499745,1252466,2689855,113993,230135,98463,98463,5431145,5336553,2726523,2522149,B73_P2_C4_Ele,12020164,0.5863567571206374,541054,0.02639320635451807
B73_P2_C5_Ele_unmerge_bwa_PE,24215384,1300342,2421396,133105,225223,119914,119914,5515414,5561148,4585283,4233645,B73_P2_C5_Ele,12376904,0.5111173954540634,598156,0.024701487285933604
B73_P2_C6_Amb_unmerge_bwa_PE,15120677,915840,2444071,85862,212854,60313,60313,4330832,4172265,1473091,1365236,B73_P2_C6_Amb,9418937,0.6229176775616594,419342,0.027733017509731873
B73_P2_C7_Ele_unmerge_bwa_PE,7399681,510432,1280367,48579,101782,33671,33671,2233047,2139419,527710,491003,B73_P2_C7_Ele,4882898,0.6598795272390796,217703,0.029420592590410317
B73_P3_C1_Amb_unmerge_bwa_PE,20142139,1251374,2950555,109614,257536,115113,115113,5778747,5607353,2053228,1903506,B73_P3_C1_Amb,12637474,0.6274146951324285,597376,0.029658021921107783
