name,count_total_reads,count_mapped_read_oposite_strand,count_unmapped_read,count_mapped_read,count_ambiguous_read,count_chimeric_read,sampleID,sum_mapped_unambig_read,prop_mapped_unambig_read,sum_unmapped_read,prop_unmapped_read
B73_P1_C1_Amb_bbmerge_bwa_SE,917078,452339,8727,293409,162603,0,B73_P1_C1_Amb,745748,0.8131783774117359,8727,0.009516093505677815
B73_P1_C2_Amb_bbmerge_bwa_SE,1754876,870758,9516,281451,593151,0,B73_P1_C2_Amb,1152209,0.6565757352656256,9516,0.0054226053578714396
B73_P1_C4_Ele_bbmerge_bwa_SE,1048218,518866,11108,348646,169598,0,B73_P1_C4_Ele,867512,0.8276064711729811,11108,0.010597032296716904
B73_P1_C5_Ele_bbmerge_bwa_SE,872687,429915,10509,308621,123642,0,B73_P1_C5_Ele,738536,0.8462782188803087,10509,0.012042118193579142
B73_P1_C6_Amb_bbmerge_bwa_SE,1954634,963716,19533,646823,324562,0,B73_P1_C6_Amb,1610539,0.823959370398755,19533,0.009993175192900564
B73_P2_C1_Amb_bbmerge_bwa_SE,1350936,665851,14724,486088,184273,0,B73_P2_C1_Amb,1151939,0.8526969449329946,14724,0.010899109950434365
B73_P2_C2_Amb_bbmerge_bwa_SE,1689225,834574,17733,616036,220882,0,B73_P2_C2_Amb,1450610,0.8587429146502095,17733,0.010497713448474893
B73_P2_C4_Ele_bbmerge_bwa_SE,2373242,1173345,25598,818043,356256,0,B73_P2_C4_Ele,1991388,0.8391002687462973,25598,0.010786089239951087
B73_P2_C5_Ele_bbmerge_bwa_SE,2350620,1159070,24269,729359,437922,0,B73_P2_C5_Ele,1888429,0.8033748542937608,24269,0.010324510129242497
B73_P2_C6_Amb_bbmerge_bwa_SE,1771969,874628,19824,655071,222446,0,B73_P2_C6_Amb,1529699,0.8632763891467627,19824,0.011187554635549494
B73_P2_C7_Ele_bbmerge_bwa_SE,609170,300117,8193,241536,59324,0,B73_P2_C7_Ele,541653,0.889165585961226,8193,0.013449447609041812
B73_P3_C1_Amb_bbmerge_bwa_SE,2802172,1380792,34269,1053262,333849,0,B73_P3_C1_Amb,2434054,0.8686311903766079,34269,0.012229442018548468
B73_P3_C2_Amb_bbmerge_bwa_SE,5292766,2604688,71427,1958555,658096,0,B73_P3_C2_Amb,4563243,0.8621660205646726,71427,0.013495212144273901
B73_P3_C4_Ele_bbmerge_bwa_SE,3024625,1492559,34554,930762,566750,0,B73_P3_C4_Ele,2423321,0.8011971732032896,34554,0.011424226143736827
B73_P3_C5_Ele_bbmerge_bwa_SE,3538681,1748137,38605,1250231,501708,0,B73_P3_C5_Ele,2998368,0.8473123177816819,38605,0.010909432073702038
B73_P3_C6_Amb_bbmerge_bwa_SE,3095763,1525734,39202,1056340,474487,0,B73_P3_C6_Amb,2582074,0.8340670781322731,39202,0.012663114069132553
B73_P3_C7_Ele_bbmerge_bwa_SE,4864633,2388354,75221,1594984,806074,0,B73_P3_C7_Ele,3983338,0.8188362822025834,75221,0.015462831420170853
B73_P4_C2_Amb_bbmerge_bwa_SE,3450413,1703879,34919,1087522,624093,0,B73_P4_C2_Amb,2791401,0.8090048930374422,34919,0.010120237780230947
B73_P4_C4_Ele_bbmerge_bwa_SE,2034241,1003611,25311,723967,281352,0,B73_P4_C4_Ele,1727578,0.8492494252155964,25311,0.012442478546052311
B73_P4_C5_Ele_bbmerge_bwa_SE,3369393,1666377,27722,707357,967937,0,B73_P4_C5_Ele,2373734,0.7044990002650329,27722,0.008227594703259608
