                                                           The SAS System                     00:59 Wednesday, November 23, 2016   1

                                               Obs    exonchunk_id    COUNT     PERCENT

                                                 1    F17902_SI:18      19     0.014967
                                                 2    F17902_SI:15      18     0.014180
                                                 3    F17902_SI:17      18     0.014180
                                                 4    F34181_SI:26      18     0.014180
                                                 5    F17902_SI:14      17     0.013392
                                                 6    F17902_SI:16      17     0.013392
                                                 7    F34181_SI:25      17     0.013392
                                                 8    F34181_SI:27      17     0.013392
                                                 9    F42459_SI:23      17     0.013392
                                                10    F17902_SI:13      16     0.012604
                                                           The SAS System                     00:59 Wednesday, November 23, 2016   2

                                               Obs    exonchunk_id    COUNT     PERCENT

                                                 1    F68009_SI:6       36     0.017255
                                                 2    F68009_SI:5       35     0.016776
                                                 3    F68009_SI:7       35     0.016776
                                                 4    F68008_SI:20      34     0.016297
                                                 5    F68009_SI:2       34     0.016297
                                                 6    F68009_SI:4       34     0.016297
                                                 7    F68008_SI:19      33     0.015817
                                                 8    F68009_SI:1       33     0.015817
                                                 9    F68009_SI:3       33     0.015817
                                                10    F68008_SI:15      32     0.015338
                                                           The SAS System                     00:59 Wednesday, November 23, 2016   3

                                              Obs    exonchunk_id    COUNT       PERCENT

                                                1    F54479_SI:3       7      .007325777
                                                2    F54480_SI:1       6      .006279238
                                                3    F54481_SI:1       6      .006279238
                                                4    F54481_SI:2       6      .006279238
                                                5    F54482_SI:1       6      .006279238
                                                6    F54482_SI:2       6      .006279238
                                                7    F54482_SI:3       6      .006279238
                                                8    F54482_SI:4       6      .006279238
                                                9    F54482_SI:5       6      .006279238
                                               10    F42459_SI:20      5      .005232698
