gene_id,flag_immuno_gene,flag_diabetes_gene,flag_pseudogene
2-oxoacid_dh,0,0,0
A1BGAS,0,0,0
A1CF,0,0,0
A2BP1,0,0,0
A2LD1,0,0,0
A2M,0,0,0
A2ML1,0,0,0
A2MP1,0,0,0
A4GALT,0,0,0
A4GNT,0,0,0
AAA1,0,0,0
AAAS,0,0,0
AACS,0,0,0
AACSL,0,0,0
AADAC,0,0,0
AADACL2,0,0,0
AADACL3,0,0,0
AADACL4,0,0,0
AADAT,0,0,0
AAGAB,0,0,0
AAK1,0,0,0
AAMP,1,0,0
AANAT,0,0,0
AARS,0,0,0
AARS2,1,0,0
AARSD1,0,0,0
AASDH,0,0,0
AASDHPPT,0,0,0
AASS,0,0,0
AATF,0,0,0
AATK,0,0,0
ABAT,0,0,0
ABCA1,0,0,0
ABCA10andABCA6andABCA9,0,0,0
ABCA12,0,0,0
ABCA13,0,0,0
ABCA17P,0,0,0
ABCA2,0,0,0
ABCA3,0,0,0
ABCA4,0,0,0
ABCA5,0,0,0
ABCA7,0,0,0
ABCA8,0,0,0
ABCB1,0,0,0
ABCB10,0,0,0
ABCB10P1,0,0,0
ABCB10P3,0,0,0
ABCB10P4,0,0,0
ABCB11,0,0,0
ABCB4,0,0,0
ABCB5,0,0,0
ABCB7,0,0,0
ABCB8andACCN3,0,0,0
ABCB9,1,0,0
ABCC1,0,0,0
ABCC10,0,0,0
ABCC11,0,0,0
ABCC12,0,0,0
ABCC13,0,0,0
ABCC2,0,0,0
ABCC3,0,0,0
ABCC4,0,0,0
ABCC5,0,0,0
ABCC6,0,0,0
ABCC6P1,0,0,0
ABCC6P2,0,0,0
ABCC8,0,0,0
ABCC9,0,0,0
ABCD1,0,0,0
ABCD1P2andPABPC1P12,0,0,0
ABCD2,0,0,0
ABCD3,0,0,0
ABCD4,0,0,0
ABCE1,0,0,0
ABCF1,1,0,0
ABCF2,0,0,0
ABCF3,0,0,0
ABCG1,0,0,0
ABCG2,0,0,0
ABCG4,0,0,0
ABCG5,0,0,0
ABCG8,0,0,0
ABHD1,0,0,0
ABHD10,0,0,0
ABHD11,0,0,0
ABHD12,0,0,0
ABHD12B,0,0,0
ABHD13,0,0,0
ABHD14AandACY1,0,0,0
ABHD14BandPCBP4,0,0,0
ABHD15,0,0,0
ABHD2,0,0,0
ABHD3,0,0,0
ABHD4,0,0,0
ABHD5,0,0,0
ABHD6,1,0,0
ABHD8,0,0,0
ABI1,0,0,0
ABI2,0,0,0
ABI3,0,0,0
ABI3BP,0,0,0
ABL1,0,0,0
ABL2,0,0,0
ABLIM1,0,0,0
ABLIM2,0,0,0
ABLIM3,0,0,0
ABO,0,0,0
ABP1,0,0,0
ABR,0,0,0
ABRA,0,0,0
ABT1,0,0,0
ABTB1,0,0,0
ABTB2,0,0,0
ACAA1,0,0,0
ACACA,0,0,0
ACACB,0,0,0
ACAD10,1,0,0
ACAD8,0,0,0
ACAD9,0,0,0
ACADL,0,0,0
ACADM_,0,0,0
ACADS,0,0,0
ACADSB,0,0,0
ACADVL,0,0,0
ACAN,0,0,0
ACAP1andKCTD11,0,0,0
ACAP2,0,0,0
ACAP3,1,0,0
ACAT1,1,0,0
ACAT2,0,0,0
ACBD3,0,0,0
ACBD4,0,0,0
ACBD5,0,0,0
ACBD6,0,0,0
ACBD7,0,0,0
ACCN1,0,0,0
ACCN2,0,0,0
ACCN4,0,0,0
ACCN5,0,0,0
ACCS,0,0,0
ACCSL,0,0,0
ACD,0,0,0
ACE2,0,0,0
ACE3,0,0,0
ACER1,0,0,0
ACER2,0,0,0
ACER3,0,0,0
ACHE,1,0,0
ACIN1,0,0,0
ACLY,0,0,0
ACMSD,0,0,0
ACN9,0,0,0
ACO1,1,0,0
ACO2,1,0,0
ACOT1,0,0,0
ACOT11andC1orf175andTTC4,0,0,0
ACOT12,0,0,0
ACOT13,0,0,0
ACOT2,0,0,0
ACOT4,0,0,0
ACOT6,0,0,0
