"genotype_hy","genotype_in","nam","anthesis_gdd_log_hy","anthesis_gdd_log_midp","asi_gdd_hy","asi_gdd_midp","chl_datt4_hy","chl_datt4_log_midp","chl_plsr_hy","chl_plsr_log_midp","f_l_ht_hy","f_l_ht_midp","ht_hy","ht_midp","l_length_hy","l_length_midp","l_num_rnd1_hy","l_num_rnd1_midp","l_num_rnd3_hy","l_num_rnd3_midp","l_width_hy","l_width_midp","nri_1510_plsr_hy","nri_1510_plsr_midp","orac_hy","orac_midp","percentn_plsr_hy","percentn_plsr_midp","silking_gdd_log_hy","silking_gdd_log_midp","sla_plsr_hy","sla_plsr_midp","sla_sim_hy","sla_sim_midp","sucrose_plsr_hy","sucrose_plsr_midp","vmax_plsr_hy","vmax_plsr_midp"
B73XB97,B97,B97,0.838109295,0.6861471707,0.2545047065,0.0050724951,3.5656087725,2.2656124209,4.4781804723,2.6177218805,0.257431731,-0.814941344,0.257431731,0.3607277197,0.7130582439,-0.339599768,1.2669009576,0.804764517,-0.02748992,-2.076743872,1.7883232584,-0.811749612,2.0541752666,2.199784141,-2.217027402,-0.486692731,3.9677097994,1.4191843209,0.9549357551,0.2275264653,1.1389043528,-1.090725856,-0.768009473,0.0367524857,-2.225412438,0.1788984766,4.9606227313,2.1333181552
B73XCML103,CML103,CML103,0.9071554003,0.1923373737,-0.687084952,0.4154122773,3.3004406831,2.0986558325,4.0162499284,2.4776957584,0.4610514804,-0.326659284,0.4610514804,0.7695062967,-0.311512147,-0.302127321,1.0674346066,1.3709399013,-4.264494247,-0.475757938,-0.487725597,-0.399572365,0.4377556209,3.3828705943,1.5505981645,0.2817465195,2.9096538529,-0.498301262,1.3250031673,-0.032632023,0.3726501351,-1.268367456,0.4406717879,-1.390067755,-0.537168519,0.3938432049,2.8228206146,1.3137831912
B73XCML228,CML228,CML228,-0.709016765,0.3724629362,-0.267502694,0.9102337793,3.6873719362,5.7336528978,3.4304977484,6.050264048,0.362616194,-0.333041999,0.362616194,1.0147734429,-0.796858269,-0.678783154,0.1949055742,-0.327586252,0.0095856796,-1.284027046,-0.574713017,-1.14149141,0.7679842318,2.9538152311,,-0.945903347,4.2057723874,2.5025636751,0.1350536714,-0.000714818,0.4125374811,-1.037049844,-1.440477801,1.1020508902,-0.911268024,-0.365875231,2.3085103867,4.2321272094
B73XCML247,CML247,CML247,-0.824198646,-0.259376321,-1.577067475,0.5493007173,6.050807919,3.5956484005,6.4406934828,3.4140415998,0.2670793658,0.2070111166,0.2670793658,0.7513383599,2.4853556969,-0.667304492,-0.065522193,0.804764517,-2.384781115,1.1828298638,3.0802236276,0.4247821289,1.4733855428,2.3680348044,-2.652929647,-0.145439753,4.6025433674,2.5696756705,0.0449952746,-0.147003571,1.5881512963,-1.778839401,-0.201257348,-1.936890617,-2.781765547,0.4753739639,5.5851773213,3.0740957915
B73XCML277,CML277,CML277,-0.369793374,0.0254385264,0.7912282466,0.3837316324,-0.876050975,2.1315081119,-0.883360386,2.7547278673,0.6885098985,0.2039356753,0.6885098985,1.1692009053,0.7150535212,-0.30021644,1.4922127083,0.2385891326,0.7481298198,-1.831386334,1.3003900436,-0.152266017,0.0038742438,3.0822814772,2.4306386797,-0.634696928,0.5290279733,2.512151103,-1.01464842,-0.0904831,-0.186833775,-1.542677906,-0.76304205,-0.66659112,0.3165457347,1.4796846772,0.6268811405,2.864050503
B73XCML322,CML322,CML322,0.8676290954,0.0673124145,-0.499138265,0.556843728,4.3933389363,4.0829580313,2.2835747771,5.5046782111,0.8450269025,0.5378968675,0.8450269025,0.4515674034,-0.904820464,-0.211300033,-0.239398114,0.2385891326,1.1573413694,-0.11011048,3.3715500778,0.1774757807,3.311804874,1.4092686277,-1.048760783,0.4885873684,2.8038482583,2.0231922795,0.9143322858,-0.080135311,0.9887410708,-1.753997137,-1.327905551,-0.787138432,-0.239807375,-0.225049375,2.0377785399,3.663797226
B73XCML333,CML333,CML333,0.3275184128,0.0871288739,-0.509994591,0.0190270649,0.8419026348,2.6976442277,0.645520148,2.7014610108,0.2443106736,0.3877778021,0.2443106736,1.0056894745,0.5189281399,1.4747295988,0.1436000477,-0.327586252,0.1587329333,-1.310811858,-0.458043458,0.3423466795,0.9084152731,2.636117493,0.5328796268,-0.738049005,2.671591265,1.1123866277,1.3501767502,0.0766148665,0.5741170409,-1.338385252,0.5395252554,-3.323397343,-0.604314584,0.5494928358,1.9181272501,2.6197088249
B73XCML52,CML52,CML52,-0.437492077,0.1923211505,1.6819528161,-0.717925081,5.6004986493,2.8656582138,5.9297478412,3.0021430248,0.7740531596,0.7160529195,0.7740531596,1.0238574113,-0.148832382,-3.751852291,1.2175342897,0.804764517,0.0910042603,0.7294950822,0.3252059523,-1.14149141,0.4169161034,2.2803559522,-2.860350355,0.5709686442,2.8302996569,1.2657854743,-1.151023688,0.1963448132,1.0453119199,-0.972721421,-0.26056669,0.4356077855,-1.947235883,-0.187989939,4.8789932424,2.9528531193
B73XCML69,CML69,CML69,0.3974409307,-0.588833806,0.4320132069,0.7473047482,5.2213801122,3.4912933941,4.1037455694,4.1636127137,0.4976995192,0.4575001279,0.4976995192,1.7414909132,-1.002204912,0.0374084198,-1.608420086,0.804764517,0.0060997879,-0.282448171,-0.812973753,-0.069830567,5.2317638583,2.7768283997,-2.461529236,-0.355104513,4.8141545567,2.2532905494,0.5186034327,-0.375389372,2.7010738722,-1.290334342,3.5115273691,-1.33361875,-1.899274408,0.7347900153,3.950114369,2.7996067439
B73XHP301,HP301,HP301,-1.522612594,-0.431377405,0.0130402826,1.5381894203,6.7561484073,7.6266878603,8.4239740777,13.11639977,0.9324981436,1.9728185538,0.9324981436,1.2600405891,0.4949442627,0.4261174395,1.2862859211,-0.327586252,2.1031910774,-0.772394098,-0.975558539,0.1573209303,1.5138065651,5.2310617394,-1.471144978,0.0664697292,5.2638283339,3.6626424526,-1.070851961,-0.511343369,0.2766403209,-2.161789351,1.3143404813,-1.839213553,-2.023974243,0.0788379997,5.4445176349,5.7907900042
