sampleID	sample	strain	batch	sampleType	newBatch	sampleType_batch	strainNoPD1074	strain_w_poolPD
b1_aos_129	aos_129	PD1074	1	PD1074	b1	PD1074_b1		PD1074
b1_aos_149	aos_149	PD1074	1	PD1074	b1	PD1074_b1		PD1074
b1_aos_27	aos_27	PD1074	1	PD1074	b1	PD1074_b1		PD1074
b1_aos_43	aos_43	PD1074	1	PD1074	b1	PD1074_b1		PD1074
b1_aos_54	aos_54	PD1074	1	PD1074	b1	PD1074_b1		PD1074
b1_aos_78	aos_78	PD1074	1	PD1074	b1	PD1074_b1		PD1074
b1_pool_pd1074_b1_01			1	pool_pd1074	b1	pool_pd1074_b1		pool_pd1074
b1_pool_pd1074_b1_02			1	pool_pd1074	b1	pool_pd1074_b1		pool_pd1074
b2_aos_102	aos_102	PD1074	2	PD1074	b2	PD1074_b2		PD1074
b2_aos_107	aos_107	PD1074	2	PD1074	b2	PD1074_b2		PD1074
b2_aos_124	aos_124	PD1074	2	PD1074	b2	PD1074_b2		PD1074
b2_aos_167	aos_167	PD1074	2	PD1074	b2	PD1074_b2		PD1074
b2_aos_188	aos_188	PD1074	2	PD1074	b2	PD1074_b2		PD1074
b2_aos_200	aos_200	PD1074	2	PD1074	b2	PD1074_b2		PD1074
b2_aos_53	aos_53	PD1074	2	PD1074	b2	PD1074_b2		PD1074
b2_pool_pd1074_01			2	pool_pd1074	b2	pool_pd1074_b2		pool_pd1074
b2_pool_pd1074_02			2	pool_pd1074	b2	pool_pd1074_b2		pool_pd1074
b3_aos_185	aos_185	PD1074	3	PD1074	b3	PD1074_b3		PD1074
b3_aos_27	aos_27	PD1074	3	PD1074	b3	PD1074_b3		PD1074
b3_aos_38	aos_38	PD1074	3	PD1074	b3	PD1074_b3		PD1074
b3_aos_43	aos_43	PD1074	3	PD1074	b3	PD1074_b3		PD1074
b3_aos_54	aos_54	PD1074	3	PD1074	b3	PD1074_b3		PD1074
b3_aos_78	aos_78	PD1074	3	PD1074	b3	PD1074_b3		PD1074
b3_aos_90	aos_90	PD1074	3	PD1074	b3	PD1074_b3		PD1074
b3_aos_99	aos_99	PD1074	3	PD1074	b3	PD1074_b3		PD1074
b3_pool_pd1074_01			3	pool_pd1074	b3	pool_pd1074_b3		pool_pd1074
b3_pool_pd1074_02			3	pool_pd1074	b3	pool_pd1074_b3		pool_pd1074
b4_aos_107	aos_107	PD1074	4	PD1074	b4	PD1074_b4		PD1074
b4_aos_124	aos_124	PD1074	4	PD1074	b4	PD1074_b4		PD1074
b4_aos_140	aos_140	PD1074	4	PD1074	b4	PD1074_b4		PD1074
b4_aos_180	aos_180	PD1074	4	PD1074	b4	PD1074_b4		PD1074
b4_aos_87	aos_87	PD1074	4	PD1074	b4	PD1074_b4		PD1074
b4_aos_92	aos_92	PD1074	4	PD1074	b4	PD1074_b4		PD1074
b4_pool_pd1074_01			4	pool_pd1074	b4	pool_pd1074_b4		pool_pd1074
b4_pool_pd1074_02			4	pool_pd1074	b4	pool_pd1074_b4		pool_pd1074
b5_aos_181	aos_181	PD1074	5	PD1074	b5	PD1074_b5		PD1074
b5_aos_196	aos_196	PD1074	5	PD1074	b5	PD1074_b5		PD1074
b5_aos_41	aos_41	PD1074	5	PD1074	b5	PD1074_b5		PD1074
b5_aos_43	aos_43	PD1074	5	PD1074	b5	PD1074_b5		PD1074
b5_aos_54	aos_54	PD1074	5	PD1074	b5	PD1074_b5		PD1074
b5_aos_75	aos_75	PD1074	5	PD1074	b5	PD1074_b5		PD1074
b5_aos_78	aos_78	PD1074	5	PD1074	b5	PD1074_b5		PD1074
b5_aos_87	aos_87	PD1074	5	PD1074	b5	PD1074_b5		PD1074
b5_pool_pd1074_01			5	pool_pd1074	b5	pool_pd1074_b5		pool_pd1074
b5_pool_pd1074_02			5	pool_pd1074	b5	pool_pd1074_b5		pool_pd1074
b6_aos_102	aos_102	PD1074	6	PD1074	b6	PD1074_b6		PD1074
b6_aos_107	aos_107	PD1074	6	PD1074	b6	PD1074_b6		PD1074
b6_aos_140	aos_140	PD1074	6	PD1074	b6	PD1074_b6		PD1074
b6_aos_167	aos_167	PD1074	6	PD1074	b6	PD1074_b6		PD1074
b6_aos_188	aos_188	PD1074	6	PD1074	b6	PD1074_b6		PD1074
b6_aos_198	aos_198	PD1074	6	PD1074	b6	PD1074_b6		PD1074
b6_aos_90	aos_90	PD1074	6	PD1074	b6	PD1074_b6		PD1074
b6_pool_pd1074_01			6	pool_pd1074	b6	pool_pd1074_b6		pool_pd1074
b6_pool_pd1074_02			6	pool_pd1074	b6	pool_pd1074_b6		pool_pd1074
