sampleID	oldSampleID	set	batch	rack_position	run_order	tube_sample	genotype	wormgrowth_sample_name	Solvent	parameters	sample
aos100_ga_ms2_73	aos100_ga_ms2_NMR_CDCL3_73	2	4	C3	73	nmr68	KJ550	aos100_ga_ms2	CDCl3	proton	aos100
aos101_ga_ms2_121	aos101_ga_ms2_NMR_CDCL3_121	3	6	C3	121	nmr111	UGT49	aos101_ga_ms2	CDCl3	proton	aos101
aos102_ga_ms3_122	aos102_ga_ms3_NMR_CDCL3_122	3	6	C4	122	nmr112	PD1074	aos102_ga_ms3	CDCl3	proton	aos102
aos105_co_ms2_123	aos105_co_ms2_NMR_CDCL3_123	3	6	C5	123	nmr113	VC2524	aos105_co_ms2	CDCl3	proton	aos105
aos106_co_ms2_25	aos106_co_ms2_NMR_CDCL3_25	1	2	C1	25	nmr25	N2	aos106_co_ms2	CDCl3	proton	aos106
aos107_ga_bku_80	aos107_ga_bku_NMR_CDCL3_80	2	4	C10	80	nmr75	PD1074	aos107_ga_bku	CDCl3	proton	aos107
aos108_ga_ms2_27	aos108_ga_ms2_NMR_CDCL3_27	1	2	C3	27	nmr27	RB2011	aos108_ga_ms2	CDCl3	proton	aos108
aos109_ga_ms2_81	aos109_ga_ms2_NMR_CDCL3_81	2	4	C11	81	nmr76	KJ550	aos109_ga_ms2	CDCl3	proton	aos109
aos111_ga_ms2_82	aos111_ga_ms2_NMR_CDCL3_82	2	4	C12	82	nmr77	RB2550	aos111_ga_ms2	CDCl3	proton	aos111
aos113_ga_ms1_28	aos113_ga_ms1_NMR_CDCL3_28	1	2	C4	28	nmr28	PD1074	aos113_ga_ms1	CDCl3	proton	aos113
aos113_ga_ms1_84	aos113_ga_ms1_NMR_CDCL3_84	2	4	D2	84	nmr79	PD1074	aos113_ga_ms1	CDCl3	proton	aos113
aos113_ga_ms1_124	aos113_ga_ms1_NMR_CDCL3_124	3	6	C6	124	nmr114	PD1074	aos113_ga_ms1	CDCl3	proton	aos113
aos114_ga_ms2_125	aos114_ga_ms2_NMR_CDCL3_125	3	6	C7	125	nmr115	RB2055	aos114_ga_ms2	CDCl3	proton	aos114
aos115_gt_ms1_29	aos115_gt_ms1_NMR_CDCL3_29	1	2	C5	29	nmr29	CB4856	aos115_gt_ms1	CDCl3	proton	aos115
aos116_ga_ms2_83	aos116_ga_ms2_NMR_CDCL3_83	2	4	D1	83	nmr78	RB2347	aos116_ga_ms2	CDCl3	proton	aos116
aos118_ga_ms2_126	aos118_ga_ms2_NMR_CDCL3_126	3	6	C8	126	nmr116	RB2055	aos118_ga_ms2	CDCl3	proton	aos118
aos120_ga_ms2_127	aos120_ga_ms2_NMR_CDCL3_127	3	6	C9	127	nmr117	AUM2073	aos120_ga_ms2	CDCl3	proton	aos120
aos122_ga_ms2_4	aos122_ga_ms2_NMR_CDCL3_4	1	1	A4	4	nmr3	RB2011	aos122_ga_ms2	CDCl3	proton	aos122
aos125_ga_ms2_85	aos125_ga_ms2_NMR_CDCL3_85	2	4	D3	85	nmr80	VC1265	aos125_ga_ms2	CDCl3	proton	aos125
aos127_ga_ms2_5	aos127_ga_ms2_NMR_CDCL3_5	1	1	A5	5	nmr4	CX11314	aos127_ga_ms2	CDCl3	proton	aos127
aos127_ga_ms3_24	aos127_ga_ms3_NMR_CDCL3_24	1	2	B12	24	nmr24	CX11314	aos127_ga_ms3	CDCl3	proton	aos127
aos129_ga_ms2_6	aos129_ga_ms2_NMR_CDCL3_6	1	1	A6	6	nmr5	PD1074	aos129_ga_ms2	CDCl3	proton	aos129
aos133_ga_ms2_128	aos133_ga_ms2_NMR_CDCL3_128	3	6	C10	128	nmr118	UGT49	aos133_ga_ms2	CDCl3	proton	aos133
aos134_ga_ms2_86	aos134_ga_ms2_NMR_CDCL3_86	2	4	D4	86	nmr81	KJ550	aos134_ga_ms2	CDCl3	proton	aos134
aos135_ga_ms2_129	aos135_ga_ms2_NMR_CDCL3_129	3	6	C11	129	nmr119	AUM2073	aos135_ga_ms2	CDCl3	proton	aos135
aos140_ga_ms3_87	aos140_ga_ms3_NMR_CDCL3_87	2	4	D5	87	nmr82	PD1074	aos140_ga_ms3	CDCl3	proton	aos140
aos140_gt_ms3_130	aos140_gt_ms3_NMR_CDCL3_130	3	6	C12	130	nmr120	PD1074	aos140_gt_ms3	CDCl3	proton	aos140
aos142_ga_ms2_7	aos142_ga_ms2_NMR_CDCL3_7	1	1	A7	7	nmr6	CB4856	aos142_ga_ms2	CDCl3	proton	aos142
aos145_ga_ms2_8	aos145_ga_ms2_NMR_CDCL3_8	1	1	A8	8	nmr7	CB4856	aos145_ga_ms2	CDCl3	proton	aos145
aos149_ga_ms2_9	aos149_ga_ms2_NMR_CDCL3_9	1	1	A9	9	nmr8	PD1074	aos149_ga_ms2	CDCl3	proton	aos149
aos165_ga_ms2_30	aos165_ga_ms2_NMR_CDCL3_30	1	2	C6	30	nmr30	DL238	aos165_ga_ms2	CDCl3	proton	aos165
aos166_ga_ms2_131	aos166_ga_ms2_NMR_CDCL3_131	3	6	D1	131	nmr121	UGT49	aos166_ga_ms2	CDCl3	proton	aos166
aos167_ga_ms3_31	aos167_ga_ms3_NMR_CDCL3_31	1	2	C7	31	nmr31	PD1074	aos167_ga_ms3	CDCl3	proton	aos167
aos167_ga_ms4_132	aos167_ga_ms4_NMR_CDCL3_132	3	6	D2	132	nmr122	PD1074	aos167_ga_ms4	CDCl3	proton	aos167
aos169_ga_ms2_133	aos169_ga_ms2_NMR_CDCL3_133	3	6	D3	133	nmr123	AUM2073	aos169_ga_ms2	CDCl3	proton	aos169
aos170_ga_ms2_32	aos170_ga_ms2_NMR_CDCL3_32	1	2	C8	32	nmr32	CB4856	aos170_ga_ms2	CDCl3	proton	aos170
aos171_ga_ms2_88	aos171_ga_ms2_NMR_CDCL3_88	2	4	D6	88	nmr83	RB2347	aos171_ga_ms2	CDCl3	proton	aos171
aos173_ga_ms2_33	aos173_ga_ms2_NMR_CDCL3_33	1	2	C9	33	nmr33	RB2011	aos173_ga_ms2	CDCl3	proton	aos173
aos174_ga_ms2_34	aos174_ga_ms2_NMR_CDCL3_34	1	2	C10	34	nmr34	DL238	aos174_ga_ms2	CDCl3	proton	aos174
aos175_ga_ms2_35	aos175_ga_ms2_NMR_CDCL3_35	1	2	C11	35	nmr35	CX11314	aos175_ga_ms2	CDCl3	proton	aos175
aos180_ga_ms2_89	aos180_ga_ms2_NMR_CDCL3_89	2	4	D7	89	nmr84	PD1074	aos180_ga_ms2	CDCl3	proton	aos180
aos181_ga_ms2_99	aos181_ga_ms2_NMR_CDCL3_99	3	5	A5	99	nmr88	PD1074	aos181_ga_ms2	CDCl3	proton	aos181
aos184_ga_ms2_50	aos184_ga_ms2_NMR_CDCL3_50	2	3	A4	50	nmr44	VC1265	aos184_ga_ms2	CDCl3	proton	aos184
aos185_ga_ms2_51	aos185_ga_ms2_NMR_CDCL3_51	2	3	A5	51	nmr45	PD1074	aos185_ga_ms2	CDCl3	proton	aos185
aos188_ga_ms3_36	aos188_ga_ms3_NMR_CDCL3_36	1	2	C12	36	nmr36	PD1074	aos188_ga_ms3	CDCl3	proton	aos188
aos192_ga_ms2_37	aos192_ga_ms2_NMR_CDCL3_37	1	2	D1	37	nmr37	DL238	aos192_ga_ms2	CDCl3	proton	aos192
aos193_ga_ms3_100	aos193_ga_ms3_NMR_CDCL3_100	3	5	A6	100	nmr89	UGT60	aos193_ga_ms3	CDCl3	proton	aos193
