featureID	effect_AUM2073	pval_AUM2073	flag_sig_AUM2073	effect_CB4856	pval_CB4856	flag_sig_CB4856	effect_CX11314	pval_CX11314	flag_sig_CX11314	effect_DL238	pval_DL238	flag_sig_DL238	effect_KJ550	pval_KJ550	flag_sig_KJ550	effect_N2	pval_N2	flag_sig_N2	effect_NS	pval_NS	flag_sig_NS	effect_RB2011	pval_RB2011	flag_sig_RB2011	effect_RB2055	pval_RB2055	flag_sig_RB2055	effect_RB2347	pval_RB2347	flag_sig_RB2347	effect_RB2550	pval_RB2550	flag_sig_RB2550	effect_CM	pval_CM	flag_sig_CM	effect_UGT	pval_UGT	flag_sig_UGT	effect_UGT49	pval_UGT49	flag_sig_UGT49	effect_UGT60	pval_UGT60	flag_sig_UGT60	effect_VC1265	pval_VC1265	flag_sig_VC1265	effect_VC2524	pval_VC2524	flag_sig_VC2524
ppm_0_047925	0.579696	0.247869	0	0.420532	0.491158	0	-0.23816	0.641348	0	0.171295	0.736751	0	-0.111368	0.835768	0	0.372672	0.512389	0	0.150766	0.580357	0	-0.241058	0.686315	0	0.605441	0.267421	0	-0.16322	0.730163	0	1.090776	0.045353	1	0.241191	0.282412	0	0.423937	0.087105	0	-0.095631	0.847274	0	0.83847	0.168136	0	0.013055	0.978264	0	0.984087	0.061791	0
ppm_0_058749	-0.499573	0.316789	0	0.0966	0.868854	0	0.237129	0.659518	0	-0.462744	0.373888	0	0.24358	0.647852	0	-0.394193	0.485767	0	-0.139508	0.612347	0	0.290238	0.625898	0	-0.031625	0.949344	0	0.402822	0.407673	0	-0.147973	0.767281	0	-0.007631	0.972827	0	-0.196502	0.412263	0	-0.229604	0.648093	0	-1.004172	0.105247	0	0.362159	0.453031	0	-0.583225	0.251026	0
ppm_0_07105	-0.667918	0.199305	0	-0.189317	0.753094	0	0.124433	0.807124	0	0.094965	0.852955	0	0.9791	0.091609	0	-0.757577	0.200457	0	-0.139011	0.61251	0	0.119233	0.855046	0	-0.436389	0.37864	0	0.691304	0.163101	0	-0.048672	0.921709	0	0.152786	0.50307	0	-0.351579	0.146163	0	-0.54312	0.285184	0	-0.812791	0.18027	0	0.1233	0.794195	0	-0.217508	0.663437	0
ppm_0_095598	-1.17349	0.038241	1	0.011543	0.985222	0	0.095904	0.862249	0	0.099787	0.846506	0	0.988633	0.088738	0	-0.609499	0.284637	0	-0.091317	0.744922	0	-0.284943	0.63484	0	-0.092017	0.851719	0	-0.054586	0.910935	0	0.517179	0.309831	0	-0.006364	0.978233	0	-0.364279	0.142796	0	-1.207772	0.035794	1	-1.277999	0.047632	1	0.152842	0.746281	0	0.043214	0.934501	0
ppm_0_11676	-0.881583	0.094078	0	-1.326181	0.061643	0	-0.00131	0.997946	0	-0.488866	0.352588	0	-0.029226	0.956366	0	-0.64887	0.272236	0	-0.508052	0.074433	0	-0.191635	0.744907	0	-0.683877	0.200916	0	-0.003367	0.994549	0	0.095195	0.855678	0	-0.187593	0.405171	0	-0.597191	0.018229	1	-0.926011	0.082008	0	-1.675265	0.015896	1	0.124807	0.79154	0	-0.240752	0.631135	0
ppm_0_27097	-0.110397	0.825761	0	-0.371416	0.53807	0	0.057281	0.910592	0	-0.50495	0.333608	0	1.708668	0.012901	1	-0.909401	0.147003	0	-0.387835	0.165258	0	-0.127031	0.843268	0	0.099566	0.838667	0	1.002429	0.050906	0	1.148473	0.037873	1	0.60255	0.011555	1	0.0284	0.907677	0	-0.428132	0.393118	0	-0.596718	0.31598	0	0.853063	0.092846	0	0.077012	0.880684	0
ppm_0_42422	-0.747442	0.14295	0	-0.186462	0.756999	0	-0.416023	0.425065	0	0.407213	0.435507	0	1.683029	0.009049	1	0.620178	0.272186	0	0.105392	0.701445	0	-0.06953	0.912594	0	-0.432243	0.400744	0	0.317747	0.504252	0	0.458759	0.362327	0	0.154241	0.501298	0	-0.051611	0.832053	0	-0.210934	0.684414	0	-0.030501	0.958173	0	0.438311	0.362963	0	-0.380895	0.444164	0
ppm_0_43277	0.181827	0.710511	0	0.243059	0.708596	0	0.833161	0.171539	0	-0.462471	0.411501	0	0.289031	0.590553	0	0.094406	0.870296	0	0.146622	0.623609	0	1.57842	0.027015	1	0.364988	0.465844	0	0.524251	0.28129	0	-0.078615	0.874431	0	0.217741	0.329299	0	0.251492	0.302496	0	0.100173	0.840827	0	-0.147693	0.805011	0	0.043155	0.930527	0	0.05342	0.913496	0
ppm_0_47085	0.486781	0.328375	0	0.496238	0.414721	0	0.510364	0.357669	0	0.372617	0.484632	0	0.855465	0.145889	0	0.486607	0.382451	0	0.463137	0.098992	0	1.775184	0.020312	1	-0.005728	0.990697	0	0.713866	0.148549	0	0.897193	0.089314	0	0.614061	0.008611	1	0.346977	0.159387	0	0.025794	0.958394	0	-0.214627	0.713922	0	1.180961	0.025372	1	-0.094775	0.855284	0
ppm_0_50793	-0.351009	0.485568	0	1.005117	0.117972	0	0.967108	0.080868	0	0.72976	0.201733	0	1.205359	0.042285	1	0.019845	0.971384	0	0.656448	0.022937	1	0.150294	0.797871	0	0.027078	0.957074	0	0.068396	0.892498	0	0.564506	0.310485	0	-0.19799	0.398343	0	0.142038	0.556476	0	-0.088555	0.857773	0	0.145747	0.801878	0	-0.34172	0.474041	0	-1.412938	0.012597	1
ppm_0_516	-0.064791	0.905974	0	-0.567761	0.364316	0	-1.074213	0.070184	0	-0.358463	0.503034	0	-0.663655	0.22798	0	0.615328	0.279927	0	-0.322158	0.26506	0	0.533083	0.374643	0	0.513882	0.315124	0	-0.139216	0.768492	0	0.4303	0.39829	0	-0.039521	0.86568	0	0.495867	0.042453	1	1.112294	0.041343	1	-0.18394	0.7528	0	-0.523074	0.279409	0	1.540035	0.008185	1
