featureID	aos116_ga_ms2_83	aos91_ga_ms2_119	pooled_pd1074_43	aos122_ga_ms2_4	aos78_ga_ms4_22	aos118_ga_ms2_126	aos142_ga_ms2_7	aos149_ga_ms2_9	aos167_ga_ms4_132	aos200_ga_ms2_39	aos133_ga_ms2_128	aos43_ga_ms4_13	aos175_ga_ms2_35	aos43_ga_bku_60	aos75_ga_ms4_115	aos82_ga_ms2_75	pooled_natural_isolate_42	aos127_ga_ms2_5	aos93_ga_ms2_78	pooled_pd1074_143	solera_92	aos107_ga_bku_80	aos196_ga_ms2_101	aos38_ga_ms2_57	aos90_ga_ms3_66	pooled_mutant_142	aos86_ga_ms2_65	solera_97	aos184_ga_ms2_50	aos37_ga_ms2_56	aos113_ga_ms1_28	aos134_ga_ms2_86	aos140_gt_ms3_130	aos196_ga_ms3_135	aos32_ga_ms2_12	aos174_ga_ms2_34	aos69_ga_ms1_64	aos166_ga_ms2_131	aos199_ga_ms2_38	aos85_ga_ms3_98	solera_144	aos135_ga_ms2_129	aos25_ga_ms2_10	aos73_ga_ms2_70	aos39_ga_ms2_103	solera_3	solera_49	aos108_ga_ms2_27	aos140_ga_ms3_87	aos44_ga_ms2_106	pooled_pd1074_91	aos113_ga_ms1_124	aos197_ga_ms1_134	aos36_ga_ms2_55	aos56_ga_ms2_41	aos65_ga_ms2_19	aos69_ga_ms3_114	aos41_ga_ms2_104	solera_44	aos49_ga_ms2_108	aos33_ga_ms2_105	aos28_ga_ms2_53	aos53_ga_ms2_40	aos105_co_ms2_123	aos48_ga_ms2_15	aos46_ga_ms2_14	aos145_ga_ms2_8	aos180_ga_ms2_89	aos88_ga_ms2_138	aos99_ga_ms2_141	aos114_ga_ms2_125	aos66_ga_ms2_112	aos51_ga_ms2_109	aos106_co_ms2_25	aos27_ga_ms4_52	aos87_ga_ms3_118	aos125_ga_ms2_85	aos79_ga_ms2_116	aos102_ga_ms3_122	aos50_ga_ms2_16	aos99_ga_ms2_68	aos99_ga_ms2_26	aos120_ga_ms2_127	aos192_ga_ms2_37	aos193_ga_ms2_136	aos76_ga_ms2_21	aos181_ga_ms2_99	aos84_ga_ms2_76	aos167_ga_ms3_31	aos193_ga_ms3_100	pooled_mutant_90	aos129_ga_ms2_6	aos115_gt_ms1_29	aos70_ga_ms2_113	aos81_ga_ms2_71	aos92_ga_ms2_77	aos67_ga_ms2_20	aos98_ga_ms2_67	aos35_ga_ms2_54	aos101_ga_ms2_121	aos171_ga_ms2_88	aos198_ga_ms2_137	aos165_ga_ms2_30	aos127_ga_ms3_24	aos83_ga_ms2_117	aos94_ga_ms2_139	aos45_ga_ms2_110	aos87_co_ms3_72	aos26_ga_ms2_102	aos95_ga_ms2_79	aos47_ga_ms2_107	aos74_ga_ms2_63	aos40_ga_ms2_58	aos42_ga_ms2_59	aos100_ga_ms2_73	aos96_ga_ms2_74	aos27_ga_ms3_11	aos188_ga_ms3_36	aos173_ga_ms2_33	aos111_ga_ms2_82	aos185_ga_ms2_51	aos58_ga_ms2_18	aos71_ga_ms2_62	aos85_ga_ms2_140	aos113_ga_ms1_84	aos170_ga_ms2_32	aos109_ga_ms2_81	aos169_ga_ms2_133
ppm_0_047925	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	121461717.4	154825125.7	199283140.3	125747421.2	169771898.5	191221085.6	235906646.8	247808560.5	334562197.7	284767166.1	265201302	236393089.6	247289763.4	257862360.3	237405372.7	311989233.6	234826027.2	328448459.9	264630224	294231676.9	264629589.7	228808585.9	324154192.9	347030744.8	283924722.1	264474937	351672697.7	314332935.8	376198353	302801576.1	261319764.7	232863490.2	238761739	369336115	387846344.6	443131533.8	264762693.6	322154190.4	289968667.1	246219319.6	450465268.1	501974408.7	475443563.3	510701210.3	265195726.4	310293548.3	217740139.4	243150512.6	266923237.6	434679905.4	281505704.6	616519759.6	587937922.1	519362633.3	231919359.6	562426859.8	705466852	491486855.2	590699085.4	408846875.9	524237976.8	333581196.6	509983643.5	518223250.2	500449140.9	440770779.8
ppm_0_058749	2854363962	2314568528	1805841699	2644849683	6499655383	3004225163	2114689024	2231425306	3070495903	1765499721	2119087393	1313577895	2049848604	2183292050	10429553783	1633347510	2522830950	3915076583	2083496888	4403894900	4250882171	1295242952	11706209173	2485217841	13001525626	1820392771	2040042641	4323173477	1758826758	3621623574	3624451958	1381201809	1187041732	7113509568	509957842.7	335588118.5	2281508940	6675965223	9221957630	2649134440	4393088367	1785866607	245043458.9	2968678244	2931366480	3981435610	4624122120	5190681257	926067010.2	2528273385	2525694511	2081719769	6751834644	265436968.5	720902003.8	901550699.4	2910380954	2195205958	4565529741	216947302.1	372412237.6	440519175.2	420074595.9	227712171.6	269990812.5	601026640.2	560948759.1	188745985.4	1069759707	978946352.2	2665265874	985604367.6	393606271.8	867652145.4	281261940.2	657950754.6	712641754.7	1662679500	602497561	615755868.4	708896182.3	513188820.3	1032947017	243759154.6	988895059.3	621197216.4	317028909.8	401371428.5	805302388.8	833212966.2	1494608831	1101968074	334582971.6	983611183.1	338563519.6	559540675.8	793971975.5	901929135.5	930516598.3	1213809548	1673647015	1054855790	2156511210	2422511909	1094445988	598841982.8	2142111244	353167619.3	512247184.4	256378968.9	763750857.4	836178645.9	314558721	3502583596	708318019	827865010.6	235670541.2	526164967.5	1445496343	1105403784	683551121.7	1497046848	586469997.4	1803170323	1355132180	2893496614	708304190.7	901701179.9
ppm_0_07105	532541536.6	337063464.7	338103997.7	138460959.5	1218338151	85619593.87	202127963.3	185383026.5	645310654.7	292443669.2	206811983.7	438459785.3	482101278.8	692152565.9	1910970004	291410050.1	525104097.3	216866685.1	325047723.4	463203163.5	760963934	525145941.3	367212804.5	238855376	1272816426	172945759.1	319740468.3	543392442.6	374129444.4	262809513.1	279603347.9	476287137.5	176074374.1	285697516	85619593.87	227312737.2	298231006.8	310421714	504826421.7	232751338	438405172.6	191714872.1	200609317.7	264113979.2	220937149.4	498530367.3	801199290	539607402.8	216805058.7	514246138	85619593.87	204177730.2	288628392.2	223680858	294728107.4	578010442.1	281813735.5	230910252.6	500433717.7	203609117.1	292978255.3	278862510	145622423.4	163588078.5	122393193	154829291.6	85619593.87	85619593.87	149902287.2	230237324.9	229074583.7	95669783.84	154120040.8	85619593.87	210102065	211272424.5	85619593.87	187461996.6	166470563.4	221814696.9	85619593.87	246949567.3	171134330.7	85619593.87	170574028.8	236598274.5	232119373.9	85619593.87	85619593.87	206052481	433805403.3	173682783.7	206793983	178293823.4	85619593.87	85619593.87	85619593.87	474652355.5	196335806.9	161692761.4	337091579.5	141404459	245262406.3	85619593.87	498876076.8	406780737.7	222065297.9	267715344.6	182357345.4	177149296.1	212642866.5	363681153.3	228099181	335528671.7	573884931.6	467771622	85619593.87	266995610.1	522613024	85619593.87	473573823.1	85619593.87	426211838.9	286919300.3	85619593.87	247640707.2	512428079.6	275888445.9
ppm_0_095598	425844072.9	149130487.7	199006612.8	122551296.1	452136772.6	52303701.45	153267519.9	131143609.3	120063741.1	135593689.9	103275020.3	264668800.9	322720214.2	488223666.8	547653407	135067689	402252740.1	205138277.7	225309807.4	163279931.5	353678206.7	496365636.8	200469784.5	187789836.4	434699720.4	124961801.4	245043291.3	416988261.5	243297442.3	191542936.4	257883773.4	409444934.2	154021034.6	178015630.7	137491908.5	147335905.2	194618622.7	52303701.45	292623700.1	138666731.6	288858196.2	116508552.4	119150051.5	232550066.6	110101588.5	272326306.6	363345934.4	498878718.8	52303701.45	169785447	460885375.8	131404618.3	166628156.4	161085663.8	189202306.7	120659397.9	187654776.5	169869801.9	331637429.2	220699044	160730599.6	197828244.4	132948481.8	109449558.1	118192481.2	127782726.4	117827619.1	121307887.1	90841393.98	197939746.3	148869823.6	101438092.6	73767873.12	52303701.45	146690832.9	141509784.5	193521456.1	151211596.1	125678765.9	211388392	238419378.3	52303701.45	103862934.1	187601180.3	104572505.8	52303701.45	247777119.5	52303701.45	282055674.6	96718273.85	272980062.9	145083772.3	195697536.2	120212439.7	184041875.6	52303701.45	181475993.2	375339789.6	189964658.9	127285863.2	232720055.8	110342256.5	192158125.1	373479812.1	436062544.2	406329439.9	167788278	170431445.3	136504706	159434457.6	152709329.3	52303701.45	200844412.9	309779008.1	547567512.5	387474085.8	139468982.7	198758156.6	52303701.45	391853239.7	413091355.6	157483889.8	388462291.7	145451709.6	196174465.5	292949480.1	471842614.4	154259167.2
ppm_0_11676	425055239.3	217163626.3	74134033.83	195027415.7	514937302.8	182329026.2	74134033.83	164482481.3	393452382.9	193291943.9	107576811.5	238530825.4	288083862.3	459056829.7	1353136590	178242722.9	429070853.1	195965577.4	256701920.5	306979080.5	291147601.3	393663823.1	215862814.2	209170143.2	830536315.5	111513064.7	224585786.7	197048216.2	285775842.8	232362426.8	232800165.1	74134033.83	157811406	160622149.4	131328174.3	74134033.83	216755544.6	168208731.6	311773003.4	165942343.7	74134033.83	106189027.4	111723887.2	224129351.8	115194813.4	248170168.3	74134033.83	74134033.83	155088567.9	346160862.5	338389599.5	143549308.5	175405122.2	74134033.83	74134033.83	74134033.83	176917717.1	148664845.3	74134033.83	74134033.83	74134033.83	218874602.3	121040369.4	74134033.83	133964365.1	119049688.2	110473629	132838872.2	74134033.83	186574415.7	166652671	119081963.4	74134033.83	126629569.6	164375683.6	152681919.6	251039720.1	167820959.9	103048949.2	216477044.5	255104194.4	210764535.2	93450100.18	182590719.7	74134033.83	239295597.6	264058885	74134033.83	292923932.8	105475144.8	272494637.6	74134033.83	74134033.83	145089856.9	216623246.4	74134033.83	190817428.4	385948345.4	202964635.5	129823318.9	270144231.3	115375383.3	152809994.9	74134033.83	74134033.83	425730173.8	132091190.9	190949102.1	74134033.83	172042573.1	133486165.7	327801051.2	74134033.83	345411530.2	74134033.83	391167153.7	74134033.83	215204869.9	383508819.4	405578645.5	440885110.6	164050933.4	402681132.8	164061162.4	217602877.5	74134033.83	470930208.2	177240396.9
ppm_0_27097	415916405.3	339097978	216975638.3	156268512.6	301572892.5	164495986.1	183692080.7	197826410	273621244	164813105.6	244704707.5	210037407.3	250798375.4	330295114.5	988329373.7	170331943.5	371417045.6	436294922.1	271419198.2	197932752.3	252808305	180295054.6	170948391	185510781.4	368956194.7	152330659.1	218737737.3	190567079	253891622.4	198847466	266470312	404932444.2	173441427.2	169563573.9	136467749.7	158183271.3	165123773.3	131943553.1	249731663.8	152645798.9	186715893.9	119933954.2	121927979.2	208371583.9	145672377.6	207607162.1	298561472.5	487402013	153141858.1	182215144.3	236968993.1	148755338.6	173899287.3	194202528.9	265955231	123564697.8	156802884.3	168252289.3	296943019.8	162753942.6	146005075.4	211301529.9	268093901.2	303047772.6	131709130.7	126245558.8	154717305.5	105901768.5	132900068.2	423313067.8	500481930.4	212789996.9	252099439.1	150948757.4	166928178.6	150524522.2	234193229.8	478464048.7	131777003.3	216023061.2	214759787.5	242361067.9	135167366.5	248686870.9	133263785.1	221373962.7	756823590.1	202741529	301790475.9	166151562.4	245577814.9	166187702	189992907.9	131333447.7	187908141.2	267103134	184726813.7	335810603.9	198532621.9	132249479.5	226019488.6	117937848.1	153549070.7	342957529.9	1136774835	879308416.3	125898764.1	190951167.6	136149960.9	200989891.4	132391691.9	337378758.5	220871992.6	304949042.6	539418388	365779309.6	137572566.6	207685157.8	381623448.3	392904384.1	400465840.4	149803735.3	395064523	123068511.9	199237454	296948069.5	485064048.4	161701752.5
ppm_0_42422	37224518.87	37224518.87	37224518.87	194438207.6	37224518.87	37224518.87	37224518.87	79301664.27	315640301.4	89658020.07	37224518.87	37224518.87	37224518.87	243868749.2	1077560048	37224518.87	37224518.87	37224518.87	37224518.87	37224518.87	37224518.87	37224518.87	37224518.87	37224518.87	37224518.87	194787656.3	139245094.1	37224518.87	175722639.9	37224518.87	171749029.8	37224518.87	37224518.87	37224518.87	37224518.87	132272833	37224518.87	86707975.71	37224518.87	37224518.87	37224518.87	139917018.4	37224518.87	37224518.87	194187257.7	94977135.04	130768128.3	37224518.87	128230685.4	37224518.87	37224518.87	105583991.9	37224518.87	140014995.9	201836254.4	80283667.54	139796280.4	37224518.87	144839260.3	192378821.3	37224518.87	172175829	37224518.87	37224518.87	75674123.89	37224518.87	37224518.87	66132675.37	37224518.87	460741728.5	37224518.87	237241605	37224518.87	101160558	37224518.87	169887803.2	141515836	37224518.87	142260721.2	37224518.87	37224518.87	147774178.6	37224518.87	182478803.1	210579811.6	37224518.87	37224518.87	144327786.9	37224518.87	37224518.87	37224518.87	37224518.87	199327695.1	37224518.87	37224518.87	37224518.87	37224518.87	37224518.87	180894865.8	131458671.5	183036782.1	116843058.2	105855302.8	295208275.9	1259361098	1099142027	37224518.87	37224518.87	37224518.87	37224518.87	37224518.87	37224518.87	37224518.87	37224518.87	425760723.5	267092293.5	83558945.72	163136517.2	37224518.87	37224518.87	37224518.87	102243460.7	37224518.87	37224518.87	37224518.87	37224518.87	381880013.1	37224518.87
ppm_0_43277	310253710	51064813.67	51064813.67	226349203.7	96913061.18	198960555.4	51064813.67	107651216.2	51064813.67	51064813.67	310108001.3	112597284.6	51064813.67	252261052.1	1137783375	51064813.67	266764967.7	518130574.2	51064813.67	241562134.8	121852447.5	156893724.8	188122474.5	148898901.9	200029996.3	224825130	51064813.67	51064813.67	193671718.4	152692374.3	171189747.7	321767294.4	180949131.7	51064813.67	89551212.38	51064813.67	51064813.67	98109452.14	51064813.67	178967207.6	161224417.1	51064813.67	129756127.4	160578457.5	236579636.3	168982894.3	51064813.67	335392127.7	51064813.67	181955862.1	168988054.4	51064813.67	115534024.6	144657860.1	195923457.7	51064813.67	146805338.7	51064813.67	138820248.3	51064813.67	51064813.67	176699253.3	51064813.67	51064813.67	51064813.67	51064813.67	100098316.3	105790361.6	51064813.67	504593172.9	548799338.2	51064813.67	311505261.3	120223702.2	151283706.9	51064813.67	51064813.67	522943539.8	51064813.67	91349542.94	51064813.67	51064813.67	178218578.2	156393226.7	237267924.7	173129951	865815455.4	153035900	51064813.67	235380169.5	133239242.7	109239865.1	166698886.7	140672317.9	187135740.9	212952036.8	97229691.6	263087571.5	51064813.67	151000101.7	167431125	51064813.67	95268307.94	268758988.1	1337281052	1224494769	51064813.67	150950715.1	109499821.6	156056568.1	102203116.4	226675326.6	51064813.67	253218865.7	51064813.67	51064813.67	73057730.27	169839553.6	265981163.7	289283633.5	304783987.8	102612913.9	253546393.5	51064813.67	179265414.8	207696574.8	385288163.1	150712930.7
ppm_0_47085	333058028.2	567336244.3	196816120.5	262339559	82647140.64	293349720.4	100808796.5	112503706.5	422311259.8	176082600.3	389600802.7	124350487.2	242762699.6	239260938.4	1197344894	179427288.7	350803609.1	665156671.6	301300610	303755052.8	218050080.1	191490774.6	188430372.6	148588994	296936864.2	326687536.2	153113395.4	303792393.2	204818242.9	188923717.6	237513245.6	355321470	272430418.7	180221396.4	127527072.7	151597061.7	128873914.3	188480497.4	178421698.2	186500746	141729396.7	382534602.7	115556219.8	212015422.4	274469651.8	247411434	125634744.4	340634499.3	172251468	236918150.5	245630564.7	114011126.2	162246226.9	144282267.5	239674644	99842249.33	246223999.4	254347129.8	218022415.3	281692526.1	164774789.7	170411909.7	114326437.5	517639335.7	105362607.1	87282975.15	176195912.5	145060446	312912467.1	848160642.4	814910480.1	384864094.5	331561180.1	188074816	219434682.6	313913245.7	278313706.9	712326202.1	181927233.2	263330148.2	187916826.4	218033646.8	209113475.2	251800031.8	341323260.3	126409437.3	1049221871	270258667.6	249548570.5	320013262.1	243460155.2	117234746.3	172657164.1	165976362.1	189851556.8	341674223.1	132153400.7	385629040.3	191832173.5	167180145	177605074.1	163194123.3	113705082.3	250734276.1	1377541025	1256372823	218438706.6	141823366.1	128026336.4	197361635.1	205098824.6	332693656.3	232072612.4	485376684.5	427855872.2	327698675	83698410.2	239712571	391969025.5	367747612.7	324581632.6	162624230.4	275503170.9	151842412.8	239398054.4	214690739.2	363914733.4	376305732.8
ppm_0_50793	83669867.53	83669867.53	83669867.53	748873312.6	190985925.6	445870571.3	305032457.2	303220007.1	618502828.1	83669867.53	533443024.9	83669867.53	83669867.53	83669867.53	1939723615	83669867.53	83669867.53	882780163	83669867.53	586026626.6	83669867.53	83669867.53	396523500.1	83669867.53	83669867.53	482521843.6	83669867.53	83669867.53	83669867.53	1076591374	83669867.53	83669867.53	368030342.9	284901373	83669867.53	225398213.6	83669867.53	83669867.53	83669867.53	83669867.53	375595173.7	83669867.53	148649546	83669867.53	439676202.4	304414643	83669867.53	83669867.53	83669867.53	324069602.7	83669867.53	209770054	284696500.6	83669867.53	83669867.53	557500906.3	83669867.53	83669867.53	83669867.53	83669867.53	83669867.53	167152548.1	83669867.53	83669867.53	201489873.5	83669867.53	201306300.2	83669867.53	410939136.7	83669867.53	1068272212	560688683.7	623657318	83669867.53	83669867.53	428938218.4	83669867.53	997277261.4	386266574	83669867.53	83669867.53	83669867.53	323519523.5	83669867.53	470710402.7	289340348.5	83669867.53	83669867.53	83669867.53	442179232.3	83669867.53	347187102	83669867.53	83669867.53	83669867.53	83669867.53	178356953.6	83669867.53	4670804871	281523307.6	83669867.53	191936381.5	244477689.3	295428099.3	83669867.53	83669867.53	83669867.53	83669867.53	199063601.5	83669867.53	83669867.53	83669867.53	501101956	83669867.53	83669867.53	83669867.53	83669867.53	83669867.53	83669867.53	83669867.53	83669867.53	83669867.53	83669867.53	83669867.53	83669867.53	254682540.8	3135588129	83669867.53
