featureID	effect_AUM2073	pval_AUM2073	effect_CB4856	pval_CB4856	effect_Combo	pval_Combo	effect_CX11314	pval_CX11314	effect_DL238	pval_DL238	effect_KJ550	pval_KJ550	effect_N2	pval_N2	effect_NS	pval_NS	effect_NInoN2	pval_NInoN2	effect_RB2011	pval_RB2011	effect_RB2055	pval_RB2055	effect_RB2347	pval_RB2347	effect_RB2550	pval_RB2550	effect_CM	pval_CM	effect_UGT	pval_UGT	effect_UGT49	pval_UGT49	effect_UGT60	pval_UGT60	effect_VC1265	pval_VC1265	effect_VC2524	pval_VC2524	flag_sig05_COMBO_path	flag_sig05_VC1265	direction_VC1265	flag_sig05_DL238	direction_DL238	flag_sig05_UGT60	direction_UGT60	dir_pd_vs_strain_Combo	sum_flag_sig05_strain_4_Combo	flag_sig05_NS_path	flag_sig05_CB4856	direction_CB4856	flag_sig05_CX11314	direction_CX11314	dir_pd_vs_strain_NInoN2	sum_flag_sig05_strain_4_NInoN2	flag_sig05_N2	direction_N2	dir_pd_vs_strain_NI	sum_flag_sig05_strain_4_NI	flag_sig05_CM_path	flag_sig05_KJ550	direction_KJ550	flag_sig05_RB2347	direction_RB2347	flag_sig05_AUM2073	direction_AUM2073	flag_sig05_VC2524	direction_VC2524	dir_pd_vs_strain_TCA	sum_flag_sig05_strain_4_TCA	flag_sig05_UGT_path	flag_sig05_RB2055	direction_RB2055	flag_sig05_RB2550	direction_RB2550	flag_sig05_RB2011	direction_RB2011	flag_sig05_UGT49	direction_UGT49	dir_pd_vs_strain_UGT	sum_flag_sig05_strain_4_UGT
ppm_0_73102	-0.776636	0.146638	-0.301189	0.609527	0.23669	0.431234	0.289535	0.571977	0.398237	0.44074	0.136035	0.798674	-0.321646	0.571193	0.054121	0.842188	0.165763	0.592357	0.306592	0.603621	1.265992	0.023258	-0.284638	0.58485	0.284986	0.572507	0.052474	0.823299	0.266137	0.281945	-0.490613	0.361085	-0.004871	0.993408	0.256907	0.588567	1.037013	0.073231	0	0	strain	0	strain	0	pd1074	mix strain & pd1074	0	0	0	pd1074	0	strain	mix strain & pd1074	0	0	pd1074	mix strain & pd1074	0	0	0	strain	0	pd1074	0	pd1074	0	strain	mix strain & pd1074	0	0	1	strain	0	strain	0	strain	0	pd1074	mix strain & pd1074	1
ppm_0_78581	-0.175923	0.720696	-0.992183	0.162998	0.338088	0.273586	-0.724803	0.175418	0.327837	0.546043	-0.714287	0.2065	-0.643091	0.378938	-0.427279	0.161532	-0.381699	0.255814	0.481937	0.425791	-0.088876	0.859885	-0.004946	0.992238	-1.667953	0.00593	-0.267219	0.239987	-0.010229	0.967232	0.308446	0.537044	0.796806	0.188167	0.059572	0.900917	-0.63721	0.211759	0	0	strain	0	strain	0	strain	all strain direction	0	0	0	pd1074	0	pd1074	mix strain & pd1074	0	0	pd1074	mix strain & pd1074	0	0	0	pd1074	0	pd1074	0	pd1074	0	pd1074	mix strain & pd1074	0	0	0	pd1074	1	pd1074	0	strain	0	strain	mix strain & pd1074	1
ppm_0_86209	-1.083173	0.043104	0.740852	0.231866	0.02168	0.942301	-0.487802	0.349848	0.074923	0.884851	0.189427	0.726747	0.307714	0.576985	0.107424	0.695236	0.0417	0.895018	0.376927	0.528498	-0.310786	0.540151	0.502236	0.297838	0.276849	0.578739	-0.020316	0.929129	-0.094988	0.693733	-0.49282	0.353521	-0.287814	0.621701	0.180677	0.702456	-0.063465	0.905382	0	0	strain	0	strain	0	pd1074	mix strain & pd1074	0	0	0	strain	0	pd1074	mix strain & pd1074	0	0	strain	mix strain & pd1074	0	0	0	strain	0	strain	1	pd1074	0	pd1074	mix strain & pd1074	1	0	0	pd1074	0	strain	0	strain	0	pd1074	mix strain & pd1074	0
ppm_0_89793	0.351584	0.477928	-1.044441	0.124786	-0.091912	0.766099	0.405746	0.432143	-0.235856	0.644435	-0.260656	0.652921	0.137607	0.80235	-0.090673	0.74329	-0.168246	0.599586	-0.381415	0.52243	-0.176978	0.720947	0.169137	0.720437	-1.049496	0.051931	-0.17258	0.451627	-0.256459	0.286948	-0.081679	0.868913	0.459433	0.438664	-0.35878	0.484007	-0.902874	0.082865	0	0	pd1074	0	pd1074	0	strain	mix strain & pd1074	0	0	0	pd1074	0	strain	mix strain & pd1074	0	0	strain	mix strain & pd1074	0	0	0	pd1074	0	strain	0	strain	0	pd1074	mix strain & pd1074	0	0	0	pd1074	0	pd1074	0	pd1074	0	pd1074	mix strain & pd1074	0
ppm_0_90758	-0.357221	0.46933	-0.95125	0.134023	-0.387249	0.202984	-0.450941	0.387317	-0.377114	0.465484	-0.442523	0.411663	-0.181105	0.76346	-0.4683	0.09562	-0.548385	0.084413	-0.740886	0.227938	0.360213	0.468728	-0.375181	0.43282	-0.089293	0.856627	-0.188833	0.400272	-0.098631	0.678857	-0.039879	0.937131	-0.243696	0.677077	-0.497628	0.311172	0.777707	0.130313	0	0	pd1074	0	pd1074	0	pd1074	all pd1074 direction	0	0	0	pd1074	0	pd1074	all pd1074 direction	0	0	pd1074	all pd1074 direction	0	0	0	pd1074	0	pd1074	0	pd1074	0	strain	mix strain & pd1074	0	0	0	strain	0	pd1074	0	pd1074	0	pd1074	mix strain & pd1074	0
ppm_0_91581	-0.354428	0.472549	-0.466923	0.434791	0.204086	0.500966	0.453567	0.384237	0.325366	0.531915	-0.791836	0.155723	0.651022	0.335743	0.241761	0.39544	0.153772	0.623878	-0.279359	0.635159	-0.670495	0.185615	-0.279054	0.557687	0.292983	0.558779	-0.09716	0.66476	-0.258231	0.278191	-0.393965	0.433209	-0.254869	0.663575	0.41235	0.39419	0.395929	0.434995	0	0	strain	0	strain	0	pd1074	mix strain & pd1074	0	0	0	pd1074	0	strain	mix strain & pd1074	0	0	strain	mix strain & pd1074	0	0	0	pd1074	0	pd1074	0	pd1074	0	strain	mix strain & pd1074	0	0	0	pd1074	0	strain	0	pd1074	0	pd1074	mix strain & pd1074	0
ppm_0_93131	-0.656399	0.206245	-0.427605	0.481088	-0.469227	0.125289	-0.486771	0.349507	-0.677208	0.202258	-0.322592	0.572962	-0.101051	0.855204	-0.430525	0.117564	-0.538465	0.089344	0.318412	0.589892	-0.335911	0.527075	0.083961	0.859028	-0.781881	0.133876	-0.261577	0.251584	-0.397405	0.113629	-0.675887	0.239448	-0.401936	0.506356	-0.343273	0.471786	-0.132286	0.802334	0	0	pd1074	0	pd1074	0	pd1074	all pd1074 direction	0	0	0	pd1074	0	pd1074	all pd1074 direction	0	0	pd1074	all pd1074 direction	0	0	0	pd1074	0	strain	0	pd1074	0	pd1074	mix strain & pd1074	0	0	0	pd1074	0	pd1074	0	strain	0	pd1074	mix strain & pd1074	0
ppm_0_94007	-1.144068	0.034999	-0.302357	0.618082	-0.436594	0.156284	-0.431853	0.403995	-0.355747	0.503611	-0.251571	0.647571	-0.116427	0.831663	-0.306296	0.263599	-0.369666	0.242699	0.247119	0.675902	-0.518366	0.329218	-0.18736	0.705998	-0.016822	0.973001	-0.502657	0.028594	-0.366527	0.146212	-0.903165	0.139406	-0.829348	0.182345	-0.271637	0.567776	-0.753576	0.142376	0	0	pd1074	0	pd1074	0	pd1074	all pd1074 direction	0	0	0	pd1074	0	pd1074	all pd1074 direction	0	0	pd1074	all pd1074 direction	0	1	0	pd1074	0	pd1074	1	pd1074	0	pd1074	all pd1074 direction	1	0	0	pd1074	0	pd1074	0	strain	0	pd1074	mix strain & pd1074	0
ppm_0_95113	-0.136923	0.781028	-0.938137	0.146669	-0.409617	0.179924	-0.048902	0.924475	-0.271742	0.595986	-0.308081	0.571907	0.397921	0.471579	-0.163341	0.552413	-0.347822	0.272377	-0.349245	0.556297	-0.459156	0.368037	-0.098883	0.838957	0.133074	0.78889	-0.200835	0.365287	-0.18567	0.442425	0.397519	0.429818	-1.036324	0.105504	-0.185012	0.695645	-0.298425	0.543823	0	0	pd1074	0	pd1074	0	pd1074	all pd1074 direction	0	0	0	pd1074	0	pd1074	all pd1074 direction	0	0	strain	mix strain & pd1074	0	0	0	pd1074	0	pd1074	0	pd1074	0	pd1074	all pd1074 direction	0	0	0	pd1074	0	strain	0	pd1074	0	strain	mix strain & pd1074	0
ppm_0_96267	0.130724	0.7904	-1.09625	0.102824	-0.559625	0.076048	0.236567	0.643507	-0.828928	0.140979	-0.628392	0.26207	0.005517	0.992027	-0.330111	0.24361	-0.44985	0.172524	-0.298129	0.638476	0.121115	0.806703	-0.823661	0.108499	-0.565087	0.265783	-0.530436	0.020473	-0.067377	0.778853	0.204677	0.682807	0.153444	0.792417	-0.875292	0.08177	-0.516561	0.300382	0	0	pd1074	0	pd1074	0	strain	mix strain & pd1074	0	0	0	pd1074	0	strain	mix strain & pd1074	0	0	strain	mix strain & pd1074	0	1	0	pd1074	0	pd1074	0	strain	0	pd1074	mix strain & pd1074	0	0	0	strain	0	pd1074	0	pd1074	0	strain	mix strain & pd1074	0
ppm_0_97397	0.206852	0.672738	-0.552355	0.402885	-0.616613	0.048973	0.12261	0.814045	-0.8453	0.134562	-0.56565	0.31617	-0.365076	0.509357	-0.376357	0.18554	-0.380403	0.250976	-0.370404	0.559607	0.264012	0.590687	-0.940923	0.066962	-1.5271	0.010149	-0.453392	0.04609	-0.203853	0.409798	0.42329	0.398293	-0.298955	0.610572	-0.665932	0.174406	-0.372384	0.451233	1	0	pd1074	0	pd1074	0	pd1074	all pd1074 direction	0	0	0	pd1074	0	strain	mix strain & pd1074	0	0	pd1074	mix strain & pd1074	0	1	0	pd1074	0	pd1074	0	strain	0	pd1074	mix strain & pd1074	0	0	0	strain	1	pd1074	0	pd1074	0	strain	mix strain & pd1074	1
ppm_0_98221	-0.046572	0.924571	-0.006037	0.991858	0.192429	0.538989	-0.059791	0.907685	0.287106	0.615746	0.780528	0.174595	0.315539	0.567036	0.12908	0.642078	0.065655	0.838184	0.339546	0.582811	0.373294	0.452923	0.710677	0.153713	0.666615	0.196721	0.445117	0.049034	0.269398	0.268143	-0.086064	0.866793	-0.007086	0.990731	0.247926	0.601015	0.655611	0.194404	0	0	strain	0	strain	0	pd1074	mix strain & pd1074	0	0	0	pd1074	0	pd1074	mix strain & pd1074	0	0	strain	mix strain & pd1074	0	1	0	strain	0	strain	0	pd1074	0	strain	mix strain & pd1074	0	0	0	strain	0	strain	0	strain	0	pd1074	mix strain & pd1074	0
