featureID	aos53_ga_ms2_40	solera_92	solera_49	solera_3	aos36_ga_ms2_55	aos58_ga_ms2_18	aos66_ga_ms2_112	aos87_ga_ms3_118	aos43_ga_bku_60	aos71_ga_ms2_62	aos180_ga_ms2_89	aos37_ga_ms2_56	aos149_ga_ms2_9	aos170_ga_ms2_32	aos93_ga_ms2_78	aos113_ga_ms1_84	aos169_ga_ms2_133	aos109_ga_ms2_81	aos91_ga_ms2_119	aos74_ga_ms2_63	aos166_ga_ms2_131	aos107_ga_bku_80	aos145_ga_ms2_8	aos70_ga_ms2_113	aos111_ga_ms2_82	aos78_ga_ms4_22	aos101_ga_ms2_121	aos140_ga_ms3_87	aos140_gt_ms3_130	aos32_ga_ms2_12	aos67_ga_ms2_20	aos28_ga_ms2_53	aos120_ga_ms2_127	solera_44	aos133_ga_ms2_128	aos171_ga_ms2_88	aos46_ga_ms2_14	aos115_gt_ms1_29	aos69_ga_ms1_64	aos135_ga_ms2_129	aos95_ga_ms2_79	aos69_ga_ms3_114	aos102_ga_ms3_122	aos113_ga_ms1_124	aos25_ga_ms2_10	aos125_ga_ms2_85	aos184_ga_ms2_50	aos196_ga_ms3_135	aos88_ga_ms2_138	aos27_ga_ms4_52	aos73_ga_ms2_70	aos198_ga_ms2_137	aos48_ga_ms2_15	pooled_pd1074_143	aos142_ga_ms2_7	aos99_ga_ms2_141	aos167_ga_ms4_132	aos193_ga_ms2_136	aos42_ga_ms2_59	aos197_ga_ms1_134	aos27_ga_ms3_11	aos51_ga_ms2_109	aos175_ga_ms2_35	aos38_ga_ms2_57	aos85_ga_ms2_140	aos99_ga_ms2_68	aos134_ga_ms2_86	aos86_ga_ms2_65	pooled_natural_isolate_42	aos106_co_ms2_25	aos76_ga_ms2_21	aos174_ga_ms2_34	aos43_ga_ms4_13	aos65_ga_ms2_19	aos84_ga_ms2_76	aos35_ga_ms2_54	aos116_ga_ms2_83	aos185_ga_ms2_51	aos75_ga_ms4_115	aos118_ga_ms2_126	aos127_ga_ms2_5	aos196_ga_ms2_101	pooled_mutant_142	aos96_ga_ms2_74	aos33_ga_ms2_105	aos127_ga_ms3_24	solera_144	aos40_ga_ms2_58	aos122_ga_ms2_4	aos100_ga_ms2_73	aos193_ga_ms3_100	aos92_ga_ms2_77	pooled_mutant_90	aos49_ga_ms2_108	aos188_ga_ms3_36	aos90_ga_ms3_66	aos47_ga_ms2_107	aos83_ga_ms2_117	pooled_pd1074_91	aos167_ga_ms3_31	aos181_ga_ms2_99	aos98_ga_ms2_67	aos39_ga_ms2_103	aos87_co_ms3_72	aos165_ga_ms2_30	aos44_ga_ms2_106	aos105_co_ms2_123	pooled_pd1074_43	aos108_ga_ms2_27	aos192_ga_ms2_37	aos200_ga_ms2_39	aos56_ga_ms2_41	aos79_ga_ms2_116	aos45_ga_ms2_110	aos99_ga_ms2_26	aos41_ga_ms2_104	aos129_ga_ms2_6	aos199_ga_ms2_38	aos94_ga_ms2_139	aos113_ga_ms1_28	aos82_ga_ms2_75	aos173_ga_ms2_33	aos50_ga_ms2_16	aos26_ga_ms2_102	aos114_ga_ms2_125	aos81_ga_ms2_71	solera_97	aos85_ga_ms3_98
ppm_0_73102	47715780.8	47715780.8	47715780.8	47715780.8	57825998.68	188726786.2	541391462.4	317906589.4	694379454.5	799464966.2	481566412.5	808690407.7	730479996.8	1257799081	541775540.7	703122664.8	631371932.8	719659877.1	775396521.8	1119992997	938979280.8	684070476	778551559.7	521946150.4	1230475052	1117037394	775409044.8	1143517146	1110628552	607902524.1	1003034055	657561226.5	1100708207	1274457329	1592838121	1192437312	502946433.3	1159688172	762342283.1	1316890370	817789686.1	669237403.1	694604961.9	1044219873	1082200255	1233735193	1674268651	1272097762	1406085568	502589625.5	893202645.4	947989338	1725186619	1395368158	1795048482	1709081285	1270746588	1864143458	2122816428	1404716803	1197707774	2875771905	1733195886	1532431081	986726504.3	2114927036	1626967642	1491465466	1655397850	1298665022	2427376432	1305759903	2534578000	959651416.2	1967458512	878688362.2	1862513779	2233325473	2416464870	1568694625	3127132423	1749259775	1933423944	2592576775	422717371.8	3357574760	1751315269	1069050544	1924811387	2450564541	2173323779	2267648766	2029153958	2062899555	1561290791	2478041490	1966650733	1579161150	2194986852	2023125622	3832529477	2498445952	2763496949	1432279291	3706006877	1377617705	2865769609	3281775823	1972706550	3594724267	3169537089	1766959219	3958499355	2001608477	3286265909	1990227813	2105234290	1946981052	3198148801	1923218919	1670920170	3050650259	2746610023	2114666592	5650301360	1567363009	2532882194	1505414646
ppm_0_78581	1455139539	1645420466	2189775468	5085177568	63947162.07	750084006.2	1995422073	784564536.2	1030162885	1279437711	576821447.3	1354002229	1162192873	1417756547	959304137.2	1420871118	1315242602	635571196.1	897882011.2	1523501415	2792400021	1264411457	1162335774	972638316.3	1025542055	1648422111	1556666379	1689825192	1536618817	654162439.4	1225195157	318535225.1	2038404454	2324919584	1938201486	1932191829	1037124852	1486264354	727416251.9	1317492173	1367646159	1059163430	1735389000	1752283892	92741389.72	1656304473	1385138640	1693127415	2271285911	374709696.1	970877729.5	1522138844	2840205099	1971092411	1863260113	1977312825	1495502378	3856941526	2976497712	1421666841	2818562931	2991189625	2337930597	2146197735	1451864481	2548907718	1038276286	2454721152	2195474872	92741389.72	2882664541	2233315333	4001350763	1842968056	1352144371	92741389.72	2143743756	1277812827	1727092954	1980212000	2553720171	2576774469	2323263701	1802606609	849607629.8	2486697344	2373834574	92741389.72	2363112355	1415580423	3198607672	1824389146	2543618957	3039348261	2527116926	2261526420	92741389.72	1148339201	2693661705	2522427062	3982774908	2918615604	3830523478	2115103119	3877723807	2187753181	1956072829	4106026131	3457151444	3346376340	3672669187	92741389.72	4144683159	2141528626	4211906094	92741389.72	942029281.2	3082088838	2023030711	3037377368	2630242178	4277365971	3258599916	3194185820	1803588909	92741389.72	4447179143	92741389.72
ppm_0_86209	27145920176	38663783538	41306277864	57517238980	12933832021	50509608152	22939346118	17851711035	46325486542	35144708335	24120058553	36008180441	27433525155	82196542114	30289304376	38027334710	24265742262	35576613866	23870067228	45841422380	30837615996	20044798025	38000007334	22306558836	55334990280	45026804907	14634635353	45395898811	28573058689	24681935330	28724852557	25396845099	22607588666	51501897725	34671911734	33757731264	26177910600	35725876936	24201219132	29798609135	18420356476	26893521805	18824679139	29289701048	30606162384	37080088934	41634705113	28712778694	27356518220	3928005103	25093982601	32201263271	51367395535	33078863228	44550559076	32123445885	26505903381	42453128511	44362685240	30528878097	31179359433	43372727386	26302783997	39090207708	27617706454	44320201000	30712098430	40933482776	30380918160	22104207724	54529547102	25975185016	72412335078	28435667423	40501248801	50597956525	37370147295	35967677931	50045297987	28232919253	48429456281	35809978755	33089185429	46859549575	10022647988	49099804299	36666341494	29748654183	27385380056	52892242685	59223049182	29737912642	29570364794	38239301117	14620813678	47351966660	49152309896	35340509511	27231324498	28153764750	52381165935	46835575995	59465931475	21337066790	44734097959	33567101434	26967521201	37249347054	39881366182	45610147900	42422681380	33371125467	46870173477	35532419991	41814284708	63454278736	23697202575	33836493960	37057874429	39767961583	37317495306	40924896171	28313598627	49758915178	57707303474	23319447930	47606962762	36127185382
ppm_0_89793	20654806082	39134225518	41441952764	56985965437	3458661565	3458661565	17949232140	16666729177	35193035141	35131384790	26369319851	29529329743	24619141538	3458661565	3458661565	33330655688	18164250689	3458661565	22956558855	35060357012	24302558064	20525511510	3458661565	3458661565	3458661565	32923098943	14459307230	35587242314	24290846210	3458661565	22458165007	21813866837	20820299429	51440767256	27696824864	24212227759	3458661565	3458661565	3458661565	26672329987	18603885703	3458661565	17772969944	23521559878	26983893913	3458661565	38960142385	25328141475	24984890066	3463731785	19839570725	3458661565	35125997959	28842098709	27515456330	28852496106	23707493954	28594775476	34382298748	25168917950	24020722273	40224275102	22662895497	29928229213	3458661565	39532210640	29830753612	32503543083	25373969558	20472881223	42000505666	3458661565	3458661565	3458661565	37479398201	3458661565	34813345622	37235766187	44737391613	26816897046	43701664354	30096068888	29938079985	40778868857	3458661565	48684104703	34900180564	3458661565	25505170410	47945350422	38774147102	32247316271	26356233454	3458661565	15532474139	47986543605	3458661565	3458661565	25463956290	23951510363	43670019159	47303926184	43760765979	19712405813	40906557042	3458661565	27133945887	31444921154	3458661565	43827302368	39563706258	26459090470	41822155060	26331447883	35402975299	3458661565	19882430518	27290182151	36128335351	3458661565	32750711399	30872242451	28693852927	3458661565	57410679415	20758614547	48171867883	3458661565
ppm_0_90758	17549000208	33110085824	34949410137	50022341769	9312626136	3608581049	3608581049	3608581049	28220584615	27886798055	3608581049	23798573723	3608581049	3608581049	3608581049	3608581049	3608581049	15239705222	3608581049	3608581049	3608581049	3608581049	3608581049	3608581049	3608581049	27941491027	13307346474	3608581049	3608581049	3608581049	3608581049	19653156040	3608581049	3608581049	20573645114	3608581049	3608581049	3608581049	15171156913	3608581049	3608581049	15935460957	3608581049	3608581049	3608581049	3608581049	3608581049	3608581049	3608581049	3608581049	18238665267	3608581049	3608581049	3608581049	3608581049	3608581049	20488061291	3608581049	28816749502	20589630198	22394823062	34336097714	3608581049	23383229067	3608581049	31465700805	3608581049	3608581049	21278420009	17118132064	3608581049	3608581049	32781002110	3608581049	3608581049	3608581049	3608581049	3608581049	3608581049	21397629212	34774943569	3608581049	3608581049	3608581049	3608581049	40401364571	31434560938	17192536076	3608581049	3608581049	3608581049	24226586135	3608581049	3608581049	12664533313	34050623941	26265646313	3608581049	21024187081	3608581049	35763282861	3608581049	3608581049	17133586035	30154660791	3608581049	24281323864	26805312717	3608581049	3608581049	3608581049	24278611443	3608581049	23254820872	29806026151	3608581049	3608581049	3608581049	31019010195	3608581049	3608581049	3608581049	3608581049	3608581049	3608581049	15959627444	3608581049	3608581049
ppm_0_91581	4045860645	31223864114	33989334171	47297051920	4045860645	4045860645	4045860645	4045860645	27197027023	26233639363	4045860645	4045860645	4045860645	4045860645	4045860645	4045860645	4045860645	4045860645	4045860645	4045860645	4045860645	4045860645	4045860645	4045860645	27267988087	4045860645	13894660619	4045860645	4045860645	4045860645	4045860645	4045860645	4045860645	4045860645	4045860645	4045860645	4045860645	4045860645	4045860645	4045860645	4045860645	4045860645	4045860645	4045860645	26961572168	4045860645	30674301511	4045860645	4045860645	4045860645	19932745993	4045860645	26922903899	4045860645	4045860645	4045860645	20894574784	4045860645	29297865302	4045860645	23918776925	35738406936	4045860645	4045860645	4045860645	31990486861	4045860645	4045860645	21066113227	17954249984	4045860645	4045860645	32382881818	4045860645	32250073342	4045860645	4045860645	27609513066	4045860645	4045860645	35728641734	4045860645	4045860645	4045860645	4045860645	39101525593	31520286526	4045860645	4045860645	4045860645	4045860645	4045860645	4045860645	4045860645	4045860645	4045860645	4045860645	4045860645	22039089753	4045860645	37595514437	4045860645	4045860645	17974342230	30154660791	21514126721	25632370240	4045860645	4045860645	4045860645	4045860645	25145346936	4045860645	4045860645	4045860645	4045860645	4045860645	4045860645	32299440036	4045860645	4045860645	4045860645	4045860645	4045860645	4045860645	15744733893	4045860645	4045860645
ppm_0_93131	24368989820	39521292444	47716091104	75519116599	6209392503	30716930831	26717674061	19044413254	35772757520	38135730604	21519973451	33459428158	25990717439	39169982271	22341365699	35544001326	21193095403	25454624864	32681034326	48871422483	28012032947	23554102421	24682353964	20310513508	40973573228	39058646424	18334421902	42519787635	27934049274	20828438733	23250710517	27067591967	23670908276	45156540286	30377151928	29576470624	18165363578	22658993476	19997184047	32731675262	16948008484	6209392503	19560914197	27046601267	32750866695	39270799061	38101973058	32270911331	29270031547	6388146571	25686918196	25433382704	34537099636	36543396175	26238158783	38552776085	28249255886	36910153972	40831524516	30429202544	32458039479	48449905297	25386443159	33413218475	23943801264	45520219578	32219966042	32852211123	27944748292	23999446187	45764192482	21511231679	44033318815	6209392503	42159661188	6209392503	36727133515	39289133570	64064549309	29621122918	51643101135	40122919367	37512434061	54078949046	6209392503	47987680862	40753895942	23337016870	30914573133	55933417081	48681693436	42608186542	34475874286	38063185937	14021877922	56021532123	36509807065	43197970722	32795872749	27654504675	52697423964	47059081380	65967863663	23954603132	43779069555	27283620030	36135918172	37560083849	31375113436	29125819575	42040496261	30242737036	58633304890	32140966822	43323402833	64259583275	24265171465	27986645703	43663222117	31972765255	32980954927	36572064801	28878171402	36360961373	44089636051	19580603043	47809255401	32258428688
ppm_0_94007	23967044027	46066375355	59845363268	102000000000	12698180999	33260534444	27298911480	18516081898	39977444106	39074463351	22625172747	33469781319	25639991286	41341013067	22429481360	34515185182	20243465017	27634121595	33284534433	53430259687	26693031564	22075896740	25122123725	20683590010	43711469859	40491033931	17768351289	43016321675	28451012505	21337757339	23754224835	27781288299	22574773434	50594738626	31157469242	29012745063	18318302377	22643175571	20892919501	32692109690	16170708556	22983901903	19058615059	25970809735	32719511318	39013116485	39513420672	31825906032	28437275651	7874512957	26582791717	24898491223	35280979050	37072201869	26263447278	38763392039	28437539601	34015298368	43770415310	30760267610	33554805180	51268291883	24897050523	33622843039	23851650284	45683823157	32940391974	32359602185	27228780053	22081882062	49065909959	20016420033	49165870672	25512313616	44373341729	57376454543	34630501593	39878458715	67865988987	27612328531	56184431934	39616309080	37755182250	58298598478	10412627744	50821876448	46032320533	23613962382	28670910885	57550040913	45962032057	42633164867	34714197019	37361618464	14254298389	54445823252	38623878578	46677781636	31690426622	27822446840	58233521742	48088249446	73076318059	22606579470	41372315240	26879505165	38377917764	37878890145	30657242344	27728219069	40760780517	28423485419	58789094468	31313097458	43187681683	72012573265	24541231654	26106779462	46373719104	30889105040	7789805769	37208346408	25442946277	36761913470	43645641659	17961320498	55972194546	7789805769
ppm_0_95113	19064354242	52712407904	70419773558	129000000000	7190503820	29669834539	24358649451	17861603222	37982431234	40462234862	22871219576	28077494526	7190503820	38101772529	21869370217	7190503820	7190503820	28598078449	30341130864	47210699334	23424736963	20538510823	7190503820	7190503820	41709224620	34238841119	15960837721	36597718998	25062301677	7190503820	21527426695	22160221291	20529491042	55418671117	29238786403	7190503820	7190503820	7190503820	7190503820	29092442677	14606434243	7190503820	17802908170	7190503820	26707454526	7190503820	33405229119	26593672146	25066425022	8599639815	22318418592	7190503820	30892932843	30681575984	7190503820	32987725954	23915695661	7190503820	37980060348	26663594274	26907339666	44002324399	21624417120	29318699755	7190503820	39676103870	30574677917	7190503820	22969209481	19432116037	44426533525	7190503820	45019708405	7190503820	36298001136	48329981843	29289556944	38380634946	61316650460	23369872661	61074334840	32296868286	31908282545	50131591736	7190503820	54838457152	50124178920	7190503820	24657752680	50318842021	7190503820	40141242378	28357178599	30562300690	13770986994	52194803687	33047694616	44348457189	27878946612	23176341821	52708121009	41497128558	59743721699	19987514908	37718022472	7190503820	33513888843	32019405424	7190503820	28636043293	37011856562	22963542268	51096078526	7190503820	37112206654	58187914763	21023930332	7190503820	41490015605	7190503820	7190503820	32995802972	20454464260	7190503820	41066980767	15846307140	65837143363	7190503820
ppm_0_96267	17627365988	56900114344	74922365447	147000000000	5306911968	25467054807	24147311863	18535014819	37083215727	41578276487	24948936835	25103852943	18316852236	32604799671	22112951070	23175987126	13671760658	29970594064	33824981112	42802302531	21582887487	22362813192	5306911968	5306911968	45335468208	29017112079	17024667658	31354837988	22781767294	5306911968	19188473926	20257334473	19157042809	55596446657	27164988961	20044692721	5306911968	5306911968	13803477421	28073799393	15016252044	5306911968	18308376794	17057418005	25928167799	25563622840	31673044284	25655648861	23751556775	8752819049	21315964406	5306911968	26551255615	28233046690	19355993994	31136157906	22163241865	24128340341	35576215415	23966945861	26301376635	42184920868	20303785087	27589272594	5306911968	38112869210	31068117147	22947857315	21879736049	19614458885	41013928607	5306911968	40189030398	5306911968	32322856494	39810739106	25672954423	40432368727	62085719216	21109013634	62862091747	29792032024	30076155460	46867377359	5306911968	57085714201	52065093597	5306911968	22643524860	49343658491	31866755282	41728287121	26400976173	28043335583	13943189915	53953517271	27795658604	47840855046	27751044420	21507763906	49677937565	40891902764	57591848271	19855494022	36699231877	5306911968	37060029324	29611796465	19949281906	31843539819	37630824177	22289672864	50249958820	19895237309	34441696995	49885506038	18849966481	18275229796	40544152380	5306911968	5306911968	29966160584	18991886512	24290170799	39863477073	15135214827	71262320783	5306911968
