featureID	b1_aos_122	b1_aos_127	b1_aos_129	b1_aos_142	b1_aos_145	b1_aos_149	b1_aos_27	b1_aos_32	b1_aos_43	b1_aos_46	b1_aos_48	b1_aos_50	b1_aos_54	b1_aos_58	b1_aos_65	b1_aos_67	b1_aos_76	b1_aos_78	b1_pool_mutant	b1_pool_mutant_20200729045723	b1_pool_natural	b1_pool_natural_20200729044422	b1_pool_pd1074	b1_pool_pd1074_20200729051024	b2_aos_102	b2_aos_103	b2_aos_106	b2_aos_107	b2_aos_108	b2_aos_124	b2_aos_130	b2_aos_165	b2_aos_167	b2_aos_170	b2_aos_173	b2_aos_174	b2_aos_175	b2_aos_188	b2_aos_192	b2_aos_199	b2_aos_200	b2_aos_53	b2_aos_56	b2_pool_mutant_b2_01	b2_pool_mutant_b2_02	b2_pool_natural_b2_01	b2_pool_natural_b2_02	b2_pool_pd1074_b2_01	b2_pool_pd1074_b2_02	b3_aos_184	b3_aos_185	b3_aos_27	b3_aos_28	b3_aos_35	b3_aos_36	b3_aos_37	b3_aos_38	b3_aos_40	b3_aos_42	b3_aos_43	b3_aos_54	b3_aos_71	b3_aos_74	b3_aos_78	b3_aos_86	b3_aos_90	b3_aos_98	b3_aos_99	b3_pool_mutant_b3_01	b3_pool_mutant_b3_02	b3_pool_pd1074_b3_01	b3_pool_pd1074_b3_02	b4_aos_100	b4_aos_107	b4_aos_109	b4_aos_111	b4_aos_116	b4_aos_124	b4_aos_125	b4_aos_134	b4_aos_140	b4_aos_171	b4_aos_180	b4_aos_73	b4_aos_81	b4_aos_82	b4_aos_84	b4_aos_87	b4_aos_92	b4_aos_93	b4_aos_95	b4_aos_96	b4_pool_mutant_b4_01	b4_pool_mutant_b4_02	b4_pool_pd1074_b4_01	b4_pool_pd1074_b4_02	b5_aos_179	b5_aos_181	b5_aos_187	b5_aos_196	b5_aos_26	b5_aos_33	b5_aos_39	b5_aos_41	b5_aos_43	b5_aos_45	b5_aos_47	b5_aos_51	b5_aos_54	b5_aos_66	b5_aos_70	b5_aos_75	b5_aos_78	b5_aos_79	b5_aos_83	b5_aos_87	b5_aos_91	b5_pool_mutant_b5_01	b5_pool_mutant_b5_02	b5_pool_pd1074_b5_01	b5_pool_pd1074_b5_02	b6_aos_101	b6_aos_102	b6_aos_105	b6_aos_107	b6_aos_114	b6_aos_118	b6_aos_120	b6_aos_133	b6_aos_135	b6_aos_140	b6_aos_166	b6_aos_167	b6_aos_169	b6_aos_186	b6_aos_188	b6_aos_193	b6_aos_198	b6_aos_85	b6_aos_88	b6_aos_90	b6_aos_94	b6_pool_mutant_b6_01	b6_pool_mutant_b6_02	b6_pool_pd1074_b6_01	b6_pool_pd1074_b6_02
met_1006	218193.1406	537631.125	225503.375	144545.75	168299.5313	371232.4688	344271.3125	63656.20703	294735.6563	52287.90625	111703.9531	85915.05469	168241.0781	550767.875	1018090.188	1299942.125	1502107.25	1448427.25	147959.4063	187965.3906	533114.1875	651100.625	473600.5	467378.25	608700.5625	609248.75	371342.375	1012230.438	105470.875	365742.4688	334591.9063	826157.9375	829033.0625	86816.66406	279693.7813	543725.25	470287.7188	1187510.5	417333.5	166893.4375	457781.0625	129215	172465.8594	184181.8438	246903.8281	317116.2188	368304.1875	612115.3125	550918.75	1230817.625	883579	219069.3125	426269.1563	722107.8125	44513.89453	181628.6719	388564.25	151659.0938	425533.5313	274964.7188	171416.6406	481451.8438	1454175.875	429840.6875	202554.7188	475577.5313	661218.5625	630462.5	593234.8125	764753.875	498592.9375	441915.375	1012375.188	633072.625	747958.75	530893.6875	1351193.25	321503.0625	316108.0313	616229.625	297919.5625	220423.1563	688314.0625	539446.5	84209.96875	236828.8125	613281.125	214396.3281	635120.375	499088.0938	109463.2422	569261	484006.3438	452792.3438	471680.0938	520921.5938	1015327.375	689465.6875	786958.8125	300312.5	119619.4922	138547.6875	363238.0313	515176.1563	204639.2969	292392.8438	361654.5625	879578.125	219066.9844	526968	447216.7188	558368.1875	468942.5625	1118544.125	1562038.875	302992	586557.375	610873.75	573504.25	417902.75	457375.7813	157425.2031	313217.1563	953548.0625	688282.3125	889546.4375	1097226.5	418608.8438	290109.125	439317.3125	288619.375	191998.5156	589801.3125	421846.9375	443328.4688	564042	1664478.875	124557.1172	616804.4375	522503.6875	346057.1563	1082623.25	780971.25	511804.9688	504899.875	508320.625
met_1013	2790649.5	4451377.5	264756.6875	6101352	1208431.5	346640.875	3865279.75	237262.6719	3652212	244873.7656	1325448.625	611255.125	1185820	925739.5625	789800.9375	264883.125	1404264	211371.8281	1647841.5	1959317	1851679.25	2083561.5	1455747.875	1553253.5	3970500.25	2008296.5	18540362	1070390.25	3625105.5	1838614.875	3687831.5	20990814	3356242.5	11819662	3103368	2647770.5	2852554.25	1980156.625	9736326	2644633.5	12316745	1906971.375	5475653	3932314.75	2537026.25	8945351	5765467	4344401	3390971.25	98415.65625	2736671.5	1152690.75	138520.4688	1153118.5	103322.4453	425974.0938	1990999.625	163187.7188	338076.3438	3475543.75	1027393.125	433287.9375	4714953	760794.4375	251613.3438	1773910.25	806618.875	191301.7656	910503.9375	1124064.25	3037892.5	2839099.5	3161086	1575341	212884.75	840161.5	2424222.75	195202.3594	843135	3533939.25	1048476.063	2840618	2408049.5	449842.4063	3190099	2352071.75	593985.3125	1487017	2650304.25	322843.875	2131144	2854518.25	2334782	3417678	1430061.5	1911233.625	1140696.125	3745025	1058430.625	641304.9375	1084403.625	568486.9375	1469947.25	1154615	7338229	215204.6563	2269078.25	550838.6875	682669.875	1037498.375	194508.5625	1731450.5	1626935	678716.8125	599844.8125	2020864	1024883.688	853160.375	1291698.75	1937642.125	3612760.25	8070016.5	29196990	4428026.5	5481979.5	537810.625	519739.25	6652975.5	2621736.25	3103602.75	8371296.5	19742566	794266.375	2559517.75	2148739.25	834194	4711192	5166795.5	482890.8438	3184222	6608492.5	6580740	10874082	7924328.5	15941873	12524451
met_1020	315686.625	2179351	15357.99414	998110.125	97431.63281	96979.16406	81034.32813	12276.67676	869658.9375	35552.80469	116873.7188	20929.51758	281514.1563	539173.375	50679.01563	304700.5625	946360.1875	925014.375	183195.4688	209777.3438	511878.8125	629859.75	401619.9688	384847.375	210940.4375	374981.1875	249693.4063	121854.3047	217452.6719	204997.5625	1816542	1285886.25	439485.125	1031017.375	1047629.188	460980.875	723003.625	213275.0156	1904370.625	266540.0625	565597.25	54867.09766	75094.03125	588291.5625	603464.8125	782687.3125	824220.0625	244840.8281	258819	186838.3125	867719.3125	87688.07031	34272.76563	392139.9063	11528.42969	587617.375	488955	10771.91895	944007.9375	987192.8125	48218.35156	1103383.875	1171567.875	255921.4688	304311.9063	728349.25	388531.8438	766115.25	490763.875	514070.2188	794296.5	366758.0938	1489942.5	60667.54688	69026.69531	54202.80469	139885.0781	109859.8984	64641.44141	1159047	503874.7188	138185.9688	1689789.25	43131.01953	74602.00781	558403	233096.7031	36629.04688	569770.5	101907.7031	49368.79688	429942.9688	294477.5625	375783.375	438179.6875	487133.6563	514603.2188	1079719	2051001	1313882.875	102469.0078	33438.64453	504193.0625	138184.7656	706673.25	75448.98438	238783.6875	606514.8125	104946	21528.17578	60515.57031	1258722.75	207333.5625	606941.25	411267.2813	165349.75	134729.4063	422150.125	483718.5313	608260.375	551880.3125	190551.6719	201216.1875	224363.4375	178152.9531	397352.2813	240471.8906	1065135.625	740096.375	905317.9375	598786.9375	172162.4688	316890.9063	148685.5938	253942.7813	289271.4063	236904.1094	115287.2344	145088.9219	329407.0625	642408.1875	453309.75	164502.625	193866.1719	129173.9219	159925.5625
met_1024	626043.8125	8653.711914	10424.76758	11047.4082	7308.42334	10178.07129	4527593.5	6881.293579	5467.007813	6633.724487	6098.050781	6611.443848	2241.200439	3279307.75	7350.760986	9194.541016	9283.799805	6687.659668	7212.303711	8447.804199	8616.84375	12490.92188	874297.625	931784.5625	15220695.09	18721638.27	10039204	14692228.03	205734.8125	12574.88599	1791833.625	7904112	4843566.59	2378484.75	378341.4375	1810113.75	4746329.11	3360459.257	10661252	4172117.75	4891577	9127615.559	11778000.64	105019.2422	228063.1563	7066200.5	7781294	6916715	7534729.5	3814544.25	5862373.824	5885312.5	3149234.25	148616.4688	6744.263184	639359.6875	2661547.5	10604.67188	1132129.391	9764.492188	8955.170898	9718.192383	10098.16113	11133.35254	11774.74316	5847294.5	4805715	954435.6875	1631334.625	2099494.5	6527058	6240342	3296991.25	3329563.5	8183337	1400134.625	9451.155273	10346.448	10266.31348	11216.47852	7075.105469	1360861.5	3763887.644	8100133.5	8436901	1070661.125	311610.5938	4161693.5	7831599.654	12043286.12	6002886.5	1252153.875	5516480	5241217.5	4084936.25	5643373.5	1362796	2817700.75	1931236.5	4033846	9537.649414	1422766	2714476	7881.32666	8561.479492	10426.04736	9019.457031	566269.6875	39892.98486	11958989.81	7287.43042	4398841.5	6786.029785	5135476.5	4629050	6024181.652	9171382	2895385.25	3376512.25	3257871.25	17450.74414	39270744	47697888	22699428	34849880.58	19531.45508	9471225.974	11133.33496	3983736	11163448.63	15774.42285	30779128.63	12169064.95	5179569.561	9715881	9743541.781	12698207.32	7858.802734	12272.5	6304586.5	9705258.629	13282008	33410546	12215022.14	52846028	34253580
met_1026	372749.8438	773094.3125	336929.6563	191218.8125	43009.67578	126679.3125	577732.4375	43064.55469	385533.1875	12737.59375	131002.3359	23927.25586	150118.7344	235971.5781	162243.4531	236142.6094	549598.125	389952.5313	222056.5625	251217.0313	252947.6563	274532.5313	317525.375	312551.9375	631368.125	364029.25	556125.9375	264495.5	153962	301331.875	411029	338716.75	468548.1875	249067.125	323113.2188	81220.78125	219916.9531	942327.5	536757.9375	269197.8125	753931.8125	291017.5	408763.375	261483.4531	259988.8906	389188.2188	382317.5625	521014.625	502240.0938	571861.5	769513.0625	582428.625	452749	345807.5	27741.1582	282116.8438	547930.75	55001.15625	344665.625	314356	112811.0938	447187.7188	498293.8125	263398.9688	272358	940792.75	396002.3438	521387.6563	330235.9375	374453.9375	581479.875	614395.9375	640714.3125	145474.9375	567651.625	421370.75	161585.3438	120539.0547	169319.2813	436640.4688	189624.0156	150843.8906	753448.5	433883.4375	255423.4531	109967.9766	318691.0625	259246.7813	631637	200792.8906	116821.7266	519496.9688	382187.1563	447151.2188	369630.5938	407282.8438	1144834.125	972479.25	584763.875	342917.4688	124858.8281	50106.97266	780235.1875	272490.125	256003.9375	251321.5	173788.4375	512980.0313	185905.7813	190096.6875	108833.4453	1442220.875	273094.5625	1104874.5	850958.0625	516327.4375	906395.25	519743.5625	608795.8125	567450.5	537401.8125	329506.8125	664793.5	634454.6875	271446	1314516.25	234318.3281	328233.4063	474964.625	728470.875	217471.3906	274907.6875	530269.8125	136269	612049.5	1016110.125	217609.0469	218523.0625	154029.0313	238345.1094	1016136.063	866350.5	573461.6875	407028.4063	772037.9375	599467.6875
met_1034	1758750.625	5390159	1925802.25	1367026	1170945.875	2086732	5897218	927043.5	3988669.75	385574.75	2994261.5	504300.6875	1783256.75	2245808.25	673776.4375	1386708.125	3729564	2825986.25	1204952.375	1557208.875	1746547	2514495.5	2569057.75	3114860	4497540.5	10023209	5583205.5	4497600.5	2082580.75	1280357.125	7392224.5	10208244	3839745.75	2671904.25	4664952	1648829.75	3021448.75	2804006.5	5682651	1608982.25	7293934.5	4259511	3548395.25	3102479.75	3375849.5	5296931.5	5956890.5	3907127.75	4176409.5	6535180.5	12989396	5975017.5	4725479.5	5929776	312378.5313	3240159.5	7543988.5	1137641	5932480.5	5684547.5	2049119.25	4902250.5	5326080.5	2693213.5	3706903.5	10235774	4721032	7586920	5085564.5	4501269	8824732	9617709	6312042.5	2107707.5	3430347.75	2802614.25	1101468	630950.1875	1486340.5	3860082.25	4685635.5	1372927.625	10434959	3735595.25	1602386.875	3127447.75	3847873.5	2381857	6576421	5969202	1652429.25	4035895.25	3756509	4344329	4689631	5748962	6983382	15400256	5099773	2741135	2576350	2105510	10616376	6333588.5	5156849	1934039.625	3609013.75	6894490.5	3197693.5	3756562.25	982162.8125	12910828	3235048	6587510	8311815	4703678.5	6983416	5553590.5	6478398	6914564	8035990	5257606	6653626.5	10266193	6175486.5	3759962.25	2138461.75	3681316.25	3602670.5	8613788	5984274	5141969.5	7917994.5	3126202.5	5831973.5	6593825.5	4139852.25	2385604	2514122	3275235.75	13028175	11037115	7248061.5	4592050.5	10672208	8848400
met_1035	77371.98438	570145.9375	21421.20508	54727.29297	69849.2373	54036.46484	317198.7188	12184.83691	62909.39453	4711.533691	38242.23047	6907.406738	36031.58984	38649.23047	125981.6328	301285.8438	353142.6875	465564.75	45158.38281	58003.5625	144766.2813	191187.7656	119933.5781	140971.5938	231069.0625	176905.1406	125586.125	194952.2188	40644.50781	172447.2344	484105.0625	261667.4141	67856.26563	41378.10547	132287.5781	49666.46875	151452.8906	375732.9063	71894.07031	68423.75781	519780.0313	58375.34375	60765.16016	100551.0078	96913.61719	172790.6719	183931.9063	236507.5938	271330.2188	95292.60938	99382.14063	287257.8125	109492.3984	148732	5596.342773	98810.29688	54177.91406	17236.625	378690.8125	77274.55469	34932.26563	965622	161684.1094	199283.2188	359909.0313	1109111.375	239158.4063	388619.625	256561.6719	255383.6094	325194.0938	329424.125	92635.15625	78981.00781	211855.125	160157.3906	42576.09375	236993.5	76249.125	129011.1094	70190.58594	59833.21094	113605.0547	453288.5313	117973.9453	82430.36719	81480.80469	176801.4063	481732.875	126409.25	54205.62891	291536.125	200961.0938	183246.4219	161132.6094	185506.7188	767271.25	247478.8281	666786.75	103968.8828	60783.43359	43109.38672	176948.9375	235104.1094	62884.24219	87049.39063	48152.03516	185494.7969	96029.78125	200410.1563	143056.2031	602501.9375	198931.5156	478083	854525.125	301026.9688	344808.5938	336340.875	334870.0313	277633.7813	277241.6563	174035.6094	301859.8125	245210.4844	243179.4063	244218.0938	107636.0859	181810.1094	166253	435773.6563	82681.14844	322796.875	194566.6875	151967.5313	763163.5	657128	366380.2188	34169.08203	208323.0469	147746.1094	1903937	187528.5469	250630.1406	228540.8594	680233.75	626090.0625
met_1037	152935.2188	596412.8125	350572.9375	979029.5	461403.6563	259683.2031	236887.5781	166416.4063	383967.2188	171328.4219	611493.5	134700.5625	329400.5	636266.875	223656.6719	299467.1875	476476.625	325299.125	184951.9844	170996	382095.2813	441882.125	300266.125	311136.875	270410.8438	612418.875	272757.8438	353614.3125	282061.2188	459892.0625	541938.1875	656807	372391.5625	517859.4688	363542.875	413217.1563	240688.0156	135653.7656	466466.375	165343.7969	356804.875	273908.2813	247582.5156	301811.4375	350544.1563	397510.3125	476069.75	274323.1563	286204.7188	212747.2344	333928.2188	176446.0938	150490.5	170261.5469	38658.90234	161092.3125	487594.8438	104225.2969	317710.6563	327822.4375	235579.25	373391.1875	303345.5938	192731.1406	358343.5	223740.9219	245857.4688	234130.5469	217794.7656	245575.5	348972.4688	329430	309393.4063	126766.9766	194771.4375	132548.2344	190913.6406	292742.7813	196961.2656	247722.2031	313244.125	226998.6719	416327.0938	152157.0313	156302.5781	340740.9688	98183.64844	144590.8281	345332.7188	218656.0781	124654.9922	288489.4375	203513.9063	271165.0313	255946.625	269998.8438	173710.9063	440954.4688	304611.875	213687.625	330532.625	393118.875	278746.5	142970.0781	308982.0313	268851.0938	282472	336326.7188	367095.5625	564441.5625	175111.5625	334608.5313	238977.0781	300485.875	145564.2656	223268.7813	199901.4375	286157.9688	300664.5	254077.5625	291739.3125	348997.2188	345255.3125	430117	348706.1563	203622.2188	175474.1094	403732.0313	477627.75	329471.1875	415256.5313	399218.375	478377	344437.3125	246104.7344	188930.8438	1044804.375	546061.375	249543.0625	258364.2031	302842.2188	395151.3125	554155.1875	307222.6563	511675.4063	383953.4375
met_1042	60719.07422	74347.82813	14000.66113	16866.4043	12068.56543	12155.82129	62362.82031	6640.07666	28173.49414	3660.474609	10570.94727	10993.16113	21160.79688	15525.23047	15666.74707	23934.56641	31078.61523	54402.39063	27972.18945	36007.98828	46034.89063	65521.99219	30458.38086	30138.23438	47184.78906	32494.99805	42800.39844	90539.50781	18866.1582	24823.92188	181145.4063	92345.01563	81554.08594	19529.45117	27835.80859	27706.01563	38305.39844	888921.875	309620.75	31663.69531	153115.1719	20894.92383	22842.65234	19979.67383	25670.17383	95772.74219	92384.27344	186451.1563	219491.8125	603234	596390.5625	70109.73438	228606.25	18125.07031	7331.500488	48825.61328	71551.74219	9595.171875	53043.83984	37577.19141	19436.51953	555433.375	257573.9063	43929.16406	54586.36719	176516.4844	197148.0469	88205.33594	156288.2031	193795.7969	201077.25	216240.6719	378654.5313	41355.51563	131032.7656	294698.9375	28690.70313	19717.02539	103602.1328	200772.1563	69030.47656	37021.6875	27026.04297	199551.2031	9076.762695	32588.72852	237054.0469	23700.43359	143212.5156	123055.7891	22467.83789	350530.2188	159106.3281	167542.7344	69745.57031	85039.9375	930276.3125	87394.6875	113593.8984	47072.21484	58810.51953	16690.79297	20207.52734	21249.10156	31699.42383	288726.8125	23534.48242	425033.8438	28088.10547	20977.19141	16291.80078	184643.0625	67348.80469	317436.1875	24874.5918	23825.01172	181674.3438	218195.1719	226344.8906	73194.67969	64499.58594	44454.02734	59695.82031	271375.8125	73351.72656	2037863.125	65508.38672	78047.91406	277170.7188	169251.3906	102650.75	89123.5625	74104.625	36409.69922	289216.9688	1356221.875	39064.625	75692.875	126104.1797	56909.375	188803.4063	1046239.188	564655.625	346033.5	413489.6563	349720.875
met_1047	371773.4063	1140625.875	64238.25	81450.60156	36745.70313	219135.6406	444277.3125	40122.62109	550189.125	27380.77344	193850.5	43975.22266	233120.6406	191793.0938	110612.25	219723.5938	879450.6875	515572.25	237603.6875	277074.125	239951.75	286028.6563	304529.6563	348975.7813	912317.3125	691291	641690.5625	783147.125	254230.9219	273523.0938	981477.75	888533.5625	489217.9063	324973.1563	765392.75	99333.00781	166568.1094	272015.5938	181422.125	247582.0625	872534.375	407366.5	477600.75	498305.625	465254.625	513933.9375	577412.5	548003.1875	539837	407719.4063	849216.5	333276.1563	283507.1875	164572.0156	14314.4502	283125.4688	519645.6875	13661.53711	681137.1875	516102.8125	165420.9844	738047.8125	370079.2188	407746.5625	355633.75	1214493.25	513351.7813	824650.4375	357510.1875	297240.0625	703133.875	721141.375	330750.2813	253234.7344	414193.4375	138475.9688	199032.7344	125690.3594	185344	391624.9063	411451.9063	133740.8438	606144.25	274431.6563	204721.1875	236325.6563	136384.0781	268627.5938	988398.0625	251326.5	90338.33594	222458.125	309903.5625	344168.1875	369080.0313	405701.2188	389876.5625	718784	816893.3125	352986.4688	197003.2344	19863.16016	322267.0625	206478.2969	413451.875	100230.7969	233235.4688	315325.4375	249013.4375	167437.125	171185	985290.625	423598.5938	563063.75	491117.0313	519540.3438	427636.3125	292693.8438	368523.5313	475505.2188	520754.9375	135185.5313	1018153.375	758331	797139.8125	207199.5938	355849	213530.3906	162442.5313	368423.875	337178.5313	442777.8125	530247.625	54906.94531	625454.1875	376227.6563	210478.9219	146328.9375	120542.1641	180030.75	1430310.5	512987.4375	501682.9063	360842.0938	1032074.125	800589.3125
