featureID	effect_AUM2073	pval_AUM2073	flag_sig_AUM2073	effect_CB4856	pval_CB4856	flag_sig_CB4856	effect_CX11314	pval_CX11314	flag_sig_CX11314	effect_DL238	pval_DL238	flag_sig_DL238	effect_KJ550	pval_KJ550	flag_sig_KJ550	effect_N2	pval_N2	flag_sig_N2	effect_NS	pval_NS	flag_sig_NS	effect_RB2011	pval_RB2011	flag_sig_RB2011	effect_RB2055	pval_RB2055	flag_sig_RB2055	effect_RB2347	pval_RB2347	flag_sig_RB2347	effect_RB2550	pval_RB2550	flag_sig_RB2550	effect_CM	pval_CM	flag_sig_CM	effect_UGT	pval_UGT	flag_sig_UGT	effect_UGT49	pval_UGT49	flag_sig_UGT49	effect_UGT60	pval_UGT60	flag_sig_UGT60	effect_VC1265	pval_VC1265	flag_sig_VC1265	effect_VC2524	pval_VC2524	flag_sig_VC2524	ms2_id	min_height	mean_sn	max_right_on_left_assymetry	clique	mean_right_on_left_assymetry	isotopic_pattern_annot	min_mz	min_sn	max_rt	mean_rt_cor	raw_isotopic_pattern	rt	min_right_on_left_assymetry	min_rt_cor	mean_peakwidth	mean_mz	min_peakwidth	max_sn	mz	max_height	max_rt_cor	min_rt	mean_height	neutral_mass	num_clustered_ms2	min_intensity	mean_rt	main_peak	max_peakwidth	max_mz	num_detection	annotations	mean_intensity	max_intensity	total_detection	rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks_ppm	medianAbsoluteMassErrorFragmentP	massErrorPrecursor_ppm_	ionMass	retentionTimeInSeconds	id
met_102	-0.013177	0.979547	0	1.183288	0.083205	0	0.424291	0.405585	0	-0.080606	0.872083	0	-0.284553	0.59251	0	0.496626	0.365125	0	0.413223	0.131793	0	-0.149181	0.797899	0	-0.283874	0.567445	0	-0.573753	0.241743	0	-0.386801	0.436328	0	-0.268954	0.227559	0	0.087859	0.720992	0	1.133402	0.063065	0	0.561695	0.349029	0	-0.246492	0.601675	0	-0.207597	0.672036	0		10964.86914	1.0000E+12	5.946008813	3	1.572072708	m|m+1.0045_1c13	445.1660	1.0000E+06	0.77	0.750854869	1.0000|0.1238	0.75	0.340277682	0.731283039	0.088033653	445.1664	0.066406855	1.0000E+12	445.1664	255344.0625	0.769742057	0.73	53719.95969	446.1736358		25067.37348	0.75	[m-h]-	0.138294021	445.1668	133	[m-h]-	145479.6715	649173.8283	133																
met_1057	0.539093	0.302858	0	-0.5482	0.36069	0	0.023705	0.962741	0	-0.296545	0.560059	0	0.112182	0.842054	0	-0.020817	0.970215	0	-0.192407	0.475677	0	-0.32257	0.582166	0	-0.031488	0.948569	0	-0.11197	0.814785	0	0.406223	0.417897	0	0.163639	0.473316	0	-0.057981	0.80912	0	-0.237442	0.663824	0	-0.258386	0.658608	0	0.493564	0.329161	0	-0.15082	0.759797	0	847_(e30)	42399.54297	1.0000E+12	5.511550068	45	2.851676915		401.1424	1.0000E+06	2.22	2.20061592		2.20	1.336218834	2.189069848	0.116112953	401.1427	0.066156275	1.0000E+12	401.1427	15229439	2.216033379	2.19	1954359.315	402.1499896	1	92065.08043	2.20	[m-h]-	0.197061539	401.1429	193	[m-h]- |[m-h]- +1	5244452.544	47124528.84	193	169	C44H88NO10P	[M - H]-	C44H88NO10P	1	22.89796744	22.89796744	0	7	0.599500452	-4.295701195	4.295701195	2.183507459	820.6091	359.76	847_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime359.76scanNumNApre
met_1077	-0.224098	0.654476	0	-0.049359	0.934341	0	-0.317237	0.544442	0	-0.684483	0.1926	0	0.008733	0.986887	0	-0.563677	0.308068	0	-0.421534	0.123804	0	0.260172	0.657753	0	-0.047493	0.925681	0	-0.428286	0.366599	0	0.250914	0.615683	0	-0.16084	0.468252	0	0.04132	0.864465	0	-0.364791	0.505144	0	0.116964	0.840299	0	-0.424143	0.373023	0	0.345829	0.491845	0	1252_(e30)	14736.91309	9.2105E+11	3.010405821	46	1.26918491		464.2782	1.8693E+01	1.64	1.623004874		1.62	0.230106088	1.601843314	0.150003193	464.2784	0.076064473	1.0000E+12	464.2784	2191746.5	1.640302928	1.60	277135.1651	465.2856317	1	47349.18033	1.62	[m-h]-	0.229204456	464.2786	190	[m-h]- |[m-h]- +1|[m-2h+k]-	1069469.803	8399675.094	190																
met_1086	-0.27219	0.587183	0	-0.324529	0.579387	0	0.412215	0.493979	0	-0.0817	0.874599	0	-0.221485	0.683762	0	-0.555075	0.314978	0	-0.152662	0.586723	0	0.464811	0.430585	0	0.276213	0.591993	0	-0.608313	0.212241	0	0.312736	0.530609	0	-0.126714	0.569234	0	0.15878	0.516557	0	-0.420324	0.444225	0	0.150517	0.80411	0	-0.011467	0.980466	0	0.46547	0.348821	0	887_(e30)	11081.32227	1.0000E+12	3.463572338	48	1.720335058		408.2156	1.0000E+06	0.98	0.967975496		0.97	0.844188102	0.951509932	0.153801406	408.2159	0.080533621	1.0000E+12	408.2159	4362816	0.983815875	0.95	472137.9921	409.2232085	1	34442.21674	0.97	[m-h]-	0.213760865	408.2162	195	[m-h]- |[m-h]- +1|[m+cl]- |[m+cl]- +1	1597672.079	14875565.53	195	623	C50H85NO8	[M - H]-	C50H85NO8	0.959798995	1	1	0	1	0	NaN	NaN	2.24742611	826.6221	400.71	887_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime400.71scanNumNApre
met_1087	-0.313928	0.525848	0	-0.323893	0.578925	0	0.201905	0.698545	0	-0.047401	0.925731	0	-0.05469	0.917389	0	-0.488858	0.374672	0	-0.145387	0.589404	0	-0.34728	0.552265	0	0.450857	0.373297	0	-0.151201	0.747259	0	-0.301723	0.541331	0	-0.318455	0.153219	0	-0.303937	0.216189	0	-0.474375	0.3888	0	-1.275268	0.051596	0	-1.125835	0.028777	1	0.001524	0.997531	0	2118_(e30)	10348.17676	1.0000E+12	3.211204593	48	1.434988168		584.2841	1.0000E+06	1.02	0.997454801		1.00	0.565124033	0.970056889	0.147867788	584.2845	0.068487732	1.0000E+12	584.2845	1035915.688	1.023109404	0.97	160445.7795	585.2917273	1	31966.46096	1.00	[m-h]-	0.202284366	584.2849	179	[m-h]- |[m-h]- +1	644891.584	4124011.987	179	455	C10H8BNO2S	[M - H]-	C10H8BNO2S	0.995477387	20.46162817	20.46162817	0	8	0.241827683	-5.630731079	5.630731079	-2.023151396	215.0328	44.94	2118_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime44.94scanNumNAprec
met_109	0.144558	0.768723	0	1.442509	0.035165	1	1.355334	0.024059	1	-0.361058	0.476215	0	-0.526639	0.340885	0	0.449322	0.409134	0	0.570395	0.046596	1	0.646479	0.298959	0	0.070339	0.886841	0	-0.394527	0.405008	0	0.122234	0.803759	0	-0.164185	0.461929	0	0.360924	0.140527	0	0.807406	0.16187	0	0.395288	0.503316	0	-0.264243	0.595537	0	0.156007	0.749802	0	2123_(e30)	13043.93555	9.9468E+11	5.182579456	4	1.63227012		588.3308	1.0112E+04	1.69	1.67323898		1.67	0.494750384	1.658374603	0.308164215	588.3312	0.08712919	1.0000E+12	588.3312	12650058	1.690947525	1.66	2836283.835	589.3384775	1	71367.49685	1.67	[m-h]-	0.375715083	588.3314	188	[m-h]- |[m-h]- +1|[m-h]- +2	19187515.31	80012661.23	188	1306	C33H41N11	[M - H]-	C33H41N11	0.204522613	1	1	0	1	0	NaN	NaN	0.908176502	590.3479	135.95	2123_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime135.95scanNumNApre
met_1090	-0.167149	0.738488	0	0.839301	0.203789	0	0.134171	0.789852	0	-0.039096	0.938191	0	-0.329361	0.536946	0	0.008408	0.988013	0	0.174079	0.52451	0	0.764025	0.215953	0	-0.485911	0.330508	0	-0.721236	0.139449	0	-0.132701	0.791589	0	-0.543733	0.015792	1	-0.003455	0.988745	0	0.539496	0.335911	0	-0.451063	0.443299	0	-0.870207	0.079935	0	-0.591418	0.239585	0	830_(e30)	10993.07227	1.0000E+12	5.300476795	48	1.68211837		396.2156	1.0000E+06	1.01	0.976044745		0.98	0.168011286	0.956851426	0.155328161	396.2158	0.061756751	1.0000E+12	396.2158	4057331	1.006745297	0.96	723710.5938	397.2230761	1	26629.52459	0.98	[m-h]-	0.240652242	396.2160	178	[m-h]-	2405888.031	12663792.59	178	964	C51H84N2O6	[M - H]-	C51H84N2O6	0.500502513	1	1	0	1	0	NaN	NaN	-1.539675868	819.6244	311.8	830_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime311.8scanNumNAprec
met_1092	-0.057254	0.90813	0	-0.503697	0.393273	0	-0.159224	0.755054	0	-0.187121	0.709775	0	-0.434745	0.417779	0	-0.534346	0.330721	0	-0.326798	0.221736	0	-0.431214	0.462538	0	0.139195	0.782718	0	0.267949	0.568787	0	-0.537135	0.286794	0	-0.406019	0.073675	0	-0.511498	0.039407	1	-0.822155	0.147789	0	-1.242262	0.056413	0	-1.332104	0.012414	1	-0.694391	0.174441	0	2105_(e30)	10302.11035	1.0000E+12	4.625852395	48	1.898506566		572.2841	1.0000E+06	1.00	0.982048397		0.98	0.669535839	0.959219714	0.114261809	572.2846	0.068106701	1.0000E+12	572.2846	432132.4063	1.002327404	0.96	95375.67429	573.2918444	1	28723.64491	0.98	[m-h]-	0.155656474	572.2849	141	[m-h]-	333450.7868	1528902.247	141	1327	C42H39NO	[M - H]-	C42H39NO	0.181909548	1	1	0	1	0	NaN	NaN	4.213858561	572.2983	130.74	2105_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime130.74scanNumNApre
met_1094	-0.349838	0.486483	0	-0.254827	0.662083	0	0.520605	0.32143	0	-0.235317	0.640112	0	-0.431281	0.421913	0	-0.25371	0.637289	0	-0.047694	0.858517	0	-0.092241	0.874168	0	-0.104149	0.83525	0	-0.03479	0.94151	0	-0.544025	0.278851	0	-0.410379	0.069876	0	-0.249231	0.306435	0	0.31314	0.568076	0	-0.914812	0.138834	0	-1.348842	0.012077	1	-0.072342	0.882471	0	2193_(e30)	10173.16895	1.0000E+12	3.501037951	48	1.340954994		632.2841	1.0000E+06	1.02	0.994161425		0.99	0.541059325	0.96409435	0.142043984	632.2845	0.078162807	1.0000E+12	632.2844	688467.125	1.020487721	0.96	155668.0424	633.2917108	1	36573.19518	0.99	[m-h]-	0.219371552	632.2849	182	[m-h]-	596880.0563	2604477.775	182	577	C29H55F3NO8P	[M - H]-	C29H55F3NO8P	0.97839196	6.88148508	6.88148508	0	5	0.504253423	-3.682443249	3.682443249	4.803362165	632.3575	108.34	2193_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime108.34scanNumNApre
met_1098	0.050339	0.921187	0	1.050553	0.119988	0	-0.316747	0.532235	0	-0.580354	0.260418	0	-0.272584	0.60825	0	-0.108358	0.844269	0	-0.111915	0.685138	0	1.405056	0.041834	1	-0.3785	0.447655	0	-0.164769	0.725709	0	0.096686	0.847082	0	-0.256452	0.251243	0	0.271663	0.279922	0	0.650519	0.266611	0	0.210998	0.723942	0	-0.685899	0.169171	0	-0.211743	0.669447	0	1368_(e30)	10292.63086	9.8931E+11	3.775461062	49	1.209506907	m|m+0.5001_1c13	474.2626	5.8256E+01	1.34	1.321171089	1.0000|0.0000	1.32	0.302877202	1.284344737	0.202961147	474.2628	0.080404089	1.0000E+12	474.2628	5106109.5	1.340433577	1.28	490482.8818	475.2700411	1	31801.48084	1.32	[m-h]-	0.305593972	474.2631	187	[m-h]-	2677291.917	21554578.54	187																
