featureID	b1_aos_122	b1_aos_127	b1_aos_129	b1_aos_142	b1_aos_145	b1_aos_149	b1_aos_25	b1_aos_27	b1_aos_32	b1_aos_43	b1_aos_46	b1_aos_48	b1_aos_50	b1_aos_54	b1_aos_58	b1_aos_65	b1_aos_67	b1_aos_76	b1_aos_78	b1_pool_mutant_b1_01	b1_pool_mutant_b1_02	b1_pool_natural_b1_01	b1_pool_natural_b1_02	b1_pool_pd1074_b1_01	b1_pool_pd1074_b1_02	b2_aos_102	b2_aos_103	b2_aos_106	b2_aos_107	b2_aos_108	b2_aos_124	b2_aos_130	b2_aos_165	b2_aos_167	b2_aos_170	b2_aos_173	b2_aos_174	b2_aos_175	b2_aos_188	b2_aos_192	b2_aos_199	b2_aos_200	b2_aos_56	b2_pool_mutant_01	b2_pool_mutant_02	b2_pool_natural_01	b2_pool_natural_02	b2_pool_pd1074_01	b2_pool_pd1074_02	b3_aos_184	b3_aos_185	b3_aos_27	b3_aos_28	b3_aos_35	b3_aos_36	b3_aos_37	b3_aos_38	b3_aos_40	b3_aos_42	b3_aos_43	b3_aos_54	b3_aos_71	b3_aos_74	b3_aos_78	b3_aos_86	b3_aos_90	b3_aos_98	b3_aos_99	b3_pool_mutant_01	b3_pool_mutant_02	b3_pool_pd1074_01	b3_pool_pd1074_02	b4_aos_100	b4_aos_107	b4_aos_109	b4_aos_111	b4_aos_116	b4_aos_124	b4_aos_125	b4_aos_134	b4_aos_140	b4_aos_171	b4_aos_180	b4_aos_73	b4_aos_81	b4_aos_82	b4_aos_84	b4_aos_87	b4_aos_92	b4_aos_93	b4_aos_95	b4_aos_96	b4_pool_mutant_01	b4_pool_mutant_02	b4_pool_pd1074_01	b4_pool_pd1074_02	b5_aos_179	b5_aos_181	b5_aos_187	b5_aos_196	b5_aos_26	b5_aos_33	b5_aos_39	b5_aos_43	b5_aos_45	b5_aos_47	b5_aos_51	b5_aos_54	b5_aos_66	b5_aos_70	b5_aos_75	b5_aos_78	b5_aos_79	b5_aos_83	b5_aos_87	b5_aos_91	b5_pool_mutant_01	b5_pool_mutant_02	b5_pool_pd1074_01	b5_pool_pd1074_02	b6_aos_101	b6_aos_102	b6_aos_105	b6_aos_107	b6_aos_114	b6_aos_118	b6_aos_120	b6_aos_133	b6_aos_135	b6_aos_140	b6_aos_166	b6_aos_167	b6_aos_169	b6_aos_186	b6_aos_188	b6_aos_193	b6_aos_198	b6_aos_85	b6_aos_88	b6_aos_90	b6_aos_94	b6_pool_mutant_01	b6_pool_mutant_02	b6_pool_pd1074_01	b6_pool_pd1074_02
met_102	49990.46094	34617.88672	6923.851074	28573.80859	13437.54199	10964.86914	9613.537109	19870.23047	4259.775391	111923.6172	12148.38184	40141.21484	4213.956543	22019.25586	33947.44922	10417.80176	6056.794922	36653.48047	20887.38867	19738.72656	19032.01563	18042.35156	23695.94336	20123.85938	42947.23047	71340.23438	78465.22656	67653.91406	9240.597656	48128.92578	34500.79688	62878.08594	44854.49219	21143.65234	110545.4844	30923.50781	19325.76758	11513.07617	7591.26123	63460.28516	9087.699219	101106.2734	22504.77539	21648.90234	23375.56836	56460.88281	54203.37109	47686.34766	30485.34375	3178.745361	49772.49609	35930.99219	4972.731445	46695.50391	2915.486816	23212.92188	47920.82031	4727.657715	39703.12109	187182.1406	28827.66406	25370.38086	72782.8125	82171.10156	19635.96289	76427.29688	43583.10156	25795.48828	32639.63867	45992.37891	76608.75781	105165.0625	95080.11719	22481.9707	17656.66406	17123.22461	24364.41797	42096.13696	21085.0957	54340.04297	52063.89453	17178.00195	182197.375	5337.065918	11952.11841	20991.48926	27641.54102	58022.95703	83073.58594	7153.323242	10451.04102	30664.92383	26758.66602	29425.17383	61904.21484	66458.1875	67563.0625	143524.6563	160564.7656	49918.50391	25492.0625	36739.27344	255344.0625	217662.9063	3058.320801	96477.51563	10306.15137	36094.29688	55948.50391	5323.451172	108279.8984	101005.3984	27195.58203	49269.59766	41407.54297	12351.30176	49722.9375	55577.96484	90667.57813	110359.7578	64756.17969	83290.90625	66750.5	21414.91406	18961.38867	15203.34766	52560.41406	19140.79883	44345.07813	70868.14844	35696.84766	15006.88379	20498.21484	43773.24609	6304.959717	57060.81641	13195.04199	2634.344971	26956.69141	97338.22656	57559.33594	33275.57422	34670.52344	41714.12109	47206.26953
met_1057	627728.0625	514584.7813	281258	163159.2656	247610.6406	365236.1953	225350.9063	465029.875	152242.1875	197287.0469	55535.32813	353954.5313	39543.50781	307877.5938	570555.5625	293976.625	1968104	1954808	2690522	321716.2813	491136.0625	374244.4063	436397.8125	385631.5625	475775.375	2309862.75	416951.8125	437924.5938	1957241.875	384018.625	689311.8125	771019.9375	1516524	379553.4063	188265.375	758265.875	361429.4063	348770.5	1209926.5	263156.6563	1186271.625	715607.3125	482113.3438	585472.5	810741.3125	414766.8125	479312.875	831943.3125	1015580.313	2235658.25	379156.25	632292.125	677186	275998.2813	42399.54297	1073857.25	331170.7813	245627.4688	3360586.75	311991.4063	195137.4688	6269490.5	876849.0625	770375.0625	1354856	1201863	1593116.875	3247621.25	1312990.625	1946079.875	568928.875	772300.25	189371.7813	873874.4375	2660637.75	1636951.125	327042.25	4339018	521117.7813	483242.5625	719688.125	574815.5625	782253.8125	2121448.75	410743.5313	734319.0625	150880.25	1260540.125	2143797	808019.5	470144.0313	933711.8125	527265.5625	700160.4375	1074813.25	1452549.625	1073397	1226081.375	618692.6875	3867804.25	448309.5313	411681.0625	830008.875	258586.9844	515306.0313	386912.75	1669302.75	429023.2188	887471.8125	738350.5	762116.3125	1057519.125	3341884.25	701392.0625	760142.5	2413458	700326.0625	850077.5625	729332.875	853597.75	831648.125	1463414.125	777913.125	1037510.5	554832.5625	961169.0625	608859.5625	638367	1831555.625	337706.6875	630826.3125	1483896.875	266489.25	1064720.375	3639171	406215.5625	139312.1563	582355.1875	506293.375	1057318.375	317865.6875	459718.9063	607324.375	896918.0625	1000090
met_1077	296852.3438	86050.71875	180885.2344	142531.6563	39241.07813	94277.07031	59899.75781	69591.48438	45084.21094	78972.75781	14916.34277	76060.59375	14898.60059	83030.20313	93631.33594	40215.57031	50689.89453	217726.7188	208540.3594	121031.8359	157491.5938	47938.63672	79432.94531	105750.9688	172053.6406	77917.90625	103876.2344	193318.3594	54192.48047	248264.1406	726774.4375	159519	162651.6094	234472.0625	106188.9297	485134.8438	74055.3125	66615.88281	610176.6875	247154.1563	70181.5625	1114401.25	82269.21094	383725.3438	363003.5313	115544.5938	118403.2344	526104.875	390944.625	177140.2656	486796.0625	65385.95313	41398.10938	470062.1875	4415.321777	79368.47656	256575.8438	26373.99023	176223.9219	146417.3125	130459.2422	703912.625	512744.9688	431384.5313	197805.0469	972388.375	383054.2813	316616.5313	314334.5938	493360.4063	395263.2813	623765.25	1022865.875	136059.2969	112064.3984	211737.9063	334933.125	1075094.125	255643.3125	547033.125	256315.3594	217048.7969	568260.125	93406.73438	50579.09766	237445.9688	244325.4688	205439.4844	778564.3125	28164.46875	42942.94922	536003	257988.8906	332008.6875	445125	537686.1875	2191746.5	723146.875	661043.5625	202327.4531	100387.9688	117717.7344	116370.0078	191593.9531	57715.03125	238931.4063	153269.1875	202894.1563	184344.7813	123074.0781	501508.9063	486901.8438	154074.1875	253406.9219	172820.4531	64519.32813	262737.0313	338737.6563	291331.4063	343038.7813	113155.3906	170788.125	314817.625	147113.4531	1041860.063	148522.7031	481909.3125	431109.4063	465206.25	524900.6875	419217.8438	127348.7109	140397.4063	744208.5	307636.1875	349068.4688	163921.6094	75371.66406	171364.5313	1364328.125	700451.875	330598	434135.125	433689.2813	529435.6875
met_1086	446326.625	519045.1563	227108.5156	178044.2031	28983.26367	93859.34375	499851.6875	128392.2422	59256.42969	360082.125	40296.35547	193359.0938	50259.16406	85430.64063	150338.7344	34802.00781	75791.73438	2709383	271446.5938	165962.2344	243824.375	290513.5625	471576.0938	171283.9844	283683.8438	297541.2813	587702.5	397902.875	87978.96875	456980.7188	1240771.25	361616.0938	598720.4375	616452.6875	296493.5313	711934.6875	30923.33789	165887.3281	532277.125	665269.125	143400.5938	1060441	176934.75	535871.5	673205.375	264478.5313	346127.875	495805.75	590895.1875	299731	1180913.25	152740.125	85960.25781	891952.0625	8043.092285	76377.14844	342972.5938	54251.71875	399631.8125	604342.1875	163345.5156	974500.5	1235713.25	620303.3125	148178.3281	942004.1875	797208.9375	210754.1563	541728.4375	740066.375	581851.375	743826.25	1379941.25	208426.6406	427123.5938	825043.875	298715.0938	664947.75	738098.3125	614550.75	264181.875	172296.8281	2689660.75	141455.6406	52632.62109	156224.4063	393684.6875	311789.7813	979669.25	107549	52655.01953	514196.1563	385241.7188	421748	715890.4375	914097.125	4362816	2532716.25	1124997.875	360322.8125	103040.375	170999.8438	428546.7813	751855.25	29399.90234	556651.5625	254649.3281	202102.7656	130327.4531	86749.76563	1509176.375	684253.375	441234	1566740	228956.6719	172678.5313	499706.25	585583.4375	722255.4375	864172.625	223420.5938	439789.9375	713310.6875	221892.0938	2165185	115030.0703	688790.375	283524.875	604922.1875	638024.3125	362568.0625	190139	46528.46094	1684434.375	264946.25	937406.25	93944.80469	32770.08594	179767.8281	938150.8125	1475919.625	548899.75	655092.25	421174.8125	476929.625
met_1087	176108.9219	240778.3281	16386.30664	50740.80859	13224.80273	56904.9375	22895.67383	66572.92969	8609.211914	239356.3125	43172.5	53466.99219	6477.080078	42397.44922	9530.994141	19409.23242	20126.25586	378799.625	161785.1875	62960.46094	117463.5078	53086.36719	78199.28906	73893.30469	132689	76777.92188	16866.76367	199625.0156	12609.46289	78291.57031	38581.57422	54255.26953	159576.2031	99741.44531	68526.27344	148485.875	20649.40039	92748.10156	132656.3125	103657.2734	51506.95703	539771.9375	32603.93359	117279.5234	130615.8672	72500.78906	79403.85938	138229.8125	144315.7969	17402.46484	224000.1406	79722.85156	14905.92773	181367.5156	3646.277832	184902.2031	155296.375	8210.243164	43731.84375	377793.375	55830.22266	290745.4063	483676.1563	345495.2188	245356.7656	570935.25	150503.2813	404238.3125	160704.1406	282333.5938	294971.5	409452.5625	394647.5625	44508.67578	25730.62109	68294.53906	221050.6406	61513.96875	42059.80469	138300.6719	112514.4063	64358.85547	296094.6563	17273.57031	11836.92188	188777.5781	52040.57422	173987.0625	609129.875	3338.32251	20617.45703	205811.6875	108098.4375	110297.5938	178960.8594	232968.1875	1035915.688	463920.5313	82946.11719	201591.3438	146337.0781	25804.5	170011.4375	395012.2813	47922.14844	168213.3125	132282.75	104835.3984	59537.80469	13302.64844	729090.125	339217.4688	344440.9063	480527.1875	162107.1094	31290.86523	175724.6094	208348.7813	311344.9688	327774.7188	37297.63672	168432.8125	137248.5625	59599.74219	392213.7813	57965.25	341625.6875	177262.5625	246086.7969	190640.3438	151802.3594	68257.95313	10773.84766	708148.0625	79570.03906	20645.01172	119926.9609	57729.59766	47484.50391	680107.9375	239716.4063	167404.8594	189446.2813	216919.625	251552.4844
met_109	920148.25	1078179.25	456466.2188	1359499	607817.8125	686210.25	617513.5	1094204.75	248547.2188	738999.3125	65452.96094	770753.75	42531.35938	224231.375	516498.7813	563018.625	1169143.5	1796465.625	1585362	369036	560978.375	529759.875	799932.875	639029.6875	1038711.25	1519244.125	2717706	1447280	1097131.875	1320029.625	1549503	3595005.75	3139498.5	1673699.75	2710407.25	3814510	675922	2511997	1665941.25	1217720.375	1221285.375	3145503.5	1703238.5	2603282.75	1946754.625	2002123.375	2052103.625	1834082.75	1539131.75	1071195.5	3086444.5	941997.1875	749532.8125	801737.0625	31938.31055	1207016.25	1434562.5	258409.375	2152385.5	1797014.75	163788.1094	5518624.5	2788370.25	1785100.125	844014.125	2667693.5	3530434.75	2639138.5	1948592.75	3222529.25	1869146.25	2875251.75	2586950.25	1512453.25	2229802.5	3795412.75	1518542.75	2715297	993424.6875	1438762.25	1198793	1717198.75	7067429.5	1361936	761455.25	1860166.5	1106138.5	3689452.25	5447853	935014.0625	981837.3125	2328229.5	1525375	1858015.375	3000228.75	3938258	10176563	6807190.5	3514971.5	3325811	813989.125	1004771.25	2261054	1426733.125	408166.6875	870581.375	2159188.75	412461.0938	1703876.375	702116.9375	4010733.25	2001300	2868408	4368170.5	2064557.875	2618934.75	2012838.25	2691473.5	2248765.5	2601866	3142303.75	2322115	4263215.5	2225564.25	2752116	1072301.625	1564113.125	2666715.75	1905205.875	976898.625	3319899.75	2519336.5	904814.375	5484017.5	2462298.75	4388921	475214.9063	675203.9375	3085642.75	2627265.25	2240308.75	2165736.75	2864032.75	1942436.5	2435984.75
met_1090	1328316.5	806660.375	799708.8125	4057331	705897.0625	784631.125	202941.7656	301619.8125	90581.14844	198979.4375	99711.95313	314743.5	49943.25781	347200.5	181305.4375	165054.7188	228340.6563	558188.9375	222305.7031	430228.0938	687573.3125	425914.4375	672833.3125	356947.7188	651882.9375	360460.3438	292863.875	957261.8125	105246.4766	1418620.75	1032521.188	209863.875	970383.875	1219184.125	1790232	1435840.375	301039.8438	983118.75	682876.1875	564431.6875	319208.5625	1359465.875	1228069	1327118.125	1583828.75	617762.5	682528.3125	624332.6875	650174.75	112465.4453	697981.875	346245.875	52946.33984	476122.4375	24152.33984	259594.375	788350.6875	171720.5781	330580.875	307434.2813	658325.9375	1366620	606856.8125	572464.875	1049222.875	2973382	978738.75	682409.375	590686.9375	882933.6875	1067912.875	1517823.125	920844.375	247584.5	236518.25	258770.2813	829322.625	664435.3125	505499.6875	736225.1875	390264.9688	192582	2529409	196810.5	236664.9688	583833.875	333038.5313	1035406.75	1491224.125	49345.86719	107148.4375	544027.5	382500.7188	418791.9375	843232.3125	1053527.125	2348558.75	2614018.5	800392.8125	182945.4219	298296	276267.1875	693050.375	388922.875	84823.61719	207412.0156	104271.75	858182.8125	477154.125	134497.9063	3854642.5	648392.6875	1014291.375	879743.1875	752463.75	339016.2813	435813.2188	479128.6563	1021151.188	1177430.375	472819.25	563907.5625	414463.9375	296606.0938	1091534	437718.875	1048715.5	2665836.5	1621439.875	756013.625	1811284.125	497114.4688	210651.5	419995.1563	323397.4688	518723.9063	984886.625	287812	1417086.75	2952660	598873.5	845428.875	1112007.375	986824.125	1129381.25
met_1092	70623.95313	69468.14063	3129.946777	13632.25293	3903.880615	5717.691895	7128.687012	34362.31641	1528.021973	86950.00781	7017.752441	12165.17969	3720.916748	4661.242188	1243.902588	11321.01758	2745.506836	65746.25	97136.13281	20543.41602	40201.33594	12908.45898	15722.20898	27993.19531	57433.40625	68830.27344	1806.1521	110953.3828	7564.646484	17229.16211	6932.74707	23042.28516	196557.4375	15309.86621	34385.03516	43344.78125	7277.627441	11870.13379	143414.3281	227700.7344	18437.50586	421971.9688	5964.257813	28091.95313	33108.4375	52843.93359	57252.76172	100575.3281	107919.0625	4301.925293	219842.2344	38246.43359	8659.017578	20458.81055	996.6560669	146759.6719	61512.69141	3686.810303	14486.67578	150045.0938	9057.791443	83916.60156	168454.6875	196845.7344	70866.8125	294731.3125	32959.53516	189657.0469	48670.14063	97260.04688	151579.6563	216236.4844	167220	24714.125	13111.75098	28291.78906	57787.01172	8584.743164	25166.33398	72791.34375	49511.19531	130776.875	164692.4688	5005.372559	11635.93164	46551.51563	12457.3877	112443.9609	349245.4063	1569.741333	10302.11035	132035.0156	55473.05859	57180.81641	100055.9844	115419.2656	160730.7969	240909.6406	53100.28125	161028.2969	106452.8281	17480.06836	61218.92578	175895.1406	35644.12891	57457.90234	35499.23828	12829.90234	11794.34277	2580.310303	432132.4063	220675.9531	214368.7188	89797.80469	79639.97656	18940.4043	54145.58984	78007.98438	149774.3281	170143.6406	15734.97168	128078.3516	63898.64063	33486.28906	145257.1094	20345.01758	263612.25	42896.79688	178923.9688	81237.55469	76229.63281	7689.427734	3647.949219	427032.6875	57413.34375	6693.087891	53114.59766	14625.26563	11482.31738	356536.3438	157642	87832.32031	113723.9688	124757.0859	144952.9219
met_1094	163908.5469	372935.8438	19792.38086	56523.07031	12346.58496	54953.00391	12055.12891	48040.57422	18919.4375	215431.7031	22709.54102	83889.98438	7062.226563	51845.71094	22607.05664	29742.07227	35571.21875	546110.125	215582.5	59229.63672	95464.64844	73709.90625	112165.3594	69166.46875	131078.3125	68627.07813	29957.96094	176893.2813	16267.33203	90121.38281	76612.03125	25227.52344	240969	89941.27344	136788.7344	227032.625	36523.06641	98314.10156	131950.6563	126791.9844	107863.6484	477381.5313	25995.34961	149505.6875	140514.7813	99130.96094	105117.4922	150002.9219	149012.4219	8031.682617	116541.7344	40276.91406	6539.429199	86026.97656	2910.687256	170024.2656	174904.4688	10960.83008	36727.01953	366171.25	50212.21484	434505	254981.6406	306154.0625	234336.7188	567069.375	73370.17969	519292.5	145999.875	228372.4063	283050.25	453665.3125	234936.1563	43309.61719	16492.0293	47477.67578	252932.3906	161125.7188	25691.50391	198060.7031	105979.5469	110878.4219	295195.1563	10763.17188	15637.98438	266816.9063	27761.69531	166984.6094	543689.125	1860.684204	19394.33398	181695.4844	103209.2734	112274.3828	219795.5	232045.7969	468137.75	463404.1563	215250.0469	163821.5469	99964.63281	54189.82813	211764.9219	402510.9375	52594.53516	212734.6875	98688.55469	135542.9219	61709.44922	31823.02344	675440.375	367094.25	292292.5625	314690.25	162642.3281	31026.61914	137980.8594	150272.375	260104.6719	312025.2188	74345.60938	140623.5469	76990.96875	56960.5	272031.9063	89466.42969	278189.1875	306066.1563	346570.25	144954.1719	512898.0938	88996.30469	16845.64258	420728.25	82755.625	58333.34766	126899.5078	138493.2813	132967.2813	688467.125	140684.7031	182226.5781	219380.1719	208113.9531	276263.25
met_1098	1219719.875	203726.2813	266288.25	2718550.75	300132.7188	604372	109437.4531	91581.28125	75171.44531	98191.72656	27822.58594	114715.5234	15864.59766	211083.3438	77941.36719	54844.33203	123916.0469	286486.0625	155929.9688	411343.3438	538797.75	257841.2969	367939.8125	179019.9688	298104.5625	206679.7188	125727.8281	481448	75786.78906	1468954.375	765583.9375	143615.7656	410031.7813	319791.0938	1530830.75	1870342.75	226971.875	430839.25	583569.375	331401.3438	145185.9063	1252786	742514.5	1594289.5	1940470	388963.875	441450.9063	462064.0938	582664.25	64470.87109	211396.8281	89292.89844	28010.99023	452487.5313	9386.251953	164055.3438	319289.4063	87101.75781	323185.0625	164801.1406	245887.7656	919544.6875	416484.7813	291665.875	359871.7188	2657944.5	557100.3125	417705.1875	418558.9688	569583.5	733915.8125	957022.25	614920.375	146336.5781	86729.36719	122794.5313	518392.9688	654546.5625	136304.3125	275371.5625	172308.375	197213.9219	698622.625	108834.3125	109043.1563	410433.125	135531.5781	365991.5938	702419.6875	5491.376953	40884.19922	388762.1563	212469.6563	274258.3438	425083.5625	505185.0938	2748800.25	666074.875	648362.8125	161761.9063	70777.19531	119028.4219	182643.9688	180989.7813	38778.55859	84912.03906	67124.21094	442710.6563	205112.25	58748.68359	1542255	340653.4688	418284.4688	479614.375	247459.3438	129241.1797	329748.3125	402236.9063	434185.4063	520875.5938	347854.75	317737.6563	184210.8594	174991.5156	488904.9375	231376.2031	660335.875	1602613.375	1848586.75	358271.625	5106109.5	157648.9844	268163.7813	650637.5625	333986.0313	1807104.875	506065.9688	232904.6719	2574149.5	2739258.25	244052.5938	895480.1875	1128842.375	789643.4375	842591.25
