featureID	effect_AUM2073	pval_AUM2073	effect_CB4856	pval_CB4856	effect_Combo	pval_Combo	effect_CX11314	pval_CX11314	effect_DL238	pval_DL238	effect_KJ550	pval_KJ550	effect_N2	pval_N2	effect_NS	pval_NS	effect_NInoN2	pval_NInoN2	effect_RB2011	pval_RB2011	effect_RB2055	pval_RB2055	effect_RB2347	pval_RB2347	effect_RB2550	pval_RB2550	effect_CM	pval_CM	effect_UGT	pval_UGT	effect_UGT49	pval_UGT49	effect_UGT60	pval_UGT60	effect_VC1265	pval_VC1265	effect_VC2524	pval_VC2524	flag_sig05_COMBO_path	flag_sig05_VC1265	direction_VC1265	flag_sig05_DL238	direction_DL238	flag_sig05_UGT60	direction_UGT60	dir_pd_vs_strain_Combo	sum_flag_sig05_strain_4_Combo	flag_sig05_NS_path	flag_sig05_CB4856	direction_CB4856	flag_sig05_CX11314	direction_CX11314	dir_pd_vs_strain_NInoN2	sum_flag_sig05_strain_4_NInoN2	flag_sig05_N2	direction_N2	dir_pd_vs_strain_NI	sum_flag_sig05_strain_4_NI	flag_sig05_CM_path	flag_sig05_KJ550	direction_KJ550	flag_sig05_RB2347	direction_RB2347	flag_sig05_AUM2073	direction_AUM2073	flag_sig05_VC2524	direction_VC2524	dir_pd_vs_strain_TCA	sum_flag_sig05_strain_4_TCA	flag_sig05_UGT_path	flag_sig05_RB2055	direction_RB2055	flag_sig05_RB2550	direction_RB2550	flag_sig05_RB2011	direction_RB2011	flag_sig05_UGT49	direction_UGT49	dir_pd_vs_strain_UGT	sum_flag_sig05_strain_4_UGT	ms2_id	min_height	mean_sn	max_right_on_left_assymetry	clique	mean_right_on_left_assymetry	isotopic_pattern_annot	min_mz	min_sn	max_rt	mean_rt_cor	raw_isotopic_pattern	rt	min_right_on_left_assymetry	min_rt_cor	mean_peakwidth	mean_mz	min_peakwidth	max_sn	mz	max_height	max_rt_cor	min_rt	mean_height	neutral_mass	num_clustered_ms2	min_intensity	mean_rt	main_peak	max_peakwidth	max_mz	num_detection	annotations	mean_intensity	max_intensity	total_detection	rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks_ppm	medianAbsoluteMassErrorFragmentP	massErrorPrecursor_ppm_	ionMass	retentionTimeInSeconds	id
met_100	-0.488835	0.328052	0.363457	0.536436	-0.483263	0.150174	-0.061251	0.90317	-0.227417	0.650866	0.259781	0.64392	-0.391973	0.486987	-0.094913	0.723033	-0.0084	0.97798	0.079757	0.891158	-0.707655	0.177856	-1.766533	0.002445	-0.609121	0.239019	-0.67418	0.00677	-0.229521	0.359963	-0.375958	0.524789	0.741179	0.219811	-2.5016	0.000233	0.2255	0.657829	0	1	pd1074	0	pd1074	0	strain	mix strain & pd1074	1	0	0	strain	0	pd1074	mix strain & pd1074	0	0	pd1074	mix strain & pd1074	0	1	0	strain	1	pd1074	0	pd1074	0	strain	mix strain & pd1074	2	0	0	pd1074	0	pd1074	0	strain	0	pd1074	mix strain & pd1074	0	2057_(e30)	29241.38086	7.5130E+11	inf	4	inf		761.6525	3.3488E+01	5.97	5.907031359		5.91		5.829829399	0.208728961	761.6535	0.018482917	1.0000E+12	761.6535	15840707	5.970234966	5.83	3742363.178	760.6462611	1	152964.4896	5.91	[m+h]+	0.303610914	761.6544	187	[m+h]+	24565376.69	93539882.48	193	760	C43H89N2O6P	[M + H]+	C43H89N2O6P	0.993969849	9.915335626	9.915335626	0	4	0.452999641	-1.743928173	1.743928173	2.492401296	761.655	364.04	2057_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime364.04scanNumNApre
met_1000	0.087834	0.859268	1.208711	0.084122	0.427034	0.157993	-0.480516	0.382492	0.019339	0.969594	0.239124	0.658652	0.827666	0.144354	0.286112	0.314855	0.103595	0.752966	-0.592091	0.333681	0.156879	0.754924	0.142967	0.760194	0.268057	0.586369	0.22008	0.319928	0.148231	0.542329	0.267064	0.628079	0.516939	0.381971	0.743968	0.127983	-0.106135	0.827969	0	0	strain	0	strain	0	strain	all strain direction	0	0	0	strain	0	pd1074	mix strain & pd1074	0	0	strain	mix strain & pd1074	0	0	0	strain	0	strain	0	strain	0	pd1074	mix strain & pd1074	0	0	0	strain	0	strain	0	pd1074	0	strain	mix strain & pd1074	0	3487_(e30)	10238.29492	8.8945E+11	3.200581894	23	1.387064219		576.5714	8.5319E+00	6.57	6.541978171		6.54	0.503871933	6.512379176	0.147554331	576.5717	0.02809943	1.0000E+12	576.5717	8068373	6.570787842	6.51	3600310.809	575.5644038	1	16929.13508	6.54	[m+h]+	0.202394722	576.5721	199	[m+h]+ |[m+h]+ +1|[m+h]+ +2	13865071.57	35815395.42	199																
met_1001	-0.027541	0.956141	1.086421	0.110281	0.389598	0.200564	-0.422656	0.442424	-0.115665	0.820439	0.254722	0.637073	0.621535	0.26129	0.2016	0.474568	0.054325	0.868317	-0.627442	0.306534	0.135967	0.786811	0.267414	0.570143	0.23647	0.632178	0.289998	0.193241	0.108627	0.655423	0.297358	0.591834	0.351967	0.547917	0.899939	0.070906	0.058147	0.905448	0	0	strain	0	pd1074	0	strain	mix strain & pd1074	0	0	0	strain	0	pd1074	mix strain & pd1074	0	0	strain	mix strain & pd1074	0	0	0	strain	0	strain	0	pd1074	0	strain	mix strain & pd1074	0	0	0	strain	0	strain	0	pd1074	0	strain	mix strain & pd1074	0	3955_(e30)	13423.26465	9.6954E+11	4.529685161	23	1.449011255		594.5820	2.3393E+01	6.56	6.536269641		6.54	0.625592136	6.505798079	0.158215602	594.5824	0.037500851	1.0000E+12	594.5824	7976362.5	6.562294689	6.51	3564443.954	593.5750952	1	20778.30323	6.54	[m+h]+	0.229993853	594.5826	197	[m+h]+ |[m+h]+ +1|[m+h]+ +2	13964181.55	35530513.49	197																
met_1002	0.349197	0.496425	0.517032	0.398883	1.203586	0.000349	0.195016	0.707066	1.196887	0.046757	0.188223	0.743569	-0.298209	0.596423	0.363241	0.202883	0.591548	0.073777	-0.665522	0.275114	-0.041089	0.933886	0.171258	0.715915	-0.116473	0.814076	0.471215	0.039559	-0.137896	0.584293	-1.189798	0.046289	1.717752	0.012907	0.936985	0.061873	0.688834	0.18051	1	0	strain	1	strain	1	strain	all strain direction	2	0	0	strain	0	strain	all strain direction	1	0	pd1074	mix strain & pd1074	1	1	0	strain	0	strain	0	strain	0	strain	all strain direction	0	0	0	pd1074	0	pd1074	0	pd1074	1	pd1074	mix strain & pd1074	2	1863_(e30)	10530.58008	8.8384E+11	3.000004138	23	1.343795656		745.6217	1.8690E+02	6.56	6.540383312		6.54	0.600728311	6.522108082	0.131401788	745.6223	0.037500851	1.0000E+12	745.6223	6321290	6.560529425	6.52	1867746.704	744.6149939	1	20635.00891	6.54	[m+h]+	0.184005665	745.6228	198	[m+h]+ |[m+h]+ +1|[m+h]+ +2	6942511.822	23160616.41	198	950	C42H85N2O6P	[M + H]+	C42H85N2O6P	0.974371859	83.72943344	83.72943344	0	27	0.832694886	-2.566094741	2.566094741	1.607351047	745.623	305.6	1863_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime305.6scanNumNAprec
met_1003	0.081116	0.874931	2.030622	0.007518	-0.576026	0.060828	-1.771917	0.005385	-0.129533	0.797196	-0.42292	0.436611	-0.108799	0.85211	-0.151914	0.613225	-0.167474	0.632878	-0.662482	0.274475	0.186222	0.70919	0.666192	0.171344	-0.192771	0.712183	0.08097	0.720798	-0.465543	0.065148	-0.955629	0.104812	-1.15426	0.072666	-0.660728	0.173733	0.694757	0.171213	0	0	pd1074	0	pd1074	0	pd1074	all pd1074 direction	0	0	1	strain	1	pd1074	mix strain & pd1074	2	0	pd1074	mix strain & pd1074	2	0	0	pd1074	0	strain	0	strain	0	strain	mix strain & pd1074	0	0	0	strain	0	pd1074	0	pd1074	0	pd1074	mix strain & pd1074	0	2366_(e30)	16779.50586	1.0026E+02	4.500740249	23	2.18033571		786.6009	1.8109E+01	6.55	6.533276148		6.53	0.800184015	6.521768104	0.146429054	786.6015	0.037565684	2.9439E+02	786.6015	20850078	6.551757285	6.52	6440556.284	785.5941983	1	35114.91154	6.53	[m+h]+	0.211528094	786.6020	201	[m+h]+ |[m+h]+ +1|[m+h]+ +2	22262750.4	66356149.37	201	797	C44H84NO8P	[M + H]+	C44H84NO8P	0.991457286	14.46452252	14.46452252	0	8	1	-1.734200381	1.734200381	1.485211146	786.6019	288.09	2366_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime288.09scanNumNApre
met_1004	-0.677967	0.215657	0.442256	0.454515	0.057576	0.850429	-0.395774	0.435946	0.637786	0.219829	-0.773296	0.171657	-0.077261	0.88596	0.13151	0.62415	0.200443	0.517296	0.294204	0.613526	-0.100827	0.836649	0.197657	0.692916	0.172739	0.733938	-0.43242	0.061447	0.152795	0.528895	0.094684	0.868059	0.409382	0.485298	-0.711696	0.148565	-0.306742	0.532794	0	0	pd1074	0	strain	0	strain	mix strain & pd1074	0	0	0	strain	0	pd1074	mix strain & pd1074	0	0	pd1074	mix strain & pd1074	0	0	0	pd1074	0	strain	0	pd1074	0	pd1074	mix strain & pd1074	0	0	0	pd1074	0	strain	0	strain	0	strain	mix strain & pd1074	0	2885_(e30)	478340.7813	5.5233E+11	12.00059416	23	1.334340596		828.6498	4.9679E+00	6.55	6.532108164		6.53	0.400826849	6.512379176	0.15834212	828.6504	0.082799381	1.0000E+12	828.6504	12092212	6.546573556	6.51	4753795.428	827.6430866	1	1000000	6.53	[m+h]+	0.212938445	828.6510	172	[m+h]+ |[m+h]+ +1	24683806.88	63311150.71	172	1018	C51H89NO7	[M + H]+	C51H89NO7	0.962311558	62.53510892	62.53510892	0	15	0.335627819	-1.505856996	1.619252178	1.71281144	828.6726	404.49	2885_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime404.49scanNumNApre
met_1005	-0.29832	0.576222	0.540999	0.360743	-0.165442	0.617416	-0.433492	0.409916	0.269246	0.595989	-0.433972	0.424702	0.066954	0.901723	0.09088	0.736155	0.098747	0.750783	0.485047	0.421758	-0.327849	0.508777	0.100543	0.840415	-0.466604	0.352926	-0.468151	0.048279	0.244487	0.324547	1.029678	0.076792	1.105008	0.079721	-1.957098	0.001238	-0.213079	0.663585	0	1	pd1074	0	strain	0	strain	mix strain & pd1074	1	0	0	strain	0	pd1074	mix strain & pd1074	0	0	strain	mix strain & pd1074	0	1	0	pd1074	0	strain	0	pd1074	0	pd1074	mix strain & pd1074	1	0	0	pd1074	0	pd1074	0	strain	0	strain	mix strain & pd1074	0	3124_(e30)	16664.54102	6.1321E+11	3.001259618	23	0.799234843		849.7033	1.1785E+01	6.58	6.548474773		6.55	0.111065245	6.473314815	0.229826674	849.7054	0.055194689	1.0000E+12	849.7054	26252840	6.580224896	6.47	7545727.466	848.6981481	1	50796.27394	6.55	[m+h]+	0.312752204	849.7065	201	[m+h]+ |[m+h]+ +1|[m+h]+ +2|[m+h]+ +3	40497419.86	99238949.26	212	388	C36H68O3	[M + H]+	C36H68O3	1	45.14663979	45.14663979	0	10	0.312761298	-2.558402462	2.558402462	2.68870442	549.5256	349.54	3124_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime349.54scanNumNApre
met_1006	0.813098	0.114701	2.469657	0.00301	-0.270252	0.382272	0.295209	0.564535	-0.9265	0.100292	1.428912	0.022746	0.804336	0.155013	0.372033	0.206614	0.211131	0.540639	-0.631233	0.291632	0.450874	0.366248	-1.314682	0.016156	-1.510273	0.013355	0.076108	0.745223	-0.342741	0.178291	-0.711418	0.21738	0.292812	0.616427	-0.175034	0.714155	-0.032394	0.947083	0	0	pd1074	0	pd1074	0	strain	mix strain & pd1074	0	0	1	strain	0	strain	mix strain & pd1074	1	0	strain	mix strain & pd1074	1	0	1	strain	1	pd1074	0	strain	0	pd1074	mix strain & pd1074	2	0	0	strain	1	pd1074	0	pd1074	0	pd1074	mix strain & pd1074	1	4723_(e30)	120050.5781	1.0000E+12	2.335540745	23	1.268507241		1293.1871	1.0000E+06	6.55	6.539585616		6.54	0.400005187	6.524501942	0.098331561	1293.1884	0.055359077	1.0000E+12	1293.1884	8395694	6.553094999	6.52	3059661.789	1292.181101	1	265921.382	6.54	[m+h]+	0.128729902	1293.1895	195	[m+h]+ |[m+h]+ +1|[m+h]+ +2	7428351.083	20902110.24	195	717	C39H66O4	[M + Na]+	C39H66O4	0.996482412	53.29062273	53.29062273	0	7	0.25530157	-3.762443942	3.762443942	4.776771999	621.4883	210.47	4723_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime210.47scanNumNApre
met_1007	-0.069486	0.88853	0.250247	0.697311	0.119619	0.70682	0.303805	0.547927	0.235042	0.660138	-0.039345	0.940559	0.793238	0.164714	0.391547	0.159708	0.26615	0.404084	0.417418	0.481346	0.212915	0.669675	-0.575599	0.234497	-0.415928	0.410576	-0.159252	0.480802	0.27005	0.278828	0.902386	0.140964	0.576907	0.348022	-0.311787	0.546466	0.235291	0.640863	0	0	pd1074	0	strain	0	strain	mix strain & pd1074	0	0	0	strain	0	strain	all strain direction	0	0	strain	all strain direction	0	0	0	pd1074	0	pd1074	0	pd1074	0	strain	mix strain & pd1074	0	0	0	strain	0	pd1074	0	strain	0	strain	mix strain & pd1074	0	4788_(e30)	86143.73438	1.0000E+12	3.501544456	23	1.396228889		1356.1743	1.0000E+06	6.55	6.532131		6.53	0.555195689	6.514991933	0.103895644	1356.1756	0.055496348	1.0000E+12	1356.1756	5665841	6.546948434	6.51	2104879.69	1355.168286	1	182093.7461	6.53	[m+h]+	0.15631456	1356.1770	195	[m+h]+ |[m+h]+ +1|[m+h]+ +2	5752527.811	15280924.63	195																
met_1008	-0.65784	0.208481	-2.802149	0.001679	-1.60115	0.000029	-0.903539	0.094334	-2.328511	0.001152	-0.637522	0.249633	0.769449	0.171643	-0.891667	0.005271	-1.681892	0.000015	-0.074549	0.898115	-0.190305	0.714702	-0.829606	0.093347	-1.993113	0.001649	-0.764824	0.001319	-0.893382	0.000999	-0.991802	0.087701	-2.237277	0.006668	-0.908669	0.093947	-0.781061	0.160423	1	0	pd1074	1	pd1074	1	pd1074	all pd1074 direction	2	1	1	pd1074	0	pd1074	all pd1074 direction	2	0	strain	mix strain & pd1074	2	1	0	pd1074	0	pd1074	0	pd1074	0	pd1074	all pd1074 direction	0	1	0	pd1074	1	pd1074	0	pd1074	0	pd1074	all pd1074 direction	2	4812_(e30)	138553.125	1.0000E+12	3.498831088	23	1.622080251		1382.1892	1.0000E+06	6.57	6.550673985		6.55	0.500249938	6.537303696	0.092201799	1382.1907	0.04625704	1.0000E+12	1382.1907	6691123.5	6.566102661	6.54	3128269.102	1381.183413	1	283022.4211	6.55	[m+h]+	0.1288008	1382.1919	195	[m+h]+ |[m+h]+ +1|[m+h]+ +2	7595311.629	16037604.48	195																
