gene_id,flag_zea_mays_paralog_hoopes,orthogroup_hoopes,freq_pav_hoopes,flag_pav,flag_detect_shrtRd_rsem_B73,flag_detect_shrtRd_rsem_C123,flag_detect_shrtRd_rsem_Hp301,flag_detect_shrtRd_rsem_Mo17,flag_detect_shrtRd_rsem_NC338,flag_detect_ccs_B73,flag_detect_ccs_C123,flag_detect_ccs_Hp301,flag_detect_ccs_Mo17,flag_detect_ccs_NC338,flag_detect_shrtRd_genomeAln_B73,flag_detect_shrtRd_genomeAln_C123,flag_detect_shrtRd_genomeAln_Hp301,flag_detect_shrtRd_genomeAln_Mo17,flag_detect_shrtRd_genomeAln_NC338,flag_detect_B73,flag_detect_C123,flag_detect_Hp301,flag_detect_Mo17,flag_detect_NC338,flag_detect_num_geno_gt0_lt5,num_detect_genotype,flag_analyze_B73,flag_analyze_C123,flag_analyze_Hp301,flag_analyze_Mo17,flag_analyze_NC338,sum_analyze,mean_B73_Amb,mean_B73_Ele,mean_C123_Amb,mean_C123_Ele,mean_Hp301_Amb,mean_Hp301_Ele,mean_Mo17_Amb,mean_Mo17_Ele,mean_NC338_Amb,mean_NC338_Ele,flag_no_assoc_v5_gene,flag_no_assoc_pangene,flag_core,flag_near_core,flag_dispensable,flag_private,flag_any_tandem_dup,flag_temperate_tandem_dup,pangene_class
ENSRNA049462348,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,29533.2775,37940.66583333333,20560.865833333333,17539.748333333333,98210.60083333332,75257.60666666667,23388.865,35507.55083333333,39467.23416666667,13997.49,1.0,1,0,0,0,0,,,none
ENSRNA049465110,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,1,1,1,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,19796.51,16605.185,9432.4725,7942.986666666668,38348.864166666666,23460.340833333332,12579.752500000002,22695.9975,17060.15583333333,5648.144166666666,1.0,1,0,0,0,0,,,none
ENSRNA049477401,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,110.64833333333335,82.42083333333333,44.1575,58.655,127.78583333333336,90.35,65.44666666666666,137.51833333333335,100.11833333333334,64.44250000000001,1.0,1,0,0,0,0,,,none
ENSRNA049477405,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,196.2225,183.4766666666667,87.94333333333334,111.80666666666669,265.465,186.69416666666663,120.96166666666667,255.4025,193.9,112.23083333333336,1.0,1,0,0,0,0,,,none
ENSRNA049478106,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,491.35333333333335,368.3133333333333,197.99916666666664,262.83,544.6308333333333,393.6408333333332,279.74333333333334,604.1666666666669,466.1433333333334,283.0975,1.0,1,0,0,0,0,,,none
ENSRNA049478119,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,203.12416666666664,157.52083333333334,74.6883333333333,104.58333333333331,200.7525,147.505,102.83416666666666,242.26416666666668,175.11416666666668,104.425,1.0,1,0,0,0,0,,,none
ENSRNA049478584,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,334.33916666666664,285.9083333333333,136.85666666666665,182.64166666666665,392.75,321.115,189.72916666666663,440.7575,331.79833333333335,219.55166666666665,1.0,1,0,0,0,0,,,none
ENSRNA049478700,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,26.766666666666666,18.858333333333327,7.765833333333332,12.035833333333334,21.60083333333333,16.968333333333334,12.519166666666667,27.91416666666667,21.245833333333334,13.215833333333334,1.0,1,0,0,0,0,,,none
ENSRNA049478703,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,174.07083333333333,146.09416666666667,73.24499999999998,99.30666666666669,196.1158333333333,140.7825,101.51999999999998,254.47583333333333,186.16166666666663,112.45416666666664,1.0,1,0,0,0,0,,,none
ENSRNA049478799,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,1,1,1,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.2266666666666667,0.1825,0.0675,0.0491666666666666,0.1541666666666666,0.15,0.1233333333333333,0.2058333333333333,0.0858333333333333,0.0866666666666666,1.0,1,0,0,0,0,,,none
ENSRNA049478806,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,1,1,1,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.2266666666666667,0.1825,0.0675,0.0491666666666666,0.1541666666666666,0.15,0.1233333333333333,0.2058333333333333,0.0858333333333333,0.0866666666666666,1.0,1,0,0,0,0,,,none
ENSRNA049478813,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,84.90666666666667,52.60083333333333,31.644166666666678,41.12833333333333,93.59666666666668,68.31833333333334,44.9125,90.93083333333333,68.73333333333333,39.5025,1.0,1,0,0,0,0,,,none
ENSRNA049478881,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,2201.365,1631.121666666667,842.7483333333331,1189.2258333333332,2494.2983333333336,1793.1791666666666,1211.7625,2709.688333333333,1999.63,1215.0558333333329,1.0,1,0,0,0,0,,,none
ENSRNA049479027,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,21.992500000000003,21.442499999999995,9.966666666666667,14.210833333333332,27.169166666666666,21.28583333333334,15.8175,32.54916666666667,24.18333333333333,12.204166666666666,1.0,1,0,0,0,0,,,none
ENSRNA049479077,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,1,1,1,0,5,1.0,1.0,1.0,1.0,1.0,5.0,13.32,9.5475,6.784166666666665,7.461666666666666,14.065833333333332,10.8825,9.769166666666663,14.18083333333333,10.898333333333335,8.9325,1.0,1,0,0,0,0,,,none
