dser1_geneID,dmel6_geneID,num_dser1_geneID,num_dmel6_geneID,flag_mel_jxnHash,flag_dser11_2_dser1_ujc,flag_dsim202_2_dsim2_ujc,flag_dyak21_2_dyak2_ujc,flag_dsimWXD_2_dsim2_ujc,flag_dmel650_2_dmel6_ujc,flag_dsan11_2_dsan1_ujc,flag_all,flag_melBranchOnly,mel_symbol,flag_sexDet_gene
LOC110185398,FBgn0000504,1,1,1,0,0,0,0,0,1,0,0,dsx,1
LOC110189488,FBgn0000662,1,1,1,0,1,0,0,1,0,0,0,fl(2)d,1
LOC110179304,FBgn0001276,1,1,1,1,0,0,0,0,0,0,0,ix,1
LOC110191367,FBgn0003261,1,1,1,0,0,0,0,0,1,0,0,Rm62,1
LOC110180455,FBgn0003449,1,1,1,0,1,0,0,0,0,0,0,snf,1
LOC110177571,FBgn0003741,1,1,1,0,1,0,1,0,1,0,0,tra,1
LOC110188770,FBgn0003742,1,1,1,0,1,0,0,0,0,0,0,tra2,1
LOC110178507,FBgn0003977,1,1,1,1,1,1,1,1,1,1,0,vir,1
LOC110182222,FBgn0004045,1,1,1,1,1,1,1,1,1,1,0,Yp1,1
LOC110183228,FBgn0004047,1,1,1,0,0,1,0,0,0,0,0,Yp3,1
LOC110184394,FBgn0004587,1,1,1,0,0,1,0,0,0,0,0,B52,1
GFF5_014099,FBgn0004652,2,1,1,0,1,0,0,0,0,0,0,fru,1
LOC110187623,FBgn0004652,2,1,1,0,0,0,1,1,0,0,0,fru,1
LOC110182223,FBgn0005391,1,1,1,1,1,1,1,1,1,1,0,Yp2,1
LOC110176958,FBgn0005616,1,2,1,1,0,0,0,0,0,0,0,msl-2,1
LOC110182157,FBgn0014870,1,1,1,0,0,0,0,0,1,0,0,Psi,1
LOC110184211,FBgn0260944,2,2,1,0,1,0,0,0,0,0,0,Rbp1,1
LOC110186495,FBgn0260944,2,1,1,0,1,0,1,0,1,0,0,Rbp1,1
LOC110188197,FBgn0262737,1,1,1,1,0,0,0,0,0,0,0,mub,1
LOC110185626,FBgn0263396,1,1,1,0,0,0,0,0,1,0,0,sqd,1
LOC110182584,FBgn0264270,1,2,1,0,1,0,0,0,0,0,0,Sxl,1
LOC110184797,FBgn0265998,3,1,1,1,0,0,0,0,0,0,0,Doa,1
LOC110184806,FBgn0265998,3,1,1,0,1,0,1,0,0,0,0,Doa,1
LOC110185964,FBgn0265998,3,1,1,1,0,0,0,0,0,0,0,Doa,1
