primary_fbgn,symbol,chrom,start,end,strand,upstream_start,upstream_end,motif_count,motif_positions,motif_eval
FBgn0013696,mt:tRNA:I,dmel_mitochondrion_genome,1,65,+,-1999,2065,0,,
FBgn0013672,mt:ATPase6,dmel_mitochondrion_genome,4062,4736,+,2062,6736,0,,
FBgn0013684,mt:ND5,dmel_mitochondrion_genome,6402,8124,-,4402,10124,0,,
FBgn0013709,mt:tRNA:W,dmel_mitochondrion_genome,1264,1329,+,-736,3329,0,,
FBgn0013683,mt:ND4L,dmel_mitochondrion_genome,9544,9834,-,7544,11834,0,,
FBgn0013686,mt:lrRNA,dmel_mitochondrion_genome,12734,14058,-,10734,16058,0,,
FBgn0013676,mt:CoIII,dmel_mitochondrion_genome,4736,5524,+,2736,7524,0,,
FBgn0013692,mt:tRNA:E,dmel_mitochondrion_genome,6252,6318,+,4252,8318,0,,
FBgn0013681,mt:ND3,dmel_mitochondrion_genome,5608,5961,+,3608,7961,0,,
FBgn0013697,mt:tRNA:K,dmel_mitochondrion_genome,3768,3838,+,1768,5838,0,,
FBgn0013691,mt:tRNA:D,dmel_mitochondrion_genome,3840,3906,+,1840,5906,0,,
FBgn0013679,mt:ND1,dmel_mitochondrion_genome,11720,12658,-,9720,14658,0,,
FBgn0013698,mt:tRNA:L:CUN,dmel_mitochondrion_genome,12669,12733,-,10669,14733,0,,
FBgn0013688,mt:srRNA,dmel_mitochondrion_genome,14131,14916,-,12131,16916,0,,
FBgn0013707,mt:tRNA:T,dmel_mitochondrion_genome,9837,9902,+,7837,11902,0,,
FBgn0013678,mt:Cyt-b,dmel_mitochondrion_genome,10498,11634,+,8498,13634,0,,
FBgn0013674,mt:CoI,dmel_mitochondrion_genome,1474,3009,+,-526,5009,0,,
FBgn0013706,mt:tRNA:S:UCN,dmel_mitochondrion_genome,11637,11702,+,9637,13702,0,,
FBgn0013700,mt:tRNA:M,dmel_mitochondrion_genome,171,239,+,-1829,2239,0,,
FBgn0262952,mt:ND4,dmel_mitochondrion_genome,8204,9544,-,6204,11544,0,,
FBgn0013710,mt:tRNA:Y,dmel_mitochondrion_genome,1403,1468,-,-597,3468,0,,
FBgn0013695,mt:tRNA:H,dmel_mitochondrion_genome,8140,8205,-,6140,10205,0,,
FBgn0013687,mt:ori,dmel_mitochondrion_genome,14917,19517,+,12917,21517,0,,
FBgn0013702,mt:tRNA:P,dmel_mitochondrion_genome,9903,9963,-,7903,11963,0,,
FBgn0013675,mt:CoII,dmel_mitochondrion_genome,3083,3767,+,1083,5767,0,,
FBgn0013693,mt:tRNA:F,dmel_mitochondrion_genome,6337,6401,-,4337,8401,0,,
FBgn0013703,mt:tRNA:Q,dmel_mitochondrion_genome,97,165,-,-1903,2165,0,,
FBgn0013701,mt:tRNA:N,dmel_mitochondrion_genome,6119,6183,+,4119,8183,0,,
FBgn0013689,mt:tRNA:A,dmel_mitochondrion_genome,5981,6045,+,3981,8045,0,,
FBgn0013694,mt:tRNA:G,dmel_mitochondrion_genome,5543,5607,+,3543,7607,0,,
FBgn0013704,mt:tRNA:R,dmel_mitochondrion_genome,6055,6118,+,4055,8118,0,,
FBgn0013673,mt:ATPase8,dmel_mitochondrion_genome,3907,4068,+,1907,6068,0,,
FBgn0013680,mt:ND2,dmel_mitochondrion_genome,240,1265,+,-1760,3265,0,,
FBgn0013699,mt:tRNA:L:UUR,dmel_mitochondrion_genome,3012,3077,+,1012,5077,0,,
FBgn0013690,mt:tRNA:C,dmel_mitochondrion_genome,1322,1383,-,-678,3383,0,,
FBgn0013705,mt:tRNA:S:AGY,dmel_mitochondrion_genome,6184,6251,+,4184,8251,0,,
FBgn0013708,mt:tRNA:V,dmel_mitochondrion_genome,14058,14130,-,12058,16130,0,,
FBgn0013685,mt:ND6,dmel_mitochondrion_genome,9970,10494,+,7970,12494,0,,
FBgn0085638,CG41378,2RHet,1545386,1621674,-,1543386,1623674,1,1590667,2.5e-11
FBgn0085569,CG41242,2RHet,2157432,2157977,-,2155432,2159977,0,,
FBgn0058263,MFS17,2RHet,1265405,1336048,-,1263405,1338048,4,1278350;1306505;1309881;1332197,2.5e-11;8.0e-12;2.5e-11;2.5e-11
FBgn0046706,Haspin,2RHet,3199376,3234607,+,3197376,3236607,2,3198706;3206051,8.0e-12;2.5e-11
