mel_geneID,mel_geneSymbol,mel_chrom,mel_start,mel_end,mel_strand,sim_geneID,sim_geneSymbol,sim_chrom,sim_start,sim_end,sim_strand,orthoDB_groupID,num_mel_geneID_2_sim_geneID,num_sim_geneID_2_mel_geneID,flag_one2one_ortholog
FBgn0000008,a,2R,22136968,22172834,+,FBgn0269458,GD28168,Scf_2R,18518216,18553140,+,EOG091902HN,1,1,1
FBgn0000014,abd-A,3R,16807214,16830049,-,FBgn0191744,GD20268,Scf_3R,8599253,8621866,+,EOG09190E68,1,1,1
FBgn0000015,Abd-B,3R,16927212,16972236,-,FBgn0025043,Abd-B,Scf_3R,8497493,8503049,+,EOG09190F6X,1,1,1
FBgn0000018,abo,2L,10973443,10975293,-,FBgn0193617,GD22208,Scf_2L,10630469,10632308,-,EOG091905OX,1,1,1
FBgn0000022,ac,X,370031,370947,+,FBgn0269163,GD27873,Scf_X,191245,192636,+,EOG09190HGD,1,1,1
FBgn0000024,Ace,3R,13222951,13259517,-,FBgn0022516,Ace,Scf_3R,12087670,12124207,+,EOG091903S4,1,1,1
FBgn0000028,acj6,X,15350239,15379064,-,FBgn0187465,GD15807,Scf_X,14395665,14422243,-,EOG09190B67,1,1,1
FBgn0000032,Acph-1,3R,29991144,29993411,-,FBgn0189058,GD17508,Scf_3R,25163062,25165316,-,EOG0919073D,1,1,1
FBgn0000036,nAChRalpha1,3R,24393896,24457157,-,FBgn0189822,GD18289,Scf_3R,19757441,19808894,-,EOG091905G0,1,1,1
FBgn0000037,mAChR-A,2R,24378630,24390294,-,FBgn0196275,GD24962,Scf_2R,20698233,20708192,-,EOG0919048X,1,1,1
FBgn0000038,nAChRbeta1,3L,4429349,4435993,+,FBgn0185542,GD13845,Scf_3L,4381498,4388076,+,EOG091905XN,1,1,1
FBgn0000039,nAChRalpha2,3R,24485428,24491147,+,FBgn0192557,GD21103,Scf_3R,19842061,19847732,+,EOG091905CP,1,1,1
FBgn0000042,Act5C,X,5900861,5905399,+,FBgn0188352,GD16764,Scf_X,5424864,5428360,+,EOG091909C7,2,2,0
FBgn0000042,Act5C,X,5900861,5905399,+,FBgn0182114,GD10342,Scf_2R,2904874,2906649,-,EOG091909C7,2,2,0
FBgn0000043,Act42A,2R,6013910,6015689,-,FBgn0188352,GD16764,Scf_X,5424864,5428360,+,EOG091909C7,2,2,0
FBgn0000043,Act42A,2R,6013910,6015689,-,FBgn0182114,GD10342,Scf_2R,2904874,2906649,-,EOG091909C7,2,2,0
FBgn0000044,Act57B,2R,20944021,20946431,+,FBgn0012823,Act88F,Scf_3R,9961336,9963180,-,EOG091909BS,3,4,0
FBgn0000044,Act57B,2R,20944021,20946431,+,FBgn0186687,GD15015,Scf_3L,21392076,21394010,+,EOG091909BS,3,4,0
FBgn0000044,Act57B,2R,20944021,20946431,+,FBgn0190420,GD18909,Scf_3R,11925726,11927910,-,EOG091909BS,3,4,0
