dyak2_geneID,dmel6_geneID,num_dyak2_geneID,num_dmel6_geneID,flag_mel_jxnHash,flag_dyak21_2_dyak2_ujc,flag_dsim202_2_dsim2_ujc,flag_dsimWXD_2_dsim2_ujc,flag_dmel650_2_dmel6_ujc,flag_dser11_2_dser1_ujc,flag_dsan11_2_dsan1_ujc,flag_all,flag_melBranchOnly,mel_symbol,flag_sexDet_gene
LOC6539897,FBgn0000504,1,1,1,0,0,0,0,1,0,0,0,dsx,1
LOC6529909,FBgn0000662,1,1,1,1,1,0,1,0,0,0,0,fl(2)d,1
LOC6529542,FBgn0001185,1,1,1,0,1,1,0,0,0,0,0,her,1
LOC6530293,FBgn0001276,1,1,1,0,0,1,0,0,0,0,0,ix,1
LOC6537555,FBgn0003261,1,1,1,0,0,0,0,0,1,0,0,Rm62,1
LOC6524166,FBgn0003449,1,1,1,1,1,1,1,1,1,1,0,snf,1
LOC6534435,FBgn0003741,1,1,1,0,0,1,0,0,0,0,0,tra,1
LOC6530404,FBgn0003742,1,1,1,0,1,1,1,0,0,0,0,tra2,1
LOC6531813,FBgn0003977,1,1,1,1,1,1,1,1,1,1,0,vir,1
LOC6525974,FBgn0004045,1,1,1,1,1,1,1,1,1,1,0,Yp1,1
LOC6524656,FBgn0004047,1,1,1,1,1,1,1,1,1,1,0,Yp3,1
LOC6536985,FBgn0004587,1,1,1,1,0,0,0,0,0,0,0,B52,1
LOC6535575,FBgn0004652,1,1,1,0,1,1,1,0,0,0,0,fru,1
LOC6525973,FBgn0005391,1,1,1,1,1,1,1,1,1,1,0,Yp2,1
LOC6531347,FBgn0014870,1,1,1,0,0,0,0,0,1,0,0,Psi,1
LOC6540023,FBgn0086683,1,1,1,0,0,1,1,0,0,0,0,Spf45,1
LOC6536551,FBgn0260944,1,1,1,0,0,1,0,0,0,0,0,Rbp1,1
LOC6535120,FBgn0262737,1,1,1,0,0,0,0,1,0,0,0,mub,1
LOC6536981,FBgn0263396,1,1,1,1,1,0,1,0,1,0,0,sqd,1
LOC6525459,FBgn0264270,1,2,1,0,1,0,0,0,0,0,0,Sxl,1
LOC6538122,FBgn0265998,1,1,1,0,1,1,0,0,0,0,0,Doa,1
