#clusterid,dmel,num_FBGNs,flag_singleton
1,FBgn0031344,1,1
2,FBgn0025865,1,1
3,FBgn0030627,1,1
4,FBgn0037755,1,1
5,FBgn0037958,1,1
6,FBgn0035099,2,0
6,FBgn0052320,2,0
7,FBgn0052986,1,1
8,FBgn0001216,185,0
8,FBgn0001217,185,0
8,FBgn0001218,185,0
8,FBgn0001219,185,0
8,FBgn0001230,185,0
8,FBgn0003310,185,0
8,FBgn0004168,185,0
8,FBgn0004910,185,0
8,FBgn0005629,185,0
8,FBgn0010240,185,0
8,FBgn0011726,185,0
8,FBgn0011747,185,0
8,FBgn0013275,185,0
8,FBgn0013276,185,0
8,FBgn0013277,185,0
8,FBgn0013278,185,0
8,FBgn0013279,185,0
8,FBgn0015583,185,0
8,FBgn0016675,185,0
8,FBgn0017645,185,0
8,FBgn0025334,185,0
8,FBgn0026179,185,0
8,FBgn0027544,185,0
8,FBgn0028931,185,0
8,FBgn0029746,185,0
8,FBgn0029892,185,0
8,FBgn0029922,185,0
8,FBgn0029949,185,0
8,FBgn0030166,185,0
8,FBgn0030307,185,0
8,FBgn0030467,185,0
8,FBgn0030616,185,0
8,FBgn0030683,185,0
8,FBgn0030685,185,0
8,FBgn0030704,185,0
8,FBgn0030721,185,0
8,FBgn0030725,185,0
8,FBgn0030880,185,0
8,FBgn0031104,185,0
8,FBgn0031121,185,0
8,FBgn0031123,185,0
8,FBgn0031124,185,0
8,FBgn0031143,185,0
8,FBgn0031179,185,0
8,FBgn0031197,185,0
8,FBgn0031273,185,0
8,FBgn0031299,185,0
8,FBgn0031300,185,0
8,FBgn0031305,185,0
8,FBgn0031373,185,0
8,FBgn0031483,185,0
8,FBgn0031804,185,0
8,FBgn0031910,185,0
8,FBgn0032110,185,0
8,FBgn0032206,185,0
8,FBgn0032210,185,0
8,FBgn0032384,185,0
8,FBgn0032851,185,0
8,FBgn0032944,185,0
8,FBgn0032946,185,0
8,FBgn0033015,185,0
8,FBgn0033030,185,0
8,FBgn0033044,185,0
8,FBgn0033075,185,0
8,FBgn0033141,185,0
8,FBgn0033312,185,0
8,FBgn0033602,185,0
8,FBgn0033640,185,0
8,FBgn0034069,185,0
8,FBgn0035011,185,0
8,FBgn0035012,185,0
8,FBgn0035068,185,0
8,FBgn0035092,185,0
8,FBgn0035509,185,0
8,FBgn0035562,185,0
8,FBgn0035718,185,0
8,FBgn0036447,185,0
8,FBgn0036929,185,0
8,FBgn0037140,185,0
8,FBgn0037440,185,0
8,FBgn0037504,185,0
8,FBgn0037837,185,0
8,FBgn0037859,185,0
8,FBgn0037963,185,0
8,FBgn0038012,185,0
8,FBgn0038159,185,0
8,FBgn0038365,185,0
8,FBgn0038486,185,0
8,FBgn0039616,185,0
8,FBgn0039621,185,0
8,FBgn0039711,185,0
8,FBgn0039939,185,0
8,FBgn0040096,185,0
8,FBgn0040097,185,0
8,FBgn0040098,185,0
8,FBgn0040099,185,0
8,FBgn0040102,185,0
8,FBgn0040104,185,0
8,FBgn0040106,185,0
8,FBgn0040107,185,0
8,FBgn0040234,185,0
8,FBgn0040503,185,0
8,FBgn0050193,185,0
8,FBgn0051257,185,0
8,FBgn0051354,185,0
8,FBgn0051617,185,0
8,FBgn0051702,185,0
8,FBgn0051703,185,0
8,FBgn0051832,185,0
8,FBgn0051999,185,0
8,FBgn0052062,185,0
8,FBgn0052110,185,0
8,FBgn0052138,185,0
8,FBgn0052231,185,0
8,FBgn0052377,185,0
8,FBgn0052458,185,0
8,FBgn0052486,185,0
8,FBgn0052496,185,0
8,FBgn0052529,185,0
8,FBgn0052640,185,0
8,FBgn0052641,185,0
8,FBgn0052656,185,0
8,FBgn0052822,185,0
8,FBgn0053453,185,0
8,FBgn0053454,185,0
8,FBgn0053463,185,0
8,FBgn0053481,185,0
8,FBgn0053483,185,0
8,FBgn0053521,185,0
8,FBgn0053532,185,0
8,FBgn0053533,185,0
8,FBgn0053648,185,0
8,FBgn0053654,185,0
8,FBgn0053658,185,0
8,FBgn0053679,185,0
8,FBgn0053687,185,0
8,FBgn0053688,185,0
8,FBgn0053689,185,0
8,FBgn0053690,185,0
8,FBgn0053700,185,0
8,FBgn0053702,185,0
8,FBgn0053723,185,0
8,FBgn0053725,185,0
8,FBgn0053752,185,0
8,FBgn0053757,185,0
8,FBgn0053758,185,0
8,FBgn0053764,185,0
8,FBgn0053773,185,0
8,FBgn0053775,185,0
8,FBgn0053777,185,0
8,FBgn0053783,185,0
8,FBgn0053784,185,0
8,FBgn0053795,185,0
8,FBgn0053796,185,0
8,FBgn0053798,185,0
8,FBgn0053801,185,0
8,FBgn0053804,185,0
8,FBgn0053807,185,0
8,FBgn0053810,185,0
8,FBgn0053813,185,0
8,FBgn0053816,185,0
8,FBgn0053819,185,0
8,FBgn0053822,185,0
8,FBgn0053825,185,0
8,FBgn0053828,185,0
8,FBgn0053831,185,0
8,FBgn0053834,185,0
8,FBgn0053837,185,0
8,FBgn0053840,185,0
8,FBgn0053843,185,0
8,FBgn0053846,185,0
8,FBgn0053849,185,0
8,FBgn0053852,185,0
8,FBgn0053855,185,0
8,FBgn0053858,185,0
8,FBgn0053861,185,0
8,FBgn0053864,185,0
8,FBgn0053912,185,0
8,FBgn0053914,185,0
8,FBgn0053920,185,0
8,FBgn0053922,185,0
8,FBgn0053923,185,0
8,FBgn0053927,185,0
8,FBgn0053928,185,0
8,FBgn0053929,185,0
9,FBgn0033674,1,1
10,FBgn0032042,1,1
11,FBgn0011768,1,1
12,FBgn0024182,1,1
13,FBgn0035772,1,1
14,FBgn0052776,1,1
15,FBgn0000565,1,1
16,FBgn0051797,3,0
16,FBgn0051920,3,0
16,FBgn0051921,3,0
17,FBgn0051013,1,1
18,FBgn0002791,1,1
19,FBgn0052310,2,0
19,FBgn0052311,2,0
20,FBgn0027101,1,1
21,FBgn0023521,1,1
22,FBgn0051752,1,1
23,FBgn0026755,4,0
23,FBgn0026756,4,0
23,FBgn0038082,4,0
23,FBgn0038083,4,0
24,FBgn0037230,1,1
25,FBgn0026713,4,0
25,FBgn0032759,4,0
25,FBgn0033160,4,0
25,FBgn0033898,4,0
26,FBgn0040794,1,1
27,FBgn0028734,1,1
28,FBgn0030486,1,1
29,FBgn0000644,1,1
30,FBgn0032504,1,1
31,FBgn0000633,1,1
32,FBgn0000115,1,1
33,FBgn0035137,1,1
34,FBgn0026370,1,1
35,FBgn0036710,1,1
36,FBgn0030710,1,1
37,FBgn0011648,1,1
38,FBgn0045862,1,1
39,FBgn0030483,3,0
39,FBgn0052713,3,0
39,FBgn0053223,3,0
41,FBgn0065108,1,1
42,FBgn0040816,1,1
43,FBgn0013981,46,0
43,FBgn0051611,46,0
43,FBgn0053868,46,0
43,FBgn0053869,46,0
43,FBgn0053870,46,0
43,FBgn0053871,46,0
43,FBgn0053872,46,0
43,FBgn0053873,46,0
43,FBgn0053874,46,0
43,FBgn0053875,46,0
43,FBgn0053876,46,0
43,FBgn0053877,46,0
43,FBgn0053878,46,0
43,FBgn0053879,46,0
43,FBgn0053880,46,0
43,FBgn0053881,46,0
43,FBgn0053882,46,0
43,FBgn0053883,46,0
43,FBgn0053884,46,0
43,FBgn0053885,46,0
43,FBgn0053886,46,0
43,FBgn0053887,46,0
43,FBgn0053888,46,0
43,FBgn0053889,46,0
43,FBgn0053890,46,0
43,FBgn0053891,46,0
43,FBgn0053892,46,0
43,FBgn0053893,46,0
43,FBgn0053894,46,0
43,FBgn0053895,46,0
43,FBgn0053896,46,0
43,FBgn0053897,46,0
43,FBgn0053898,46,0
43,FBgn0053899,46,0
43,FBgn0053900,46,0
43,FBgn0053901,46,0
43,FBgn0053902,46,0
43,FBgn0053903,46,0
43,FBgn0053904,46,0
43,FBgn0053905,46,0
43,FBgn0053906,46,0
43,FBgn0053907,46,0
43,FBgn0053908,46,0
43,FBgn0053909,46,0
43,FBgn0053910,46,0
43,FBgn0061209,46,0
44,FBgn0001402,1,1
45,FBgn0039617,1,1
46,FBgn0035398,1,1
47,FBgn0040074,1,1
48,FBgn0004400,2,0
48,FBgn0034255,2,0
50,FBgn0034117,1,1
51,FBgn0030136,1,1
52,FBgn0053129,2,0
52,FBgn0053507,2,0
53,FBgn0030370,1,1
54,FBgn0039284,1,1
55,FBgn0034062,1,1
56,FBgn0039344,1,1
57,FBgn0020621,1,1
59,FBgn0030458,1,1
60,FBgn0034151,1,1
61,FBgn0039705,1,1
62,FBgn0039373,2,0
62,FBgn0039374,2,0
64,FBgn0035875,1,1
65,FBgn0053544,1,1
66,FBgn0052485,1,1
67,FBgn0035674,1,1
68,FBgn0032340,1,1
69,FBgn0032881,1,1
71,FBgn0030844,1,1
72,FBgn0028507,1,1
73,FBgn0036058,1,1
74,FBgn0053060,1,1
75,FBgn0039734,1,1
76,FBgn0003997,1,1
77,FBgn0036204,1,1
78,FBgn0037878,1,1
79,FBgn0034542,1,1
80,FBgn0033250,2,0
80,FBgn0033252,2,0
81,FBgn0051709,1,1
82,FBgn0027070,2,0
82,FBgn0032713,2,0
83,FBgn0003175,2,0
83,FBgn0034732,2,0
84,FBgn0028844,1,1
85,FBgn0037429,1,1
86,FBgn0039027,1,1
87,FBgn0052487,1,1
88,FBgn0052736,1,1
89,FBgn0035641,5,0
89,FBgn0035642,5,0
89,FBgn0038730,5,0
89,FBgn0038731,5,0
89,FBgn0038733,5,0
90,FBgn0000078,2,0
90,FBgn0000079,2,0
91,FBgn0035107,1,1
93,FBgn0024978,2,0
93,FBgn0035124,2,0
94,FBgn0011692,1,1
95,FBgn0037320,1,1
96,FBgn0037698,1,1
97,FBgn0034707,1,1
98,FBgn0038745,1,1
99,FBgn0035218,1,1
100,FBgn0034485,1,1
101,FBgn0010300,1,1
102,FBgn0031791,1,1
103,FBgn0003209,10,0
103,FBgn0027611,10,0
103,FBgn0032066,10,0
103,FBgn0032067,10,0
103,FBgn0032068,10,0
103,FBgn0032069,10,0
103,FBgn0032253,10,0
103,FBgn0032256,10,0
103,FBgn0051719,10,0
103,FBgn0065110,10,0
104,FBgn0035089,1,1
105,FBgn0028886,5,0
105,FBgn0033443,5,0
105,FBgn0033708,5,0
105,FBgn0034381,5,0
105,FBgn0035969,5,0
106,FBgn0038142,1,1
107,FBgn0010747,1,1
108,FBgn0053985,1,1
109,FBgn0003044,1,1
110,FBgn0003138,1,1
112,FBgn0040914,1,1
113,FBgn0027552,1,1
114,FBgn0039862,1,1
115,FBgn0038536,1,1
116,FBgn0010323,1,1
117,FBgn0032404,1,1
118,FBgn0039808,1,1
119,FBgn0027343,1,1
120,FBgn0052637,1,1
121,FBgn0041241,1,1
123,FBgn0045823,1,1
