dmel_FBgn,dmel_NCBI_ID,dsim_NCBI_ID,dsim_GLEANR_ID,dsim_FBgn,flag_dsim_FBgn_dup,#clusterid,num_GLEANRIDs_sim,flag_singleton,num_unique_dsim_clusterID_per_FBgn,flag_discrepant_FBgn_2_GLEANR_link,flag_many_dmel_FBgn,flag_many_dmel_NCBI_ID,flag_many_dsim_NCBI_ID,flag_many_dsim_GLEANR_ID
FBgn0002855,33817.0,6731127.0,dsim_GLEANR_6371,FBgn0012820,0.0,15895.0,1.0,1.0,1,0,0,0,0,0
FBgn0002856,33816.0,6731126.0,dsim_GLEANR_6372,FBgn0012821,0.0,7018.0,1.0,1.0,1,0,0,0,0,0
FBgn0000047|FBgn0000046|FBgn0000044,41885.0|48632.0|37368.0,6727955.0|6728214.0|6735456.0,dsim_GLEANR_2829|dsim_GLEANR_2718|dsim_GLEANR_11514,FBgn0012823,1.0,2601.0,6.0,0.0,1,0,1,1,1,1
FBgn0000055,3771877.0,6732347.0,dsim_GLEANR_7697,FBgn0012824,0.0,11357.0,1.0,1.0,1,0,0,0,0,0
FBgn0000056,3772432.0,6732348.0,dsim_GLEANR_7698,FBgn0012825,0.0,1330.0,1.0,1.0,1,0,0,0,0,0
FBgn0000592|FBgn0000594,39392.0|39393.0,6737787.0|6737788.0,dsim_GLEANR_14373|dsim_GLEANR_14374,FBgn0012832,1.0,1315.0,2.0,0.0,1,0,1,1,1,1
FBgn0001128,33824.0,6731131.0,dsim_GLEANR_7107,FBgn0012837,0.0,7848.0,1.0,1.0,1,0,0,0,0,0
FBgn0001149,41503.0,6728385.0,dsim_GLEANR_4354,FBgn0012838,0.0,11447.0,1.0,1.0,1,0,0,0,0,0
FBgn0001233,38389.0,6736591.0,dsim_GLEANR_13768,FBgn0012840,0.0,3327.0,1.0,1.0,1,0,0,0,0,0
FBgn0002772,43323.0,6729868.0,dsim_GLEANR_1895,FBgn0012844,0.0,746.0,1.0,1.0,1,0,0,0,0,0
FBgn0002868,41202.0,6728719.0,dsim_GLEANR_4529,FBgn0012845,0.0,9565.0,1.0,1.0,1,0,0,0,0,0
FBgn0004647,31293.0,6725000.0,dsim_GLEANR_16828,FBgn0012846,0.0,6477.0,1.0,1.0,1,0,0,0,0,0
FBgn0004654,31185.0,6724920.0,dsim_GLEANR_16789,FBgn0012849,0.0,8144.0,1.0,1.0,1,0,0,0,0,0
FBgn0004244,39054.0,6737389.0,dsim_GLEANR_12996,FBgn0012851,0.0,5523.0,1.0,1.0,1,0,0,0,0,0
