fbgn,num_frags_ttest,manual_model_check,sum_frags_le05,ttest_minpval,num_frags_ttest_0_ratio2_F,num_frags_ttest_0_ratio2_M,num_frags_ttest_0_ratio2_U,num_frags_ttest_0_trend_F,num_frags_ttest_0_trend_M,num_frags_ttest_0_trend_U,num_frags_ttest_1_ratio2_F,num_frags_ttest_1_ratio2_M,num_frags_ttest_1_ratio2_U,num_frags_ttest_1_trend_F,num_frags_ttest_1_trend_M,num_frags_ttest_1_trend_U,num_k4_none,num_k4_fem,num_k4_male,num_k4_both,sum_fragments_k4,gene_k4,num_k27_fem,num_k27_none,num_k27_male,num_k27_both,sum_fragments_k27,gene_k27,num_rna_none,num_rna_both,num_rna_fem,num_rna_male,sum_fragments_rna_detected,gene_rna,num_frag_not_detected05,num_frag_detected05,flag_rna_detected05,symbol,chrom,start,end,strand,num_transcripts,flag_single_transcript,xsome,flag_4Y,flag_X,flag_Y,gene_ratio2_ttest,gene_trend_ttest,flag_any_k4,flag_has_male_k4,flag_has_female_k4,flag_male_limited_k4,flag_female_limited_k4,flag_sex_limited_k4,flag_any_k27,flag_has_male_k27,flag_has_female_k27,flag_male_limited_k27,flag_female_limited_k27,flag_sex_limited_k27,flag_expressed,flag_expressed_M,flag_expressed_F,flag_sex_limited,flag_male_limited,flag_female_limited,flag_low_express,flag_sex_biased,flag_U,flag_M,flag_MP,flag_F,flag_FP,flag_MF,flag_MFP
FBgn0012820,,,,,,,,,,,,,,,,,3,0,0,0,0,none,1,2,0,0,1,fem,3,0,0,0,0,none,3,0,0,Dsim\Acp26Aa,Scf_2L,5688299,5689540,-,1,1,A,0,0,0,,,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FBgn0012821,,,,,,,,,,,,,,,,,1,1,0,0,1,fem,1,0,1,0,2,male_and_female,2,0,0,0,0,none,2,0,0,Dsim\Acp26Ab,Scf_2L,5687786,5688268,-,1,1,A,0,0,0,,,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FBgn0012823,3.0,3.0,0.0,0.3639,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,none,0,1,2,0,2,male,0,3,0,0,3,both,1,2,1,Dsim\Act88F,Scf_3R,9961336,9963180,-,1,1,A,0,0,0,unbiased,unbiased,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0012824,1.0,0.0,0.0,0.8886,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,none,0,1,0,0,0,none,0,1,0,0,1,both,0,1,1,Dsim\Adh,Scf_2L,14154545,14156368,+,1,1,A,0,0,0,unbiased,unbiased,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0012825,5.0,0.0,0.0,0.4406,0.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,0,none,0,5,0,0,0,none,0,4,1,0,5,fem_and_both,4,1,1,Dsim\Adhr,Scf_2L,14154547,14157850,+,2,0,A,0,0,0,unbiased,unbiased,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0012826,1.0,1.0,0.0,0.2132,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,none,1,0,0,0,1,fem,0,1,0,0,1,both,0,1,1,Dsim\Amy-d,Scf_2R,13681790,13683120,+,1,1,A,0,0,0,unbiased,unbiased,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0012827,1.0,0.0,0.0,0.1556,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,none,0,1,0,0,0,none,0,1,0,0,1,both,1,0,0,Dsim\Amy-p,Scf_2R,13676781,13677268,-,1,1,A,0,0,0,unbiased,unbiased,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
FBgn0012832,2.0,0.0,1.0,0.0046,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,2,0,2,male,0,2,0,0,0,none,0,2,0,0,2,both,0,2,1,Dsim\Est-6,Scf_3L,11880703,11882571,+,1,1,A,0,0,0,ttestLowFC,female,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
FBgn0012837,8.0,0.0,3.0,0.0055,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0,0,2,6,8,male_and_unb,0,8,0,0,0,none,0,8,0,0,8,both,0,8,1,Dsim\Gpdh,Scf_2L,5738645,5743797,+,2,0,A,0,0,0,ttestLowFC,female,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
FBgn0012838,4.0,2.0,0.0,0.4174,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,0,4,male,0,4,0,0,0,none,0,3,0,1,4,male_and_both,2,2,1,Dsim\GstD1,Scf_3R,12916844,12920034,+,1,1,A,0,0,0,unbiased,unbiased,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
