dsan1_geneID,dmel6_geneID,num_dsan1_geneID,num_dmel6_geneID,flag_mel_jxnHash,flag_dsan11_2_dsan1_ujc,flag_dser11_2_dser1_ujc,flag_dmel650_2_dmel6_ujc,flag_dsim202_2_dsim2_ujc,flag_dyak21_2_dyak2_ujc,flag_dsimWXD_2_dsim2_ujc,flag_all,flag_melBranchOnly,mel_symbol,flag_sexDet_gene
LOC120453140,FBgn0000504,1,1,1,1,0,1,0,1,1,0,0,dsx,1
LOC120444305,FBgn0000662,1,1,1,0,0,1,1,1,0,0,0,fl(2)d,1
LOC120447068,FBgn0001185,1,1,1,0,0,0,1,0,1,0,0,her,1
LOC120444712,FBgn0001276,1,1,1,0,0,0,0,0,1,0,0,ix,1
LOC120451005,FBgn0003261,1,1,1,1,0,0,0,0,0,0,0,Rm62,1
LOC120456630,FBgn0003449,1,1,1,1,1,1,1,1,1,1,0,snf,1
LOC120449354,FBgn0003741,1,1,1,0,0,0,0,0,1,0,0,tra,1
LOC120446047,FBgn0003742,1,1,1,0,0,1,1,0,1,0,0,tra2,1
LOC120444548,FBgn0003977,1,1,1,1,1,1,1,1,1,1,0,vir,1
LOC120456786,FBgn0004045,1,1,1,1,1,1,1,1,1,1,0,Yp1,1
LOC120456871,FBgn0004047,1,1,1,1,1,1,1,1,1,1,0,Yp3,1
LOC120451673,FBgn0004587,1,1,1,0,0,0,0,1,0,0,0,B52,1
LOC120452969,FBgn0004652,1,1,1,0,0,1,1,0,1,0,0,fru,1
LOC120456785,FBgn0005391,1,1,1,1,1,1,1,1,1,1,0,Yp2,1
LOC120446856,FBgn0014870,1,1,1,1,0,0,0,0,0,0,0,Psi,1
LOC120446026,FBgn0086683,1,1,1,0,0,1,0,0,1,0,0,Spf45,1
LOC120451624,FBgn0260944,1,1,1,0,0,0,0,0,1,0,0,Rbp1,1
LOC120449495,FBgn0262737,1,1,1,0,1,0,0,0,0,0,0,mub,1
LOC120454598,FBgn0263396,1,1,1,1,0,1,1,1,0,0,0,sqd,1
LOC120457037,FBgn0264270,1,2,1,0,0,0,0,1,0,0,0,Sxl,1
LOC120454172,FBgn0265998,1,1,1,0,0,0,1,0,1,0,0,Doa,1
